SA4_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
201,42,1300,559,240,1409,0.8,1098,2.4
202,42,1382,593,250,1443,0.8,1160,2.4
203,40,1560,616,288,1615,0.8,1287,2.5
204,44,1300,599,225,1417,0.8,1124,2.4
205,45,1300,540,220,1338,0.7,1048,2.3
206,33,2100,883,401,2323,1,1699,2.1
207,39,2167,707,400,2183,0.9,1756,2.6
208,40,2167,802,386,2309,0.9,1793,2.5
209,36,1829,645,331,1767,0.9,1525,2.8
210,35,1733,579,330,1598,0.9,1422,2.9
211,39,1768,674,350,1851,0.8,1559,2.7
212,35,1733,586,336,1593,0.9,1444,2.9
213,34,1733,625,315,1644,0.9,1486,2.9
214,42,1700,643,310,1635,0.8,1303,2.5
215,44,1083,549,185,1306,0.8,1014,2.3
216,43,1300,565,210,1364,0.8,1105,2.4
217,44,1300,582,201,1411,0.8,1103,2.4
297,49,0,3000,0,0,0,0,0
299,34,0,398,0,0,0,0,0
