SUA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
2000,1604,232,3913,1513,1040,1121,489,1495,122,11533,34,24,13,28,24,19,15,61,10,241,513,472,295,336,277,118,216,238,85,2553,1514,562,1380,807,637,729,798,1460,784,8672,33410,40519,34150,22874,17052,9246,9309,15556,2899,185019
2001,34,12,88,39,39,33,27,21,3,293,0,0,0,0,3,0,0,0,0,5,8,16,12,16,8,3,19,3,3,82,17,9,29,23,20,9,11,29,22,164,710,1348,1177,724,719,304,372,331,93,5771
2002,31,3,105,45,38,34,5,36,0,298,0,0,0,0,0,0,0,4,0,10,8,14,6,8,3,5,11,9,0,56,19,7,20,15,8,29,19,31,24,169,400,832,689,547,375,247,157,319,50,3622
2003,155,43,619,279,190,204,66,175,15,1747,4,7,3,6,3,5,3,8,0,40,65,97,49,58,67,19,24,33,8,424,57,60,129,77,64,89,68,104,99,751,3334,8911,4896,3770,3173,1797,1001,1683,398,28953
2004,138,48,631,255,171,185,67,198,12,1701,0,6,3,0,0,4,0,6,0,26,39,79,35,39,38,30,26,29,8,334,84,63,122,100,77,75,56,123,80,779,2971,7975,4724,3709,2880,1583,1025,1863,324,27050
2005,22,9,80,33,18,22,14,61,0,258,0,0,0,0,0,0,0,4,0,6,3,3,3,4,6,4,3,6,5,36,17,7,23,17,7,9,10,35,18,145,341,569,554,526,277,186,169,397,44,3076
2006,47,15,190,75,37,54,18,52,11,503,0,0,0,0,0,0,0,0,0,3,8,5,7,6,10,3,7,3,0,46,26,18,22,28,11,30,16,38,20,203,768,1309,1062,755,448,368,230,438,65,5429
2007,397,138,1602,696,437,446,188,407,50,4366,7,15,10,12,5,10,8,14,3,82,132,260,126,158,154,80,75,72,33,1089,172,165,329,221,164,183,201,299,271,2009,9005,22388,12976,10049,8018,4564,2786,4435,1111,75342
2008,40,8,100,38,32,28,7,22,3,285,0,0,0,0,0,0,0,0,0,0,29,30,8,20,29,9,7,3,3,134,22,29,30,13,29,15,8,15,12,166,1106,2179,1259,772,805,330,198,263,75,6995
2009,37,14,128,55,44,46,11,24,0,364,0,0,0,0,0,0,0,4,0,7,3,5,3,10,3,7,3,5,3,39,10,5,31,17,10,19,10,17,24,138,602,1253,812,633,510,297,190,236,60,4596
2010,7828,2240,24246,10620,7970,7315,3430,5863,666,70178,170,173,211,219,202,191,191,423,74,1859,3935,6095,2207,2824,3877,1942,1478,1443,766,24575,3097,3580,4956,3282,3400,2951,2824,3678,5217,32984,206348,476674,192842,145350,176475,91325,50730,68953,21804,1430509
2011,90,19,290,138,130,101,81,109,17,981,3,0,3,0,3,3,6,3,3,26,19,28,24,36,35,17,38,19,7,224,37,27,92,71,54,53,83,71,84,576,1415,2512,2974,2256,2013,940,1277,1080,274,14728
2012,108,17,301,112,100,103,27,103,6,881,6,0,5,4,3,7,5,0,0,25,14,27,16,28,13,10,16,14,5,139,57,33,85,54,47,81,56,77,65,560,1604,3170,2151,1731,1300,818,559,908,201,12451
2013,9,11,85,40,25,27,8,42,4,249,0,0,0,0,0,0,0,5,0,6,10,3,6,5,4,0,3,4,0,40,9,12,30,22,11,14,14,28,26,168,282,697,946,638,414,201,192,323,76,3788
2014,16,8,62,24,23,24,15,28,0,205,0,0,0,0,0,0,0,5,0,7,0,7,4,3,7,0,4,0,0,30,6,6,19,8,5,4,27,25,6,117,257,615,567,380,243,106,242,233,33,2675
2015,34,3,117,48,18,25,12,24,3,288,0,0,0,0,0,0,0,3,0,3,13,10,10,6,3,3,3,3,4,53,13,9,17,13,9,14,14,15,15,120,484,1156,783,555,365,201,139,273,54,4017
2016,98,20,302,107,96,111,42,105,4,882,3,5,4,0,0,0,0,11,0,21,21,32,18,10,19,11,7,20,0,146,40,40,70,45,38,50,44,93,70,490,1491,3399,2117,1663,1228,713,499,1008,172,12294
2017,25,5,89,26,27,22,3,36,9,239,0,0,0,0,0,0,0,0,0,3,5,3,4,3,0,0,3,0,0,25,16,13,9,13,12,5,7,28,15,113,384,719,504,341,253,163,109,216,46,2738
