SUA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
2000,239070,578738,5268,7804,496,1031,5768,8829,4794,6807,83,134,95,189,35,68,5002,7201,983,1456,796,1244,194,385,1018,2209,2995,5296,1876,4050,254709,604109,74159,..,328864,604109
2001,6261,17594,640,1215,75,150,715,1360,71,79,0,0,0,0,0,0,73,85,10,9,22,25,0,0,4,12,29,45,17,31,7099,19123,539,..,7639,19123
2002,5058,11996,289,421,28,56,319,476,107,184,0,0,0,0,0,0,107,184,0,0,17,25,0,0,9,19,24,45,77,108,5587,12801,703,..,6290,12801
2003,30992,78321,4855,8827,506,1130,5362,9963,1117,1662,70,108,0,0,0,3,1185,1771,3,7,9,16,0,6,90,200,102,235,168,308,37811,90593,4434,..,42249,90593
2004,31549,79394,2805,4365,388,756,3199,5121,464,759,56,87,17,18,0,0,532,860,57,75,51,69,3,8,47,98,159,252,125,249,35561,85879,4044,..,39605,85879
2005,4120,10165,492,679,11,18,501,698,23,31,0,0,0,0,0,0,23,31,21,30,3,7,0,4,13,35,42,67,10,28,4697,10986,602,..,5300,10986
2006,6517,16365,778,1177,20,37,802,1211,212,345,0,0,0,0,0,0,212,345,8,14,59,88,0,0,18,43,87,153,29,71,7646,18139,1075,..,8725,18139
2007,78120,202081,7949,13143,1986,4066,9936,17204,2079,3276,141,205,197,319,8,11,2421,3812,73,116,250,330,4,11,252,719,580,1176,279,612,91328,224884,15243,..,106571,224884
2008,6213,17951,410,703,9,19,418,721,6,4,0,0,0,4,0,0,4,10,9,12,15,18,0,3,4,9,31,42,16,54,6682,18771,690,..,7371,18771
2009,5606,13506,433,600,11,27,446,625,392,564,0,0,0,0,0,0,392,564,5,6,0,0,0,0,7,8,9,19,26,47,6481,14755,821,..,7305,14755
2010,1017976,2989394,156065,336477,104161,268816,260225,605294,88364,168593,49147,85936,93114,173870,333,667,230952,429064,757,1094,1600,2211,134,231,3719,8599,6200,12135,4571,10074,1519926,4045963,161254,..,1681185,4045963
2011,17307,50311,2099,4741,294,796,2395,5540,68,153,0,0,4,11,0,3,75,172,0,3,4,6,0,9,10,45,21,59,46,109,19836,56193,1475,..,21311,56193
2012,15273,39885,1674,2768,61,113,1738,2883,1133,1735,0,0,0,0,0,0,1132,1737,116,178,83,148,7,22,24,61,227,407,101,215,18471,45128,2142,..,20612,45128
2013,5665,13509,797,1110,7,11,806,1116,267,345,0,0,0,0,0,0,267,345,17,18,6,6,3,3,0,3,29,28,13,23,6781,15023,1023,..,7804,15023
2014,3761,8831,171,228,19,34,192,261,213,288,6,6,8,5,0,7,225,305,8,15,0,0,3,0,16,28,27,45,19,43,4220,9490,776,..,5004,9490
2015,4784,11807,391,536,83,119,471,657,291,427,31,68,0,0,0,0,320,502,20,37,14,25,0,3,4,10,43,69,10,20,5624,13059,813,..,6440,13059
2016,15284,40494,1906,3341,97,196,1999,3539,119,189,21,30,0,0,0,0,146,225,80,104,123,177,9,13,28,80,237,373,31,87,17703,44718,1864,..,19567,44718
2017,3326,8348,248,393,11,8,259,404,359,589,0,0,0,3,3,0,360,589,20,23,3,8,0,0,6,15,26,45,54,119,4026,9509,438,..,4461,9509
2018,13533,33006,794,1144,87,180,882,1328,1129,1608,0,0,0,0,0,0,1132,1613,5,6,55,80,3,3,11,23,69,102,60,96,15676,36139,2127,..,17806,36139
2019,6335,15275,1008,1428,49,75,1054,1502,59,87,0,0,4,3,0,0,64,92,6,14,3,3,0,0,10,28,28,40,20,35,7495,16941,881,..,8371,16941
2020,11215,29540,529,821,36,46,567,867,725,1074,0,0,0,0,0,0,725,1074,46,69,70,105,3,9,7,17,130,204,45,104,12676,31790,1284,..,13960,31790
2021,10419,26887,1223,1877,319,577,1542,2453,567,806,75,96,0,0,0,3,646,908,7,26,63,115,0,0,4,14,79,151,62,142,12751,30536,1593,..,14347,30536
