SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
2000,23,67,18,3906,1720,337,116,2090,160,908,105,340,105,571,3517,9966,150,20,74,175,29,77,27,21,50,117,161,894,13416,3423,891,23518,2438,11268,1076,3431,1001,5171,3968,69594
2001,0,4,0,226,48,8,8,58,3,20,3,5,4,11,96,268,4,0,0,3,0,0,0,0,0,7,3,24,559,85,31,874,80,526,21,118,37,168,104,2597
2002,0,0,0,58,30,7,3,35,0,14,0,9,0,10,83,193,3,0,0,0,0,0,0,0,0,5,6,14,200,61,12,459,54,222,22,96,14,93,90,1328
2003,3,7,0,819,181,27,4,224,22,101,8,38,3,82,439,1130,11,0,7,24,5,12,0,0,0,19,20,102,1858,444,90,3761,376,1777,119,498,97,760,479,10255
2004,3,9,0,586,155,33,17,188,32,85,10,28,10,70,400,1024,9,0,3,10,6,12,3,6,0,13,21,83,1731,442,79,3372,367,1685,155,514,94,736,440,9617
2005,0,0,0,45,21,3,0,29,0,12,3,4,0,0,44,120,6,0,3,6,0,0,0,0,3,3,3,19,207,44,17,495,38,173,8,60,16,77,49,1180
2006,0,5,0,130,43,7,3,48,3,16,0,5,4,11,127,273,3,0,0,3,0,0,0,0,0,3,5,19,471,89,31,746,56,260,25,85,16,95,143,2024
2007,15,22,3,2579,446,97,22,661,51,289,28,121,25,241,1292,3273,42,3,17,62,4,32,8,8,16,36,71,298,4694,1203,262,10029,1052,5045,333,1392,317,2038,1418,27779
2008,3,0,0,461,58,5,3,76,5,32,9,15,4,20,149,379,3,0,0,5,0,3,0,3,0,3,5,24,614,117,25,1085,112,511,35,122,32,111,153,2924
2009,0,0,0,79,33,3,0,55,4,13,5,3,3,3,106,231,0,0,0,5,0,0,0,0,0,0,3,14,285,73,14,629,61,255,21,71,18,80,117,1629
2010,356,1424,84,75703,7740,1565,545,9287,906,6219,457,2287,769,5067,24250,59103,687,119,420,1027,162,527,93,151,231,706,1596,5720,106933,20882,4305,160175,17491,112699,4984,30296,6377,51294,27171,542609
2011,3,12,0,308,114,20,6,93,10,103,3,38,16,72,259,739,11,0,5,11,0,13,3,4,5,20,33,109,1382,204,57,1764,246,1801,76,421,134,818,322,7233
2012,0,3,0,257,113,16,3,119,15,56,5,18,7,46,312,714,3,4,4,8,3,3,3,0,5,17,21,71,1045,178,54,1587,169,758,69,253,69,495,352,5027
2013,3,0,0,123,25,5,0,27,4,24,3,15,3,24,66,193,0,0,3,5,0,0,3,0,0,3,4,22,200,65,11,475,51,251,14,116,30,186,72,1476
2014,0,0,0,36,18,6,0,26,0,16,3,3,0,4,68,151,0,0,0,0,0,0,0,0,0,5,8,12,160,55,15,334,34,183,17,61,14,79,80,1012
2015,0,0,0,136,33,8,0,27,3,12,0,5,3,5,119,215,0,0,3,0,0,0,0,0,3,0,11,14,228,42,14,469,66,314,21,73,22,105,135,1494
2016,3,6,0,308,115,14,4,97,9,66,9,27,3,66,212,619,11,0,3,14,0,3,0,0,0,20,20,67,1064,188,41,1571,166,863,61,290,74,615,253,5190
2017,0,3,0,41,21,4,0,33,3,18,0,5,4,8,41,132,4,0,0,4,0,0,0,0,0,0,4,15,219,38,18,361,51,177,10,40,15,66,57,1042
2018,0,5,0,303,62,8,4,88,13,45,3,13,12,40,194,469,6,0,4,4,0,9,0,3,3,8,13,51,624,125,31,1340,146,713,63,180,56,393,214,3883
2019,0,0,0,70,20,10,0,37,8,11,5,8,0,17,71,186,0,0,0,3,0,0,0,0,0,3,15,23,351,80,18,638,67,264,21,85,12,129,94,1769
2020,0,3,0,263,71,10,0,89,17,37,4,20,3,27,174,442,10,0,7,8,3,7,0,0,0,7,5,51,646,158,33,1345,142,766,48,197,40,253,187,3815
2021,0,0,0,222,71,7,4,91,3,31,8,17,3,18,157,397,4,0,4,6,0,3,0,0,4,4,6,30,603,164,42,1379,127,514,51,160,45,204,176,3466
