SUA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,..,1001,960,439,984,1210,816,268,77,5758,..,702,1642,1738,3953,7787,8748,7621,4097,36295,1002,1667,1224,725,970,1480,1311,603,244,9214,53868,29769,28181,35507,45318,47918,37932,19116,7046,304655,..,1001,20431,39495,52436,59501,49632,20867,4130,247504,..,4704,12406,10705,10708,7732,3430,700,121,50501,..,830,3068,5728,6933,3529,1704,1436,975,24207,108866,..,..,..,..,..,..,..,..,108866,..,26900,..,..,..,..,..,..,..,26900,..,18797,7501,3194,2374,1251,204,5,0,33331,..,1805,801,452,827,1455,1381,999,631,8364,..,1433,951,454,494,401,213,76,35,4045,..,2245,2293,1115,2024,2482,1769,611,149,12679,..,1775,4223,5111,10259,16540,16624,11780,5861,72169,2051,3371,2928,1896,2223,2851,2556,1094,389,19356,110911,62867,54610,68158,88267,95737,77505,37569,12289,607924
2001,..,23,24,15,29,20,14,6,0,125,..,24,70,66,110,152,229,162,84,896,31,45,32,21,21,26,11,10,12,211,2000,1183,1234,1374,1351,1157,901,392,152,9742,..,38,974,1602,1601,1464,1112,372,76,7235,..,159,573,370,279,134,62,8,3,1591,..,26,137,237,280,133,64,38,24,936,4031,..,..,..,..,..,..,..,..,4031,..,1088,..,..,..,..,..,..,..,1088,..,801,345,110,80,26,8,0,0,1370,..,88,44,22,29,71,49,31,18,351,..,57,45,14,20,14,8,0,0,151,..,48,59,27,45,46,32,17,0,271,..,46,167,178,257,281,352,218,106,1607,62,88,67,58,47,45,30,16,7,407,4089,2438,2398,2616,2629,2207,1718,699,241,19037
2002,..,48,24,14,22,22,12,8,3,148,..,31,58,61,94,202,227,257,162,1092,27,38,21,7,19,31,34,13,9,205,1198,744,731,724,897,914,800,556,236,6791,..,37,555,645,871,985,955,535,118,4702,..,186,324,221,187,121,58,12,9,1108,..,26,104,184,182,96,43,30,17,686,2350,..,..,..,..,..,..,..,..,2350,..,527,..,..,..,..,..,..,..,527,..,389,160,71,53,16,3,0,0,700,..,57,28,19,12,30,13,24,15,198,..,47,27,7,10,3,0,0,3,106,..,80,65,40,34,45,27,7,3,305,..,60,128,141,199,343,352,346,197,1768,53,68,46,34,35,51,70,32,12,395,2399,1483,1440,1372,1587,1691,1521,983,365,12842
2003,..,943,448,108,138,151,71,37,11,1902,..,251,574,489,713,1313,1431,1192,711,6677,194,339,180,92,82,117,121,73,40,1241,8773,6198,6172,5980,6197,5670,4434,2551,1076,47050,..,179,4177,6410,6491,6280,4936,2341,482,31299,..,1162,2747,1485,1174,663,279,74,11,7596,..,228,762,1214,1410,591,227,203,137,4777,17668,..,..,..,..,..,..,..,..,17668,..,4287,..,..,..,..,..,..,..,4287,..,2829,1138,439,337,161,27,3,0,4922,..,444,241,102,157,222,153,97,54,1469,..,331,214,75,72,41,14,3,0,752,..,1872,1103,267,293,280,161,71,24,4066,..,508,1241,1118,1507,2182,2165,1594,902,11212,389,622,429,231,211,205,195,107,52,2451,18054,12464,12050,11329,11641,10630,8162,4490,1663,90485
2004,..,817,388,87,113,141,81,21,8,1657,..,203,540,432,657,1181,1222,1016,610,5865,155,305,165,63,76,114,100,79,35,1094,8287,5965,5962,5489,5608,5481,4137,2455,985,44377,..,245,4169,5811,5915,6165,4810,2486,521,30121,..,1268,2561,1309,1065,547,209,60,16,7039,..,241,756,1201,1280,660,235,195,127,4697,16785,..,..,..,..,..,..,..,..,16785,..,4061,..,..,..,..,..,..,..,4061,..,2710,1096,430,300,166,33,0,0,4732,..,498,239,74,155,198,183,122,71,1533,..,343,214,101,67,41,22,5,3,785,..,1525,911,241,268,275,162,56,16,3456,..,425,1137,1064,1415,2062,1909,1429,824,10269,317,547,386,208,174,215,175,117,45,2189,17108,11854,11460,10449,10640,10332,7738,4477,1618,85666
2005,..,49,35,13,21,17,13,3,0,155,..,20,48,24,95,179,189,212,133,907,24,23,20,8,10,16,23,20,6,148,1003,646,633,596,731,743,592,451,191,5582,..,33,460,669,744,819,652,389,89,3853,..,156,258,170,164,101,25,8,0,879,..,36,104,137,136,58,25,34,21,551,2094,..,..,..,..,..,..,..,..,2094,..,444,..,..,..,..,..,..,..,444,..,370,126,55,40,18,4,0,0,612,..,60,33,5,23,31,26,12,11,202,..,27,21,8,4,5,3,0,3,71,..,119,120,68,48,47,19,11,0,425,..,58,150,102,195,290,307,282,166,1556,41,62,48,23,27,31,40,23,8,298,2136,1357,1318,1240,1379,1395,1098,759,295,10982
2006,..,58,70,16,23,30,13,13,0,231,..,19,85,50,143,227,285,289,134,1240,24,39,33,22,15,29,41,19,9,225,1709,982,1058,1071,1246,1257,1162,686,219,9392,..,35,752,1172,1390,1504,1479,731,126,7178,..,200,456,311,291,183,100,29,3,1577,..,54,130,209,217,83,44,30,25,794,3379,..,..,..,..,..,..,..,..,3379,..,813,..,..,..,..,..,..,..,813,..,547,181,69,59,35,6,0,0,902,..,51,23,8,23,47,39,22,14,224,..,51,40,10,16,16,7,3,0,142,..,110,134,40,46,53,38,28,0,447,..,56,173,149,284,427,482,408,186,2161,52,82,84,51,38,41,73,34,13,458,3433,1988,1977,2025,2363,2393,2260,1275,368,18080
2007,..,1451,973,199,282,304,167,78,20,3474,..,427,1133,1058,1526,2717,3161,2725,1684,14440,335,593,419,202,206,324,317,176,72,2661,21137,13885,15000,15350,15669,14464,11277,6544,2695,116010,..,432,10740,17751,17669,17090,13592,6575,1477,85330,..,2053,6239,3784,2825,1711,686,169,24,17488,..,363,1365,2685,3234,1638,637,490,362,10774,42791,..,..,..,..,..,..,..,..,42791,..,11782,..,..,..,..,..,..,..,11782,..,6860,3611,1281,810,407,68,3,0,13043,..,1096,644,240,327,492,427,328,175,3728,..,760,600,197,185,103,36,9,6,1900,..,3054,2427,583,608,577,375,148,34,7800,..,852,2355,2432,3493,4854,4805,3679,2248,24725,697,1123,935,525,467,590,479,275,110,5208,43490,28367,28925,29475,29623,27462,21110,11682,4434,224566
2008,..,7,23,7,12,17,9,3,3,76,..,15,29,50,75,146,192,85,51,636,25,44,22,10,10,15,20,9,4,160,2004,1062,890,1408,1535,1220,916,301,97,9424,..,12,769,1933,2075,1730,1328,409,60,8318,..,71,348,346,342,181,52,5,0,1341,..,8,35,117,231,101,44,21,20,568,4205,..,..,..,..,..,..,..,..,4205,..,1243,..,..,..,..,..,..,..,1243,..,654,306,82,35,24,9,0,0,1108,..,49,17,0,11,32,32,31,19,197,..,36,27,9,7,8,0,0,0,96,..,12,45,17,21,37,25,13,3,169,..,30,61,101,182,244,296,139,74,1123,29,71,42,23,21,36,42,10,5,283,4234,2183,1657,2627,2925,2390,1827,617,186,18654
2009,..,92,49,7,16,15,10,0,0,183,..,55,109,69,114,224,229,299,171,1270,27,37,30,11,9,32,30,12,12,196,1382,900,975,881,951,985,774,590,255,7697,..,37,677,988,1128,1146,914,556,142,5582,..,225,448,190,139,113,32,4,3,1153,..,46,133,196,177,85,29,30,28,712,2879,..,..,..,..,..,..,..,..,2879,..,570,..,..,..,..,..,..,..,570,..,448,144,39,52,35,7,0,0,721,..,68,36,14,14,25,20,21,6,220,..,53,16,7,15,4,0,0,0,100,..,158,112,16,30,24,14,4,3,365,..,111,230,163,235,393,359,390,211,2097,49,71,69,28,28,47,46,24,12,378,2928,1790,1865,1644,1819,1869,1422,1033,406,14779
