SUA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2000,1051,802,1850,650,423,1069,47,16,65,98,106,206,100,63,164,101670,85095,186765,5590,5800,11392,3170,109,3280,1119,203,1327,1049,366,1407,1726,660,2388,7877,6280,14161,124156,99932,224086,65,78,146,0,0,0,52,60,117,554,411,964,48,69,121,52,15,68,775,639,1416,0,0,0,7,0,7,33,38,71,40,36,77,17,4,19,95,81,173,1048,438,1484,1915,1155,3074,271,252,528,16,10,25,97,13,105,384,273,658,14614,13394,28010,13174,21303,34475,2359,2129,4488,156613,138178,294791
2001,188,216,409,9,26,32,0,0,0,3,0,3,3,0,5,3562,2890,6455,192,218,409,100,5,100,18,0,20,14,0,14,29,7,37,86,72,163,4208,3440,7650,21,7,28,0,0,0,10,11,22,63,34,101,3,9,15,9,0,9,108,71,176,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,4,0,4,48,12,55,157,83,241,28,33,65,3,0,3,0,0,0,31,34,70,126,216,345,351,572,924,37,44,80,4917,4393,9307
2002,0,3,4,13,10,18,0,0,0,0,0,0,6,5,9,2129,1917,4044,141,155,295,44,0,44,12,0,14,48,18,66,19,5,27,78,99,182,2501,2216,4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,9,25,19,11,29,3,0,3,0,0,3,3,0,3,5,0,10,78,122,204,245,444,687,34,48,84,2888,2843,5729
2003,330,193,527,157,214,370,10,0,12,0,5,9,58,47,107,16279,14450,30731,1025,1213,2238,200,3,206,84,7,92,247,53,299,116,48,165,666,625,1285,19173,16876,36043,10,11,23,0,0,0,18,13,37,107,58,165,12,11,24,22,4,30,173,108,280,0,0,0,0,0,0,7,12,16,13,28,40,4,3,8,25,38,69,130,82,221,331,233,564,53,60,115,10,10,14,9,0,9,71,65,135,681,912,1592,1759,3334,5088,228,196,423,22234,21605,43841
2004,119,77,192,200,196,393,7,7,13,8,7,15,39,44,80,15557,13897,29456,967,1218,2179,250,12,265,152,26,173,294,75,363,109,49,160,642,668,1310,18337,16258,34593,11,11,20,0,0,0,6,3,6,33,23,58,9,0,9,4,0,3,62,35,98,0,0,0,0,0,0,8,5,20,13,18,28,15,6,22,36,31,65,167,91,261,263,163,423,16,12,34,5,4,6,11,3,14,34,23,51,545,748,1295,1719,3134,4853,193,178,371,21093,20500,41593
2005,3,4,9,4,3,9,0,0,3,0,0,0,6,8,8,2086,1729,3810,139,141,275,26,0,26,12,0,12,58,16,72,16,4,20,138,125,266,2479,2022,4508,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,37,31,12,43,0,0,0,0,0,0,0,0,0,0,0,0,44,75,124,203,358,567,36,39,77,2797,2512,5312
2006,3,3,6,10,11,26,0,0,0,0,3,0,9,8,14,3326,3052,6376,220,205,425,77,3,75,19,0,21,51,17,67,24,12,39,153,168,323,3890,3488,7377,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,28,22,8,36,0,0,0,0,0,0,0,0,0,3,0,3,141,208,346,344,635,977,66,56,129,4468,4397,8863
2007,1444,874,2320,631,710,1340,24,14,38,20,29,44,103,83,189,40678,35415,76098,2281,2869,5147,587,13,598,258,28,279,714,209,928,321,153,472,1367,1478,2845,48430,41873,90305,85,58,145,0,0,0,75,78,156,535,324,855,41,45,89,71,16,85,810,521,1330,0,0,0,0,0,0,43,62,105,37,76,108,17,13,27,96,146,248,388,231,617,1290,899,2190,298,236,538,14,10,30,28,11,32,344,260,603,1951,2676,4632,4406,8060,12472,550,490,1038,56970,54266,111234
2008,234,210,442,17,0,14,0,0,0,0,4,4,5,4,11,3565,2940,6508,165,189,358,80,0,80,6,0,10,6,0,11,26,13,43,76,79,148,4182,3448,7630,6,9,16,0,0,0,15,13,23,106,77,187,10,12,17,11,0,12,143,111,253,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,48,17,65,195,124,317,34,39,73,0,0,0,0,0,0,35,39,69,271,371,641,412,710,1124,51,35,84,5145,4721,9860
2009,0,0,0,21,16,38,4,0,8,0,0,4,4,5,10,2772,2478,5255,180,189,366,47,0,47,16,8,24,55,17,72,35,4,37,185,160,347,3324,2885,6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,6,33,9,44,32,13,51,0,0,0,0,0,0,5,0,5,5,0,5,77,174,244,280,507,787,42,30,70,3756,3610,7364
