SUA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2000,7749,4013,17903,105433,144877,77406,66557,108349,67056,569670
2001,165,57,333,3572,4241,2013,1612,3440,1214,16082
2002,251,154,563,2156,2931,1525,1343,2515,1637,12101
2003,1137,400,2375,17702,21779,9836,7852,16782,6837,80792
2004,1080,609,2515,16582,20537,9288,7483,15251,7097,76243
2005,230,82,460,1916,2473,1206,1014,2380,1040,10034
2006,322,141,622,3338,4345,2009,1579,3721,1782,16773
2007,3046,1238,6564,45501,53572,25084,19122,41304,16967,201556
2008,121,71,305,3499,4568,2325,1870,2380,1142,15775
2009,231,89,543,2695,3442,1756,1310,2830,1149,13188
2010,41495,14866,86899,869209,895711,368072,278015,856563,270386,3537956
2011,313,92,541,9499,10724,4775,4683,11972,4133,45789
2012,610,253,1275,7707,9985,4859,3923,9384,4800,40649
2013,278,93,537,2397,3204,1632,1526,3556,1502,13818
2014,178,67,333,1506,2279,1157,955,2055,1041,8988
2015,225,80,448,2286,3095,1494,1270,2479,1221,11842
2016,566,275,1210,7921,9293,4403,3515,10034,4487,39647
2017,168,82,385,1747,2120,1031,824,1908,1222,8849
2018,484,253,1068,6329,8277,3884,3331,7378,3815,33011
2019,318,323,856,2943,4025,1951,1477,3268,1688,15346
2020,356,202,835,5860,7420,3654,3168,5412,2650,28164
2021,446,203,978,6078,7263,3364,2592,5771,2760,27830
