SUA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
2000,0,5,0,21,9,0,0,0,0,36,17079,39166,32833,55878,38665,42466,33282,15123,4928,279420,0,4,0,23,7,3,0,0,0,42,0,0,0,7,6,12,7,6,0,44,0,10,4,36,15,14,3,0,0,83,8,30,10,105,72,57,44,10,3,334,0,0,4,12,13,15,11,6,0,71,4,32,234,161,51,57,33,15,3,586,0,0,0,17,54,59,96,74,9,315,0,6,4,25,12,44,51,24,5,165,18,191,233,928,1734,2258,3020,1540,424,10335,3,0,5,42,19,27,10,3,0,115,3,10,17,57,25,28,34,21,4,195,0,8,27,87,125,258,634,326,68,1538,0,5,6,26,48,94,158,81,14,426,0,8,24,53,17,15,8,7,0,136,21,53,64,684,93,63,77,43,6,1109,0,7,16,35,11,6,17,10,8,115,0,3,5,38,12,9,7,0,0,75,3,6,13,36,22,8,4,0,0,96
2001,0,0,0,0,0,0,0,0,0,0,719,1317,1197,2097,1069,831,578,208,65,8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,3,6,3,3,0,0,17,0,0,0,0,0,3,0,0,0,3,0,15,7,46,76,60,72,43,10,318,0,0,0,3,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,0,0,5,3,13,26,5,0,56,0,0,0,0,0,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,9,65,3,4,3,0,0,91,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,400,771,708,1227,619,700,641,344,113,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,4,11,23,20,44,45,17,176,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,9,3,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,31,0,3,8,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2003,0,0,12,0,0,0,0,0,0,13,3168,5820,6135,9998,4933,4532,3308,1666,578,40137,0,9,0,20,5,0,0,0,0,39,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,6,8,12,8,4,3,0,45,0,0,0,8,0,0,0,0,0,7,4,15,150,120,39,13,9,0,0,342,0,0,0,0,7,10,13,20,3,55,0,4,0,7,4,0,3,0,0,24,8,52,36,156,143,200,209,122,38,959,0,4,4,6,7,3,0,0,0,29,0,0,4,3,5,0,0,3,0,16,3,3,3,11,9,16,63,9,7,125,0,0,0,0,0,3,13,6,5,34,0,5,6,0,3,3,3,0,0,26,6,37,39,322,40,18,13,0,0,474,0,0,3,10,3,4,0,0,0,20,0,3,3,25,5,0,0,0,0,31,0,3,0,11,9,0,0,0,0,21
2004,3,3,4,21,5,0,0,0,0,45,2936,5597,5645,9419,4543,4478,3315,1853,690,38470,0,3,0,16,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,17,6,6,8,0,3,42,0,0,0,0,0,0,0,0,0,0,0,8,24,59,16,9,4,3,0,117,0,0,0,0,0,0,4,7,0,14,0,4,0,12,4,0,7,0,0,25,4,18,27,94,145,147,188,86,30,736,0,5,3,7,3,3,0,0,0,23,0,0,0,3,0,3,8,0,0,12,0,0,3,10,11,18,37,8,3,91,0,0,0,0,9,3,4,11,0,18,0,0,3,6,3,3,3,0,0,23,11,31,28,235,21,14,14,3,0,352,0,0,4,0,3,0,3,0,0,9,0,5,0,4,3,0,0,0,0,19,0,0,3,3,0,0,3,0,0,8
2005,0,0,20,24,0,0,0,0,0,41,370,730,657,1173,609,632,491,285,123,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,15,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,11,13,19,20,10,0,83,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,532,1155,1005,1728,1058,1077,1040,573,174,8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,3,20,15,42,57,50,7,181,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,4,0,11,4,3,22,0,0,0,0,0,0,4,0,0,5,0,0,0,4,0,0,0,0,0,4,3,0,0,26,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,36,97,117,28,9,0,0,0,293,7462,13786,13378,23952,11606,10489,7391,3533,1397,92986,0,9,7,25,10,0,0,0,0,49,0,0,18,53,34,54,23,26,3,209,0,0,3,5,7,5,4,0,0,23,6,16,13,48,41,18,15,3,0,148,0,0,0,10,3,9,6,0,0,30,15,61,164,316,75,66,33,10,3,740,0,3,8,62,98,131,151,156,29,628,0,0,8,18,4,16,12,5,3,76,26,181,182,647,708,796,868,531,186,4127,0,3,4,33,6,8,0,0,0,58,0,3,6,45,14,6,7,4,0,96,0,11,18,51,44,79,271,111,56,633,0,3,3,6,31,31,61,53,20,206,3,10,39,22,14,8,8,3,0,112,29,67,281,855,61,28,37,11,3,1378,0,3,18,27,13,5,3,5,0,83,5,33,34,104,35,15,7,4,3,243,13,19,11,51,18,3,5,0,0,122
2008,0,0,0,0,0,0,0,0,0,0,647,1531,1090,1794,1160,948,665,211,66,8110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,4,3,4,8,0,3,0,0,21,0,0,0,0,9,9,5,4,3,23,0,0,0,0,0,0,6,0,0,9,0,15,16,52,102,88,97,61,8,440,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,9,0,0,4,4,5,10,31,9,3,67,0,0,0,0,0,0,3,3,0,7,0,0,4,0,0,0,0,0,0,3,0,0,0,11,3,5,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,525,984,892,1536,836,862,644,418,155,6851,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,3,7,14,20,26,10,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,7,0,38,3,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
