SUA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
2000,52,155,12,18,35,187,331,155,676,5572,6273,723,12571,628,616,1243,13814,10033,358,24208
2001,0,3,0,0,0,3,12,6,17,267,218,23,509,24,18,42,548,374,14,934
2002,0,0,0,0,0,4,6,8,17,149,179,27,353,14,23,40,390,283,10,685
2003,8,32,4,4,8,39,54,26,117,1175,1190,122,2482,142,200,345,2825,1894,51,4775
2004,3,28,0,0,3,32,52,16,96,1149,1235,143,2525,122,148,269,2796,1863,37,4696
2005,0,0,0,0,0,3,7,5,17,107,158,15,276,12,15,28,301,239,11,547
2006,0,4,0,0,0,4,14,11,28,216,214,23,450,19,18,41,491,287,11,793
2007,12,62,5,7,15,76,108,68,251,2826,2831,299,5963,305,292,592,6551,4106,112,10773
2008,0,3,0,0,0,3,4,3,12,191,181,17,387,11,5,19,406,157,3,570
2009,0,7,0,0,0,7,8,5,20,166,178,13,364,17,30,46,404,299,6,715
2010,242,1040,65,74,142,1179,1484,907,3567,49361,36912,4166,90440,4061,4274,8337,98772,67101,1811,167682
2011,3,17,0,5,9,27,44,23,89,810,637,88,1533,124,140,264,1794,1608,40,3447
2012,7,16,3,3,7,19,48,23,95,572,525,48,1145,70,73,141,1286,1020,43,2347
2013,0,3,0,0,0,4,20,10,42,176,215,21,421,47,34,82,506,474,20,1000
2014,3,3,0,0,0,3,5,0,11,126,127,15,271,17,20,35,297,210,3,518
2015,0,12,0,0,0,11,5,12,24,157,172,16,345,23,15,35,386,258,8,653
2016,9,26,3,0,3,27,30,20,80,594,564,82,1233,62,87,145,1378,966,28,2378
2017,0,0,0,3,3,3,7,8,14,117,122,7,247,10,15,21,266,176,6,455
2018,4,12,3,3,3,16,21,17,50,448,490,60,998,103,107,206,1199,861,30,2094
2019,0,5,0,0,0,5,17,16,39,189,243,20,457,29,26,60,514,372,17,909
2020,0,5,0,0,0,5,16,3,29,368,367,54,790,32,40,75,865,580,16,1460
2021,4,10,0,0,3,15,11,15,41,346,448,48,838,29,38,62,902,520,28,1452
