LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA22250,0,0,0,0,0,70,0,0,0,0,0,0,0,0,4,69,13,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,20,309,9,22,7,3,0,4,3,0,17,375,57,12,41,3,4,8,4,3,0,8,153,5,0,0,0,0,0,3,0,3,7,13,0,0,0,0,0,0,0,0,0,0,0,56,12,41,3,4,15,11,3,3,13,162,3,0,0,0,0,0,0,0,0,3,10,375,24,64,10,12,10,11,7,3,34,548
LGA22310,0,0,0,7,19,3275,92,60,8,10,7,10,3,0,120,3579,765,24,12,0,3,3,0,0,0,43,845,787,11,9,0,0,0,0,0,0,27,836,353,7,3,0,3,0,0,0,0,22,394,9,0,0,0,0,0,0,0,0,3,16,1154,17,7,3,3,0,0,0,0,55,1240,12,0,0,0,0,0,0,0,0,9,20,1926,42,19,3,5,3,0,0,0,104,2108,11607,2040,2080,485,492,403,438,419,240,429,18641,10803,2775,5125,1113,1268,1423,1942,2014,1059,633,28165,2076,228,455,129,148,220,356,402,341,301,4670,82,21,20,3,3,11,6,11,4,21,183,12968,3016,5602,1250,1422,1658,2311,2427,1411,954,33015,45,0,5,0,0,0,0,3,10,40,97,24614,5062,7684,1736,1914,2062,2748,2849,1656,1425,51751
LGA22410,0,0,0,0,0,159,3,0,0,0,0,0,0,0,3,169,40,0,0,0,0,0,0,0,0,3,49,14,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,5,71,884,73,95,13,6,15,19,4,4,42,1154,129,28,66,14,25,14,5,10,6,7,302,9,3,3,0,0,0,0,3,3,0,23,3,0,0,0,0,0,0,0,0,0,7,141,31,66,12,22,15,5,18,12,7,334,3,0,0,0,0,0,0,0,0,5,7,1030,100,161,22,30,30,24,23,17,54,1491
LGA22490,0,0,0,0,0,171,3,6,0,0,0,0,0,0,3,182,32,0,0,0,0,0,0,0,0,3,36,10,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,58,1276,94,104,25,18,12,9,9,3,77,1630,226,32,49,8,3,9,6,3,6,12,349,18,0,3,0,0,3,0,0,0,4,29,3,0,0,0,0,0,0,0,0,0,4,249,31,59,8,3,7,10,3,6,18,384,0,0,0,0,0,0,0,0,0,4,7,1523,129,159,25,18,21,20,14,11,95,2021
LGA22620,0,0,0,6,7,592,10,5,0,0,3,0,0,3,44,663,172,8,0,0,0,0,0,0,0,10,192,33,0,0,0,0,0,0,0,0,5,35,11,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,38,3,3,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,0,3,5,219,9,3,0,0,0,0,0,0,23,248,3634,401,434,70,48,68,34,66,28,225,5020,629,363,1005,155,149,181,161,138,81,106,2971,56,27,210,45,33,91,77,85,76,63,754,9,0,8,0,3,0,3,4,0,5,37,701,389,1219,196,185,276,239,226,160,170,3764,12,0,0,0,0,0,0,0,0,21,35,4347,794,1655,272,232,344,272,298,185,412,8817
LGA22670,0,0,0,13,27,4343,96,121,12,15,23,14,6,8,206,4846,428,5,3,0,0,0,0,0,0,37,477,474,11,8,0,0,0,0,0,0,39,527,770,29,15,0,0,4,4,3,0,74,895,16,0,0,0,0,0,0,0,0,0,20,1259,33,22,0,0,7,4,4,0,106,1434,19,0,0,0,0,0,0,0,0,10,27,1703,42,24,0,0,7,4,3,0,155,1938,8355,1135,1213,199,279,233,230,205,133,430,12421,20334,5973,11638,1824,2777,2950,2647,2397,1239,1256,53030,9830,1848,2683,643,1257,1434,963,1022,804,1048,21524,230,47,71,11,29,51,33,29,16,48,566,30393,7874,14391,2475,4058,4437,3642,3449,2056,2348,75118,65,22,19,4,4,7,4,4,3,90,224,38811,9030,15622,2681,4344,4674,3886,3659,2199,2866,87766
LGA22750,0,0,0,10,31,3839,40,27,3,4,4,3,7,0,193,4115,786,8,3,0,0,0,0,0,0,82,880,475,0,3,0,0,0,0,0,0,55,536,209,0,3,0,0,0,0,0,0,37,251,11,0,0,0,0,0,0,0,0,3,13,701,0,5,0,0,0,3,0,0,91,809,12,0,0,0,0,0,0,0,0,11,27,1499,7,9,0,3,0,3,0,0,189,1714,14433,1388,1745,386,294,279,257,265,161,668,19869,6174,1211,2907,464,615,752,656,769,494,437,14470,1426,127,307,75,123,213,144,234,218,220,3082,107,9,22,3,3,9,7,6,9,15,190,7710,1345,3239,547,737,965,801,1014,717,674,17749,61,0,6,0,0,0,3,0,3,289,368,22205,2731,4990,933,1037,1245,1061,1280,878,1631,37981
LGA22830,0,0,0,0,0,600,10,11,6,0,3,0,0,0,33,660,78,0,0,0,0,0,0,0,0,4,78,69,0,0,0,0,0,0,0,0,9,80,65,0,3,0,0,0,0,0,0,13,81,0,0,0,0,0,0,0,0,0,0,0,141,0,3,0,0,0,0,0,0,18,169,0,0,0,0,0,0,0,0,0,0,0,220,0,3,0,0,0,0,0,0,25,247,1876,236,255,76,63,73,80,64,26,137,2890,1380,614,1354,202,229,340,260,250,108,146,4891,404,162,257,54,81,145,138,131,114,110,1593,29,13,18,0,0,4,0,6,0,10,78,1813,787,1630,254,313,488,405,377,223,266,6558,10,0,3,0,0,0,3,3,0,35,60,3693,1022,1889,335,375,564,489,446,248,439,9501
LGA22910,0,0,0,0,3,239,4,0,0,0,0,0,0,0,9,255,51,0,0,0,0,0,0,0,0,7,56,30,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,84,0,3,0,0,0,0,0,0,7,94,1227,99,83,14,12,9,15,9,3,67,1537,275,21,70,15,7,8,14,14,9,9,438,24,0,6,0,0,3,4,0,3,3,43,0,0,0,0,0,0,0,0,0,0,0,300,27,73,11,7,14,19,14,8,14,481,4,0,0,0,0,0,0,0,0,0,3,1533,124,153,29,18,22,32,23,13,76,2024
LGA22980,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,16,173,13,17,5,3,0,4,0,0,12,228,16,26,69,7,11,10,4,4,0,6,164,3,3,48,3,3,0,12,3,0,0,80,0,0,0,0,3,0,0,0,0,0,3,22,32,116,12,20,13,19,10,0,6,241,0,0,0,0,0,0,0,0,0,0,0,198,43,135,20,21,13,20,11,0,18,472
LGA23110,0,0,0,4,10,2249,25,14,6,11,0,6,0,5,98,2421,226,0,4,0,0,0,0,0,0,23,252,292,3,4,0,0,0,0,0,0,25,320,286,3,0,0,0,0,0,0,0,37,329,7,0,0,0,0,0,0,0,0,7,9,580,6,6,0,0,0,0,0,0,67,663,0,0,0,0,0,0,0,0,0,6,6,806,4,9,0,0,5,0,0,0,99,924,5923,996,1183,340,313,272,230,219,105,275,9859,6741,1209,2273,417,497,555,678,563,306,334,13577,2099,180,264,79,98,121,115,163,154,179,3463,68,12,14,3,3,3,7,3,4,26,145,8909,1402,2549,503,605,681,796,735,466,547,17184,23,0,6,0,0,3,0,0,3,14,58,14854,2396,3733,840,920,959,1033,950,575,840,27099
LGA23190,0,0,0,0,0,98,0,0,0,0,0,0,0,0,3,108,19,0,0,0,0,0,0,0,0,0,23,14,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,37,0,0,0,0,0,0,0,0,3,42,453,58,55,10,15,22,15,12,9,23,664,108,41,196,27,28,13,16,13,11,14,472,8,0,17,4,4,0,3,4,7,5,50,0,0,0,0,0,0,0,0,0,0,3,121,46,223,35,29,13,18,16,12,18,524,3,0,0,0,0,0,0,0,0,3,5,579,101,275,36,38,37,34,30,24,41,1188
LGA23270,0,0,0,6,17,2958,80,74,20,11,31,15,13,12,134,3356,283,5,0,0,0,0,0,0,0,23,315,233,4,3,0,0,0,0,0,0,9,251,312,10,25,3,3,3,4,3,4,29,401,7,0,0,0,0,0,0,0,0,0,7,556,18,24,3,3,3,4,3,4,43,653,3,0,0,0,0,0,0,0,0,4,10,841,19,31,3,3,3,4,8,4,69,980,8753,1343,1281,294,296,262,213,233,102,493,13267,17947,5832,9781,1560,1632,2075,1853,1521,852,1059,44113,4875,1220,1676,509,412,905,659,677,837,591,12355,196,43,86,17,25,19,21,25,10,32,473,23016,7092,11539,2085,2068,2999,2532,2230,1698,1684,56938,38,8,11,0,0,0,3,3,0,252,325,31815,8440,12828,2383,2368,3260,2751,2463,1807,2423,70535
LGA23350,0,0,0,0,0,141,3,0,0,0,0,0,0,0,8,153,25,0,0,0,0,0,0,0,0,12,35,4,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,14,51,877,58,56,10,10,5,11,10,0,59,1089,124,12,33,4,8,4,12,3,4,13,224,6,0,0,0,0,0,0,0,0,6,12,3,0,3,0,0,0,0,0,0,0,3,132,16,36,4,8,4,12,5,5,23,245,3,0,0,0,0,0,0,0,0,23,27,1012,72,92,17,14,11,17,9,5,108,1362
LGA23430,0,0,0,20,38,3589,78,60,11,8,7,3,5,5,134,3914,524,8,0,0,0,0,0,0,0,39,568,313,0,3,0,0,0,0,0,0,12,329,347,12,3,0,0,0,0,0,0,27,390,3,0,0,0,0,0,0,0,0,0,7,661,12,8,0,0,0,0,0,0,41,730,17,0,0,0,0,0,0,0,0,28,43,1199,24,13,0,0,0,0,0,0,107,1341,11738,2036,2142,493,503,415,357,293,199,443,18613,11008,2576,3934,679,840,890,983,1003,546,543,22998,2959,282,442,111,143,208,228,347,235,308,5261,115,22,24,3,4,5,9,4,0,10,200,14084,2879,4398,794,984,1098,1214,1360,780,863,28459,63,0,3,0,4,0,0,0,0,99,178,25895,4909,6547,1288,1498,1520,1568,1654,981,1404,47248
LGA23670,0,0,0,9,18,3034,70,74,19,5,9,12,6,3,114,3353,555,8,0,0,3,0,0,0,0,58,628,425,0,3,0,0,0,0,0,0,43,483,195,11,0,0,0,0,0,0,0,21,231,3,0,0,0,0,0,0,0,0,20,20,629,14,6,0,0,0,0,0,0,86,732,9,0,0,0,0,0,0,0,0,7,20,1191,22,3,0,4,0,3,0,0,151,1374,12803,1443,1336,226,253,173,183,140,86,462,17110,11106,3957,5331,832,800,640,636,531,253,460,24557,1873,417,781,184,187,241,260,238,148,253,4597,67,21,20,0,5,5,4,3,8,36,163,13048,4389,6134,1022,997,888,907,769,408,758,29315,40,4,0,0,0,0,0,3,0,30,84,25893,5841,7473,1250,1250,1060,1095,910,496,1247,46505
LGA23810,0,0,0,3,16,1272,9,6,0,0,0,0,0,0,53,1347,308,0,3,0,0,0,0,0,0,18,334,159,0,0,0,0,0,0,0,0,7,166,52,0,0,0,0,0,0,0,0,4,56,3,0,0,0,0,0,0,0,0,0,3,216,3,0,0,0,0,0,0,0,6,231,3,0,0,0,0,0,0,0,0,0,0,529,3,3,0,0,0,0,0,0,29,566,4603,228,280,65,37,44,52,45,28,205,5588,1513,257,592,62,104,95,100,104,45,92,2957,266,35,62,12,12,12,26,18,14,27,487,12,0,3,0,0,0,0,0,0,6,28,1792,289,660,69,110,107,121,122,65,126,3476,29,0,0,0,0,0,0,0,0,14,43,6427,523,944,134,149,152,173,165,91,346,9111
LGA23940,0,0,0,0,3,66,0,0,0,0,0,0,0,0,3,67,11,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21,365,12,16,3,0,7,5,3,4,19,437,56,10,38,8,5,12,5,4,9,5,157,14,0,4,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,72,10,42,8,11,12,5,9,9,5,172,3,0,0,0,0,0,0,0,0,0,0,430,19,61,11,13,25,13,9,12,32,616
LGA24130,0,0,0,0,0,467,4,3,0,0,0,0,0,0,39,510,102,5,0,0,0,0,0,0,0,20,125,29,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,142,5,0,0,0,0,0,0,0,18,170,3324,405,356,67,53,42,39,21,9,168,4488,652,87,142,22,21,42,28,25,12,38,1065,46,8,3,5,3,8,21,15,6,17,150,8,0,0,0,0,0,4,0,0,0,17,712,101,150,23,24,49,48,41,18,58,1228,4,0,3,0,0,0,0,0,0,0,12,4042,504,506,95,82,97,89,62,24,226,5735
LGA24210,0,0,0,17,19,4057,71,89,11,15,13,12,4,3,167,4442,374,3,0,3,0,0,0,0,0,29,405,557,4,4,0,0,0,0,0,0,30,605,516,19,7,8,0,3,0,3,3,50,601,12,0,0,0,0,0,0,0,0,4,16,1084,23,12,6,0,3,3,3,3,79,1219,3,0,0,0,0,0,0,0,0,47,55,1464,26,9,10,0,3,3,3,3,158,1673,7295,1156,1085,176,220,140,124,181,69,263,10715,14830,3486,4116,780,913,960,926,870,440,601,27921,3524,560,880,233,280,304,433,432,295,481,7416,121,22,20,4,3,4,5,7,3,12,201,18475,4068,5012,1019,1199,1263,1361,1303,739,1098,35544,24,4,7,4,0,0,0,0,0,85,120,25800,5230,6106,1198,1422,1410,1492,1486,806,1444,46376
LGA24250,0,0,0,0,0,102,0,0,0,0,0,0,0,0,3,108,25,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,42,579,36,39,9,3,3,3,7,10,27,701,105,11,26,11,5,4,5,26,5,12,205,4,3,0,0,3,0,5,10,0,13,34,3,0,0,0,0,0,0,0,0,0,5,111,14,23,11,6,4,17,28,11,18,248,0,0,0,0,0,0,0,0,0,0,0,681,50,66,13,14,4,20,35,16,49,948
LGA24330,0,0,0,3,9,1529,37,14,3,0,0,3,4,0,72,1666,94,4,0,0,0,0,0,0,0,5,104,180,3,0,0,0,0,0,0,0,9,197,337,0,3,0,0,0,0,0,0,20,361,6,0,0,0,0,0,0,0,0,0,6,519,4,3,0,0,0,0,0,0,34,560,0,0,0,0,0,0,0,0,0,0,0,616,10,5,0,0,0,0,0,0,33,668,3624,930,1056,265,308,266,285,241,137,221,7332,7259,1634,3481,644,927,1182,1322,1233,727,496,18901,3697,363,520,122,226,311,278,354,248,298,6419,65,14,19,3,9,8,4,16,8,14,162,11018,2014,4024,767,1162,1500,1608,1596,983,808,25485,16,4,3,4,7,3,0,3,5,134,169,14654,2946,5081,1033,1469,1772,1895,1842,1125,1163,32989
LGA24410,0,0,0,0,17,1712,38,34,8,4,6,5,8,0,66,1883,475,10,4,0,0,0,0,0,0,39,519,148,0,0,0,0,0,0,0,0,16,162,66,4,0,0,0,0,0,3,0,17,92,3,0,0,0,0,0,0,0,0,3,5,223,3,0,0,0,0,0,3,0,26,258,5,0,0,0,0,0,0,0,0,5,10,700,15,5,0,0,0,0,3,0,71,789,8466,912,856,184,154,128,111,131,54,290,11288,3610,1662,2995,442,517,506,504,434,196,202,11062,581,196,613,162,250,299,270,327,237,175,3112,29,6,21,0,4,4,8,4,5,8,83,4220,1860,3624,605,770,808,776,769,432,388,14255,27,4,3,0,0,0,0,0,0,23,53,12717,2775,4484,788,923,937,893,904,486,696,25600
LGA24600,0,0,0,0,8,823,45,25,3,0,3,4,0,5,37,949,100,5,3,0,0,3,0,0,0,8,116,106,3,3,0,3,0,0,0,0,7,123,175,3,3,0,0,0,0,0,0,3,188,3,0,0,0,0,0,0,0,0,0,4,282,5,7,0,3,0,0,0,0,13,313,0,0,0,0,0,0,0,0,0,4,4,385,8,7,0,4,3,0,0,0,22,440,5416,1625,2159,713,855,890,1155,1597,1226,607,16248,5116,3645,7536,2491,3488,4407,6515,8831,6289,2247,50556,1136,412,653,237,392,612,1000,1576,1402,1071,8491,48,23,48,14,12,34,45,41,36,29,325,6298,4074,8232,2741,3897,5051,7552,10454,7732,3348,59378,15,4,7,0,0,3,3,6,8,124,170,11733,5701,10405,3452,4754,5948,8712,12056,8963,4076,75797
LGA24650,0,0,0,3,7,1276,48,49,4,10,9,3,3,3,66,1470,162,0,4,0,0,0,0,0,0,16,183,93,3,3,0,0,0,0,0,0,8,105,85,4,3,0,0,0,0,0,0,8,106,3,0,0,0,0,0,0,0,0,0,3,185,10,7,0,0,0,0,0,0,18,218,0,0,0,0,0,0,0,0,0,0,0,350,9,10,0,0,0,0,0,0,30,400,7039,1214,1543,283,304,262,227,171,69,400,11512,10664,4111,5511,764,735,765,712,607,367,527,24765,1762,353,531,118,103,160,167,188,174,194,3749,89,34,53,9,13,3,3,11,5,18,235,12523,4496,6090,886,846,934,883,798,554,741,28747,31,10,6,0,0,0,0,4,4,304,352,19585,5717,7639,1176,1144,1194,1115,970,626,1447,40613
LGA24780,0,0,0,0,8,497,12,0,0,0,0,0,0,0,27,540,61,0,0,0,0,0,0,0,0,8,70,74,0,0,0,0,0,0,0,0,19,89,41,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,20,134,0,0,0,0,0,0,0,0,0,0,3,176,0,0,0,0,0,0,0,0,26,199,1473,175,176,41,42,51,26,50,33,101,2172,1049,237,476,94,111,140,120,133,94,148,2590,341,52,103,44,57,38,41,86,94,123,975,14,0,7,0,0,0,0,0,3,7,30,1395,291,579,144,169,175,159,224,190,283,3600,14,0,3,0,0,0,0,0,8,10,37,2885,464,759,183,212,220,186,275,223,399,5810
LGA24850,0,0,0,0,8,336,0,0,0,0,0,0,0,0,9,356,62,0,0,0,0,0,0,0,0,4,62,34,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,3,3,101,0,0,0,0,0,0,0,0,8,105,2038,190,252,53,55,26,26,38,10,116,2811,669,137,373,76,50,54,40,74,51,89,1617,63,17,25,7,7,7,6,36,34,57,254,4,0,3,0,0,0,0,0,0,0,19,743,153,395,82,61,58,43,116,84,150,1882,13,0,0,0,0,0,0,0,0,12,21,2793,344,646,135,114,80,75,149,99,276,4718
LGA24900,0,0,0,0,5,313,0,3,0,0,0,0,0,0,16,336,50,0,0,0,0,0,0,0,0,8,62,8,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,12,79,1245,134,142,28,22,33,15,24,13,74,1737,305,52,186,21,28,45,30,46,33,31,779,48,5,14,4,17,8,13,13,13,10,138,3,0,3,0,0,0,0,0,0,0,9,357,56,203,27,44,54,40,62,41,38,928,3,0,0,0,0,0,0,0,0,4,10,1605,196,341,57,66,85,62,85,58,114,2673
LGA24970,0,0,0,7,14,5262,146,119,40,16,20,13,20,7,179,5821,588,4,4,0,0,0,0,0,0,43,646,615,6,3,0,4,0,0,0,0,41,674,639,19,13,4,0,3,0,0,0,50,734,10,0,0,0,0,0,0,0,0,22,36,1272,23,20,4,4,5,0,0,0,110,1443,13,0,0,0,0,0,0,0,0,3,19,1874,31,19,4,4,5,6,3,3,158,2105,10748,1843,1817,395,448,431,407,460,384,461,17398,20379,7432,10936,2182,2591,3050,3884,4312,2721,1406,58885,5047,875,1496,443,500,710,864,1174,854,850,12815,141,34,57,11,11,8,14,25,23,57,382,25566,8343,12490,2630,3097,3770,4766,5504,3598,2315,72082,43,5,3,0,0,5,0,3,0,50,116,36362,10198,14308,3030,3549,4210,5172,5964,3978,2822,89590
LGA25060,0,0,0,5,11,3349,19,24,3,0,0,3,3,3,119,3525,214,0,0,0,0,0,0,0,0,10,225,517,0,0,0,0,0,0,0,0,21,542,594,5,6,0,0,0,0,0,0,37,646,10,0,0,0,0,0,0,0,0,4,18,1124,5,7,0,0,0,0,0,0,59,1202,3,0,0,0,0,0,0,0,0,13,13,1339,5,5,0,0,0,0,0,0,86,1439,5859,839,955,286,260,239,221,245,150,283,9350,9512,1492,2480,493,638,796,831,844,489,519,18099,3041,206,259,69,98,154,122,171,197,244,4551,103,11,17,3,4,10,7,4,4,29,203,12659,1709,2753,571,740,967,954,1022,688,792,22855,23,4,3,0,0,0,0,0,0,38,69,18541,2555,3707,852,1006,1205,1180,1270,837,1109,32265
LGA25150,0,0,0,0,0,297,0,0,3,0,0,0,0,0,14,326,57,0,0,0,0,0,0,0,0,19,76,19,0,0,0,0,0,0,0,0,0,22,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,3,3,80,0,0,0,0,0,0,0,0,20,108,2099,206,235,37,33,41,14,14,7,137,2826,525,81,201,15,20,30,37,24,19,27,978,57,3,11,0,3,4,5,10,8,3,97,0,0,0,0,0,0,0,0,0,3,9,581,83,210,19,23,28,43,34,23,31,1086,3,0,0,0,0,0,0,0,0,4,13,2690,295,445,55,58,73,54,49,33,170,3921
