SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED20106,8743,15890,2981,3435,5114,3256,542,1368,723,42057
SED20207,5691,9882,5331,4226,6560,4018,3191,3486,788,43172
SED20302,3801,4420,5214,3524,3740,3397,2388,3706,507,30684
SED20401,3361,6231,5177,3335,4587,2993,1752,2711,424,30579
SED20508,3042,5329,4135,3282,3176,2439,1219,2278,411,25318
SED20604,4148,4986,4669,3602,3478,2723,2133,3445,494,29677
SED20704,3437,6142,4011,3553,3664,3067,1653,3096,408,29027
SED20804,2835,5125,3777,3016,2908,2473,1487,3445,410,25474
SED20906,4859,8850,2999,2717,4224,2807,784,1448,426,29110
SED21001,4898,11091,2902,2959,4321,3030,723,1719,540,32180
SED21106,6928,11553,1964,2607,3712,2808,345,825,516,31256
SED21203,1542,2953,3482,3033,2552,2218,2797,3178,595,22361
SED21303,5284,15254,3651,4022,5011,3066,944,1923,592,39756
SED21401,4567,7834,2755,2369,3844,3129,692,1568,502,27259
SED21503,3138,6486,3760,3259,4288,3067,1435,2440,443,28315
SED21608,3028,4838,4194,3203,3247,2532,1728,2844,477,26081
SED21706,5209,10580,2484,2834,4054,2970,639,1516,469,30747
SED21805,3905,5562,5422,3595,5071,3488,2389,3087,569,33096
SED21906,5729,12750,2535,3011,4181,2890,565,1362,576,33600
SED22005,3221,7005,4333,3224,4201,3272,2337,3829,615,32039
SED22105,4311,6267,7301,5275,6338,4423,4890,5252,767,44825
SED22201,3452,6264,4528,3182,4427,3071,1280,2306,437,28953
SED22305,1993,3406,5241,2998,3090,2547,3463,4684,657,28081
SED22404,3901,3967,4994,3061,2934,2146,1723,3094,525,26341
SED22501,4685,8603,4036,3141,4790,2828,795,1592,387,30852
SED22607,5403,11398,2976,3352,5045,3061,956,1819,549,34553
SED22704,4533,3654,4250,3134,2955,2232,2162,3740,455,27117
SED22802,3553,4478,5597,3267,4276,3064,1614,2797,440,29075
SED22901,3358,6365,3999,2817,4446,2958,1492,2258,479,28169
SED23007,3993,8797,4153,4179,4795,3562,2828,4406,837,37541
SED23101,3629,7926,2796,2493,3851,2765,828,1864,411,26563
SED23205,2927,5021,4343,3292,3351,3020,1670,2651,445,26724
SED23308,3304,7187,4070,3826,3559,2913,1511,2819,428,29625
SED23402,4338,5843,5885,3440,5090,3575,2097,3020,468,33748
SED23502,3608,3338,3586,2888,2510,2149,1605,3148,403,23221
SED23602,4420,3554,3616,2513,2399,2102,1563,3046,391,23604
SED23702,3862,4365,7087,4129,4677,3620,2213,3639,551,34140
SED23806,6112,13964,1853,2855,4203,2972,370,1126,494,33955
SED23901,4328,10453,3138,2869,4203,2529,879,1652,449,30489
SED24006,5675,11429,1802,2385,3765,2886,402,1023,542,29903
SED24105,3044,4886,4077,2958,4025,3167,3124,4487,640,30412
SED24207,3235,5513,4605,3675,5077,3415,4285,4558,826,35195
SED24308,2281,3729,4119,3425,3079,2823,2495,3777,557,26280
SED24408,5720,3829,3218,2698,2554,2206,1480,3082,357,25145
SED24504,4071,5873,4233,3070,3394,2080,1327,2417,403,26875
SED24606,5667,11464,1682,2294,3755,2730,331,1005,530,29451
SED24703,7141,21554,3884,6260,5957,4292,786,3077,885,53839
SED24808,3104,4186,5360,4126,5038,3390,4002,3521,650,33372
SED24904,4459,4007,3388,2862,2805,2757,1886,3618,503,26279
SED25003,3255,5362,4869,3664,5133,3952,2821,3316,556,32927
SED25102,4072,6595,5061,3313,3882,2466,1267,2385,445,29478
SED25205,4687,8097,4156,3200,4776,3238,1133,1785,469,31541
SED25302,4555,6500,3949,3021,3580,3008,753,1894,391,27652
SED25402,2622,4137,4666,3065,3643,2744,2095,3024,502,26503
SED25501,4026,8932,2493,2306,3812,2707,777,1697,489,27241
SED25605,3255,6244,3322,2581,3870,2707,1902,2805,551,27233
SED25704,5074,3579,3749,2859,2705,2663,1826,3843,397,26699
SED25802,4113,4462,4951,3159,3331,2474,2084,3673,521,28768
SED25905,3034,4780,5146,3235,4629,3400,2722,3361,588,30891
SED26005,3796,5755,6048,4133,5629,3935,3612,4366,693,37964
SED26102,3240,4177,4403,2742,2607,2590,937,2367,399,23464
SED26207,3919,6468,3548,2562,4646,3019,1371,1817,555,27902
SED26303,5186,13570,3012,3373,4166,2618,810,1591,503,34822
SED26406,4442,10651,3503,3150,4615,3345,1052,2134,504,33396
SED26504,3947,3743,3505,2797,2517,2328,1713,3373,414,24335
SED26603,4134,9370,4553,3498,5032,3148,1771,2970,585,35060
SED26708,5761,3752,3923,2849,2506,2208,1859,4100,503,27478
SED26806,7856,17561,3060,3721,5337,3711,466,1320,737,43777
SED26903,3038,7224,4043,3368,4157,2868,1723,3148,558,30117
SED27003,7296,18028,3052,3731,4642,3091,625,1491,739,42686
SED27101,3891,8745,3849,3076,4448,2823,1105,2129,427,30488
