SED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SED20106,85,66,58,56,79,40,12,716,3,105,122,61,10,13,25,62,20,55,78,63,65,45,25,765,0,5,0,0,8,33,64,39,17,21,22,49,51,47,41,393,0,0,0,0,6,28,89,164,34,40,44,59,56,70,51,641,0,0,4,10,10,7,8,5,0,3,0,0,5,0,0,59,0,3,4,41,90,140,265,279,60,42,56,77,89,57,44,1239,0,38,21,7,6,0,0,0,0,0,0,0,0,0,4,81,0,28,25,13,15,17,22,23,6,6,11,3,25,7,3,217,3,5,24,102,209,218,364,370,147,172,143,149,167,109,52,2231,0,0,0,0,0,4,14,6,3,9,4,3,14,11,3,71,0,0,0,4,48,88,58,65,14,21,20,21,32,29,20,427,5,15,41,9,77,34,23,11,4,3,0,7,4,3,4,242,0,0,3,12,24,48,102,78,14,39,32,33,33,22,13,447
SED20207,41,41,16,7,10,5,3,363,0,118,253,184,40,15,23,27,6,4,19,9,6,3,31,736,0,0,0,0,3,9,48,52,3,5,8,3,3,0,3,153,0,0,0,3,4,29,95,229,36,26,23,18,28,25,19,529,0,3,4,69,65,58,91,39,8,8,14,17,14,4,14,393,0,3,4,28,60,121,278,293,61,77,65,58,52,31,41,1178,3,229,409,196,63,17,9,7,3,0,0,0,0,0,28,979,0,30,29,11,8,6,22,19,3,6,5,0,4,3,9,156,0,4,15,46,175,252,585,607,210,249,262,187,183,81,105,2963,0,0,0,0,0,26,98,93,37,59,25,70,64,29,14,510,0,0,0,12,184,428,329,347,69,95,96,85,92,51,34,1820,0,13,20,13,79,74,31,12,6,3,5,7,7,0,7,280,0,0,0,6,14,45,149,151,21,27,32,18,33,14,8,523
SED20302,7,5,0,12,3,3,3,178,6,148,137,57,13,4,3,5,3,0,0,0,0,0,24,407,0,0,0,0,0,3,11,10,0,7,0,0,0,0,6,45,0,0,0,0,0,3,3,19,0,0,0,0,3,0,3,33,0,0,0,8,6,3,13,12,0,0,0,0,0,0,0,32,0,0,0,6,17,16,36,33,7,11,11,9,3,0,0,154,0,54,37,8,5,3,3,0,0,0,0,0,0,0,8,113,0,192,203,42,39,6,15,0,3,0,0,0,0,0,16,519,4,7,26,98,218,202,272,191,76,66,31,21,29,12,55,1328,0,0,0,0,0,0,23,24,3,8,0,3,9,4,6,77,0,0,0,4,25,71,67,203,21,33,29,20,29,12,9,511,0,3,10,6,24,24,11,4,0,0,0,0,3,0,0,79,0,0,0,4,3,8,5,24,10,0,0,4,4,0,3,64
SED20401,8,7,9,0,3,0,3,165,3,63,82,71,10,3,3,3,3,0,4,7,0,0,11,265,0,0,0,0,3,7,29,9,3,0,0,0,0,0,0,61,0,0,0,0,5,19,49,72,11,7,7,3,3,3,4,178,0,0,0,0,7,8,6,0,0,0,6,0,0,0,3,36,0,0,4,22,54,114,130,134,17,21,19,30,24,6,5,586,0,15,14,10,3,0,0,0,0,0,0,0,0,0,0,41,0,116,151,43,27,8,11,8,0,4,0,0,5,0,7,378,5,0,14,58,151,144,164,93,26,19,9,10,25,7,20,751,0,0,0,0,8,4,14,15,4,5,0,8,5,0,0,76,0,0,0,3,38,103,101,100,33,29,26,11,24,11,13,487,0,13,28,17,54,46,19,9,0,0,4,0,0,0,7,195,0,0,4,11,13,22,47,41,3,9,5,6,7,0,4,172
SED20508,0,0,3,3,0,0,8,161,0,81,128,57,9,3,4,5,0,3,3,0,0,0,15,306,0,0,3,3,4,3,4,12,0,0,0,0,0,0,4,36,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,14,8,14,13,0,0,0,0,0,0,3,57,0,72,65,23,7,0,0,3,0,0,4,0,0,0,9,180,0,174,108,30,12,13,8,13,0,3,0,0,4,0,10,368,3,8,30,85,128,103,106,73,27,16,13,16,8,0,20,630,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,16,0,0,0,0,10,26,31,29,0,0,6,13,7,0,3,130,0,18,4,0,13,10,3,0,0,0,0,0,0,0,3,50,0,0,0,3,11,3,7,3,0,0,0,0,0,0,0,34
SED20604,0,3,0,0,0,0,0,67,0,42,53,18,0,0,0,3,0,0,0,0,4,0,9,142,0,0,0,0,3,3,6,0,0,3,3,0,0,0,0,20,0,0,0,0,0,0,3,3,0,4,3,0,0,0,0,17,0,0,0,6,0,0,3,0,0,0,0,0,0,0,4,15,0,0,5,3,8,3,3,4,0,0,0,8,4,0,5,59,0,11,7,3,0,0,0,0,0,0,0,0,0,0,3,21,0,92,100,27,11,7,11,0,0,0,0,3,0,0,12,263,0,8,19,67,120,105,96,61,19,4,3,6,12,3,28,537,0,0,0,0,0,0,0,16,3,8,0,0,5,5,0,35,0,0,0,0,25,37,28,64,13,44,25,5,9,7,13,274,0,11,7,3,11,3,3,4,0,0,0,0,0,0,0,43,0,0,0,3,0,6,7,0,0,0,0,0,0,0,5,25
SED20704,0,3,0,3,0,0,0,71,0,23,43,18,6,0,0,3,0,0,0,0,0,0,6,99,0,0,0,0,0,0,3,3,4,0,0,0,0,0,4,21,0,0,0,0,0,3,12,9,7,0,4,0,3,0,0,36,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,0,0,3,7,19,11,16,19,0,7,0,3,3,0,4,90,0,9,8,7,0,0,0,0,0,0,0,0,0,0,4,26,0,49,25,11,10,0,0,3,0,3,3,0,0,0,4,114,0,3,4,39,87,62,96,54,11,5,6,0,8,0,15,410,0,0,0,0,0,0,11,24,0,3,5,0,3,0,0,48,0,0,0,5,15,21,21,34,13,4,15,15,19,11,13,174,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,6,3,3,6,3,0,0,3,0,0,3,0,31
SED20804,0,7,0,0,0,0,3,78,3,18,21,10,0,3,0,0,0,0,0,0,0,0,13,68,0,0,0,0,3,5,9,10,0,3,0,0,0,0,0,33,0,0,0,0,0,0,3,3,3,0,0,3,0,3,0,14,0,0,0,0,4,3,0,0,0,0,0,0,0,0,17,26,0,0,7,12,12,17,16,9,3,0,0,3,3,5,8,93,0,9,15,6,3,0,0,0,0,0,0,0,0,0,0,32,0,64,68,16,11,5,5,5,0,3,0,0,0,0,15,192,3,4,15,53,109,88,76,52,10,9,8,0,3,0,43,483,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,3,14,44,44,52,15,5,25,13,16,3,10,231,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,3,3,3,10,3,0,0,0,0,0,0,3,27
SED20906,17,20,8,8,4,3,0,258,10,182,252,109,28,9,8,15,9,3,3,11,7,3,16,657,0,0,3,11,12,36,67,49,9,15,17,37,18,9,4,291,0,0,0,0,14,20,82,96,38,9,30,19,17,7,6,329,0,6,11,36,37,22,6,0,0,0,0,0,0,0,4,123,3,3,4,37,66,82,85,60,12,12,3,14,19,10,7,422,0,14,19,10,4,0,0,0,0,0,0,0,0,0,4,46,0,18,23,12,13,10,21,8,3,0,4,9,3,0,0,109,3,10,22,56,135,122,247,145,51,53,27,16,26,11,23,958,0,0,0,0,0,3,0,3,3,8,3,0,0,0,0,30,0,0,0,3,45,71,33,32,7,16,19,9,18,8,12,279,13,49,62,24,117,70,27,8,6,0,0,3,0,0,14,402,0,0,8,18,18,23,50,29,3,10,13,19,14,9,8,226
SED21001,3,12,3,0,0,0,7,142,4,152,216,96,14,13,9,6,0,0,7,7,0,0,20,537,0,0,0,0,4,17,68,33,7,14,8,3,7,5,12,189,0,0,0,7,11,36,149,163,27,41,32,32,29,26,17,566,0,3,9,8,0,11,0,0,0,0,0,0,0,0,0,36,4,0,20,91,242,396,314,257,29,66,88,125,168,97,106,1998,0,10,9,7,0,3,0,0,0,0,0,0,0,0,0,46,0,60,46,8,8,4,15,4,6,3,0,0,0,0,3,161,3,4,32,79,113,134,215,123,34,43,28,14,15,13,22,862,0,0,3,0,0,7,15,24,6,16,16,15,18,7,8,135,0,0,0,9,27,63,48,92,16,28,41,39,40,16,3,415,0,21,19,15,22,14,6,4,0,4,8,3,0,0,3,124,0,0,7,27,43,73,111,79,9,8,12,12,22,9,8,425
