POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3000,817,32,4,3,0,0,4,860
POA3002,249,13,0,0,0,0,0,262
POA3003,246,8,8,0,0,0,0,263
POA3004,392,24,10,0,0,0,0,428
POA3005,24,4,0,0,0,0,0,29
POA3006,647,36,10,3,0,0,0,701
POA3008,581,24,4,4,0,0,0,619
POA3010,7,0,0,0,0,0,0,7
POA3011,1671,74,30,19,0,0,11,1799
POA3012,2570,138,50,26,4,3,10,2796
POA3013,1751,79,20,6,0,0,6,1867
POA3015,2201,110,45,9,0,0,3,2372
POA3016,1994,90,43,10,0,0,6,2139
POA3018,1325,74,38,13,0,0,3,1453
POA3019,859,45,19,32,0,0,7,960
POA3020,4495,241,150,103,11,4,22,5025
POA3021,5386,330,204,156,13,9,44,6149
POA3022,262,21,14,3,0,0,0,304
POA3023,8524,452,282,178,8,10,46,9504
POA3024,2934,206,153,49,5,9,12,3369
POA3025,1259,61,27,20,0,0,4,1367
POA3026,0,0,0,0,0,0,0,0
POA3027,1043,41,23,18,0,0,0,1130
POA3028,3392,201,110,42,9,6,11,3762
POA3029,12852,640,396,224,26,14,49,14193
POA3030,13611,763,486,168,19,15,35,15100
POA3031,1439,72,24,6,0,0,7,1542
POA3032,2978,177,45,28,4,0,3,3236
POA3033,1818,96,42,13,3,0,5,1981
POA3034,1389,53,33,18,0,0,0,1501
POA3036,782,37,14,6,0,0,0,841
POA3037,7569,368,208,94,3,8,12,8253
POA3038,3945,158,56,40,3,3,14,4218
POA3039,1634,62,19,11,0,0,3,1730
POA3040,3236,135,50,13,0,0,3,3434
POA3041,1646,60,36,5,0,0,0,1750
POA3042,1804,108,39,16,0,3,3,1969
POA3043,1930,102,62,23,0,3,8,2122
POA3044,3294,135,55,11,0,0,3,3502
POA3045,0,0,0,0,0,0,0,0
POA3046,3670,164,82,41,3,3,7,3972
POA3047,2148,86,63,41,4,0,7,2356
POA3048,2210,106,39,43,3,0,10,2413
POA3049,1110,63,37,10,0,0,4,1227
POA3050,0,0,0,0,0,0,0,0
POA3051,714,32,24,4,0,0,4,778
POA3052,278,13,0,0,0,0,0,301
POA3053,452,28,15,5,0,0,4,505
POA3054,612,41,3,0,0,0,0,658
POA3055,1224,54,13,8,4,0,0,1300
POA3056,1717,86,22,15,0,0,3,1846
POA3057,794,45,15,3,0,0,4,861
POA3058,3698,151,75,27,3,0,8,3962
POA3059,2478,92,57,19,0,0,6,2657
POA3060,1655,48,37,27,0,0,0,1765
POA3061,591,21,10,17,0,0,0,637
POA3062,0,0,0,0,0,0,0,0
POA3063,86,3,0,0,0,0,0,92
POA3064,10807,513,301,184,3,10,34,11851
POA3065,494,33,11,0,0,0,0,546
POA3066,318,38,9,7,0,0,0,375
POA3067,453,31,0,3,0,0,0,489
POA3068,1508,93,21,10,0,0,0,1642
POA3070,2494,130,37,19,0,0,10,2690
POA3071,1830,90,33,14,0,0,8,1967
POA3072,3271,149,64,39,4,0,8,3545
POA3073,5086,230,113,70,4,3,9,5519
POA3074,2342,87,64,54,4,0,9,2555
POA3075,2640,94,54,53,3,0,8,2846
POA3076,4377,189,120,90,5,0,15,4797
POA3078,1249,49,19,3,0,0,0,1318
POA3079,2076,90,29,8,0,0,3,2202
POA3081,1139,68,46,13,3,0,7,1276
POA3082,4077,202,91,41,5,3,6,4428
POA3083,3433,159,71,42,5,0,10,3725
POA3084,3326,127,54,26,3,0,12,3551
POA3085,1746,91,31,13,0,0,3,1887
POA3086,7,0,0,0,0,0,0,7
POA3087,1083,60,30,8,0,0,3,1186
POA3088,3505,187,92,14,4,0,3,3809
POA3089,1691,108,56,15,0,0,3,1873
POA3090,381,20,14,3,0,0,0,422
POA3091,240,3,0,0,0,0,0,250
POA3093,452,23,9,5,0,0,0,496
POA3094,1098,58,17,8,0,0,4,1182
POA3095,4107,235,75,26,0,0,7,4445
POA3096,266,7,8,3,0,0,0,288
