POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3000,8535,8913,17446,1320,1451,2770,191,160,352,2091,2243,4340,125,127,247,54,55,112,88,84,170,20,17,34,7,16,23,27,41,68,0,3,3,2599,2747,5351,3281,3864,7147,53,61,112,7254,8127,15383,2596,2366,4967,18385,19407,37796
POA3002,1511,1662,3166,50,52,95,22,19,42,306,358,661,17,16,35,8,16,16,14,7,17,3,4,6,3,0,3,6,13,18,0,0,0,377,430,805,91,98,186,0,0,6,521,575,1096,297,333,633,2324,2574,4899
POA3003,1460,1388,2844,73,80,153,21,24,42,438,399,843,26,29,59,6,5,17,7,15,23,0,5,6,3,3,5,4,4,10,0,0,0,511,483,993,277,266,546,5,5,11,866,838,1704,639,283,924,2966,2507,5477
POA3004,2729,2850,5578,99,108,207,59,54,110,571,663,1230,45,39,90,18,17,34,22,24,44,5,5,17,0,3,7,9,9,20,0,0,0,731,816,1544,299,306,599,9,3,12,1134,1232,2365,631,661,1289,4486,4743,9226
POA3005,118,126,248,0,4,3,5,0,3,25,32,57,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,71,18,27,47,0,0,0,56,68,121,88,54,148,270,249,514
POA3006,4738,4647,9390,394,371,764,147,131,276,1393,1419,2810,103,99,209,50,34,83,73,76,154,19,25,41,17,11,28,27,23,49,0,0,0,1822,1827,3652,987,1068,2059,18,20,35,3222,3287,6503,1414,1318,2727,9370,9249,18621
POA3008,2798,2577,5373,257,224,484,58,63,119,682,673,1359,48,41,90,20,15,31,20,23,43,4,3,8,4,0,4,11,8,18,0,0,0,852,828,1678,698,686,1381,13,18,25,1813,1758,3574,703,666,1366,5319,4992,10312
POA3010,362,431,794,9,0,8,27,48,74,129,171,299,17,23,36,9,12,22,28,20,52,8,8,14,7,7,7,9,6,17,0,0,0,227,306,531,70,94,161,0,0,0,307,399,710,52,41,94,724,875,1593
POA3011,7344,6910,14247,343,305,650,74,70,145,1393,1300,2695,45,50,95,26,22,46,30,33,65,9,12,25,9,11,23,14,10,24,0,0,0,1610,1507,3117,443,398,841,22,30,52,2413,2244,4653,1179,1071,2253,10938,10219,21159
POA3012,9558,9491,19049,317,251,568,46,61,106,1450,1385,2837,44,44,93,31,37,64,30,22,51,9,3,15,9,6,12,4,5,13,0,0,0,1622,1559,3183,375,361,733,28,15,47,2343,2185,4529,1207,1117,2324,13107,12792,25904
