POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3000,65,329,49,29,11,905,216,57,465,71,56,25,883,47,9,154,45,22,8,279,34,14,112,75,71,15,318,100,10,247,89,43,48,544,2792,440,6459,1495,965,374,12538
POA3002,26,105,9,0,3,262,118,43,208,29,17,11,418,15,8,37,12,9,0,78,10,0,23,9,12,0,55,21,5,35,19,3,11,93,589,165,1285,256,167,73,2540
POA3003,15,92,13,3,0,237,64,22,104,31,23,4,239,12,5,31,10,12,3,69,8,3,24,19,9,3,64,6,3,31,12,17,12,80,535,136,1201,333,244,54,2498
POA3004,38,114,30,14,3,340,125,54,256,52,34,25,541,10,5,56,22,12,3,108,13,3,26,13,23,3,85,41,5,92,33,23,16,213,938,237,2050,563,485,140,4414
POA3005,0,3,3,0,0,11,0,0,3,0,0,0,9,0,0,3,3,3,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,10,44,7,80,32,30,3,203
POA3006,61,235,42,26,12,603,178,55,367,61,43,16,715,58,14,176,91,75,4,419,35,9,78,39,50,8,222,52,6,157,46,32,30,318,1941,416,4239,1067,885,218,8758
POA3008,22,95,24,14,8,259,58,28,150,37,19,10,305,12,0,40,11,10,4,84,13,3,30,16,35,0,96,20,8,76,20,27,16,160,931,192,2280,557,468,171,4590
POA3010,8,42,3,10,0,102,4,0,4,0,0,0,8,0,0,3,0,6,0,8,3,0,0,0,0,0,5,0,0,0,0,0,0,3,67,10,80,3,33,3,198
POA3011,185,424,75,56,13,1057,225,106,475,140,99,15,1062,40,18,134,51,42,3,289,30,16,87,47,80,4,259,43,14,123,53,52,44,326,1519,609,3714,1224,1213,230,8513
POA3012,178,468,91,85,10,1093,186,118,524,206,180,32,1242,26,27,107,52,69,3,283,32,9,82,62,111,10,304,37,9,133,75,90,64,402,1358,612,3872,1607,1887,281,9623
POA3013,134,327,69,36,6,768,128,78,356,94,80,23,760,19,11,76,27,38,5,169,22,11,57,34,64,3,188,20,3,66,24,47,15,165,853,490,2774,872,1098,147,6221
POA3015,137,320,82,64,13,831,172,103,361,104,89,24,847,15,11,78,24,40,8,176,13,15,50,45,91,6,215,22,6,79,37,59,17,226,969,509,2841,1054,1492,195,7062
POA3016,129,323,62,49,10,793,150,81,313,100,65,22,730,20,6,57,28,16,5,130,19,12,45,30,55,6,178,21,10,70,26,45,20,190,973,440,2301,853,977,157,5693
