POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA3000,..,104,3,109,0,106,..,98,0,102,0,102,..,789,18,803,9,817,..,56,3,61,0,61,..,108,0,103,0,103,..,67,7,72,0,72,..,282,9,290,3,294,..,1401,38,1437,12,1441,..,271,22,289,3,290,..,239,124,368,3,370,..,890,489,1379,13,1385,..,26,3,31,0,27,..,10,0,10,0,10,..,85,5,92,0,87,..,32,0,32,0,32,..,68,5,70,0,70,..,3,0,3,0,3,..,19,3,26,0,26,..,123,0,129,0,129,..,1462,38,1506,11,1514,..,133,0,137,0,137,..,262,9,262,3,267,..,1981,44,2030,13,2042,..,604,63,660,4,664,..,315,20,333,5,342,..,761,255,1016,8,1026,..,56,3,63,0,63,..,452,67,514,3,521,..,1236,148,1384,12,1394,..,21109,3971,25080,157,25238,..,50,18,69,4346,4421,8323,21157,3992,25150,4509,37975
POA3002,..,49,7,50,0,50,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,35,0,35,0,35,..,60,3,61,0,67,..,17,4,20,0,20,..,9,3,13,0,13,..,9,0,10,0,10,..,3,0,3,0,3,..,21,0,21,0,19,..,7,0,10,0,10,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,18,0,18,0,18,..,45,0,45,0,45,..,0,0,0,0,0,..,4,7,10,0,10,..,3,0,3,0,3,..,31,5,33,0,31,..,69,8,75,0,73,..,624,70,690,5,695,..,5,0,7,543,556,3708,628,70,697,552,4964
POA3003,..,21,3,20,0,20,..,20,0,17,0,17,..,86,3,90,0,90,..,4,0,4,0,4,..,7,0,7,0,7,..,8,0,8,0,8,..,28,3,31,0,31,..,151,8,155,0,155,..,94,12,102,0,98,..,54,19,69,0,71,..,144,95,233,0,236,..,16,0,16,0,16,..,3,3,6,0,6,..,15,0,15,0,15,..,7,0,7,0,7,..,26,0,26,0,26,..,0,0,0,0,0,..,3,0,6,0,6,..,20,0,20,0,20,..,60,0,57,0,57,..,17,0,17,0,17,..,24,0,24,0,29,..,124,0,119,0,124,..,100,17,110,0,110,..,31,3,33,0,33,..,61,18,81,0,81,..,7,0,7,0,7,..,52,7,58,0,60,..,164,21,184,3,192,..,1824,315,2141,25,2162,..,7,4,10,842,852,2497,1830,321,2147,862,5515
POA3004,..,58,0,58,0,58,..,25,3,21,0,21,..,139,0,146,0,146,..,5,0,6,0,7,..,29,4,34,0,34,..,9,0,9,0,9,..,68,0,70,0,70,..,276,13,287,3,290,..,105,4,109,0,110,..,63,17,82,0,89,..,65,6,74,0,71,..,5,0,5,0,5,..,4,0,4,0,4,..,59,3,57,0,57,..,20,0,20,0,20,..,44,3,50,0,51,..,3,0,3,0,3,..,15,0,15,0,15,..,17,0,17,0,17,..,115,3,119,0,119,..,28,0,26,0,26,..,26,0,26,0,26,..,187,5,188,0,188,..,159,4,166,0,166,..,40,0,43,0,43,..,48,4,51,0,51,..,16,0,16,0,16,..,53,3,57,0,57,..,234,16,252,4,255,..,2606,245,2850,26,2875,..,15,9,17,1141,1163,5269,2618,252,2868,1173,9307
POA3005,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,12,0,12,..,3,0,5,0,5,..,8,0,10,0,10,..,12,4,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,14,0,14,..,157,23,179,0,179,..,0,0,0,139,140,207,157,23,179,139,525
POA3006,..,99,3,104,0,105,..,51,3,54,0,54,..,420,11,437,0,437,..,39,0,43,0,42,..,37,0,41,0,41,..,42,0,42,0,42,..,133,5,137,0,137,..,728,23,752,0,750,..,256,23,272,3,274,..,170,48,217,5,220,..,298,155,451,3,450,..,23,0,25,0,25,..,6,0,6,0,11,..,110,3,112,3,113,..,22,3,25,0,25,..,95,8,109,0,109,..,3,0,3,0,3,..,35,0,40,0,40,..,65,0,68,0,68,..,497,18,513,0,514,..,67,0,63,3,71,..,58,0,58,0,58,..,685,19,702,4,708,..,463,58,517,3,517,..,85,0,88,0,85,..,109,19,132,0,132,..,23,4,30,0,28,..,161,13,178,3,180,..,474,44,522,8,529,..,7526,1039,8565,59,8625,..,27,3,26,2394,2428,7754,7552,1046,8594,2459,18808
POA3008,..,65,0,65,0,71,..,59,5,71,0,67,..,491,28,519,6,527,..,27,0,30,0,30,..,10,0,10,0,10,..,29,0,31,0,31,..,82,9,88,0,91,..,709,42,749,5,752,..,124,9,129,3,132,..,53,28,80,0,83,..,194,111,303,5,305,..,15,0,14,0,14,..,3,0,3,0,3,..,53,5,58,0,58,..,11,3,17,0,17,..,37,0,41,0,40,..,0,0,0,0,0,..,34,0,34,0,34,..,36,0,36,0,36,..,113,10,128,0,128,..,28,0,28,0,28,..,24,0,25,0,25,..,201,10,212,0,212,..,132,9,140,5,146,..,169,9,177,0,178,..,55,14,66,0,66,..,23,3,30,0,30,..,111,8,118,0,118,..,534,66,596,13,613,..,4765,793,5559,54,5607,..,20,8,30,1236,1267,3560,4784,799,5586,1291,10437
POA3010,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,15,0,15,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,27,0,27,0,27,..,19,0,19,0,19,..,7,0,7,0,7,..,14,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,12,0,12,0,12,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,25,0,25,0,25,..,309,4,315,0,312,..,0,0,0,73,76,1204,314,4,318,77,1593
POA3011,..,276,119,395,3,392,..,231,32,263,0,263,..,258,16,274,6,280,..,71,9,73,0,79,..,67,6,71,0,71,..,190,32,214,9,227,..,431,60,490,0,490,..,1243,151,1386,14,1404,..,214,67,274,3,274,..,77,13,84,0,84,..,42,9,54,0,54,..,129,64,187,0,191,..,31,5,33,0,33,..,40,12,47,0,47,..,41,6,44,0,44,..,23,0,24,0,24,..,22,0,23,0,23,..,45,22,69,0,69,..,86,0,86,3,93,..,109,15,130,0,130,..,115,3,114,0,114,..,55,3,60,0,60,..,370,26,391,4,397,..,179,39,219,3,224,..,80,0,80,0,82,..,66,20,82,0,82,..,73,13,78,0,78,..,1457,694,2154,10,2166,..,1047,178,1224,29,1254,..,6802,1823,8619,75,8696,..,41,10,57,1853,1901,10866,6841,1833,8672,1927,21462
POA3012,..,355,119,476,3,478,..,250,39,286,0,291,..,235,24,258,6,260,..,165,14,172,0,172,..,51,0,51,0,51,..,213,25,241,0,238,..,324,23,346,0,346,..,1234,123,1355,6,1361,..,458,126,583,4,589,..,52,8,65,0,65,..,45,16,58,0,58,..,148,52,197,4,204,..,67,11,78,0,78,..,52,13,67,0,67,..,72,16,86,0,86,..,36,0,37,0,37,..,26,0,26,0,26,..,105,25,132,3,136,..,91,5,96,0,96,..,78,6,88,0,88,..,168,8,171,0,171,..,16,0,18,0,18,..,355,17,373,0,373,..,283,52,336,0,336,..,61,9,74,0,74,..,68,17,84,0,89,..,88,17,106,3,108,..,2157,893,3047,18,3065,..,1350,224,1573,29,1600,..,8639,2243,10881,90,10974,..,69,23,89,1679,1772,13555,8708,2260,10971,1776,26298
