SOSR_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SOSR201,845759,218577,194116,4167,3195,1265821,109487,33610,28621,1238,523,173475,23231,7147,7146,331,690,38542,978483,259326,229883,5735,4412,1477840
SOSR203,40102,5403,1490,290,129,47415,7992,2007,586,97,24,10703,1274,271,106,14,19,1681,49368,7684,2189,399,170,59805
SOSR211,71917,8550,1362,177,225,82228,12748,3336,631,68,73,16852,2192,485,118,20,43,2858,86861,12374,2112,255,337,101942
SOSR212,43298,3913,1868,141,116,49339,7856,2015,1164,92,30,11160,1373,311,221,20,41,1961,52524,6236,3250,255,187,62461
SOSR213,66915,5082,1778,243,228,74241,13326,2933,1253,157,43,17709,2200,414,169,19,87,2889,82441,8418,3204,420,354,94837
SOSR214,37084,1780,1108,254,201,40437,9473,989,932,173,67,11642,1416,144,130,25,34,1745,47974,2914,2168,459,304,53821
SOSR215,59505,1683,1162,640,308,63301,14058,1082,1024,346,76,16585,2200,181,161,66,49,2659,75762,2950,2352,1055,435,82548
SOSR221,17368,192,92,298,92,18035,4136,123,101,182,28,4574,657,30,22,37,19,758,22162,343,215,513,135,23363
SOSR222,10607,123,142,140,106,11123,2575,64,81,45,18,2785,419,4,24,12,15,483,13605,191,254,197,146,14393
SOSR231,113564,373,271,992,908,116107,20928,95,130,680,198,22020,3283,13,23,134,121,3571,137775,480,419,1802,1224,141696
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
