SOSR_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOSR201,71,594,2445,4859,1111,485,176,42,16,9807,122795,205205,187999,327720,147276,109346,66432,31973,13615,1212362,53,226,450,2599,378,192,62,5,7,3974,3,21,249,1352,750,718,343,233,27,3705,28,142,605,2206,1312,1007,482,163,50,5986,70,255,281,1465,594,346,162,49,27,3253,21,55,73,1097,707,530,601,163,18,3259,650,2893,17585,26681,7908,6352,3086,1732,602,67496,8,27,104,760,1045,1274,1395,1277,207,6086,51,459,339,1265,749,1162,1213,674,241,6160,516,3180,3368,14947,12291,10430,10245,5577,2059,62606,12,132,363,1797,973,689,326,129,37,4457,38,173,326,1542,480,277,283,107,38,3252,43,199,434,1664,1076,961,2582,1511,452,8919,30,303,368,1158,2202,3648,5613,6238,1662,21212,129,460,1583,3962,1139,1556,678,264,42,9811,1564,4737,10808,53905,6805,4333,2588,1042,321,86101,90,311,1888,3530,614,398,342,152,51,7378,84,772,940,4922,966,486,271,79,22,8551,102,747,1145,3669,1831,895,388,150,39,8962
SOSR203,3,36,97,112,28,8,0,0,0,285,4616,8089,8856,15047,7066,6207,4151,2076,925,57022,0,9,7,25,12,0,0,0,0,48,0,0,17,45,31,44,23,29,3,193,0,0,3,3,3,5,4,0,0,21,3,8,13,29,16,7,7,0,0,86,0,0,0,10,3,7,0,0,0,17,11,52,143,293,62,51,30,8,3,652,0,3,8,48,86,102,128,131,21,542,0,0,7,22,5,8,4,3,0,52,14,100,107,369,374,463,447,260,108,2241,0,0,4,22,7,3,0,0,0,39,0,3,4,29,8,4,6,0,3,62,0,3,15,33,24,37,166,69,32,382,0,0,5,3,20,18,36,45,16,142,0,4,31,21,9,5,8,3,0,86,26,57,274,780,52,16,22,9,0,1239,0,4,22,15,12,5,5,3,0,64,5,34,36,104,30,10,7,4,3,226,13,19,5,50,17,3,0,0,0,113
SOSR211,3,3,18,29,5,3,0,0,0,63,9173,16260,16184,27561,12570,11731,8319,4168,1481,107449,0,18,4,62,16,5,3,0,0,111,0,0,6,27,19,10,14,7,0,76,0,3,0,3,0,0,0,0,0,10,0,6,11,38,27,23,14,9,3,126,0,0,7,22,13,6,17,3,0,67,3,27,172,227,72,30,15,8,0,553,0,0,4,7,30,37,48,54,11,186,0,26,12,27,11,17,16,11,3,129,17,78,93,371,492,541,643,336,99,2665,0,12,15,55,27,11,8,0,3,132,0,0,6,11,7,7,15,3,0,51,3,7,12,26,36,91,207,47,28,452,0,0,0,9,22,23,35,23,6,113,0,8,9,24,12,4,10,3,0,64,35,119,113,1120,121,64,52,14,4,1631,0,3,14,15,11,3,6,3,3,57,0,12,11,38,11,8,0,3,0,81,0,3,3,28,8,3,3,0,0,51
SOSR212,0,57,138,264,110,49,16,0,0,631,5240,9796,9262,15677,7991,7398,5222,2651,1011,64247,0,10,0,18,11,0,0,0,0,46,0,0,3,3,4,0,5,0,0,17,0,3,0,13,3,3,0,0,0,20,3,5,4,13,12,9,4,3,0,55,0,0,0,3,9,3,3,0,0,17,7,16,40,122,37,19,16,11,0,274,0,0,0,8,10,18,20,29,0,86,0,7,5,12,9,7,11,3,0,56,12,47,76,248,308,330,390,208,76,1688,0,3,8,41,12,5,8,4,0,83,0,0,10,13,10,7,3,0,0,44,0,0,3,21,24,27,99,31,14,226,0,0,0,6,10,22,45,61,13,159,0,0,13,44,0,12,3,0,0,68,15,78,80,622,112,60,41,13,8,1030,0,3,7,27,4,8,0,7,0,56,3,18,25,38,8,3,0,0,0,95,3,17,47,114,69,18,6,0,0,276
SOSR213,0,5,32,54,28,12,0,0,0,146,7749,14889,13068,23390,12171,11824,8839,4733,1721,98393,0,4,0,18,6,7,0,0,0,30,0,0,0,6,4,4,5,3,0,26,0,0,0,3,4,0,0,0,0,9,0,9,7,38,22,17,7,4,4,119,0,0,0,6,7,8,5,0,0,27,3,7,24,92,29,27,12,4,0,206,0,0,0,12,21,26,35,33,5,135,0,4,0,17,3,13,19,3,3,61,10,114,103,447,572,648,840,591,201,3532,0,5,8,28,11,9,3,3,0,65,0,6,9,18,14,3,11,4,0,60,3,13,12,33,26,70,241,115,45,553,0,3,3,3,21,32,32,25,5,115,3,4,7,18,7,15,0,6,0,62,12,44,35,458,34,33,37,7,7,661,0,0,9,26,9,3,7,0,0,51,0,10,5,14,9,3,3,0,0,45,0,0,0,0,6,0,0,0,0,13
SOSR214,0,0,0,5,3,0,0,0,0,4,3771,7566,6874,11217,6720,7036,6093,3425,1295,53978,0,0,0,8,0,0,0,0,0,8,0,0,0,4,0,0,0,3,0,5,0,0,4,10,3,3,0,0,0,26,5,10,0,22,6,12,3,0,0,61,0,0,3,5,0,5,3,0,0,12,5,16,154,53,24,23,9,0,0,273,0,0,0,0,18,11,17,25,0,61,0,0,0,4,3,9,16,9,0,50,3,43,44,180,301,359,599,381,126,2040,0,0,6,5,7,7,0,0,0,29,0,3,0,19,6,8,0,4,0,38,0,4,0,18,25,46,125,51,17,292,0,0,0,3,12,24,30,32,4,109,0,3,18,15,11,3,3,3,0,45,8,20,25,269,31,13,15,12,3,398,0,3,3,7,6,0,3,3,0,30,0,0,4,7,3,0,3,0,0,16,0,7,12,21,17,3,4,0,0,56
SOSR215,0,0,0,11,4,0,0,0,0,18,6129,12598,10139,18401,10523,11154,9300,4899,1903,85048,0,3,0,18,3,0,0,0,0,25,0,0,0,3,6,3,6,0,0,17,0,0,3,9,5,4,3,0,0,32,0,10,3,47,20,15,14,9,3,116,0,0,0,9,5,7,6,3,0,22,0,11,38,49,21,17,12,8,0,150,0,0,0,3,17,12,36,23,3,101,0,0,0,13,0,13,13,9,3,55,10,79,96,375,595,713,988,591,185,3622,0,0,0,27,10,8,0,6,0,65,0,0,3,11,4,7,9,7,0,57,0,0,6,18,33,59,181,104,24,436,0,0,0,3,13,19,43,19,3,105,0,3,4,18,5,7,5,0,0,38,3,21,11,278,32,22,25,16,5,412,0,3,7,11,3,0,6,4,6,33,0,0,0,17,0,3,0,0,0,22,0,0,3,9,7,3,0,0,0,14
SOSR221,0,0,0,0,0,0,0,0,0,0,1533,3521,2663,4888,3298,3612,2901,1356,422,24196,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,14,9,6,3,0,0,27,0,0,0,0,0,8,3,0,0,9,0,0,0,7,5,3,3,0,0,14,0,0,0,3,3,9,11,10,0,32,0,0,0,8,3,3,3,0,0,20,3,21,24,96,194,256,391,176,36,1195,0,0,0,0,0,7,0,0,0,5,0,3,0,7,0,3,0,5,0,16,0,0,3,6,16,34,82,43,7,191,0,0,0,3,4,12,16,4,0,42,0,0,0,0,0,7,3,0,0,7,3,3,3,39,14,0,8,3,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR222,0,0,0,0,0,0,0,0,0,0,982,2162,1734,3118,2148,2498,1899,724,239,15503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,9,8,4,3,0,0,26,0,0,0,0,0,0,3,3,0,7,0,3,4,12,0,0,0,0,0,22,0,0,0,0,3,7,0,3,0,17,0,0,0,0,0,0,3,0,0,6,0,12,13,54,125,162,182,90,17,664,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,0,0,16,0,3,3,8,9,17,31,16,9,93,0,0,0,0,0,10,5,0,0,16,0,0,0,0,0,0,0,0,0,4,0,3,0,26,4,3,6,4,0,53,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR231,0,5,4,12,0,0,0,0,0,17,9785,25242,21879,34346,26373,27438,19258,6962,1669,172948,0,0,0,14,3,0,0,0,0,23,0,0,0,14,4,11,8,9,0,38,0,6,0,18,4,3,0,0,0,39,3,14,6,42,46,35,30,5,0,186,0,0,3,13,15,13,7,0,0,59,4,29,49,74,40,26,19,11,3,248,0,0,0,20,41,70,86,56,11,283,0,0,0,11,7,23,31,8,0,91,5,141,171,525,1229,1520,1592,640,147,5966,0,3,6,34,18,19,10,0,0,92,0,3,10,23,14,12,32,10,0,110,0,5,20,63,86,178,401,193,31,978,0,5,3,15,41,84,118,76,20,357,0,5,11,28,12,8,3,0,0,68,10,37,55,439,73,75,54,19,3,763,0,3,12,23,9,3,9,7,3,74,0,0,0,16,6,8,4,0,0,38,0,0,4,38,16,4,0,0,0,63
