SOSR_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOSR201,903,107,0,1013,1004,241,15,27,1295,232,65,298,1588,183,6,1775,31991,4502,518,583,37591,1071,236,1306,38903,2527,56,41482,7195,1420,141,229,8984,327,132,459,9445,3103,34,12575,46,13,0,52,108,0,0,0,109,11,97,218,39234,5932,663,855,46683,1396,374,1767,48449,5640,185,54280,7547,956,83,70,8663,220,43,267,8922,744,12,9677,7364,1404,117,58,8939,202,57,250,9196,714,15,9919,205,46,90,0,343,3,3,4,355,51,0,402,114,16,3,129,266,9,5,17,281,35,6,324,15236,2430,292,262,18214,427,111,537,18753,1541,28,20326,172,44,3,9,232,81,6,85,318,46,0,365,232,67,0,3,301,35,34,68,367,43,0,412,409,111,3,12,530,111,41,153,687,90,3,776,15636,2538,299,271,18748,538,147,688,19440,1629,31,21097,3650,761,95,127,4635,172,61,235,4866,2228,13,7110,12,9,0,16,43,0,0,3,46,5,51,102,19307,3310,393,417
SOSR203,24,0,0,21,24,7,0,0,36,6,3,10,47,3,0,48,875,124,16,17,1025,18,0,23,1047,69,3,1119,150,26,0,3,181,7,0,9,196,66,0,258,0,0,0,0,0,0,0,0,0,0,3,7,1027,148,20,18,1211,24,9,31,1242,127,5,1378,154,13,3,0,168,3,0,4,174,19,0,188,203,34,4,0,235,0,0,0,235,16,0,255,9,0,5,4,19,0,0,0,19,0,0,23,3,0,0,3,7,0,0,0,7,0,0,7,366,52,17,11,436,3,0,4,443,38,0,480,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,4,0,4,6,0,0,6,7,0,0,0,7,4,0,4,16,0,0,16,375,52,17,11,448,7,0,7,456,38,0,496,64,13,7,0,79,5,0,3,86,36,0,128,0,0,0,0,0,0,0,0,0,0,0,3,438,64,18,13
SOSR211,21,0,0,21,26,0,0,4,25,8,4,9,39,4,0,47,1134,150,17,20,1317,34,5,36,1357,79,3,1437,199,41,5,10,248,14,6,14,270,106,0,379,3,0,0,0,3,0,0,0,4,0,6,8,1330,191,25,27,1569,47,12,51,1623,190,6,1821,174,28,7,0,204,3,3,6,209,18,3,228,174,43,7,0,229,3,0,5,227,18,0,248,8,0,3,0,15,0,0,0,15,0,0,16,0,0,0,3,3,0,0,0,3,3,0,7,357,70,11,6,445,10,3,13,456,35,3,495,5,0,0,0,7,0,0,0,5,0,0,6,6,0,0,0,10,0,3,3,11,0,0,11,13,0,0,0,11,0,3,0,15,0,0,17,374,71,11,6,460,10,4,15,475,36,3,513,54,13,3,4,77,6,3,5,84,31,0,110,0,0,0,0,0,0,0,0,0,0,0,0,428,79,17,9
SOSR212,16,3,0,18,17,4,0,0,25,3,3,9,28,5,0,36,757,98,22,7,876,23,4,30,911,52,0,959,120,35,3,0,158,8,5,10,170,82,3,254,3,0,0,6,6,0,0,0,6,0,0,6,880,128,22,12,1044,31,12,41,1081,139,3,1219,107,10,3,0,122,3,3,4,124,9,0,138,125,11,0,0,138,0,0,0,142,15,0,153,3,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,9,0,0,0,9,0,0,9,243,25,3,0,275,3,0,8,280,25,0,307,3,0,0,0,3,3,0,3,8,3,0,6,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,10,3,0,3,13,3,0,12,252,30,3,0,286,5,0,8,293,26,0,324,27,9,0,0,41,5,3,7,45,26,3,73,0,0,0,0,0,0,0,0,0,0,0,0,278,37,4,0
SOSR213,25,0,0,25,33,0,0,0,35,3,0,3,41,0,0,37,1077,143,31,22,1268,23,3,27,1293,57,3,1356,175,37,3,3,221,9,3,8,229,44,0,270,0,0,0,0,0,0,0,0,0,0,3,3,1244,177,37,27,1488,31,5,37,1527,101,5,1631,145,20,3,0,169,3,0,3,174,13,0,189,178,30,3,0,206,3,0,3,209,7,0,220,3,0,7,0,8,0,0,0,8,3,0,10,7,0,0,0,7,0,0,0,5,0,0,5,331,46,15,0,393,5,0,4,399,25,0,419,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,10,0,0,0,10,0,0,10,9,0,0,0,8,0,0,0,8,0,0,13,337,52,15,0,403,5,0,4,411,27,0,437,44,12,0,3,58,5,3,4,64,20,0,84,0,0,0,0,0,0,0,0,0,0,0,0,384,61,13,3
SOSR214,8,4,0,14,13,0,0,0,13,0,0,0,15,5,0,20,480,60,10,19,571,8,0,8,581,40,0,620,73,10,3,3,94,10,0,10,98,23,0,121,4,0,0,0,4,0,0,0,4,0,0,4,552,73,16,17,663,16,0,15,682,66,3,749,62,4,0,0,74,5,0,5,76,6,0,79,70,4,4,0,84,3,0,3,86,6,0,88,0,0,3,0,3,0,0,0,3,0,0,7,0,0,0,3,6,0,0,0,6,0,0,3,133,15,6,3,155,7,0,6,163,10,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,139,15,6,3,164,7,0,6,167,10,0,179,25,3,0,0,25,0,0,0,25,7,0,39,0,0,0,0,0,0,0,0,0,0,0,0,159,16,6,3
SOSR215,5,0,0,11,12,0,0,0,17,5,0,5,19,0,0,25,769,111,23,16,918,12,0,20,939,41,0,978,111,22,3,3,145,5,0,11,157,37,0,194,4,0,0,0,4,0,0,0,4,0,4,4,881,131,32,24,1071,22,4,29,1097,86,8,1184,104,4,0,0,111,0,0,4,114,9,0,129,127,20,4,4,144,0,0,0,144,15,0,160,5,0,3,0,6,0,0,0,6,0,0,11,6,0,0,5,9,0,0,0,9,0,0,8,239,25,7,6,276,0,0,4,276,25,0,304,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,6,10,0,0,0,10,0,0,0,10,0,0,6,248,25,7,6,281,0,0,4,290,29,0,315,39,8,0,0,49,0,0,0,49,20,0,70,0,0,0,0,0,0,0,0,0,0,0,3,284,30,10,8
SOSR221,4,0,0,3,7,0,0,0,9,0,0,0,9,3,0,10,208,31,13,3,247,3,0,3,249,9,0,264,38,3,3,3,45,0,0,0,47,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,247,35,14,4,295,3,0,3,299,29,0,320,19,3,0,0,23,0,0,0,23,0,0,24,29,12,0,0,35,0,0,0,35,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,0,0,63,0,0,0,63,6,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,0,0,65,0,0,0,65,6,0,71,14,0,0,0,17,0,0,0,20,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,66,14,0,3
SOSR222,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,148,21,6,3,179,0,3,3,180,13,0,188,21,7,0,0,27,0,0,0,27,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,166,25,9,3,205,0,3,3,203,19,0,228,10,0,0,0,10,0,0,0,15,0,0,13,13,9,0,0,21,0,0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,26,9,0,0,37,0,0,0,41,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,37,0,0,0,41,3,0,40,4,0,0,0,3,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,3
SOSR231,33,3,0,37,43,8,0,0,56,0,0,0,60,4,0,59,2379,252,71,49,2750,26,9,31,2785,157,7,2946,349,52,15,15,431,4,3,4,439,93,0,530,4,0,0,3,13,0,0,0,13,0,6,17,2733,306,86,67,3189,26,10,35,3232,248,15,3497,332,38,3,6,379,3,0,4,385,27,0,413,347,74,3,5,425,3,0,7,431,29,0,463,14,0,8,0,24,0,0,0,23,3,0,26,10,0,0,10,14,0,0,0,14,0,0,14,700,115,17,19,845,7,3,11,860,59,3,915,0,3,0,0,5,0,0,0,7,0,0,7,4,0,0,0,7,0,0,0,7,0,0,7,5,3,0,0,14,0,0,0,13,0,0,13,711,119,18,20,865,7,3,9,873,59,3,932,117,18,4,5,146,0,0,0,150,40,0,188,5,0,0,0,5,0,0,0,5,0,0,5,833,133,21,24
