SOSR_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOSR201,45113,125354,91520,692493,12684,967163,260,321,145,2885,68,3678,332222,4296,7465,7114,2529,353615,23636,3073,1689,5304,335,34041,29017,8844,5555,15956,521,59893,249617,107457,78973,633002,14205,1083247,51476,989,4463,704,541,58169,14899,1953,1497,6944,247,25537,41312,11937,8142,61014,1363,123758,99525,14270,7441,35614,1758,158609,12090,1988,1183,3012,202,18483,186420,3118,2279,1581,1198,194591,59655,29730,20122,263419,4056,376981,145416,31271,15177,90131,3479,285468,16080,130,414,177,75,16874,30589,5892,2691,4531,579,44278,28487,3327,1892,5610,426,39750,32062,6486,3951,14682,511,57688,13194,1358,1034,643,293,16528,18523,5367,4039,1837,277,30049,29430,4386,3248,8213,380,45653,16865,1268,1259,2137,208,21733,60184,26822,20422,189940,3176,300546,16544,1407,802,1490,235,20478,14416,1971,1411,655,118,18574,17317,1257,1038,2510,213,22338,49984,2233,1506,1393,311,55417,27935,3121,1491,1976,334,34865,99647,1172,2301,778,1260,105164,7714,2136,1462,8237,148,19692,503034,34256,28011,38106,6113,609512,23709,2060,1631,13679,217003,258085,2004668,267450,191238,1469396,263442,4196198
SOSR203,853,5196,3628,43829,912,54413,3,15,8,223,12,255,2388,62,117,309,20,2896,2202,277,159,568,37,3240,1748,596,378,1400,61,4180,7607,4757,3466,40926,974,57728,973,20,165,29,27,1217,231,70,56,317,4,679,1691,600,347,4299,110,7034,668,164,64,439,16,1351,461,66,57,182,17,777,2298,62,27,53,13,2456,1852,1314,857,15890,268,20182,2830,740,326,2956,133,6986,157,0,11,3,0,174,153,43,18,57,0,270,990,120,59,206,14,1392,297,111,64,293,9,769,229,40,30,37,12,342,373,235,177,87,3,876,1018,193,126,427,32,1791,302,51,41,80,11,485,2209,1343,996,12641,263,17454,764,69,48,87,19,986,277,46,50,44,7,425,445,51,68,171,10,747,323,16,13,35,4,391,257,45,18,45,5,367,525,10,27,11,8,575,339,131,74,482,14,1042,8499,964,733,1807,173,12174,415,87,76,1073,8456,10109,37158,10297,7182,91571,10895,157104
SOSR211,1307,7674,5146,91206,1956,107288,10,26,12,525,12,590,2564,98,164,950,59,3833,776,122,102,257,14,1266,1798,891,512,1847,48,5101,10248,6976,5013,85194,1959,109382,1904,53,313,41,32,2344,325,86,50,681,12,1154,1920,848,540,9164,162,12635,696,215,106,674,15,1709,314,85,52,151,11,608,3583,103,63,96,35,3884,2255,1809,1104,31622,560,37345,1818,906,381,4932,125,8158,177,0,10,11,0,199,225,69,14,127,8,442,332,65,30,101,9,541,1725,486,310,1245,43,3803,619,115,74,70,8,894,640,328,235,227,19,1449,813,156,116,547,19,1651,276,38,26,135,4,477,2799,1843,1310,23114,386,29457,494,67,48,103,10,722,312,74,28,46,3,462,509,59,54,271,16,906,595,53,31,51,7,725,233,57,31,45,0,365,543,24,53,12,5,637,363,131,81,861,19,1459,12332,1365,1025,2694,224,17637,707,139,101,2527,16260,19729,44663,14591,10038,185766,20672,275731
SOSR212,1048,4737,3126,53392,1157,63466,0,34,3,579,18,634,1669,50,100,274,21,2117,339,98,27,195,6,663,1205,453,270,1016,23,2983,6783,4187,2926,48961,1146,64002,1019,42,194,33,20,1307,192,46,23,379,7,652,1093,418,339,5120,97,7072,803,189,60,618,24,1702,203,45,21,106,10,385,2154,70,34,42,15,2318,1572,1128,692,18389,313,22091,3402,933,422,4499,173,9436,217,0,4,8,6,236,87,25,13,47,0,176,184,30,22,107,3,349,696,242,139,645,12,1733,362,82,57,103,3,597,469,202,189,126,15,987,456,109,54,332,8,958,114,17,18,49,0,201,1956,1129,807,13326,266,17490,120,19,13,20,0,175,280,46,23,24,6,369,232,31,25,159,5,455,417,7,23,24,3,472,764,82,39,55,3,950,312,10,19,3,11,344,213,71,45,429,8,767,8933,852,598,1594,159,12138,487,64,67,1467,11132,13209,32231,9107,6151,108842,13929,170256
SOSR213,1073,7875,5552,85089,1860,101450,4,32,12,537,30,621,1341,81,110,480,37,2047,561,110,43,227,15,961,2642,861,531,1872,57,5962,12351,7497,5396,75899,1886,103029,1294,42,245,55,17,1651,287,65,51,636,16,1054,2205,836,536,8391,186,12160,669,182,62,503,11,1424,385,80,29,158,8,661,1508,60,53,69,13,1703,2523,1834,1146,26226,427,32153,3321,1056,398,4665,132,9572,75,0,8,4,0,83,83,29,18,107,3,236,138,40,16,75,3,267,1071,264,150,798,31,2309,333,95,58,60,7,553,590,318,289,153,8,1360,891,188,105,517,22,1720,195,41,22,113,5,380,3435,1946,1380,21316,425,28500,216,43,22,43,0,325,396,85,33,58,0,577,378,60,51,246,6,742,316,46,24,27,4,416,107,20,6,17,3,148,320,15,25,6,3,373,476,130,116,658,19,1397,5939,1258,874,2390,155,10622,438,134,90,2613,14725,18004,37718,14891,10233,169192,18981,251012
SOSR214,568,4248,2754,48055,1229,56853,0,14,6,212,3,234,931,28,55,284,21,1317,214,48,8,85,3,362,1224,373,201,768,32,2599,6906,3872,2777,41374,1132,56061,520,19,75,14,12,639,183,34,10,309,11,547,1177,437,258,4034,88,5993,404,109,39,268,16,840,180,41,21,67,3,310,811,55,22,65,9,960,1424,994,592,14050,283,17344,1891,590,224,2643,95,5439,51,4,0,0,4,60,73,16,4,33,6,136,104,23,15,68,4,210,633,168,64,383,24,1270,267,53,24,32,3,388,313,149,118,84,6,674,370,72,39,227,6,723,109,14,7,62,6,201,1837,1119,717,11779,267,15719,69,11,3,18,3,107,166,20,20,30,0,231,154,25,19,87,0,277,152,26,17,31,0,223,56,14,0,11,0,77,84,8,16,11,3,124,248,83,44,397,8,775,3050,596,448,1335,106,5531,236,53,51,1394,9622,11356,20162,7826,5169,93435,12291,138874
SOSR215,923,7017,4908,76194,1730,90762,0,22,9,349,13,400,925,49,67,370,27,1439,397,75,45,169,5,703,2178,701,454,1378,67,4775,12152,6693,4838,64305,1776,89770,788,17,161,34,27,1028,318,57,58,525,17,971,1949,797,493,6154,172,9561,527,166,51,446,17,1212,310,74,42,114,8,541,872,79,37,52,12,1052,2426,1597,950,22067,408,27442,2561,810,367,3786,122,7645,59,0,3,4,0,64,76,37,6,68,5,193,123,21,18,80,3,252,647,187,143,525,20,1521,324,61,61,83,9,539,542,311,222,144,11,1229,672,142,82,366,16,1278,187,25,29,100,4,339,2903,1728,1210,17950,338,24129,110,20,18,19,4,170,273,55,36,42,4,413,241,50,26,170,6,490,172,48,28,37,0,286,165,27,8,32,4,241,291,16,18,9,11,351,504,146,81,580,17,1328,4737,1061,803,1987,134,8721,387,117,91,2156,13751,16505,31656,13058,9119,145452,17692,216976
SOSR221,260,1954,1279,21046,453,24991,0,3,0,97,0,108,132,28,16,113,4,287,119,28,9,66,5,220,665,197,120,398,13,1398,3598,1779,1327,18173,507,25388,160,9,31,4,8,210,76,29,4,128,3,248,616,186,145,1759,46,2751,184,44,20,114,12,373,99,24,11,42,10,180,180,7,8,17,3,213,707,425,270,6150,135,7683,505,188,83,884,19,1679,11,0,0,3,0,11,19,4,3,14,0,35,29,7,10,8,0,49,275,76,41,179,6,578,104,25,8,17,3,156,156,65,58,33,3,312,176,48,19,92,0,332,58,12,0,22,0,94,915,509,375,5376,120,7289,36,0,0,6,0,45,72,12,11,15,5,105,66,9,4,45,3,127,28,8,11,9,3,61,36,4,6,4,0,44,27,3,0,0,0,32,131,31,21,167,3,354,1107,278,186,587,39,2192,101,31,40,662,4085,4923,8664,3512,2427,40855,5157,60620
SOSR222,154,1108,806,13404,310,15787,0,4,3,70,0,76,157,5,17,89,11,269,51,4,5,15,3,82,394,107,59,237,7,804,2145,1163,823,11399,306,15837,151,0,29,4,5,190,58,15,12,78,0,164,351,118,66,1295,34,1868,98,24,14,79,4,212,60,9,8,11,0,93,98,13,5,8,0,132,392,278,167,4028,87,4954,329,95,54,603,16,1096,21,0,0,0,0,22,7,7,3,3,0,22,17,3,0,3,0,20,105,35,13,94,3,244,38,21,11,3,0,71,96,44,38,31,3,214,93,14,22,41,4,180,40,9,3,9,0,61,484,318,207,3258,70,4334,21,3,0,8,0,30,43,7,4,3,0,65,45,16,7,30,3,96,18,10,5,11,0,43,11,3,3,5,0,22,16,0,3,0,0,21,89,18,16,110,3,244,711,157,113,340,21,1342,37,24,15,415,2801,3286,5160,2164,1492,25904,3482,38204
SOSR231,1605,11686,8794,144141,2976,169205,8,23,6,415,12,465,1433,85,141,821,31,2516,1012,149,69,333,8,1575,4744,1432,965,2636,106,9887,20376,10837,8556,120267,2944,162980,1170,39,231,37,33,1513,554,86,99,962,28,1729,3894,1205,898,12496,294,18782,1474,352,159,909,43,2940,633,130,64,209,14,1044,1520,99,69,97,18,1810,4049,2561,1734,41309,799,50455,6364,1862,760,7709,278,16976,64,0,13,8,0,83,280,86,36,107,4,513,486,75,28,135,12,737,1990,450,296,1134,52,3919,575,92,76,79,9,840,1212,472,402,208,36,2331,1196,238,154,611,33,2225,402,63,49,174,18,708,4994,2822,2264,36045,747,46870,349,41,19,81,9,492,481,75,70,56,9,694,407,75,55,259,4,802,349,69,43,65,0,532,339,75,21,49,9,490,350,26,28,11,6,423,668,205,131,1157,18,2185,8442,1774,1443,3790,199,15648,695,239,163,4299,30935,36327,59433,22251,16560,278192,37614,414055
