SOSR_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOSR201,918,814,549,399,424,241,300,12599,329,12969,24815,12596,1756,792,958,894,311,573,742,731,613,334,2952,61376,3,71,63,163,338,876,2062,1320,263,350,321,464,551,446,471,7762,0,0,6,58,317,889,3172,4065,760,773,796,831,871,774,664,13979,5,114,462,3100,3594,3134,2224,1466,226,246,290,272,246,111,661,16156,36,79,486,2087,5244,8380,8088,7704,1624,1948,2214,2505,3096,2372,1360,47223,35,3646,5702,2895,1082,320,204,126,17,18,11,17,16,4,556,14657,20,3389,3397,939,854,402,648,509,123,109,115,141,129,128,387,11293,172,320,963,3358,7774,9556,16988,12314,4132,4606,3783,3053,2870,1717,2655,74261,0,15,21,133,245,893,2691,4184,1354,2177,2195,2117,2039,1193,499,19763,9,17,69,570,3857,10379,7431,9172,1569,1920,2077,1963,2058,1278,1110,43481,184,1475,1635,930,3527,3023,963,463,95,100,105,115,143,59,325,13141,29,32,172,596,996,1834,3771,2896,544,688,685,764,989,728,361,15075
SOSR203,13,12,16,8,15,0,10,334,6,324,515,219,41,14,15,14,0,5,10,5,9,11,65,1251,0,0,0,0,0,4,34,21,10,3,4,6,5,3,6,99,0,0,0,0,0,14,27,37,9,6,15,4,5,7,8,143,0,0,3,14,16,8,4,7,4,3,0,0,0,3,3,76,3,0,10,25,38,69,61,72,20,30,18,31,21,14,15,431,0,42,37,21,0,5,0,0,0,0,0,0,0,0,3,113,0,449,271,47,28,14,26,9,6,0,0,0,0,3,47,908,3,12,18,119,236,272,367,190,55,49,31,32,21,20,58,1486,0,0,3,0,9,8,15,85,21,53,76,25,56,11,17,378,0,0,5,11,88,176,166,201,35,37,40,34,52,32,32,904,0,62,80,24,75,47,10,3,0,3,3,0,0,0,27,348,0,3,0,22,15,32,35,53,3,3,0,10,9,4,7,203
SOSR211,5,14,9,14,0,0,17,373,6,150,227,106,17,18,14,19,0,0,3,0,3,0,42,602,0,6,3,3,4,12,42,31,6,4,0,0,3,0,6,130,0,0,0,0,7,15,37,40,6,8,12,6,10,4,4,152,0,0,4,26,17,16,20,12,0,0,3,0,3,3,9,117,3,0,13,36,69,67,86,89,21,19,5,14,26,10,22,488,0,144,246,157,67,33,18,18,17,8,0,6,7,0,25,754,0,398,337,55,45,8,16,7,0,6,8,3,5,0,41,928,3,9,67,210,412,443,612,478,132,173,124,98,87,48,154,3049,0,0,0,3,4,8,61,121,8,24,24,7,18,12,6,295,0,0,0,13,118,246,255,495,77,131,131,93,117,45,74,1795,0,41,21,13,57,44,12,17,0,3,3,3,0,0,8,225,3,0,3,23,13,19,39,32,3,0,3,3,10,8,6,169
SOSR212,30,4,3,13,6,0,4,327,16,374,511,228,33,10,16,7,5,4,7,3,11,5,90,1331,0,3,0,0,0,0,21,11,4,15,3,5,10,9,16,101,0,0,0,0,4,8,37,38,11,5,3,15,21,38,38,214,0,0,0,11,9,9,11,8,0,0,0,0,0,0,0,44,0,0,6,26,37,34,57,60,27,22,24,46,70,75,36,533,0,76,78,49,21,3,7,4,0,0,0,0,0,0,9,243,0,238,204,23,31,16,16,13,0,0,3,0,0,0,17,566,3,12,22,111,278,291,504,293,81,78,91,53,60,26,74,1974,0,0,0,0,0,3,31,73,26,44,70,37,32,17,0,335,0,0,3,17,76,165,167,183,47,54,48,68,60,49,33,968,0,23,10,6,27,17,15,11,0,0,0,0,0,0,4,122,0,0,3,4,4,13,26,10,0,9,12,3,0,0,3,79
SOSR213,11,29,16,7,0,0,18,454,25,424,546,243,31,9,14,12,4,7,3,0,0,0,78,1404,0,4,0,3,3,9,22,21,3,3,0,5,5,0,9,100,0,0,0,0,3,3,22,27,5,0,4,3,0,6,5,75,0,0,5,4,8,3,3,3,0,0,0,0,0,0,0,32,0,0,7,46,40,22,50,56,6,8,26,31,17,12,17,338,0,193,178,59,30,3,6,0,0,3,0,0,0,0,16,494,0,568,495,98,95,30,30,30,0,13,3,4,5,0,42,1406,7,30,44,209,415,362,528,291,96,76,47,55,30,17,107,2310,0,0,5,0,4,0,21,29,7,35,24,7,9,0,0,136,0,0,3,9,118,226,246,306,49,54,58,57,87,39,52,1309,0,49,31,19,52,45,17,4,4,4,0,3,0,0,12,241,0,0,4,8,20,4,35,30,0,7,4,7,4,0,14,134
SOSR214,12,6,10,0,0,0,7,250,7,250,272,132,18,13,7,6,0,3,5,4,0,0,66,776,0,0,0,0,3,6,13,18,6,4,0,0,3,0,3,55,0,0,0,0,3,4,9,7,0,0,8,0,7,3,13,52,0,3,0,3,15,0,3,0,0,0,0,0,0,0,12,43,3,0,10,15,15,16,20,26,6,12,7,18,19,7,20,203,0,110,112,37,12,0,4,11,0,0,4,0,0,0,18,305,0,259,271,50,45,15,11,14,3,8,0,3,0,0,31,701,5,19,56,165,270,232,291,186,40,51,45,17,24,11,109,1540,0,0,0,0,0,3,8,24,3,10,9,0,3,4,0,69,0,0,0,0,41,77,65,90,61,38,45,27,31,20,25,515,0,19,9,0,18,13,3,3,0,0,0,3,0,0,7,88,3,0,3,10,9,6,25,19,0,0,0,0,4,0,0,75
SOSR215,8,19,6,13,8,3,21,431,15,330,394,152,25,5,8,13,0,3,0,4,3,8,78,1034,0,3,3,3,3,6,24,20,0,9,3,3,3,0,8,83,0,0,0,0,0,5,9,3,7,4,7,4,8,3,3,53,0,0,4,12,4,0,3,3,0,0,0,0,0,0,0,33,0,0,16,20,25,30,34,35,3,6,7,18,9,18,29,261,0,81,95,31,19,4,8,10,0,0,0,0,0,0,10,260,0,450,416,93,78,25,40,21,3,4,0,0,0,3,48,1193,10,26,69,240,491,348,526,232,65,69,51,47,29,19,147,2361,0,0,0,0,5,3,7,21,3,3,0,0,3,5,0,49,0,0,3,4,61,113,114,168,33,46,67,46,53,21,37,781,0,31,15,23,44,21,9,10,0,0,0,3,0,0,8,164,0,0,9,19,6,10,17,31,0,3,7,0,3,0,3,106
SOSR221,4,3,0,0,0,0,0,100,3,54,70,28,3,4,3,3,0,0,0,0,0,0,13,176,0,3,0,3,3,0,3,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,5,0,0,9,5,11,6,5,7,0,0,0,3,0,5,0,50,0,35,32,13,8,0,0,0,0,0,0,0,0,0,7,98,0,139,133,26,21,16,15,3,0,0,0,0,0,0,15,367,3,10,28,85,194,120,120,38,15,8,4,4,10,5,28,683,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,4,19,31,21,27,10,18,8,4,15,3,9,157,0,3,4,3,19,12,0,0,0,0,0,0,0,0,0,45,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,21
SOSR222,3,0,0,0,6,0,3,66,0,33,34,20,0,0,0,0,0,0,0,0,0,0,11,92,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,3,0,0,3,3,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,4,0,3,3,0,0,0,0,0,3,30,0,14,12,8,0,0,0,0,0,0,0,0,0,0,4,39,0,75,65,22,14,3,3,3,3,0,0,0,0,0,4,195,0,3,13,69,104,74,53,28,7,15,11,3,3,4,20,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,16,47,3,8,18,6,7,8,14,161,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,3,3,0,0,0,0,0,0,0,6,20
SOSR231,18,19,21,8,10,3,29,658,27,717,971,397,67,15,20,15,6,3,5,13,11,3,161,2427,0,7,6,7,10,22,34,24,7,3,0,3,3,4,14,139,0,0,0,0,0,9,24,15,0,0,0,9,0,3,6,69,0,3,6,37,43,12,20,11,0,0,3,0,0,0,27,158,7,3,31,65,66,31,35,31,8,16,15,26,38,29,58,449,0,255,331,159,63,24,6,11,0,0,3,0,0,0,55,899,0,706,711,207,241,72,120,64,5,16,7,3,7,0,69,2231,7,34,120,464,1013,804,1052,621,115,90,118,73,90,38,321,4972,0,3,0,6,3,11,5,15,0,4,4,0,3,0,5,73,0,3,6,16,74,162,150,226,67,79,69,62,110,74,79,1174,0,42,51,35,71,34,18,14,0,0,0,3,3,3,22,303,0,0,12,31,16,19,32,22,8,7,5,3,0,14,7,167
