SOSR_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR201,745417,546572,667453,581080,527499,420295,297104,172966,80156,4038537,477,669,580,440,420,364,365,292,168,3768,432,1063,2230,2347,2653,2152,1106,299,82,12364,11252,16531,20528,12737,10972,10258,8528,6284,3850,100944,335,746,1236,1076,1573,1317,762,181,43,7266,180,394,552,540,698,675,408,115,26,3585,173,434,628,656,795,725,458,124,28,4019,96,358,225,281,372,510,347,101,15,2314,61,128,90,77,77,68,41,6,0,554,36,133,255,170,186,175,118,23,5,1101,0,8,0,0,3,3,3,0,0,17,12573,19792,25751,17888,17337,15885,11774,7133,4038,132164,13043,20462,26337,18322,17754,16249,12136,7427,4203,135935,758463,567034,693786,599406,545249,436547,309239,180395,84361,4174477
SOSR203,27123,20719,20580,18759,19056,17445,13195,8194,4323,149397,21,31,26,14,11,15,16,13,13,161,11,67,29,23,26,30,20,6,3,209,479,1166,827,509,491,461,386,250,227,4794,7,26,20,25,22,38,31,3,0,185,6,13,16,11,19,12,13,3,0,83,3,10,9,5,11,12,9,0,0,66,0,13,7,10,10,8,13,0,0,64,3,4,7,3,3,0,0,0,0,15,3,0,11,8,5,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,514,1305,920,592,583,569,468,273,229,5440,533,1333,940,611,596,579,488,284,240,5600,27661,22053,21522,19371,19646,18025,13681,8476,4562,155004
SOSR211,53942,35436,36271,32860,32177,30147,22499,12292,5547,261176,41,65,44,31,29,26,25,17,18,300,64,191,119,69,92,83,74,38,15,752,1153,2212,1607,1000,888,877,659,417,284,9092,22,67,51,35,48,57,39,4,0,337,7,26,19,21,16,47,21,12,0,177,6,12,23,22,36,25,12,4,0,143,16,8,14,8,8,21,29,4,0,102,5,16,20,9,13,9,8,0,0,75,0,8,12,8,15,3,3,3,0,47,0,0,0,0,0,0,0,0,0,0,1271,2545,1871,1172,1120,1119,843,487,303,10727,1313,2612,1917,1199,1153,1144,864,504,317,11028,55257,38045,38190,34057,33329,31292,23368,12800,5870,272197
SOSR212,31855,20669,21080,19869,21128,19083,14279,8619,4039,160607,35,35,15,22,16,12,8,21,13,174,32,72,64,48,109,103,71,18,16,535,664,1036,1024,761,722,752,572,391,220,6130,13,12,31,29,34,44,24,7,0,197,22,42,58,55,68,74,81,41,5,444,6,5,12,16,16,10,10,10,0,89,0,3,4,15,7,18,12,11,0,71,3,0,10,3,4,0,0,0,0,25,0,3,3,3,0,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,742,1178,1205,925,956,1009,778,467,242,7508,772,1212,1228,948,971,1020,788,490,255,7689,32630,21877,22308,20815,22098,20105,15067,9103,4292,168297
SOSR213,46587,26806,27506,28815,30305,29555,23817,14851,7093,235334,50,51,41,36,21,39,38,30,13,316,33,52,72,39,81,92,80,20,3,473,918,1482,1387,950,967,994,766,466,236,8177,33,41,51,47,62,74,73,9,3,387,23,10,28,38,49,54,64,18,3,284,9,8,17,13,29,32,19,3,0,133,8,5,7,6,21,41,23,4,0,121,3,6,3,6,5,7,3,0,0,33,0,6,11,3,3,4,4,3,0,43,0,0,0,0,0,0,0,0,0,0,1020,1615,1583,1101,1226,1288,1032,523,249,9643,1076,1665,1619,1137,1250,1329,1071,557,261,9966,47663,28469,29127,29956,31548,30882,24887,15404,7356,245300
SOSR214,23323,13846,12827,14397,16915,17469,16229,10015,4827,129840,25,33,19,20,17,24,22,24,19,200,19,39,38,32,50,76,67,28,10,346,480,817,661,463,566,632,577,357,187,4751,6,12,25,21,42,50,31,13,0,199,12,27,17,46,30,41,21,3,0,208,3,5,15,14,6,25,11,0,0,89,3,3,4,8,7,25,18,10,4,82,6,10,8,0,3,7,0,0,0,27,0,7,7,4,3,6,7,0,0,35,0,0,0,0,0,0,0,0,0,0,528,923,770,588,714,868,726,414,200,5744,555,955,793,606,737,885,754,434,219,5943,23870,14804,13615,15003,17648,18354,16984,10450,5048,135780
SOSR215,38410,20606,20919,23364,26410,27721,24041,14345,7065,202884,42,47,28,36,30,36,38,32,18,291,36,57,72,56,82,100,72,31,7,521,869,1185,1108,824,870,1175,936,473,284,7728,42,38,58,53,54,90,44,11,8,398,26,24,28,31,47,61,55,18,0,292,6,11,26,15,23,30,19,6,3,147,3,3,6,17,16,22,29,9,3,111,5,9,4,3,3,7,3,0,0,28,0,4,8,0,12,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,992,1322,1308,1004,1116,1493,1169,546,303,9258,1033,1367,1340,1032,1148,1523,1208,579,321,9543,39446,21975,22264,24397,27556,29243,25247,14920,7387,212429
SOSR221,10290,5221,5031,6388,7986,8784,7553,3733,1501,56496,25,14,10,8,22,18,16,5,0,118,8,20,17,9,20,39,25,7,4,149,269,367,264,195,272,388,286,106,55,2188,6,4,11,10,3,17,20,3,0,81,6,4,7,3,9,24,9,0,0,57,6,4,8,4,9,6,6,0,0,39,0,0,0,0,0,7,12,3,0,25,0,3,3,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,288,397,310,216,316,481,356,124,58,2551,316,407,314,228,335,498,375,130,60,2665,10605,5634,5343,6620,8327,9286,7931,3864,1558,59166
SOSR222,6605,3451,3271,4073,5253,5841,4433,1945,785,35670,11,9,7,9,10,15,6,3,0,77,192,144,152,163,165,155,72,10,0,1048,1389,987,946,1029,939,738,572,132,40,6763,222,165,166,165,145,92,56,12,0,1020,114,195,171,119,99,111,58,17,3,883,44,79,63,47,55,57,24,0,0,360,15,13,33,12,23,21,17,0,0,140,25,13,20,6,3,3,3,0,0,73,8,10,23,10,11,5,3,0,0,57,0,0,0,0,0,0,0,0,0,3,2010,1601,1571,1551,1431,1177,801,166,48,10351,2019,1613,1576,1558,1440,1198,810,176,50,10428,8627,5066,4846,5628,6690,7037,5243,2123,833,46094
SOSR231,72592,42814,32821,45662,63171,64063,45326,17304,4838,388598,85,102,56,48,88,82,93,57,34,651,81,134,153,126,99,167,134,35,14,939,1386,2151,1871,1233,1253,1618,1439,539,248,11739,56,121,181,79,96,99,93,17,0,738,46,76,77,56,71,84,102,37,9,553,25,28,41,25,38,66,33,18,0,281,11,12,19,20,20,30,38,15,0,162,12,26,28,7,14,7,10,0,0,106,0,3,16,10,6,19,7,0,0,68,0,0,0,0,0,0,0,0,0,0,1617,2543,2393,1551,1593,2102,1855,664,274,14590,1704,2645,2452,1608,1677,2179,1951,714,309,15245,74295,45461,35277,47264,64846,66247,47277,18026,5144,403844
