SA4_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
201,..,206,33,237,6,242,..,74,9,82,0,82,..,224,17,242,0,242,..,244,35,276,3,281,..,85,11,95,3,101,..,88,14,103,0,103,..,127,12,135,0,135,..,839,87,931,3,933,..,330,18,351,9,358,..,145,17,165,0,165,..,43,3,45,0,45,..,34,11,43,8,48,..,141,3,146,0,151,..,63,11,76,0,76,..,80,4,87,0,83,..,85,4,94,0,94,..,7,0,7,0,7,..,88,5,90,7,100,..,172,9,175,0,175,..,47,3,46,0,46,..,202,16,216,3,221,..,56,3,57,0,61,..,473,28,495,4,496,..,164,17,176,0,178,..,77,7,83,0,83,..,104,20,129,0,130,..,30,3,29,0,29,..,104,29,135,0,132,..,1198,212,1405,45,1452,..,6328,861,7193,101,7293,..,448,29,477,10301,10781,139419,6773,895,7662,10405,157485
202,..,209,31,235,0,232,..,59,7,61,0,65,..,199,11,209,3,210,..,207,27,231,0,237,..,101,8,109,0,116,..,70,4,73,0,74,..,128,14,140,0,140,..,754,68,830,4,831,..,322,25,340,3,346,..,79,3,76,3,84,..,44,15,61,0,61,..,19,0,20,0,20,..,62,0,60,3,65,..,33,3,40,0,40,..,44,0,48,0,49,..,46,8,51,0,51,..,24,0,23,0,23,..,22,5,31,0,32,..,192,4,200,4,208,..,99,0,99,0,99,..,185,3,187,3,192,..,45,0,46,0,45,..,521,14,532,7,542,..,126,10,142,0,142,..,71,3,76,3,79,..,73,10,80,4,85,..,32,5,35,0,35,..,83,27,112,3,113,..,1325,693,2018,59,2072,..,5334,1265,6595,114,6711,..,372,28,402,11362,11764,134612,5706,1293,6998,11476,153092
203,..,876,143,1017,12,1033,..,117,15,131,0,131,..,550,16,562,3,568,..,721,70,792,6,799,..,243,17,260,0,264,..,220,22,241,0,241,..,342,19,363,9,373,..,2190,163,2346,20,2367,..,2238,324,2561,55,2617,..,281,21,306,0,305,..,122,35,157,0,157,..,858,203,1058,16,1078,..,239,20,256,4,266,..,359,75,437,3,434,..,432,73,502,4,511,..,230,50,281,0,287,..,37,0,39,0,39,..,652,151,804,16,814,..,439,13,445,0,445,..,270,4,271,0,272,..,518,14,531,6,535,..,154,3,156,3,159,..,1378,32,1407,11,1419,..,554,98,651,11,660,..,194,8,205,0,205,..,244,58,301,3,303,..,271,57,334,3,330,..,530,204,734,9,738,..,4008,1240,5250,115,5368,..,22173,3986,26160,366,26527,..,693,60,755,16250,17010,235394,22870,4045,26915,16621,278929
204,..,188,23,211,3,215,..,27,6,36,0,37,..,142,11,155,0,155,..,229,19,250,5,254,..,103,5,108,0,104,..,58,9,70,4,69,..,250,71,320,8,327,..,817,120,939,12,950,..,1254,174,1422,29,1453,..,126,13,137,0,137,..,42,11,55,3,53,..,28,4,34,0,34,..,53,6,57,0,59,..,35,3,36,0,36,..,83,11,94,0,95,..,43,4,44,0,44,..,17,0,17,0,17,..,86,10,100,0,97,..,179,8,188,0,188,..,51,3,51,3,49,..,255,18,267,0,267,..,72,0,75,0,75,..,547,26,574,3,576,..,162,16,179,6,182,..,46,0,47,0,47,..,118,31,152,3,158,..,31,12,40,0,40,..,51,8,58,3,59,..,1056,227,1283,29,1309,..,6699,1004,7701,126,7831,..,393,22,418,12365,12783,149577,7092,1029,8122,12489,170194
205,..,558,101,656,18,674,..,80,3,87,0,87,..,210,14,221,4,226,..,237,25,264,3,267,..,182,8,187,0,186,..,87,3,95,0,92,..,142,13,161,3,159,..,938,64,1007,11,1016,..,1695,250,1942,42,1983,..,128,15,141,5,144,..,55,12,67,0,70,..,25,3,28,0,32,..,285,20,307,0,306,..,35,0,41,0,41,..,243,32,278,6,279,..,96,14,112,3,109,..,21,0,21,0,21,..,108,24,134,4,137,..,295,24,317,5,320,..,84,3,87,0,88,..,336,18,351,6,359,..,104,6,111,0,113,..,820,45,868,10,875,..,317,37,359,0,358,..,117,16,132,3,138,..,158,52,208,0,215,..,25,7,33,0,33,..,214,103,322,4,323,..,1723,363,2091,52,2137,..,10700,1634,12332,211,12536,..,680,42,724,20806,21532,237339,11381,1676,13053,21020,271416
206,..,13508,4278,17788,143,17926,..,834,39,877,6,886,..,4697,153,4849,35,4887,..,827,59,886,6,894,..,987,36,1015,3,1017,..,1124,63,1182,7,1192,..,3835,183,4022,25,4044,..,12301,535,12840,80,12916,..,14234,2791,17020,176,17202,..,2186,472,2660,27,2687,..,2668,1149,3817,32,3848,..,967,151,1115,12,1128,..,577,38,617,11,626,..,1461,147,1607,19,1631,..,1209,121,1326,8,1335,..,1875,831,2702,27,2731,..,106,0,103,0,110,..,962,121,1084,8,1096,..,886,14,905,3,902,..,4195,213,4405,27,4428,..,1072,16,1082,7,1093,..,1099,32,1134,8,1143,..,7246,272,7523,47,7567,..,6560,577,7134,44,7181,..,1511,63,1572,14,1590,..,2195,568,2767,18,2783,..,1839,423,2255,24,2276,..,6266,2476,8743,74,8809,..,15637,2462,18099,422,18519,..,148548,28322,176872,1651,178518,..,1232,235,1469,49873,51337,361824,149781,28555,178341,51524,591679
207,..,12036,2072,14108,118,14231,..,464,32,491,3,494,..,3005,92,3103,29,3126,..,1102,68,1168,3,1176,..,1770,48,1816,16,1828,..,708,40,745,8,751,..,2134,126,2261,10,2268,..,9181,406,9585,68,9654,..,7380,876,8255,92,8352,..,996,124,1126,10,1132,..,1776,600,2379,16,2394,..,767,87,856,11,862,..,194,5,202,0,202,..,2715,482,3202,24,3221,..,628,43,672,3,675,..,568,44,612,3,616,..,35,0,35,0,35,..,385,47,440,5,447,..,455,9,460,0,456,..,1565,115,1676,6,1687,..,588,4,591,4,591,..,423,16,434,0,436,..,3022,140,3162,12,3172,..,1560,158,1722,16,1730,..,1347,39,1387,9,1395,..,677,126,802,3,804,..,434,57,490,0,495,..,3330,623,3953,22,3975,..,5522,951,6470,184,6653,..,105104,23005,128106,954,129062,..,756,177,936,14473,15410,215176,105864,23180,129041,15429,359644
208,..,11400,2190,13585,123,13707,..,392,3,397,0,397,..,3178,140,3312,21,3328,..,938,65,1000,8,1007,..,933,32,968,7,968,..,311,13,324,4,328,..,2436,203,2641,15,2656,..,8187,453,8645,49,8692,..,4617,476,5087,61,5147,..,1537,335,1878,15,1888,..,921,277,1203,12,1209,..,214,21,233,0,235,..,175,9,185,0,181,..,497,66,564,5,572,..,1780,191,1973,11,1984,..,6475,1266,7734,57,7797,..,54,4,55,0,55,..,874,72,948,6,958,..,578,13,592,3,595,..,829,47,872,0,876,..,769,22,788,3,793,..,273,12,286,3,285,..,2445,90,2535,9,2552,..,2284,168,2446,32,2477,..,1144,56,1205,13,1212,..,655,143,796,8,802,..,756,136,888,9,897,..,1563,250,1816,11,1828,..,11870,1344,13215,225,13439,..,80943,12299,93246,836,94079,..,909,135,1040,18911,19950,289673,81856,12433,94292,19741,403707
209,..,12924,2651,15577,163,15733,..,784,61,847,5,850,..,5345,295,5641,60,5703,..,7088,828,7919,104,8025,..,2767,174,2945,17,2959,..,1885,186,2068,27,2096,..,2856,237,3089,21,3115,..,20723,1785,22511,240,22744,..,18407,3474,21880,301,22178,..,803,95,906,4,912,..,467,145,615,5,617,..,10802,2210,13014,136,13154,..,1294,100,1394,14,1411,..,1859,595,2456,22,2477,..,700,63,762,11,778,..,549,81,630,4,633,..,937,65,1005,13,1021,..,1168,229,1399,9,1406,..,1322,47,1368,13,1379,..,796,71,867,3,875,..,1670,39,1711,21,1736,..,567,36,605,6,611,..,4357,198,4556,44,4598,..,2193,245,2442,37,2476,..,2787,289,3071,36,3106,..,709,148,855,6,863,..,1937,362,2299,24,2325,..,5980,2444,8424,80,8504,..,13750,2828,16573,416,16995,..,133322,27074,160390,1914,162307,..,1207,338,1545,24176,25724,307322,134529,27406,161940,26092,495353
210,..,6336,1323,7661,88,7749,..,881,81,965,18,978,..,3634,195,3831,35,3865,..,5351,669,6026,65,6088,..,3711,250,3965,27,3996,..,5413,550,5964,75,6042,..,2904,414,3315,28,3342,..,21898,2163,24057,255,24315,..,14876,2870,17742,288,18033,..,297,43,343,3,348,..,207,71,275,3,282,..,1111,134,1246,12,1261,..,2093,111,2202,39,2243,..,696,317,1013,22,1034,..,863,110,971,14,984,..,259,31,295,0,290,..,1921,165,2091,36,2123,..,784,137,921,0,922,..,1309,40,1348,9,1359,..,462,34,492,10,505,..,1774,65,1835,19,1860,..,580,41,619,4,622,..,4124,179,4306,45,4344,..,1995,290,2286,16,2306,..,916,102,1017,7,1028,..,449,135,588,4,600,..,12564,3241,15806,170,15981,..,2937,1200,4139,25,4160,..,17818,5803,23616,387,24000,..,117509,24192,141706,1735,143441,..,930,324,1260,19239,20499,199430,118445,24517,142965,20977,363371
