SA4_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
201,170,125,82,22,41,4,444,102,49,39,13,29,0,228,220,106,96,39,52,10,519,194,113,85,45,55,3,496,326,268,186,81,124,3,990,429,514,232,145,167,9,1505,481,722,258,165,148,7,1783,611,917,256,146,130,13,2065,473,841,213,93,80,13,1715,467,911,222,82,67,5,1756,288,578,127,31,29,5,1057,343,703,180,48,37,8,1315,97,244,42,14,9,0,400,70,134,40,8,4,0,260,186,355,87,18,11,3,661,155,303,91,15,6,3,573,55,97,26,5,3,0,188,39,86,24,0,3,0,158,230,260,129,59,58,8,743,4940,7316,2403,1037,1062,99,16864
202,211,139,103,22,41,8,526,121,47,37,17,32,5,256,222,112,94,39,65,5,541,176,102,90,41,64,0,470,261,236,204,71,111,7,894,416,414,215,104,132,12,1278,443,668,251,141,134,16,1641,515,900,249,152,150,19,1984,466,850,216,128,103,11,1771,507,936,200,97,67,5,1808,265,589,105,51,33,7,1041,371,740,201,54,39,0,1400,116,286,63,15,13,0,501,80,171,32,10,9,3,299,154,350,95,21,11,0,635,202,320,76,27,16,3,648,60,93,25,8,9,3,191,36,94,14,3,3,4,162,250,243,129,34,60,18,725,4877,7285,2395,1025,1083,126,16792
203,340,283,205,53,60,12,949,140,60,79,15,49,0,340,263,188,157,54,93,13,755,200,180,143,46,74,3,647,334,380,289,80,146,8,1240,479,591,345,142,201,21,1777,583,858,416,183,211,25,2281,775,1309,459,220,210,19,2994,722,1386,377,196,181,23,2882,779,1691,417,188,152,15,3237,560,1218,263,89,79,14,2229,816,1812,480,132,115,20,3377,322,716,127,31,23,4,1224,204,481,116,24,20,3,842,463,917,226,42,48,7,1704,461,1013,261,46,35,12,1829,161,314,79,16,17,3,586,100,215,55,9,14,0,400,372,521,274,66,105,23,1363,8067,14148,4764,1639,1825,219,30665
204,276,116,87,27,35,3,538,108,39,29,14,23,0,209,226,100,84,36,60,5,508,184,108,86,36,54,5,466,374,262,153,84,105,9,984,509,475,226,142,120,9,1474,586,731,258,171,135,10,1891,629,956,318,167,119,16,2211,536,835,239,93,95,11,1809,519,840,288,104,64,12,1829,225,598,134,44,29,4,1035,401,661,216,53,49,8,1386,130,211,55,16,4,0,418,80,128,31,3,3,0,251,197,350,118,13,18,5,710,198,322,109,15,19,3,660,69,112,20,7,3,0,211,54,59,20,9,0,0,140,286,274,163,48,58,13,835,5578,7180,2644,1060,993,108,17560
205,462,209,142,53,60,9,932,169,82,53,16,41,6,367,389,171,158,76,86,10,895,342,188,149,70,84,7,836,639,492,299,169,199,10,1822,852,860,418,266,216,16,2619,969,1158,458,264,216,21,3081,933,1430,456,243,178,23,3254,770,1362,360,170,117,17,2790,662,1335,332,123,106,20,2585,401,807,193,71,40,11,1523,605,1096,318,60,55,10,2142,211,389,76,23,23,0,728,121,201,65,12,6,0,413,265,525,161,28,21,0,1008,300,477,134,21,38,7,973,111,144,62,10,8,0,336,89,131,41,8,12,3,289,433,437,250,75,90,20,1302,8735,11503,4112,1758,1584,187,27886
206,673,580,303,75,147,83,1853,93,80,66,16,31,4,287,192,161,114,34,57,9,572,144,164,113,26,55,13,508,251,202,137,37,74,22,715,368,324,179,73,89,30,1065,575,552,258,79,117,49,1636,662,576,209,107,112,32,1700,756,694,200,101,119,40,1909,806,686,228,91,103,43,1948,646,575,130,77,79,41,1551,1485,1659,424,164,187,82,3996,611,615,89,83,53,30,1487,838,850,148,51,60,32,1989,1179,1287,248,104,101,48,2960,2279,2973,544,169,156,72,6200,1100,1697,306,76,89,33,3303,1007,1788,415,90,79,39,3411,515,659,276,62,118,50,1674,14178,16118,4384,1524,1833,734,38769
207,548,698,573,118,159,53,2145,97,102,110,13,27,3,347,157,196,163,22,46,11,592,151,181,143,35,55,6,569,136,252,190,42,77,7,699,220,318,261,57,121,7,987,308,639,390,83,143,16,1582,262,497,342,65,121,15,1308,330,664,354,62,113,11,1539,317,588,291,65,94,18,1378,240,498,206,61,69,8,1080,668,1574,707,155,179,36,3323,235,499,171,42,54,10,1014,339,789,252,54,54,9,1495,418,1049,343,77,108,17,2016,1032,2832,894,198,169,35,5155,498,1775,532,118,98,25,3041,499,2223,609,181,140,27,3679,273,742,426,56,116,28,1639,6735,16106,6969,1499,1941,334,33585
208,584,653,493,88,157,27,2006,116,125,86,15,39,0,376,204,213,162,30,83,6,690,141,211,149,38,70,8,613,233,299,235,41,94,7,906,326,439,287,79,148,18,1299,403,764,414,101,174,28,1874,485,794,411,147,163,8,2014,437,878,415,135,141,23,2040,512,985,372,131,144,24,2169,446,837,233,88,83,18,1708,1021,2164,739,186,190,38,4339,436,862,224,70,61,16,1659,485,1133,287,82,58,13,2053,766,1649,419,114,98,19,3060,1419,3899,954,201,158,45,6676,619,2084,490,92,87,11,3381,556,2348,557,115,80,14,3676,423,990,476,82,136,38,2148,9614,21316,7388,1821,2176,369,42683
209,565,651,469,96,168,20,1981,167,159,152,33,62,5,579,265,310,281,57,144,11,1068,214,296,258,68,119,3,961,342,464,450,94,203,14,1568,475,776,557,163,264,27,2265,636,1222,741,227,361,33,3224,816,1634,781,303,377,37,3944,942,2247,738,302,348,40,4614,1132,2673,846,302,336,52,5342,1028,2361,595,220,181,35,4412,1663,4107,1193,278,308,60,7615,767,1780,321,97,104,16,3080,613,1449,315,87,54,22,2538,1146,2525,570,125,115,35,4514,1188,3136,848,142,130,43,5485,407,959,332,37,48,17,1795,279,739,226,42,27,8,1325,537,1110,604,127,206,44,2629,13176,28603,10262,2818,3540,520,58920
210,334,480,337,91,130,25,1403,99,99,102,12,57,0,371,229,205,229,37,124,14,837,166,204,200,44,105,4,732,289,382,327,89,148,8,1240,358,610,473,134,233,34,1839,532,989,629,240,255,24,2664,708,1499,701,292,322,37,3562,816,1861,603,262,298,48,3894,972,2211,705,314,261,39,4505,701,1791,423,165,151,29,3264,1096,2847,834,216,207,50,5253,492,1123,245,80,74,20,2037,421,910,203,48,47,10,1639,643,1440,416,87,75,18,2674,717,1800,532,88,88,27,3261,228,603,197,24,24,7,1078,142,366,151,20,30,3,710,441,816,459,122,188,30,2060,9387,20237,7768,2371,2833,424,43022
