SA4_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
201,44,24,452,184,33,441,37,594,32,1846,204,229,1121,343,107,360,182,598,70,3217,761,1130,2053,421,299,410,578,837,95,6578,1287,1333,1699,430,354,380,748,735,116,7081,1501,1159,1614,510,410,364,989,912,165,7620,1195,1066,1235,336,365,340,851,771,104,6260,458,326,220,80,89,114,219,189,47,1742,125,39,18,6,13,14,17,29,22,279,16,0,6,0,0,4,4,14,9,51,5579,5307,8415,2317,1677,2418,3630,4684,661,34677,13,35,67,456,83,1075,11,282,34,2055,136,437,210,905,454,737,14,265,41,3196,407,1871,387,1056,1101,648,28,375,64,5935,668,2010,372,1051,1472,544,55,482,95,6742,764,1876,378,1324,1819,682,110,726,98,7782,580,1432,251,929,1305,473,87,593,67,5720,233,233,44,140,248,88,10,124,30,1152,29,14,0,5,14,4,0,11,18,97,4,3,4,7,6,0,3,7,0,29,2835,7909,1710,5884,6492,4251,322,2865,442,32713
202,34,15,349,175,37,413,69,678,31,1804,169,215,1054,289,97,353,219,699,62,3151,721,1072,2005,364,299,354,535,1028,87,6451,1246,1356,1455,448,363,338,671,811,120,6809,1413,1262,1567,553,431,371,909,827,112,7443,1253,1102,1162,398,384,309,824,816,110,6357,466,320,203,90,90,107,209,156,44,1691,133,48,27,6,9,20,6,27,14,294,22,4,4,3,0,0,0,3,0,44,5458,5393,7826,2326,1714,2270,3445,5042,582,34049,21,34,84,426,100,1040,12,278,26,2016,118,415,221,858,360,717,29,335,29,3079,482,1904,359,988,1009,541,52,437,73,5839,711,2117,361,927,1327,525,58,432,90,6553,832,1949,330,1239,1722,688,102,726,98,7692,636,1528,214,963,1292,493,100,556,67,5855,213,261,46,144,260,109,14,111,29,1204,39,11,4,12,17,10,0,17,7,122,9,9,0,3,8,3,0,0,9,42,3066,8222,1619,5551,6097,4134,370,2895,437,32395
203,48,49,690,314,74,781,102,1124,61,3247,288,426,1934,670,241,805,396,1171,92,6026,1344,2431,4115,914,630,817,1152,1574,216,13194,2496,2867,3382,849,723,768,1319,1426,271,14099,2581,2425,3027,990,757,675,1689,1396,277,13824,1846,2008,2187,660,677,564,1433,1146,183,10703,614,613,355,137,192,191,309,314,83,2805,112,82,31,3,16,18,26,59,23,375,17,14,8,0,0,3,0,0,6,48,9342,10901,15726,4547,3321,4624,6433,8210,1220,64319,38,44,122,913,180,1918,34,425,63,3740,249,738,379,1754,731,1412,83,392,73,5819,980,4273,815,2129,2070,1220,102,452,156,12197,1341,4117,689,2006,2749,1145,148,730,169,13093,1395,3411,685,2459,3232,1262,210,1111,169,13930,896,2456,385,1624,2270,972,158,936,119,9822,240,404,72,274,496,150,21,217,42,1911,34,25,6,6,37,7,0,21,19,150,9,4,0,3,5,0,0,7,11,38,5178,15468,3152,11168,11762,8086,764,4294,831,60706
204,51,28,646,236,35,433,77,697,44,2247,192,120,1295,337,79,265,305,685,65,3348,849,725,2190,497,191,322,732,1034,118,6654,1352,960,1870,471,320,362,929,924,151,7328,1804,993,1910,594,423,407,1346,1187,168,8842,1808,1046,1473,430,436,366,1250,1004,135,7945,991,331,317,103,107,149,285,271,66,2626,300,39,24,13,8,12,13,38,35,492,63,10,4,0,0,7,8,6,11,114,7422,4246,9744,2682,1600,2330,4948,5848,789,39607,40,34,94,546,122,1067,16,322,34,2269,133,298,226,781,319,517,32,267,33,2611,483,1648,401,1172,1006,640,56,457,63,5930,805,1860,436,1174,1428,619,83,594,80,7079,1054,1858,449,1420,1991,862,149,923,113,8817,976,1599,306,1127,1575,637,114,854,84,7269,455,277,51,197,328,144,18,161,39,1679,108,25,3,10,28,7,0,13,23,223,15,3,3,4,15,4,0,4,3,50,4071,7600,1965,6441,6812,4496,475,3601,478,35941
205,102,28,773,212,48,728,95,1045,62,3102,335,244,1889,279,142,415,320,903,85,4612,1294,1207,3543,576,333,556,1109,1631,200,10455,1964,1318,2921,538,457,501,1393,1429,201,10727,2484,1334,3185,680,500,554,1944,1783,228,12684,2390,1438,2441,591,573,540,1767,1555,242,11539,1236,443,527,143,186,211,418,414,100,3682,372,60,51,15,21,18,31,52,35,655,66,3,9,3,4,0,6,12,10,122,10237,6073,15351,3035,2261,3535,7090,8816,1177,57579,48,36,158,682,154,1614,23,411,59,3184,187,519,345,1179,597,901,29,376,51,4199,749,2565,623,1728,1787,1010,79,698,114,9351,1122,2410,555,1761,2165,1060,102,882,132,10184,1450,2568,618,2314,2891,1282,125,1340,157,12751,1324,2265,426,1757,2222,992,139,1233,151,10506,610,411,72,287,474,157,20,255,58,2356,177,27,6,24,37,13,0,25,31,332,19,6,0,7,9,0,0,0,9,51,5691,10814,2795,9735,10338,7034,522,5217,767,52908
206,53,182,244,689,134,771,95,726,45,2935,749,2998,2051,2803,1439,2099,499,1840,268,14741,8324,24633,8287,4547,4953,3993,1392,3180,1044,60358,8492,14879,3765,1673,2717,1868,971,1263,609,36231,6598,8721,2644,1206,1916,1290,995,1138,458,24970,3696,5665,1572,640,1116,767,781,861,276,15367,1167,2256,399,168,360,291,221,293,143,5289,180,325,46,17,50,41,33,52,34,777,31,58,12,3,11,13,3,5,16,151,29296,59728,19017,11740,12686,11123,4984,9364,2898,160826,50,205,87,1239,311,1826,17,292,48,4084,985,4022,833,4767,2820,3860,84,755,260,18387,7662,28341,2479,6666,8923,4601,168,1509,929,61279,6559,14707,1134,2451,5218,1724,112,535,466,32900,4523,9328,778,1987,4744,1422,111,597,360,23856,2290,5912,415,1194,3171,883,121,518,189,14697,525,1393,99,310,862,248,17,167,89,3716,45,120,11,18,77,31,0,28,23,340,11,25,7,3,11,5,0,3,13,79,22660,64048,5843,18630,26135,14599,637,4401,2375,159332
207,53,167,238,759,163,879,82,740,50,3131,410,1575,1232,1328,801,1590,326,1056,171,8484,2646,6808,2845,1214,1642,1582,549,1139,364,18777,4613,6943,2046,587,1201,1075,431,657,307,17856,5792,6535,2316,710,1283,1118,659,769,315,19492,3385,4895,1557,465,926,795,577,695,225,13515,1009,1855,446,170,353,293,189,280,91,4679,173,288,71,13,52,55,17,41,46,754,23,44,3,3,4,4,0,5,14,98,18104,29104,10745,5244,6418,7389,2833,5373,1562,86787,55,172,54,1098,297,1874,14,321,46,3939,367,1807,280,1893,1408,2269,32,307,100,8464,1889,7910,680,1906,2918,1512,56,412,264,17544,3015,7174,514,1262,3083,999,60,341,249,16685,3140,7056,610,1783,4238,1425,106,541,285,19191,1551,4498,392,1221,2967,842,112,504,146,12232,357,1154,100,342,935,254,23,122,71,3356,41,99,4,26,87,32,3,27,30,355,7,9,0,3,4,4,0,3,11,49,10424,29881,2638,9538,15947,9218,398,2564,1200,81820
208,54,128,374,762,159,930,111,903,54,3486,402,1181,1524,1303,722,1411,351,992,140,8015,2986,6634,4069,1315,1680,1699,701,1182,352,20615,6537,8029,3250,968,1655,1428,711,818,413,23806,7265,7003,3154,878,1574,1446,962,996,381,23654,3932,4963,2250,556,1103,994,941,882,286,15906,1134,1892,566,182,384,429,291,354,102,5334,159,245,67,31,55,71,32,76,40,769,28,23,9,4,12,4,3,17,24,125,22494,30109,15253,5992,7332,8418,4112,6209,1793,101708,37,140,81,1223,265,2055,15,311,40,4167,358,1545,315,2017,1328,2064,53,317,90,8088,2277,8683,798,2348,3450,1723,95,514,281,20176,3900,9198,726,1930,4145,1444,78,358,280,22059,3694,8056,814,2383,5564,1791,152,563,301,23328,1688,4819,471,1600,3973,1134,128,537,170,14512,365,1065,118,422,1160,378,24,161,78,3771,30,76,3,24,100,29,3,19,25,308,14,6,0,0,10,0,0,0,28,65,12349,33588,3336,11955,20003,10619,544,2784,1294,96470
209,69,96,992,498,129,1251,180,1549,89,4857,462,981,3041,1232,706,1607,814,1840,199,10884,3174,6128,8059,1895,2298,1990,2803,2944,496,29793,5251,6833,6218,1503,2156,1531,2810,2347,519,29182,5010,4619,5338,1357,1850,1343,2997,2429,468,25410,3091,3319,3412,923,1399,885,2313,1793,305,17444,676,910,691,192,310,272,507,504,98,4161,87,99,53,13,24,32,23,76,32,438,5,9,11,3,3,4,3,6,9,58,17829,23003,27825,7606,8880,8922,12451,13490,2217,122228,58,140,149,1068,329,3167,24,409,83,5424,448,1583,571,2606,1818,2928,94,589,144,10783,2210,8939,1432,4162,5144,2444,207,1077,394,26004,2924,8387,1131,3454,5830,1887,275,1096,347,25324,2356,5893,978,3513,6696,2116,417,1561,357,23883,1219,3620,507,2278,4288,1334,298,1326,178,15046,196,619,97,382,831,218,34,240,62,2657,20,39,14,20,49,16,3,24,23,220,0,10,3,4,12,5,0,0,5,40,9412,29225,4890,17486,24989,14116,1346,6317,1595,109382
210,44,58,686,358,118,826,151,1095,71,3404,333,635,2407,804,506,1098,830,1473,202,8292,2204,3631,5730,1404,1611,1286,2691,2336,479,21381,3244,3650,4434,1053,1560,999,2630,1922,380,19870,3202,2509,3949,892,1339,898,2955,1909,340,17989,1821,1634,2263,579,935,590,2005,1268,213,11296,412,446,465,112,213,173,431,313,62,2632,63,51,34,8,17,16,20,39,19,267,10,3,4,7,3,6,0,3,6,46,11333,12608,19963,5222,6294,5887,11715,10366,1775,85178,28,75,83,634,203,2202,25,305,78,3634,310,920,346,1693,1322,2044,96,401,138,7268,1440,5203,943,2864,3710,1645,202,803,273,17091,1736,4620,726,2538,4005,1300,239,832,241,16227,1507,3092,667,2719,4592,1526,362,1270,235,15986,713,1826,362,1448,2767,881,239,871,142,9244,129,264,49,255,493,156,21,208,55,1627,14,19,4,16,31,12,0,21,17,130,0,4,3,3,0,0,0,0,5,24,5878,16022,3183,12172,17124,9768,1179,4709,1195,71229
