SA4_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
201,9,40,7,4,14,47,82,46,176,1580,1702,182,3459,203,279,483,3945,2917,86,6945
202,11,41,4,0,3,48,72,25,142,1649,1800,189,3636,174,191,366,4002,2749,69,6826
203,20,73,7,10,13,90,123,72,288,3095,3089,324,6512,325,316,641,7152,4484,129,11767
204,13,40,0,6,3,51,79,52,179,1751,1836,209,3793,202,178,379,4173,2665,94,6926
205,22,67,6,5,14,83,144,70,296,2453,2919,358,5726,385,381,766,6488,4742,146,11382
206,22,80,0,4,11,94,171,87,348,4534,3171,336,8039,376,418,795,8832,6775,171,15776
207,17,49,3,0,11,56,73,54,178,3779,2751,261,6795,235,237,475,7271,4822,110,12198
208,18,86,0,0,3,91,85,53,229,4680,3423,326,8430,256,261,516,8949,4706,106,13766
209,27,134,9,13,26,160,210,108,472,5851,4537,504,10895,442,461,903,11797,8243,199,20235
210,20,98,7,6,13,113,168,98,385,4139,3107,411,7650,378,372,743,8395,7054,210,15660
211,45,180,3,3,13,184,151,75,415,6637,5331,520,12490,324,418,744,13233,6799,157,20190
212,46,173,20,16,36,206,242,184,632,8801,6416,794,16010,802,834,1638,17643,12931,359,30938
213,40,189,11,21,34,219,343,218,786,8877,6176,836,15891,1135,1104,2234,18130,13799,426,32352
214,24,95,5,6,12,106,133,79,320,3916,3627,377,7924,320,379,695,8615,4868,160,13653
215,7,35,3,6,11,43,99,56,196,1366,1327,141,2829,154,151,306,3139,2617,101,5860
216,18,37,3,5,9,47,79,42,168,1307,1309,170,2780,153,166,321,3106,2235,82,5428
217,12,33,5,3,4,41,65,41,146,1103,1330,146,2579,99,116,216,2793,1828,79,4699
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
