SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED20106,342,1077,237,125,46,2760,853,281,1585,348,205,98,3377,159,64,572,231,190,27,1239,109,37,293,170,318,30,951,186,38,550,178,190,152,1286,6555,1929,15552,4437,4316,960,33741
SED20207,317,1071,316,252,39,2599,475,276,1427,736,684,123,3721,51,18,196,121,157,26,575,66,30,172,205,530,40,1047,139,30,326,208,407,169,1272,4368,1320,9992,5375,7957,1169,30188
SED20302,275,830,263,284,35,1890,199,177,892,694,978,151,3099,16,14,106,113,175,21,445,9,8,76,140,639,32,898,37,13,88,115,388,133,771,908,712,3920,3607,9268,1037,19451
SED20401,320,903,330,267,57,2247,243,253,1097,716,861,96,3264,14,12,110,98,101,12,352,56,25,133,185,568,30,999,40,13,169,146,366,121,857,1655,962,5743,3950,7607,770,20689
SED20508,293,931,341,242,46,2190,279,282,1114,643,907,126,3353,14,19,79,59,113,13,291,19,16,77,114,458,19,705,26,15,97,84,264,67,558,1094,930,4493,3176,7074,677,17441
SED20604,330,803,298,329,48,2104,259,260,1083,829,1075,122,3628,9,8,47,38,77,11,198,16,5,47,113,602,23,813,13,8,79,74,327,131,631,910,925,3971,3598,9202,924,19524
SED20704,400,1097,305,301,41,2443,369,366,1390,730,1074,139,4066,14,15,70,52,118,14,282,28,19,72,130,529,26,802,14,7,83,56,274,87,517,1078,1134,5025,2962,8065,759,19019
SED20804,329,764,231,249,42,1907,347,324,1139,689,921,122,3543,22,19,69,36,76,13,233,24,15,74,88,511,27,739,25,16,71,70,274,101,560,1076,995,4043,2585,7233,781,16717
SED20906,359,1073,271,191,42,2573,453,220,1241,580,439,98,3036,39,17,173,82,79,11,407,43,29,184,142,350,27,780,94,17,257,145,175,99,787,3129,1299,8775,3572,4170,707,21646
SED21001,417,1241,247,163,45,2981,724,368,1951,548,378,116,4088,57,33,187,62,56,12,401,96,45,237,163,276,33,851,125,35,341,129,154,82,861,4517,1693,10736,3463,3486,700,24595
SED21106,355,1085,255,134,49,2646,685,274,1613,391,237,103,3302,82,33,289,109,91,14,617,56,35,198,123,259,19,684,155,44,426,164,155,103,1043,4178,1618,11417,3414,3261,717,24605
SED21203,158,482,197,185,52,1320,161,83,580,521,591,95,2018,19,0,47,26,52,3,139,25,3,77,123,314,27,577,59,12,166,125,265,160,785,1228,399,3575,2531,4412,830,12975
SED21303,737,1815,283,175,63,4780,1001,457,1934,457,369,82,4299,176,60,607,128,121,28,1116,150,48,333,151,302,34,1029,143,45,393,128,162,138,1000,6136,2398,14074,3735,4323,754,31421
SED21401,264,846,211,150,34,2045,500,229,1330,393,347,125,2929,26,10,122,52,65,13,291,75,20,182,118,334,24,757,111,16,331,127,140,106,827,3078,1017,8243,2998,3599,799,19734
SED21503,291,951,264,211,43,2289,362,243,1261,596,680,110,3252,23,11,100,58,96,4,289,56,15,132,140,422,29,801,88,19,214,100,236,123,780,2320,947,6420,3362,5452,754,19250
SED21608,326,888,322,345,39,2294,241,272,1027,639,856,114,3155,21,9,100,56,123,11,311,10,19,67,85,475,26,682,22,14,79,73,323,83,591,1045,916,4020,2838,7523,762,17107
SED21706,413,1213,262,133,52,2907,622,305,1706,507,346,98,3582,65,17,192,60,64,8,406,93,30,171,129,239,15,681,139,29,373,126,140,94,906,4433,1656,10540,3233,3211,578,23649
SED21805,267,793,370,301,44,2048,226,196,997,811,1028,116,3373,17,8,94,70,125,8,318,23,11,94,167,666,44,993,46,10,155,146,509,158,1027,1135,791,4895,4328,9301,942,21400
SED21906,443,1328,329,166,62,3244,813,306,1962,467,311,122,3981,80,40,265,98,86,19,591,81,25,248,175,299,31,857,165,39,454,152,160,105,1078,4766,1726,12534,3549,3407,852,26833
SED22005,202,787,230,150,48,1995,382,166,1320,593,598,125,3184,25,3,103,68,88,9,296,58,22,171,232,424,45,949,125,11,315,217,296,157,1125,3157,819,7886,3877,4988,944,21670
SED22105,214,797,346,310,52,2024,361,241,1542,1256,1433,185,5012,13,3,67,94,167,22,362,37,9,132,259,852,49,1336,94,17,213,251,648,260,1473,2237,800,6749,6121,11747,1350,29004
SED22201,334,1020,299,262,43,2347,261,232,1031,673,824,101,3123,15,21,85,46,96,7,260,41,24,122,182,535,24,935,48,14,136,103,314,108,721,1543,1036,5534,3606,7045,682,19444
SED22305,112,388,189,154,34,1070,181,112,902,643,813,128,2778,18,8,33,44,56,9,167,32,7,96,159,435,37,769,66,15,209,220,395,231,1138,1354,430,4503,3613,5739,1035,16673
SED22404,323,737,337,324,61,2010,160,155,675,617,682,103,2389,38,15,90,76,113,20,352,19,13,73,117,627,43,890,15,12,117,114,430,151,840,766,745,3518,3137,8146,996,17304
SED22501,518,1370,366,250,38,3195,470,320,1396,624,569,100,3467,38,28,162,86,98,14,429,51,32,138,154,437,26,840,49,19,210,117,246,70,708,2365,1536,7577,3777,6090,641,21979
SED22607,499,1353,290,190,55,3295,652,336,1678,468,374,99,3615,68,39,317,96,129,13,664,71,35,214,128,288,23,758,104,29,291,115,187,111,838,3949,1820,11171,3671,4634,735,25980
SED22704,270,680,246,270,36,1675,126,151,658,674,809,125,2552,7,9,45,65,149,17,287,19,4,45,95,546,40,743,14,15,63,84,347,137,660,605,644,2949,3131,8395,1057,16792
SED22802,270,795,324,309,43,1940,142,181,737,731,846,103,2745,3,3,73,68,99,9,256,36,18,91,144,757,29,1066,8,10,109,114,464,126,830,766,713,3867,3627,8897,766,18633
SED22901,256,853,268,235,28,2027,260,204,1107,643,666,93,2972,18,3,80,65,59,7,236,56,20,135,150,459,24,847,68,20,215,122,305,105,830,1951,842,6250,3414,6029,668,19150
