SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,3,0,6,18,0,4,0,18,12,0,3,0,17,15,4,3,0,22,18,7,0,0,25,3,5,0,0,13,7,6,0,0,14,9,12,3,0,24,8,10,0,0,17,6,5,0,0,13,3,0,0,0,3,6,13,0,0,15,12,4,4,0,23,0,0,0,0,0,112,64,36,0,215
SSC20013,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,9,0,4,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,15,18,4,0,36
SSC20014,21,5,4,3,33,13,0,7,0,14,4,4,7,0,18,0,0,7,0,11,42,3,13,5,61,14,9,22,5,55,119,17,27,7,169,51,35,37,5,127,69,53,44,8,166,58,74,45,4,185,27,62,33,3,128,36,52,18,7,109,79,143,31,8,265,69,109,16,7,204,40,84,3,0,132,27,55,4,0,86,28,80,6,0,117,48,76,39,4,168,26,8,13,0,45,775,870,376,64,2089
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,3,6,9,3,18,4,3,4,4,13,3,7,19,0,29,4,6,22,0,34,35,21,22,0,77,18,29,24,0,68,78,39,37,3,160,37,58,36,9,135,49,77,46,7,181,35,93,20,3,146,19,46,24,3,90,21,38,9,3,76,31,68,13,0,105,17,56,3,0,72,11,28,5,0,45,0,11,3,0,17,0,22,0,0,20,22,69,35,0,132,19,11,11,0,34,411,688,333,26,1455
SSC20017,9,0,4,0,14,6,0,3,0,10,3,0,3,0,4,3,0,4,0,7,13,0,9,3,24,5,4,9,0,14,39,0,14,0,55,20,11,16,0,44,20,10,14,0,48,36,21,18,3,76,20,15,14,4,54,31,12,10,0,60,64,45,21,0,135,46,39,7,0,88,44,46,0,0,89,50,68,9,0,131,222,312,10,0,552,60,105,22,3,188,10,4,8,0,21,691,703,189,25,1611
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,5,10,0,3,0,9,5,0,0,0,5,0,3,0,0,3,5,0,0,0,4,0,4,0,0,6,3,3,0,0,9,3,4,0,0,3,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,0,3,40,24,9,0,76
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,14,6,3,0,22
SSC20020,11,6,9,0,27,4,3,10,0,12,3,4,12,0,22,4,5,10,0,18,22,11,16,9,54,12,15,16,0,51,53,17,20,5,101,30,44,22,12,104,36,39,15,12,101,36,46,21,10,111,32,37,14,3,81,27,28,3,4,64,41,37,6,3,96,30,35,4,0,62,15,17,6,0,34,8,15,0,0,26,9,11,3,0,20,28,48,17,0,85,16,6,10,0,36,408,433,210,58,1112
SSC20021,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,10,0,11,7,3,5,0,16,14,4,10,0,26,79,3,6,0,90,27,10,6,0,52,35,29,13,0,72,34,20,8,0,62,23,20,4,0,42,23,22,0,0,46,34,52,3,0,88,15,25,3,0,39,6,13,0,0,17,7,3,0,0,6,10,12,0,0,18,26,26,9,0,63,11,4,7,0,19,343,247,82,3,679
SSC20022,13,3,6,0,23,3,0,0,0,4,3,3,6,0,12,3,0,3,0,5,29,3,20,0,53,22,3,53,0,73,108,15,39,0,168,64,36,48,3,153,72,57,54,4,186,74,87,38,3,209,52,94,17,3,166,59,97,16,0,184,102,213,24,0,345,60,162,15,0,244,36,106,0,0,140,20,54,3,0,81,39,109,9,0,157,34,116,42,0,195,12,8,6,0,29,815,1179,412,21,2428
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,16
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,0,18
SSC20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,7,3,0,0,0,8,10,3,0,0,14,5,4,0,0,8,0,0,0,0,0,0,5,0,0,8,5,6,0,0,11,0,5,0,0,4,0,4,0,0,6,0,3,0,0,3,3,5,0,0,3,3,3,0,0,11,3,0,0,0,3,39,48,4,0,88
SSC20027,3,0,0,0,3,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,4,0,0,0,6,6,0,10,0,18,30,8,3,0,34,5,12,5,0,17,7,13,4,0,27,16,17,5,0,34,11,20,0,0,30,15,21,4,0,39,19,31,3,0,49,12,17,0,0,32,7,12,0,0,21,0,5,0,0,9,9,9,0,0,20,11,24,5,0,39,9,5,0,0,11,166,184,45,0,396
SSC20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,4,3,0,6,0,3,0,0,5,4,0,0,0,4,3,0,0,0,4,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,6,3,0,0,0,3,0,0,0,0,0,19,19,3,0,47
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,3,0,32
SSC20030,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,3,5,0,0,0,9,0,0,0,0,6,3,3,0,0,5,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,10,0,0,0,0,0,26,21,7,0,58
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,18
SSC20033,7,0,0,0,9,3,0,3,0,4,0,0,0,0,0,0,0,3,0,5,15,0,8,0,18,7,4,7,0,25,27,0,9,0,41,21,3,13,0,41,31,11,17,4,64,19,17,14,3,54,12,18,9,0,43,16,18,17,3,56,63,69,9,0,138,44,64,10,0,115,42,49,8,3,100,27,58,6,0,93,76,235,13,0,324,26,76,14,0,115,0,3,3,0,7,447,626,154,24,1248
SSC20034,15,3,7,0,32,11,0,3,0,13,10,3,18,0,33,0,0,8,0,11,60,11,20,0,89,23,18,31,3,66,124,16,30,9,173,95,40,50,3,191,92,44,61,5,204,74,68,45,8,198,52,80,38,6,178,65,67,25,5,158,158,169,31,11,360,110,165,11,3,286,80,124,9,0,213,37,89,9,0,131,70,166,5,0,248,79,121,53,3,255,34,18,8,0,65,1192,1209,442,62,2901
SSC20035,36,10,21,4,75,32,3,10,0,39,14,18,36,0,61,5,5,36,0,49,79,31,41,8,156,43,36,87,3,167,251,66,97,6,420,140,110,100,8,366,135,167,134,12,450,131,200,84,15,432,108,223,69,4,405,96,207,39,10,354,196,409,70,13,691,141,254,37,11,433,66,174,18,0,255,42,93,4,0,148,42,163,9,3,212,108,274,80,3,465,28,23,15,3,76,1704,2456,979,104,5247
SSC20036,23,14,17,4,48,22,6,6,0,29,10,12,17,5,38,3,8,22,0,33,95,26,38,0,164,23,27,49,3,105,195,57,66,3,322,66,61,58,13,197,84,101,61,8,255,51,105,53,5,218,35,115,39,3,187,46,109,32,6,195,98,167,35,3,305,94,133,13,12,251,61,104,11,0,173,32,74,9,0,112,44,99,5,3,152,74,135,52,5,273,37,21,19,0,82,1090,1367,602,90,3146
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,3,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,12,19,4,0,31
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,7,6,0,19
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,3,0,3,0,4,0,0,3,3,0,0,0,4,3,3,0,0,6,3,0,0,0,4,3,0,0,0,5,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,34,16,11,0,62
SSC20041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,5,0,0,0,3,18,3,0,0,16,4,0,3,0,9,14,0,0,0,18,5,7,0,0,14,3,3,0,0,10,6,4,0,0,14,11,16,3,0,27,3,3,0,0,10,9,4,0,0,13,3,3,0,0,6,4,9,0,0,16,9,14,0,0,18,6,0,0,0,9,96,79,15,0,189
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,12,7,4,0,26
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
SSC20045,4,0,0,0,4,3,0,0,0,3,0,0,0,0,3,3,0,3,0,8,17,0,6,0,18,3,5,6,0,8,31,0,8,0,39,21,10,3,0,35,40,22,9,0,70,31,23,6,0,58,19,18,0,0,41,31,13,9,0,48,37,39,4,0,83,15,38,0,0,58,14,20,0,0,30,6,7,0,0,19,19,24,0,0,44,27,31,22,0,76,8,3,0,0,15,334,248,75,3,658
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,0,16
SSC20048,3,0,0,0,3,3,0,0,0,6,0,0,0,0,4,3,0,0,0,4,9,0,0,0,11,13,3,5,0,21,27,10,11,0,43,18,11,7,0,40,29,14,11,0,48,23,14,0,0,35,6,6,4,0,17,13,15,3,0,28,13,20,0,0,35,8,8,0,0,17,3,5,0,0,5,5,4,0,0,7,3,0,0,0,10,11,22,3,0,41,3,0,3,0,9,193,124,52,5,380
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,10
SSC20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,11,3,0,0,12,3,0,0,0,4,10,3,0,0,9,9,0,0,0,14,3,0,0,0,3,8,0,0,0,8,3,3,0,0,8,0,3,0,0,3,0,3,0,0,3,3,0,0,0,3,0,0,0,0,5,5,5,0,0,14,0,0,0,0,0,52,21,5,0,80
