SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,4,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,4,8,7,14,13,6,3,53,14,24,49,69,132,182,102,58,20,656
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,11,0,8,11,17,25,35,14,5,0,109
SSC20014,0,3,14,8,22,52,181,222,110,605,0,0,7,3,4,10,29,38,23,113,13,28,76,84,58,65,91,78,43,543,111,404,1247,1106,967,830,707,583,244,6200
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,0,6,21,34,75,99,135,47,20,440,0,3,17,18,41,32,20,15,5,157,29,38,64,63,49,58,70,32,11,406,159,396,833,730,688,716,545,164,44,4274
SSC20017,0,0,3,3,9,15,74,100,36,233,0,0,3,3,3,0,6,19,3,39,11,28,64,80,80,61,78,44,23,470,72,238,748,996,998,791,677,342,115,4983
SSC20018,0,0,0,0,0,3,3,10,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,6,0,23,5,16,17,16,40,45,52,21,5,217
SSC20019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,5,17,22,9,8,0,67
SSC20020,0,5,29,27,29,41,57,68,25,281,3,3,29,15,16,7,6,9,3,107,16,44,121,71,54,61,61,32,21,479,113,404,1191,710,474,417,329,196,62,3897
SSC20021,0,0,4,5,6,20,49,47,46,193,0,0,0,0,3,0,3,0,3,13,8,5,16,20,28,49,58,31,13,249,59,113,238,289,346,401,437,227,127,2236
SSC20022,8,6,14,12,18,34,59,67,34,252,0,0,0,11,9,4,0,4,0,29,25,32,58,51,73,70,63,37,16,430,288,577,1092,1224,1316,1002,722,360,106,6694
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,0,0,19
SSC20024,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,5,0,0,0,22,6,3,3,8,19,17,14,3,0,73
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,13,6,3,5,3,13,21,12,0,0,70
SSC20026,0,0,0,0,0,3,4,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,14,8,11,17,36,53,54,38,10,3,237
SSC20027,0,3,3,3,3,10,25,18,12,82,0,0,0,0,0,0,0,0,0,0,11,9,17,29,27,14,22,8,3,143,54,93,158,191,246,198,138,58,18,1153
SSC20028,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,8,0,0,22,3,9,13,21,37,27,19,11,3,141
SSC20029,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,13,5,6,11,14,18,23,21,0,0,98
SSC20030,0,0,0,3,0,3,3,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,5,15,22,33,29,27,9,3,148
SSC20031,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,0,16
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,10,3,11,7,3,3,0,41
SSC20033,0,0,3,3,6,14,38,58,28,146,0,0,3,0,0,0,7,4,3,23,13,25,50,44,53,34,26,22,12,272,119,383,756,679,866,611,356,175,85,4025
SSC20034,0,0,16,16,20,58,178,188,88,555,0,3,4,4,0,14,6,23,11,64,25,23,88,88,95,104,103,103,62,696,186,496,1462,1691,1486,1322,1038,714,330,8713
SSC20035,7,7,31,33,108,201,400,254,106,1143,3,3,18,13,27,45,63,54,22,249,44,71,160,135,167,184,156,134,86,1131,419,1261,3102,2558,2756,2481,1618,795,322,15327
SSC20036,6,7,34,46,64,129,355,470,213,1315,0,6,9,16,34,39,81,109,51,342,33,44,142,139,107,82,122,204,124,991,292,661,1852,1749,1307,1034,1028,1123,490,9548
SSC20037,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,20,3,4,12,22,25,16,13,12,3,99
SSC20038,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,15,19,11,3,0,55
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,3,0,0,3,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,12,5,11,17,15,41,47,41,11,7,206
SSC20041,0,0,0,0,4,8,10,6,5,30,0,0,0,0,0,0,0,0,0,3,4,0,3,14,22,18,12,4,0,70,12,34,48,84,112,137,76,41,3,549
SSC20042,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,3,0,0,6,10,17,17,3,0,71
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,3,10,0,0,23
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,14
SSC20045,0,0,3,0,5,3,18,15,24,74,0,0,0,0,0,0,0,0,0,0,5,0,19,16,27,28,34,27,19,169,32,81,212,253,362,417,425,190,107,2086
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,6,3,0,0,23
SSC20047,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,14,3,3,8,7,8,8,16,3,0,57
SSC20048,0,0,3,3,4,7,27,28,6,80,0,0,0,0,0,0,3,0,0,3,5,12,14,19,22,37,23,17,4,153,28,72,162,169,205,306,251,119,40,1339
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,11
SSC20050,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,11,10,0,0,25
SSC20051,0,0,0,0,0,3,7,3,6,19,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,14,3,5,18,31,37,76,37,22,10,234
SSC20052,5,7,13,20,31,79,154,166,128,610,0,0,4,6,15,16,15,9,3,68,21,57,229,257,181,172,129,128,42,1226,220,444,972,978,1184,1149,1006,606,283,6841
SSC20053,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,6,16,23,11,3,0,71
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,17,3,4,15,25,44,25,23,8,0,162
SSC20056,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,5,3,9,4,15,15,0,10,0,65
SSC20057,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,8,0,0,23
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC20059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,14
SSC20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,10,9,3,0,0,19
SSC20061,0,0,15,15,19,23,46,57,36,205,0,3,7,17,17,8,9,13,29,108,10,8,52,21,27,29,23,29,32,245,59,194,629,440,323,291,236,150,116,2449
SSC20062,0,0,0,0,0,10,6,7,0,25,0,0,0,0,0,0,0,0,0,4,8,4,14,7,11,8,12,3,0,65,26,22,73,51,81,67,57,16,4,390
SSC20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,9,0,5,0,3,8,3,3,3,0,30
SSC20064,0,0,0,0,3,0,5,3,0,19,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,4,6,0,16,10,7,17,11,32,44,41,19,5,184
SSC20065,0,0,0,3,6,6,41,61,39,152,0,0,5,0,0,0,3,9,0,27,27,44,143,104,74,63,67,64,43,625,164,650,1887,1338,1096,890,833,483,237,7574
SSC20066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,4,0,6,8,16,25,9,7,0,75
SSC20067,0,0,0,7,6,3,13,10,0,41,0,0,5,3,0,0,0,0,0,7,7,31,69,53,17,20,10,7,0,219,76,338,1152,691,323,233,131,46,8,2998
SSC20068,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,13,3,6,3,47
SSC20069,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,3,0,0,3,4,3,4,0,0,18
SSC20070,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,6,3,0,9,9,5,6,0,3,36,15,24,30,52,76,88,61,28,11,379
SSC20071,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,14,0,10,32,47,58,66,50,25,0,294
SSC20072,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,5,3,4,13,11,10,11,11,3,70
SSC20073,0,3,4,4,5,14,31,10,3,71,0,0,0,0,3,0,0,0,0,4,6,15,16,15,21,26,11,13,0,121,61,124,267,237,231,280,186,63,21,1469
SSC20074,3,4,25,32,42,85,126,173,76,569,4,4,19,21,14,23,23,50,37,195,59,71,205,185,163,114,69,55,11,932,271,1016,2914,2368,2019,1537,873,479,210,11690
SSC20075,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,3,3,3,27,35,30,29,5,4,139
SSC20076,0,0,3,4,14,20,41,55,38,175,0,0,3,9,4,13,6,11,3,49,13,11,32,50,51,40,42,52,45,338,161,469,758,1119,1201,928,547,332,235,5741
SSC20077,0,0,7,8,10,22,63,78,56,247,4,4,11,6,7,8,11,13,4,72,16,24,97,75,64,51,40,37,47,461,151,458,1078,986,936,706,539,339,229,5422
SSC20078,3,0,0,3,9,15,27,52,30,145,0,0,3,0,8,0,0,4,0,14,12,19,35,65,59,45,50,43,15,348,148,332,735,1088,1096,808,548,349,122,5222
SSC20079,0,0,3,3,25,26,48,69,22,206,0,0,0,0,10,22,10,6,3,56,17,17,24,20,45,34,32,35,15,233,203,432,582,851,1204,791,452,328,95,4945
SSC20080,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,10,4,8,13,12,30,20,10,0,0,104
SSC20081,0,3,3,8,15,28,34,24,8,116,0,3,0,0,0,6,6,4,3,27,7,6,18,12,26,28,16,8,0,115,121,266,338,441,642,481,206,71,19,2582
SSC20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,4,0,0,3,0,3,0,0,10
SSC20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC20084,0,0,0,4,0,3,10,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,37,10,18,35,41,33,28,11,3,206
SSC20085,0,0,0,4,4,3,10,14,4,41,0,0,0,0,0,0,0,0,0,0,10,0,5,20,15,13,15,13,5,91,22,46,98,130,131,174,143,60,17,827
SSC20086,0,0,4,5,7,14,26,34,10,105,0,0,0,0,0,0,3,0,0,4,3,0,5,12,5,27,26,17,17,116,15,41,96,128,119,207,213,118,30,965
SSC20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7
SSC20088,0,0,4,20,45,112,399,484,178,1246,0,3,15,7,26,31,61,101,38,277,24,38,79,85,89,88,159,157,76,798,218,623,1433,1521,1444,1293,1431,1144,396,9501
SSC20089,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,9,0,0,27
SSC20090,0,0,0,0,0,8,3,4,3,18,0,0,0,0,0,0,0,0,0,0,3,0,11,8,9,17,0,3,4,50,18,58,93,113,124,140,62,29,11,653
SSC20091,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,7,8,5,0,25,12,15,14,52,65,48,37,7,0,249
SSC20092,0,0,0,0,0,4,13,12,3,33,0,0,0,0,0,0,0,0,0,0,6,0,0,6,8,11,7,5,3,48,23,33,80,92,122,118,70,28,4,579
SSC20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,8,4,6,3,3,0,0,35
SSC20094,0,0,9,9,19,49,102,88,45,321,0,0,4,4,3,3,3,0,0,17,20,17,38,64,57,49,81,88,43,458,162,353,687,762,824,793,825,446,184,5033
SSC20095,0,0,0,0,0,4,5,4,3,18,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,13,9,5,0,37,3,34,30,30,48,84,39,18,3,287
SSC20096,0,0,3,0,10,13,14,9,12,65,0,0,0,0,0,0,0,0,0,0,0,5,12,3,14,17,18,4,3,80,33,85,178,192,222,253,174,62,20,1214
SSC20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,3,0,0,11
SSC20098,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,22,13,11,34,24,56,51,30,3,0,223
SSC20099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,5,5,3,0,3,30
SSC20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,4,4,7,3,8,3,31
SSC20101,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,15,0,3,8,17,12,20,13,11,3,92
SSC20102,3,12,17,24,44,64,110,109,97,469,0,0,0,0,4,7,10,6,0,37,46,58,104,80,91,120,134,137,93,855,192,460,904,829,865,987,893,621,326,6069
SSC20103,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,13,8,29,27,19,17,17,20,3,0,141
SSC20104,0,0,4,4,3,7,21,35,19,99,0,0,0,3,4,9,10,4,0,32,17,36,148,82,56,45,44,22,17,467,69,405,1592,957,592,441,305,140,66,4557
SSC20105,0,0,0,0,0,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,5,12,9,22,14,8,6,3,82
SSC20106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,8,12,3,7,0,3,46
SSC20107,0,3,6,7,9,18,64,38,15,155,0,0,0,0,0,3,3,0,0,6,14,9,20,23,41,36,37,31,21,230,88,127,271,383,473,395,332,179,69,2312
SSC20108,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,0,4,6,6,11,7,4,7,0,45
SSC20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
SSC20110,4,3,6,5,16,26,47,62,43,210,0,0,0,0,0,0,0,3,0,9,29,33,55,45,65,49,57,37,14,386,170,449,818,688,687,682,497,268,111,4376
SSC20111,8,6,5,13,9,38,73,69,38,274,0,3,3,3,3,0,3,4,0,21,23,37,56,61,49,51,69,92,88,514,164,463,775,653,634,660,604,408,222,4581
SSC20112,0,3,5,5,10,14,43,64,60,197,0,0,0,0,0,0,0,4,0,6,13,14,15,16,31,20,43,36,23,218,111,206,474,438,495,481,407,296,176,3083
SSC20113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,8,6,15,13,22,10,7,3,96
SSC20114,0,0,0,0,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,4,5,0,3,4,3,9,6,0,0,35,15,15,27,43,41,45,38,8,7,226
SSC20115,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,16,23,10,35,16,4,0,109
SSC20116,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,6,12,7,10,4,3,0,46
SSC20117,0,0,0,0,0,0,4,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,9,0,0,5,9,26,8,29,9,0,97
SSC20118,0,0,0,0,0,5,10,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,3,19,9,10,19,20,54,56,47,30,5,248
SSC20119,0,0,3,3,3,9,13,23,16,66,0,0,0,0,0,0,0,0,0,0,8,9,13,25,22,33,15,14,13,157,41,108,202,267,302,368,268,157,48,1763
SSC20120,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,12,11,3,48,6,9,16,34,55,68,104,50,9,360
SSC20121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4
SSC20122,0,3,3,10,12,37,69,105,83,321,0,4,5,9,6,10,10,18,8,64,50,28,71,57,81,89,80,77,55,579,394,957,1386,1464,2010,1665,1243,810,493,10420
SSC20123,7,0,9,12,20,40,111,184,154,541,0,3,5,5,20,12,16,36,18,117,45,49,73,100,135,102,91,100,82,781,596,1447,1714,2269,3398,2480,1652,1097,676,15323
SSC20124,0,0,0,0,3,3,9,5,8,22,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,10,4,3,0,39,8,25,50,57,85,70,48,17,11,371
SSC20125,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,0,22,8,4,17,37,34,46,18,12,0,182
SSC20126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,7,13,14,18,12,4,3,81
SSC20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,10,0,5,8,3,3,0,30
SSC20128,0,0,0,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0,0,5,8,9,4,3,0,0,0,0,35,51,102,127,91,44,28,21,4,0,473
SSC20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,10,5,5,0,37
SSC20130,0,0,0,0,4,18,51,33,9,119,0,0,0,3,0,3,0,0,0,9,0,4,0,4,8,9,35,33,10,105,3,26,27,46,52,97,255,176,39,727
SSC20131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,10,3,10,3,0,0,29
SSC20132,3,0,5,7,14,23,48,33,36,161,0,0,0,0,4,0,0,0,0,4,14,25,21,49,31,37,46,18,22,270,121,264,679,854,625,510,373,172,94,3699
SSC20133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,8,11,0,0,0,21
SSC20134,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,4,0,0,0,17
SSC20135,0,0,0,5,3,11,9,19,46,90,0,0,0,0,0,0,0,0,0,0,11,7,13,25,27,11,8,18,28,142,46,90,248,350,337,228,133,106,124,1663
SSC20136,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,5,14,9,19,9,5,72
SSC20137,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,8,0,22,3,7,26,15,19,37,48,21,3,178
SSC20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,3,6,3,0,0,15
SSC20139,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0,0,15,6,4,6,10,23,15,30,6,0,108
SSC20140,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,3,7,5,10,3,5,32,10,17,41,42,83,93,57,28,8,366
SSC20141,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,10,3,12,11,3,0,36
SSC20142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,7,0,4,9,11,3,0,0,30
SSC20143,0,0,0,0,3,4,10,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,8,3,0,27,3,14,19,18,43,65,43,15,6,237
SSC20144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,10
SSC20145,0,0,3,0,0,7,13,3,0,24,0,0,0,0,0,0,0,0,0,0,0,4,5,8,7,9,6,7,0,58,26,51,103,118,150,131,71,27,9,683
SSC20146,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,19,7,11,7,18,23,40,23,0,0,133
