SOSR_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR201,20137,61109,16884,13177,2711,150716,28612,14996,81554,36201,36433,6737,204535,2671,1309,10774,4935,5951,829,26467,3451,1361,9810,9493,26388,1792,52295,5727,1365,16645,9105,17026,7928,57795,182590,71639,503144,230689,352426,50740,1391235
SOSR203,767,2658,853,781,103,6262,832,718,3483,1625,2286,291,9244,40,29,212,128,248,35,688,59,39,239,339,1168,46,1892,59,26,279,227,653,268,1507,3455,2377,13612,8119,17612,1827,46999
SOSR211,1340,3945,1196,1366,169,9289,1338,1232,5141,3063,4223,485,15482,64,35,292,202,454,57,1099,89,51,261,496,2232,115,3240,72,33,316,306,1174,452,2356,4445,3839,18490,12763,33695,3154,76385
SOSR212,808,2439,754,847,111,5529,726,666,3034,1926,2502,349,9194,22,15,103,120,248,27,533,31,24,144,330,1526,81,2132,44,21,149,177,744,309,1447,2150,2144,10593,8187,20997,2213,46284
SOSR213,1189,3689,1215,1248,172,8423,882,954,3964,2687,3896,535,12925,41,22,199,218,393,47,915,60,49,264,508,2150,101,3135,56,39,263,325,1196,393,2275,3180,3126,15422,12014,32018,3131,68882
SOSR214,594,1624,530,597,94,3882,373,424,1716,1371,1891,297,6081,35,23,133,116,237,26,576,37,17,132,204,1145,67,1603,29,32,156,165,651,248,1280,1519,1533,6901,5714,16325,1959,33951
SOSR215,1013,2885,910,971,176,6705,562,644,2692,2191,3056,432,9577,45,46,242,211,368,46,958,54,49,222,334,1953,97,2715,60,47,276,268,1165,429,2247,2460,2564,11721,9743,27460,3214,57162
SOSR221,291,757,261,301,38,1868,126,187,751,629,849,121,2671,13,14,67,56,116,23,285,15,12,36,85,567,29,740,17,11,63,82,332,124,624,632,717,2954,2621,7867,942,15738
SOSR222,186,448,182,165,25,1147,94,109,437,362,547,76,1630,6,6,49,49,86,12,208,3,3,27,33,328,18,420,3,11,44,48,189,80,375,397,447,1938,1673,5001,590,10047
SOSR231,1786,5096,1877,1922,296,12446,1283,1425,5713,4135,4823,857,18240,97,63,455,378,717,111,1821,93,62,390,592,3579,210,4929,139,95,681,697,2510,919,5038,5717,5481,26465,22227,57489,7512,124885
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
SOSR299,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
