SOSR_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR201,233,997,60,74,138,1135,1446,888,3467,47870,35609,4004,87479,3949,4156,8105,95585,65412,1767,162762
SOSR203,8,40,3,7,7,52,85,53,192,1894,1815,210,3922,231,208,436,4355,3131,94,7579
SOSR211,25,85,6,14,19,101,164,71,336,3549,3439,391,7374,450,525,974,8351,5919,151,14418
SOSR212,19,58,6,7,10,74,97,57,224,2191,2065,246,4503,217,271,489,4993,3112,110,8213
SOSR213,16,67,10,4,14,79,146,91,313,2761,3085,310,6153,353,355,703,6860,4564,150,11581
SOSR214,11,31,3,8,11,41,98,40,173,1443,1630,182,3266,188,158,348,3615,2608,91,6309
SOSR215,16,66,4,5,10,77,109,61,244,2105,2548,262,4911,230,236,467,5384,3663,115,9165
SOSR221,5,13,3,0,3,18,37,21,75,460,626,75,1160,57,61,116,1274,965,37,2269
SOSR222,0,11,0,0,5,16,20,6,42,339,382,34,755,53,37,90,842,606,19,1474
SOSR231,33,88,4,4,10,97,125,62,278,2898,2658,369,5918,234,264,501,6416,4256,164,10830
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
