SOSR_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOSR201,368,79,984,563,1084,167,3240,408,82,870,244,734,59,2403,5513,1263,17924,10871,31364,2413,69352,1470,325,3432,1410,3162,269,10064,2257,667,11719,9503,68765,2988,95905,3150,765,9347,4567,8667,926,27423,4655,955,16255,8791,15352,1959,47959,2408,372,10019,8463,10454,1411,33120,3694,921,10971,8826,15184,2203,41794,3706,933,9442,3482,3377,573,21502,7343,2204,19591,6286,3178,923,39525,1398,387,4599,2336,3800,441,12967,19929,4179,48849,10327,6663,2074,92012,2132,606,7134,4093,7315,902,22179,5751,2552,12708,7881,9122,1019,39033,14593,5413,17467,4122,3884,792,46266,9568,2826,20254,5888,6657,1294,46481,1354,548,5652,2556,3554,457,14122,1810,519,4522,3705,16819,896,28273,3417,685,9313,5093,12950,4622,36084,94922,26265,241051,109011,232074,26386,729701,180,78,725,362,420,85,1855,155,49,449,84,78,19,823,2661,843,9704,4900,5546,1129,24790,769,254,1983,681,686,124,4495,965,365,4046,3061,3331,500,12274,1911,572,6839,3328,3246,555,16447,3604,1242,20135,12361,13726,2634,53699,1979,452,9794,7031
SOSR203,6,4,53,32,101,18,216,7,3,12,17,71,9,115,120,36,465,352,1628,114,2713,29,7,107,65,221,18,458,35,18,290,320,3339,136,4132,20,11,121,81,303,31,571,74,24,479,319,804,83,1776,41,8,248,183,522,44,1048,56,20,200,215,679,66,1242,22,19,126,65,98,11,335,66,40,314,162,94,17,700,4,7,81,55,132,14,294,242,77,886,324,273,40,1848,31,10,118,100,274,27,559,110,90,420,353,533,59,1557,528,219,825,246,259,36,2115,299,148,802,262,393,57,1956,22,20,105,65,148,18,379,31,12,118,116,688,23,990,36,8,160,134,496,144,982,1791,799,5921,3473,11053,965,23993,0,4,18,20,32,6,90,0,0,8,0,0,0,8,26,11,138,128,246,19,570,16,5,47,53,58,10,187,13,4,87,102,143,11,361,8,15,65,55,85,17,241,55,51,559,541,885,98,2189,33,16,240,243
SOSR211,15,10,101,76,352,30,587,28,10,99,50,408,9,602,116,63,581,564,3106,171,4606,31,22,105,121,406,25,717,39,33,283,415,5850,214,6835,27,5,116,162,675,38,1032,92,40,439,389,1604,123,2682,53,12,232,252,872,67,1485,59,28,243,344,1389,172,2227,32,17,197,163,332,21,768,73,50,356,294,166,28,966,9,6,99,74,264,20,474,229,104,1109,414,430,52,2345,23,22,129,162,531,43,899,186,156,646,777,1205,106,3076,513,414,1130,295,354,44,2749,460,230,1181,504,747,98,3227,41,15,147,87,239,33,558,65,14,124,145,1400,58,1812,44,18,160,145,899,280,1549,2125,1263,7480,5435,21238,1637,39185,4,11,58,43,75,14,204,3,7,36,14,21,0,81,42,24,278,210,539,67,1164,11,11,58,47,63,3,195,13,17,126,158,324,30,663,17,9,53,62,173,8,317,59,51,593,625,1597,197,3118,35,27,303,355
SOSR212,23,9,125,141,385,49,739,7,3,31,38,219,7,300,80,28,314,297,1880,112,2704,63,30,186,157,564,23,1022,16,16,126,215,3473,139,3991,18,7,80,92,487,35,712,34,18,204,207,1028,73,1577,18,6,127,168,560,61,936,26,23,172,226,911,97,1446,12,11,75,57,154,20,331,16,23,142,187,83,11,461,3,0,38,37,179,15,286,93,69,601,256,267,41,1321,9,10,58,86,344,31,537,84,65,325,395,605,43,1516,200,219,705,199,204,30,1555,293,123,685,279,427,67,1868,16,3,54,61,143,11,287,16,15,75,105,931,38,1184,19,5,81,87,571,183,949,1039,663,4205,3292,13419,1091,23714,8,3,63,47,92,24,243,0,0,7,5,6,0,23,20,20,169,146,248,42,645,14,9,63,62,76,4,232,4,7,58,84,164,11,328,5,3,45,47,119,19,239,20,24,291,375,988,155,1854,18,12,159,227
SOSR213,32,9,134,189,627,81,1070,13,3,47,46,323,21,441,86,53,451,455,2974,180,4193,44,26,145,173,715,48,1150,26,19,295,377,5855,200,6772,28,15,187,162,660,54,1094,38,19,316,373,1379,125,2253,17,13,164,209,833,72,1311,34,15,137,235,1273,128,1822,13,13,113,85,188,18,436,45,26,235,219,103,32,659,11,0,61,65,237,23,401,197,79,882,370,443,57,2025,14,20,110,141,496,42,816,177,111,578,670,981,73,2596,323,352,1010,310,328,55,2376,282,177,777,383,619,85,2317,16,12,86,102,214,30,464,30,26,127,151,1319,48,1696,26,17,131,160,940,238,1517,1459,983,5992,4856,20506,1614,35409,10,5,103,90,139,35,379,0,0,9,5,15,3,37,18,20,220,201,453,55,964,10,12,56,35,74,7,196,7,11,107,162,270,18,576,10,5,88,92,144,21,361,45,37,459,555,1431,176,2710,19,15,216,365
SOSR214,11,8,93,102,411,64,683,7,3,30,14,144,6,202,58,20,224,263,1630,126,2328,8,6,40,45,269,20,390,14,8,113,135,2888,127,3285,19,10,60,64,321,25,502,20,15,119,137,757,75,1121,16,10,86,109,432,54,716,21,20,74,138,618,81,952,5,7,42,31,87,6,181,8,8,92,69,44,10,228,6,3,34,41,103,12,192,77,38,371,150,176,18,840,9,8,43,59,259,36,405,87,58,222,371,603,56,1395,151,182,427,107,156,25,1047,120,69,335,165,287,38,1018,16,11,56,45,143,16,279,23,7,62,61,734,32,929,17,14,78,79,483,148,812,688,495,2605,2183,10556,976,17500,10,7,54,46,86,25,219,0,0,12,6,6,3,25,17,16,141,154,279,56,662,5,4,20,13,19,0,69,3,4,50,75,136,10,278,4,3,41,42,64,15,172,7,20,204,256,686,107,1281,19,11,132,211
SOSR215,18,13,155,192,910,112,1408,8,3,18,25,286,20,358,56,33,319,353,2508,173,3446,33,15,110,103,542,26,827,26,18,180,310,5195,242,5969,17,4,95,114,567,49,844,28,18,239,230,1131,126,1769,24,13,198,228,747,92,1309,22,21,114,223,1142,148,1666,26,7,97,51,147,18,351,25,20,128,114,76,15,379,4,3,42,61,191,20,332,157,63,626,271,294,52,1467,14,13,92,105,470,58,753,111,79,367,547,812,66,1986,268,295,751,192,269,42,1811,172,92,507,263,465,43,1534,16,15,117,108,220,13,498,30,20,111,75,1326,57,1614,39,16,153,133,926,254,1523,1102,773,4418,3696,18240,1637,29863,15,22,117,107,170,46,474,7,0,8,11,14,0,41,23,22,192,195,434,66,934,15,3,50,37,49,11,161,3,7,113,142,236,29,527,8,10,47,80,139,18,304,25,40,342,462,1123,191,2192,35,31,291,415
SOSR221,3,5,50,77,372,46,550,3,3,10,13,94,5,127,17,5,60,93,648,54,876,4,4,24,31,169,14,251,0,3,46,82,1430,69,1629,3,4,25,26,173,11,238,9,5,57,81,331,32,507,8,3,34,40,185,22,295,5,0,32,43,311,36,426,7,0,13,13,43,3,78,3,0,27,22,20,0,76,3,0,10,12,58,0,89,37,8,138,78,85,10,366,7,4,26,31,139,17,224,29,31,65,145,240,24,542,75,98,205,53,85,12,523,36,41,121,84,132,16,434,6,8,23,24,57,6,129,3,0,14,20,402,10,449,10,4,28,42,258,81,422,272,237,1009,997,5237,477,8232,5,7,40,33,63,16,176,0,0,3,3,3,3,7,6,6,48,58,109,22,244,0,3,11,11,9,4,34,0,6,29,33,65,6,136,0,3,12,10,40,3,74,3,9,94,135,314,60,612,6,7,65,78
SOSR222,3,0,39,45,262,31,375,0,0,5,4,60,4,79,3,4,40,61,428,32,571,0,3,15,15,87,12,126,3,3,31,46,891,34,1018,3,4,18,20,83,12,136,6,4,26,34,179,18,269,5,9,42,45,194,15,307,7,0,21,26,230,29,322,3,0,8,5,22,0,45,3,0,19,15,7,0,46,0,0,7,13,38,4,64,16,12,98,41,53,6,229,0,0,16,20,107,5,157,26,11,63,105,162,13,370,46,58,99,40,40,4,295,31,14,82,49,83,8,269,3,3,23,22,55,5,109,0,0,9,3,237,12,270,0,6,15,29,135,51,239,165,146,693,641,3342,307,5291,6,5,27,23,54,14,125,0,0,0,3,4,0,5,3,3,26,37,65,5,140,0,0,7,8,5,0,17,0,3,16,23,46,9,94,0,0,14,10,29,8,60,7,7,47,66,188,24,348,14,12,66,89
SOSR231,223,127,1513,2146,7558,1029,12588,19,6,108,77,675,32,916,150,72,791,810,4760,328,6910,53,23,204,223,1026,60,1589,51,45,423,688,10286,528,12018,52,30,258,259,1136,111,1841,70,32,400,360,1750,177,2785,30,21,191,250,828,96,1418,55,47,250,455,2260,283,3347,35,24,142,124,262,33,619,107,59,288,224,153,27,850,25,17,109,131,349,31,658,361,154,1578,568,614,111,3391,33,31,165,211,763,81,1277,217,179,694,1048,1675,139,3948,457,461,1189,358,513,72,3046,348,206,987,538,720,103,2902,40,22,198,166,412,61,893,38,26,139,186,2509,118,3008,85,34,355,308,1992,567,3343,2442,1607,9982,9128,40214,3982,67354,172,251,1458,1581,1744,585,5795,5,3,34,23,47,4,117,78,57,471,465,804,158,2040,34,28,110,86,102,7,366,21,31,272,359,580,86,1347,25,22,204,192,320,37,799,60,78,665,767,1654,355,3581,56,43,376,481
