SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,3,3,0,3,0,0,0,5,3,0,3,0,0,0,0,10,0,0,0,3,3,0,0,8,8,21,18,11,11,4,0,72,0,0,0,0,0,0,0,0,20,24,22,16,16,5,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,8,3,3,26,0,3,0,0,0,0,0,4,6,14,3,3,8,3,3,34,18,34,29,23,22,7,3,134
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,5,3,0,0,23,0,0,0,0,0,0,0,0,3,9,4,9,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,3,9,3,9,3,0,0,35
SSC20014,49,44,22,12,19,8,7,169,29,34,19,8,12,4,0,108,32,30,12,5,14,5,3,98,284,199,102,60,80,45,16,788,3,0,0,0,0,0,0,4,396,313,159,91,113,65,29,1166,3,4,4,3,12,3,0,33,0,11,6,3,3,0,0,24,0,4,0,0,3,3,0,8,24,36,23,26,28,17,11,162,6,0,0,0,0,0,0,6,32,49,39,32,45,22,12,232,431,358,196,123,157,86,44,1394
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,197,168,87,54,76,65,29,678,21,30,15,4,3,3,4,78,19,12,4,3,4,0,0,42,32,30,16,12,17,9,3,119,10,3,3,0,0,0,0,21,278,251,123,73,99,73,38,936,25,42,47,25,37,22,14,215,4,9,4,0,5,0,0,16,6,0,4,3,0,0,3,19,16,20,12,8,7,0,0,69,5,10,12,3,5,0,0,32,58,72,75,39,58,28,15,350,342,323,200,113,156,103,55,1282
SSC20017,68,58,29,16,13,6,0,200,16,32,19,5,14,10,10,103,35,42,20,6,14,9,0,131,185,162,83,66,70,37,18,627,0,0,0,0,0,0,0,3,313,287,152,98,115,60,33,1060,0,3,0,0,4,6,3,19,3,4,7,3,4,3,0,34,4,3,3,0,3,0,0,22,4,14,18,11,13,3,6,73,0,0,0,0,0,0,0,6,14,33,34,19,32,17,5,157,320,324,195,111,148,76,41,1212
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,3,0,0,0,25,0,0,0,0,0,0,0,0,9,11,3,7,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,12,18,8,7,8,0,0,0,43
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,4,0,0,14
SSC20020,182,92,30,9,35,13,15,374,9,5,5,3,5,0,3,28,15,13,3,3,4,3,4,51,57,48,21,13,16,4,4,162,0,0,0,0,0,0,0,3,267,160,55,27,63,19,24,613,21,20,12,15,10,9,8,99,0,3,4,0,0,0,0,12,3,3,0,3,0,0,0,10,9,21,8,11,6,3,0,51,6,3,4,0,0,0,0,19,42,55,27,29,18,16,9,195,312,218,86,57,79,36,33,811
SSC20021,3,4,3,0,0,0,0,8,10,7,4,0,0,0,0,20,0,0,3,0,0,0,0,11,94,103,49,31,30,11,3,327,0,0,0,0,0,0,0,3,110,114,63,37,36,11,3,369,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,11,0,0,0,0,0,0,0,3,7,18,10,8,11,3,0,56,0,0,0,0,0,0,0,0,10,24,8,9,16,3,0,74,118,134,71,45,54,20,3,444
SSC20022,86,78,37,33,29,13,0,278,30,26,11,11,17,3,0,100,22,21,13,15,13,5,0,93,374,406,248,143,241,76,33,1519,0,0,0,0,0,0,0,8,512,535,310,201,302,101,43,1996,5,4,4,7,12,0,0,29,9,4,3,5,7,0,3,34,3,7,0,0,4,0,0,14,55,123,95,63,97,37,4,475,0,3,0,0,0,0,0,3,69,137,104,74,118,34,8,557,581,678,416,273,418,130,56,2551
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC20024,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,16
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9
SSC20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,14,22,7,9,10,0,0,62,0,0,0,0,0,0,0,0,14,27,9,13,10,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,14,27,8,13,17,0,0,81
SSC20027,3,5,3,0,0,0,0,8,5,7,3,0,0,0,0,11,3,6,0,0,0,0,0,7,69,72,38,27,27,9,0,255,0,0,0,0,0,0,0,0,83,84,46,27,32,14,0,284,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,14,11,4,6,3,0,43,0,0,0,0,0,0,0,0,11,17,10,4,5,3,0,54,92,98,54,36,41,17,0,336
SSC20028,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,8,3,0,4,0,0,17,0,0,0,0,0,0,0,0,6,13,5,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,0,4,0,0,30
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,6,0,0,3,0,0,16,0,0,0,0,0,0,0,0,10,6,0,3,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,11,4,3,5,0,0,27
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,3,3,3,3,0,43,0,0,0,0,0,0,0,0,11,15,3,8,7,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,11,17,17,5,10,8,3,0,60
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4
SSC20033,17,22,12,3,4,15,8,83,26,42,26,9,24,22,12,162,19,18,21,7,24,12,4,111,121,186,110,65,95,62,31,667,0,0,0,0,0,0,0,3,193,261,169,90,149,106,49,1021,0,0,0,3,7,4,0,11,0,4,5,0,4,3,0,19,6,0,0,0,3,0,0,13,10,12,11,7,12,11,9,70,0,0,0,0,0,0,0,0,13,24,19,10,23,20,9,111,204,288,187,101,175,120,58,1133
SSC20034,150,95,48,24,33,25,7,379,73,59,23,18,24,6,8,205,65,65,24,16,23,8,0,194,280,256,137,95,93,66,37,962,7,3,0,0,0,0,0,12,573,481,225,143,172,105,48,1756,11,15,3,7,5,12,4,48,15,12,15,7,10,4,3,58,3,7,5,7,5,3,3,29,21,56,33,27,32,18,5,196,3,4,0,0,0,0,0,15,56,91,51,42,48,34,18,340,630,571,277,183,226,142,64,2098
SSC20035,393,285,122,70,136,86,50,1143,92,102,66,27,34,28,11,369,89,68,34,25,39,19,14,279,398,348,200,136,171,86,62,1400,3,10,0,0,0,0,0,9,976,809,423,261,379,210,144,3198,28,50,30,17,33,19,9,193,23,30,20,7,20,12,6,107,12,18,14,12,8,12,3,85,77,104,63,44,86,23,23,411,10,3,3,0,7,0,3,24,146,205,131,80,151,64,44,820,1118,1009,550,344,527,275,188,4014
SSC20036,231,174,93,45,104,76,34,757,133,107,44,36,45,24,11,390,89,61,30,19,19,7,6,231,335,225,84,44,57,33,12,790,13,8,0,0,0,0,0,17,794,568,255,143,225,137,61,2191,27,33,27,16,27,18,18,163,7,29,13,15,12,6,4,81,7,13,4,3,7,3,0,29,31,49,34,32,35,19,8,206,0,0,3,0,0,0,0,11,70,123,74,69,74,50,28,488,866,692,329,216,302,186,87,2679
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,3,4,0,0,0,23,0,0,0,0,0,0,0,0,0,13,5,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,3,0,0,28
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,3,4,0,0,0,8
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,3,9,8,3,0,27,0,0,0,0,0,0,0,0,6,3,3,6,8,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,8,7,7,6,12,3,0,39
SSC20041,3,3,0,0,0,0,0,9,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,3,19,30,17,6,6,3,0,82,0,3,0,0,0,0,0,3,20,39,24,6,9,4,3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,20,0,0,0,0,0,0,0,0,0,5,3,6,3,0,0,22,21,42,24,16,13,3,3,133
SSC20042,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,0,0,14
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
SSC20045,3,3,0,0,3,0,0,10,6,5,0,0,3,0,0,21,10,3,0,0,3,0,0,22,79,96,58,34,46,16,11,336,0,0,0,0,0,0,0,0,101,108,65,45,57,16,11,390,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,3,6,8,13,3,4,6,4,3,36,4,0,0,0,0,0,0,7,4,18,4,6,7,7,4,55,105,127,69,54,61,20,12,448
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,0,3,0,0,10
SSC20048,8,10,3,0,3,0,0,20,4,4,7,0,0,0,0,16,9,6,0,3,0,0,0,23,30,36,25,8,15,7,0,123,0,0,0,0,0,0,0,4,52,61,34,12,21,10,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,5,14,6,0,9,0,0,32,0,0,0,0,0,0,0,0,13,14,10,0,10,0,0,39,63,69,44,14,25,10,0,227
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
