SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,0,15,16,23,34,29,20,12,3,146,3,17,21,10,31,44,22,31,21,199,135,393,425,427,914,1191,694,932,62,5171
SSC20003,0,11,7,5,7,10,4,6,3,57,3,10,14,6,11,19,3,11,14,81,78,306,226,219,320,390,198,357,37,2128
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,12,5,6,16,7,15,3,71
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,5,9,8,0,0,0,23
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,3,4,3,7,0,34
SSC20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,6,3,4,0,30
SSC20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,3,5,6,0,25
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,3,3,0,0,18,13,54,66,55,38,53,29,47,4,351
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,9,9,8,10,4,23,4,75
SSC20014,0,18,15,16,28,30,5,16,4,132,10,13,9,13,35,27,14,19,32,173,114,318,330,355,743,841,324,489,83,3608
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,3,9,11,13,22,8,8,5,3,82,6,15,12,14,36,22,10,3,38,155,64,237,228,243,536,380,139,144,80,2050
SSC20017,3,10,4,11,6,14,7,8,0,70,3,11,11,15,8,30,5,31,18,132,94,302,264,310,314,612,293,846,37,3067
SSC20018,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,4,5,5,18,13,14,20,16,4,24,7,109
SSC20019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,4,7,0,5,3,4,0,9,3,40
SSC20020,0,8,4,9,10,18,8,0,0,68,5,5,10,7,35,28,3,4,31,126,41,186,263,242,503,378,166,135,55,1965
SSC20021,0,7,3,10,3,8,0,8,0,36,0,3,3,3,5,6,3,0,13,43,50,127,108,151,186,213,102,125,21,1090
SSC20022,3,21,7,13,19,16,20,22,3,119,0,14,6,4,25,14,5,10,21,112,161,680,446,560,811,772,433,572,59,4502
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8
SSC20024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,7,3,29
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,3,16,0,32
SSC20026,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,12,7,13,19,26,26,25,15,18,7,157
SSC20027,3,5,9,6,5,6,0,4,0,38,3,4,4,4,9,4,4,9,6,46,47,87,77,102,109,127,51,148,21,769
SSC20028,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4,3,12,6,7,16,16,11,10,4,78
SSC20029,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,16,3,3,12,5,9,13,0,56
SSC20030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,9,6,11,11,12,4,7,3,66
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,6,3,0,5,0,27
SSC20033,3,11,8,11,19,13,9,7,0,69,0,3,15,9,13,15,0,10,10,81,75,348,316,329,411,565,287,462,25,2824
SSC20034,7,21,20,21,42,28,16,24,0,175,11,24,20,20,36,53,15,24,43,241,157,515,502,523,950,1145,515,699,81,5094
SSC20035,14,29,35,36,92,88,31,35,3,366,13,28,26,24,94,99,28,42,80,432,293,915,883,951,2029,1916,789,964,161,8906
SSC20036,3,29,22,15,46,39,13,21,0,194,14,30,29,24,51,49,21,32,55,294,173,457,399,460,997,1000,479,566,103,4640
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,13,8,0,21,3,57
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,3,3,0,0,26
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,5,9,13,17,17,11,9,0,93
SSC20041,0,0,0,3,0,5,0,3,0,14,0,3,0,0,7,4,0,0,10,24,10,34,36,37,48,55,31,68,14,333
SSC20042,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,5,3,5,7,0,3,0,41
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9
SSC20045,3,4,10,0,3,4,0,12,0,36,0,12,5,0,9,11,0,6,6,45,51,167,138,161,165,206,91,151,23,1153
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,11
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,8,0,22
SSC20048,0,3,0,5,3,0,0,0,0,13,0,3,7,0,0,7,3,3,0,20,57,128,104,108,83,108,33,101,10,730
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,11,0,18
SSC20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,16,9,15,20,26,7,36,4,140
SSC20052,5,17,13,22,29,25,11,19,3,136,3,15,11,4,17,17,4,14,26,121,146,419,309,439,609,606,261,400,58,3248
SSC20053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,4,0,0,3,19,0,48
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,15,16,25,18,13,27,3,130
SSC20056,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,8,12,3,5,10,5,4,3,47
SSC20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
SSC20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,9
