SSC_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,20,29,11,10,5,0,71
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,12,3,0,0,0,16
SSC20014,3,5,4,5,0,0,20,3,3,0,0,4,0,16,5,4,3,0,3,0,8,3,3,0,7,3,0,12,8,9,8,0,4,0,27,7,11,4,3,3,0,32,15,12,8,3,4,0,31,6,18,13,3,10,0,53,18,20,3,3,3,0,50,10,33,6,4,3,0,53,16,26,15,5,3,0,57,22,52,10,0,5,4,91,18,21,3,0,0,0,41,15,19,0,3,0,0,38,26,36,5,0,3,0,75,21,37,13,0,0,0,73,4,9,3,0,0,0,20,0,3,4,0,0,0,4,12,15,5,0,3,0,37,195,332,114,32,58,8,737
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,13,3,4,0,0,3,20,3,0,0,0,4,0,9,0,4,3,3,6,0,15,0,0,3,0,3,0,16,8,6,8,4,6,0,31,8,11,11,6,5,0,40,10,20,12,11,15,0,65,13,34,9,5,3,3,77,11,37,9,6,8,0,81,8,37,11,8,3,0,63,11,10,4,0,0,0,28,13,20,14,7,4,0,50,3,6,0,0,0,0,11,0,0,3,0,0,0,3,3,0,0,0,0,0,7,0,6,3,3,0,3,14,0,3,0,0,0,0,6,3,0,0,0,0,0,6,4,8,5,0,6,0,28,123,213,112,53,55,7,568
SSC20017,14,11,5,0,4,0,36,3,0,0,0,0,0,4,3,0,0,0,0,0,10,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,3,0,16,0,8,3,0,0,0,10,0,3,3,0,0,0,9,7,10,0,0,4,0,18,3,3,3,0,0,0,14,18,24,3,0,0,0,46,0,0,0,0,0,0,5,9,16,0,0,0,0,23,7,4,3,0,0,0,10,15,34,10,7,0,0,68,20,26,9,0,3,0,53,39,65,12,3,4,0,122,3,7,0,0,0,0,13,152,220,64,17,21,0,479
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,3,0,0,0,22
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7
SSC20020,4,3,3,3,0,0,11,0,4,0,0,0,0,5,0,0,0,0,0,0,4,3,3,0,0,0,0,5,0,5,0,3,3,0,12,7,3,5,0,0,0,17,4,10,0,3,3,0,33,17,11,5,5,3,0,36,8,10,3,0,0,0,24,17,13,4,3,0,0,40,13,5,4,0,0,0,26,10,16,10,3,0,0,33,8,6,0,0,0,0,8,3,4,0,0,0,0,7,6,5,0,0,0,0,22,3,5,3,0,0,0,14,0,0,0,0,0,0,7,3,0,0,0,0,0,3,5,5,5,3,0,0,17,105,123,36,26,22,3,323
SSC20021,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,3,0,0,0,0,11,8,0,0,0,0,0,11,6,7,3,0,4,0,14,5,10,3,0,8,0,18,11,22,8,3,5,0,45,9,22,0,3,0,0,38,5,15,6,0,0,0,32,10,12,3,0,3,0,29,3,5,4,0,0,0,13,0,10,3,0,0,0,17,0,10,0,0,0,0,11,0,0,0,0,0,0,4,0,5,0,0,0,0,8,0,0,6,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,13,75,134,42,7,20,0,285
SSC20022,4,8,5,0,3,0,23,5,3,3,0,0,0,16,5,9,6,0,0,0,23,7,3,9,3,7,0,22,12,15,9,0,5,0,41,13,30,12,13,6,0,73,22,45,22,4,6,0,97,21,52,17,4,7,0,98,25,54,16,12,6,0,110,28,76,23,8,8,0,142,18,37,10,3,7,0,81,26,56,17,3,6,0,116,12,23,5,0,0,0,41,5,12,8,0,3,0,28,7,46,8,0,0,0,68,7,27,10,0,5,0,46,6,10,3,0,0,0,18,3,3,4,0,0,0,15,3,12,7,3,0,0,29,240,519,187,70,64,5,1080
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,9
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC20026,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,3,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,7,3,0,0,35
SSC20027,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,10,7,3,0,0,0,0,9,3,5,4,0,0,0,17,6,8,6,0,3,0,20,9,16,0,4,0,0,25,7,5,4,3,0,0,21,3,5,3,3,0,0,13,10,8,0,3,0,0,24,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,4,0,0,0,0,11,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,13,52,75,33,14,8,0,180
SSC20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,0,0,0,27
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,3,0,16
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,0,0,0,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,3,0,0,0,24
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5
SSC20033,8,13,4,0,0,0,21,0,0,5,0,0,0,10,3,5,0,3,0,0,16,0,4,0,0,0,0,6,3,9,3,0,0,0,13,0,7,3,0,3,0,16,10,12,0,0,0,0,29,3,8,7,0,3,0,26,3,6,6,0,3,0,23,3,8,11,0,0,0,23,7,4,3,0,0,0,14,13,25,13,0,0,0,49,6,4,0,0,0,0,16,5,7,0,0,0,0,13,13,12,3,0,3,0,26,24,53,12,0,0,0,92,10,29,4,0,4,0,44,9,31,4,0,0,0,49,4,19,9,0,0,0,30,123,255,91,16,22,0,509
SSC20034,9,7,13,0,4,0,34,7,0,3,0,0,0,9,8,4,6,0,3,0,23,7,4,0,0,6,0,20,13,9,5,0,0,0,31,13,16,9,0,5,0,41,19,22,4,0,4,0,51,18,31,4,10,9,0,73,7,29,7,3,0,0,45,17,30,6,3,4,0,60,10,19,14,0,0,0,40,29,63,20,4,3,0,120,19,32,3,0,5,0,58,14,24,3,0,0,0,40,33,42,3,3,0,0,85,45,67,20,6,8,0,142,12,20,3,3,0,0,39,12,20,3,0,0,0,33,10,15,7,4,4,0,51,285,468,135,43,47,11,985
SSC20035,29,24,26,9,11,0,91,8,5,10,0,8,0,29,7,9,12,3,6,0,49,7,17,4,0,7,0,35,16,25,32,7,8,4,95,32,34,31,10,12,0,123,29,48,41,17,21,3,161,43,69,39,10,21,4,186,43,82,27,13,19,3,183,46,88,25,17,8,5,188,44,67,17,12,8,3,150,82,105,36,5,19,3,253,27,38,11,3,4,0,84,15,24,3,0,0,0,43,30,40,6,4,4,0,84,13,38,11,5,6,0,66,7,9,0,0,0,0,24,3,8,0,0,0,0,17,22,30,29,3,14,8,101,501,778,361,126,173,37,1974
