SA1_7DIGITCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2100101,40,5,3,0,0,0,0,43
2100102,14,0,0,0,0,0,0,15
2100105,14,0,0,0,0,0,0,16
2100106,49,5,0,0,0,0,0,58
2100107,22,3,0,0,0,0,0,25
2100108,72,9,3,0,0,0,0,83
2100109,52,5,3,0,0,0,0,54
2100110,77,0,3,0,0,0,0,86
2100111,51,4,0,0,0,0,0,52
2100112,51,3,3,0,0,0,3,58
2100113,55,3,0,0,0,0,0,59
2100114,55,3,3,0,0,0,0,61
2100115,77,0,3,0,0,0,0,79
2100117,105,8,3,0,0,0,0,117
2100118,42,3,3,3,0,0,0,55
2100119,89,3,0,0,0,0,0,93
2100120,75,3,4,0,0,0,0,84
2100121,120,3,0,0,0,0,0,127
2100122,170,20,14,5,0,0,0,201
2100123,98,5,4,0,0,0,0,109
2100124,66,4,8,0,0,0,0,79
2100201,61,12,0,0,0,0,0,75
2100202,34,3,0,0,0,0,0,41
2100203,41,6,0,0,0,0,0,43
2100204,32,0,0,0,0,0,0,36
2100205,41,0,5,0,0,0,0,48
2100206,43,0,0,0,0,0,0,42
2100207,45,3,0,0,0,0,0,48
2100208,52,3,0,0,0,0,0,59
2100209,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0
2100211,51,5,0,0,0,0,0,54
2100212,24,0,0,0,0,0,0,26
2100213,34,3,0,0,0,0,0,34
2100214,33,4,0,0,0,0,0,33
2100215,35,3,0,0,0,0,0,42
2100216,23,0,0,0,0,0,0,24
2100217,19,3,0,0,0,0,0,26
2100218,39,4,3,0,0,0,0,46
2100219,7,3,0,0,0,0,0,5
2100220,20,0,0,0,0,0,0,20
2100221,12,0,0,0,0,0,0,15
2100222,59,3,0,0,0,0,0,61
2100223,43,6,0,0,0,0,0,50
2100224,40,3,0,0,0,0,0,49
2100225,18,0,0,0,0,0,0,23
2100226,17,0,0,0,0,0,0,20
2100227,30,0,0,0,0,0,0,28
2100228,22,0,4,0,0,0,0,28
2100229,17,0,0,0,0,0,0,21
2100230,23,4,0,0,0,0,0,29
2100231,33,3,0,0,0,0,0,35
2100232,28,4,0,0,0,0,0,26
2100233,34,4,0,0,0,0,0,44
2100234,10,0,0,0,0,0,0,10
2100301,13,0,0,0,0,0,0,13
2100302,22,0,0,0,0,0,0,23
2100303,17,0,0,0,0,0,0,20
2100304,29,0,0,0,0,0,0,32
2100305,41,9,5,0,0,0,0,56
2100306,16,0,0,0,0,0,0,24
2100307,24,0,0,0,0,0,0,30
2100308,21,4,0,0,0,0,0,25
2100309,68,3,8,0,0,0,0,81
2100310,33,3,3,0,0,0,0,42
2100311,110,5,0,0,0,0,0,112
2100312,79,3,4,0,0,0,0,86
2100313,63,0,3,0,0,0,0,64
2100314,43,0,4,0,0,0,0,43
2100315,61,5,0,0,0,0,0,71
2100316,15,3,0,0,0,0,0,19
2100317,44,3,3,0,0,0,0,49
2100318,65,0,3,0,0,0,0,65
2100319,29,0,3,0,0,0,0,30
2100320,32,4,3,0,0,0,0,37
2100321,43,3,0,0,0,0,0,44
2100322,62,3,4,0,0,0,0,64
2100323,36,3,0,0,0,0,0,39
2100324,38,0,0,0,0,0,0,40
2100325,37,0,0,0,0,0,0,40
2100326,122,7,3,0,0,0,0,138
2100327,101,6,5,0,0,0,0,113
2100328,43,4,0,0,0,0,0,44
2100329,65,4,0,0,0,0,0,67
2100330,49,7,0,0,0,0,0,54
2100331,28,8,0,0,0,0,0,39
2100332,56,6,0,0,0,0,0,59
2100333,73,3,3,0,0,0,0,74
2100334,31,3,0,0,0,0,0,38
2100335,46,0,5,0,0,0,0,47
2100336,0,0,0,0,0,0,0,0
2100337,56,5,0,0,0,0,0,65
2100338,15,3,3,0,0,0,0,18
2100339,13,0,0,0,0,0,0,13
2100340,39,8,0,0,0,0,0,45
2100341,25,0,5,0,0,0,0,27
2100342,103,4,5,0,0,0,0,110
2100343,23,8,0,0,0,0,0,28
2100344,11,0,0,0,0,0,0,9
2100345,58,3,4,0,0,0,0,58
2100346,34,9,0,0,0,0,0,42
2100347,56,0,0,0,0,0,0,61
2100348,21,0,0,0,0,0,0,25
2100349,23,3,0,0,0,0,0,27
2100350,27,4,0,0,0,0,0,31
2100351,18,3,3,0,0,0,0,22
2100401,52,6,6,0,0,0,0,65
2100402,31,3,3,0,0,0,0,37
2100404,28,0,0,0,0,0,0,23
2100405,40,10,0,0,0,0,0,51
2100406,19,5,3,0,0,0,0,26
2100407,42,4,0,0,0,0,0,48
2100408,35,3,3,0,0,0,0,44
2100409,27,4,0,0,0,0,0,25
2100410,25,0,0,0,0,0,0,23
2100411,31,3,3,0,0,0,0,37
2100412,55,4,3,0,0,0,3,60
2100413,0,0,0,0,0,0,0,0
2100414,40,0,0,0,0,0,0,41
2100415,12,0,0,0,0,0,0,17
2100416,41,5,3,0,0,0,0,51
2100417,47,6,3,0,0,0,0,57
2100418,19,0,0,0,0,0,0,23
2100419,56,0,4,0,0,0,0,62
2100420,42,3,0,0,0,0,0,53
2100421,39,4,0,0,0,0,0,52
2100422,95,6,4,0,0,0,0,103
2100423,24,0,0,0,0,0,0,31
2100424,30,5,0,0,0,0,0,39
2100425,23,5,0,0,0,0,0,30
2100426,23,0,0,0,0,0,0,23
2100427,20,0,0,0,0,0,0,24
2100428,22,3,0,0,0,0,0,29
2100429,20,0,0,0,0,0,0,22
2100430,20,4,3,0,0,0,0,25
2100431,37,3,0,0,0,0,0,44
2100432,29,5,0,0,0,0,0,32
2100433,19,7,0,0,0,0,0,26
2100434,31,6,7,0,0,0,0,38
2100435,15,0,0,0,0,0,0,12
2100436,55,0,6,0,0,0,0,65
2100437,20,0,6,0,0,0,0,29
2100438,41,4,3,0,0,0,0,45
2100439,42,0,9,0,0,0,0,51
2100440,24,4,0,0,0,0,0,33
2100441,48,3,0,0,0,0,0,48
2100442,33,0,0,0,0,0,0,33
2100443,9,3,0,0,0,0,0,10
2100444,18,7,0,0,0,0,0,23
2100445,32,3,7,0,0,0,0,40
2100446,23,4,4,0,0,0,0,32
2100447,24,4,0,0,0,0,0,31
2100448,20,0,0,0,0,0,0,24
2100449,9,0,0,0,0,0,0,11
2100451,56,7,3,0,0,0,0,69
2100452,36,3,6,0,0,0,0,37
2100453,63,3,3,0,0,0,0,67
2100454,36,7,8,0,0,0,0,50
2100455,43,9,3,0,0,0,0,59
2100456,61,3,6,0,0,0,0,72
2100501,47,3,0,0,0,0,0,51
2100502,73,3,3,0,0,0,0,86
2100504,57,3,0,0,0,0,0,59
2100505,0,0,0,0,0,0,0,0
2100506,49,7,3,0,0,0,0,60
2100507,47,0,0,0,0,0,0,48
2100508,51,7,4,0,0,0,0,64
2100509,28,0,0,0,0,0,0,33
2100510,43,0,0,0,0,0,0,41
2100511,38,0,0,0,0,0,0,45
2100512,42,0,0,0,0,0,0,46
2100513,50,0,0,0,0,0,0,53
2100514,20,0,0,0,0,0,0,24
2100515,48,3,0,0,0,0,0,54
2100516,39,4,0,0,0,0,0,49
2100517,47,3,0,0,0,0,0,52
2100518,88,4,5,0,0,0,0,91
2100519,30,0,0,0,0,0,0,30
2100601,18,4,3,0,0,0,0,31
2100602,35,0,9,0,0,0,0,42
2100603,25,3,3,0,0,0,5,38
2100604,44,3,7,0,0,0,4,54
2100605,164,12,16,3,0,0,0,200
2100606,36,0,0,0,0,0,0,36
2100607,32,6,0,0,0,0,0,35
2100608,33,0,3,0,0,0,0,37
2100610,41,9,3,0,0,0,0,47
2100611,38,0,3,0,0,0,0,38
2100612,31,4,4,3,0,0,0,42
2100613,24,6,4,0,0,0,0,28
2100614,5,0,0,0,0,0,0,8
2100615,47,7,0,0,0,0,0,54
2100616,0,0,0,0,0,0,0,0
2100617,77,7,4,0,0,0,0,90
2100701,69,4,3,0,0,0,0,78
2100702,45,3,0,0,0,0,4,49
2100703,60,7,7,0,0,0,0,74
2100704,41,3,3,0,0,0,0,49
2100705,52,3,0,0,0,0,0,59
