DEar Treatment    Grains
   1         A        11
   2         A         7
   3         A        10
   4         A        10
   5         A        13
   6         A        14
   7         B        11
   8         B         8
   9         B         4
  10         B         1
  11         B         3
  12         B         6
  13         C         9
  14         C         7
  15         C         5
  16         C         3
  17         C         5
  18         C         3
  19         D         8
  20         D         5
  21         D         4
  22         D         5
  23         D         6
  24         D         5
  25   Control         9
  26   Control         7
  27   Control         5
  28   Control         5
  29   Control         3
  30   Control         6
