author_name,author_links,nationality,nationality_llm
Charles Dickens,https://en.wikipedia.org/wiki/Charles_Dickens,English,English
Antoine de Saint-Exupéry,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,French,French
Paulo Coelho,https://en.wikipedia.org/wiki/Paulo_Coelho,Brazilian,Brazilian
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,British,British
Agatha Christie,https://en.wikipedia.org/wiki/Agatha_Christie,English,British
Cao Xueqin,https://en.wikipedia.org/wiki/Cao_Xueqin,Chinese,Chinese
J. R. R. Tolkien,https://en.wikipedia.org/wiki/J._R._R._Tolkien,English,British
Lewis Carroll,https://en.wikipedia.org/wiki/Lewis_Carroll,English,English
H. Rider Haggard,https://en.wikipedia.org/wiki/H._Rider_Haggard,British,British
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American,American
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,British,British
J. D. Salinger,https://en.wikipedia.org/wiki/J._D._Salinger,American,American
Robert James Waller,https://en.wikipedia.org/wiki/Robert_James_Waller,American,American
Gabriel García Márquez,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,Colombian,Colombian
Vladimir Nabokov,https://en.wikipedia.org/wiki/Vladimir_Nabokov,Russian,Russian-American
Johanna Spyri,https://en.wikipedia.org/wiki/Johanna_Spyri,Swiss,Swiss
Benjamin Spock,https://en.wikipedia.org/wiki/Benjamin_Spock,American,American
Lucy Maud Montgomery,https://en.wikipedia.org/wiki/Lucy_Maud_Montgomery,Canadian,Canadian
Anna Sewell,https://en.wikipedia.org/wiki/Anna_Sewell,English,English
Umberto Eco,https://en.wikipedia.org/wiki/Umberto_Eco,English,Italian
Jack Higgins,https://en.wikipedia.org/wiki/Jack_Higgins,British,British
Richard Adams,https://en.wikipedia.org/wiki/Richard_Adams,British,British
Shere Hite,https://en.wikipedia.org/wiki/Shere_Hite,German,American
E. B. White,https://en.wikipedia.org/wiki/E._B._White,American,American
J. P. Donleavy,https://en.wikipedia.org/wiki/J._P._Donleavy,Irish,American-Irish
Rick Warren,https://en.wikipedia.org/wiki/Rick_Warren,No nationality matched,American
Beatrix Potter,https://en.wikipedia.org/wiki/Beatrix_Potter,English,British
Richard Bach,https://en.wikipedia.org/wiki/Richard_Bach,American,American
Eric Carle,https://en.wikipedia.org/wiki/Eric_Carle,American,American
Elbert Hubbard,https://en.wikipedia.org/wiki/Elbert_Hubbard,American,American
Harper Lee,https://en.wikipedia.org/wiki/Harper_Lee,American,American
V. C. Andrews,https://en.wikipedia.org/wiki/V._C._Andrews,American,American
Carl Sagan,https://en.wikipedia.org/wiki/Carl_Sagan,American,American
Jostein Gaarder,https://en.wikipedia.org/wiki/Jostein_Gaarder,Norwegian,Norwegian
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American,American
William Griffith Wilson,https://en.wikipedia.org/wiki/Bill_W.,No nationality matched,American
Jeffrey Archer,https://en.wikipedia.org/wiki/Jeffrey_Archer,English,British
Nikolai Ostrovsky,https://en.wikipedia.org/wiki/Nikolai_Ostrovsky,Ukrainian,Soviet
Leo Tolstoy,https://en.wikipedia.org/wiki/Leo_Tolstoy,Russian,Russian
Carlo Collodi,https://en.wikipedia.org/wiki/Carlo_Collodi,Italian,Italian
Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,German,German-Dutch
Wayne Dyer,https://en.wikipedia.org/wiki/Wayne_Dyer,American,American
Colleen McCullough,https://en.wikipedia.org/wiki/Colleen_McCullough,Australian,Australian
Khaled Hosseini,https://en.wikipedia.org/wiki/Khaled_Hosseini,Afghan,Afghan-American
Jacqueline Susann,https://en.wikipedia.org/wiki/Jacqueline_Susann,American,American
Dale Carnegie,https://en.wikipedia.org/wiki/Dale_Carnegie,American,American
F. Scott Fitzgerald,https://en.wikipedia.org/wiki/F._Scott_Fitzgerald,No nationality matched,American
Margaret Mitchell,https://en.wikipedia.org/wiki/Margaret_Mitchell,American,American
Daphne du Maurier,https://en.wikipedia.org/wiki/Daphne_du_Maurier,English,British
William Bradford Huie,https://en.wikipedia.org/wiki/William_Bradford_Huie,American,American
Stieg Larsson,https://en.wikipedia.org/wiki/Stieg_Larsson,Swedish,Swedish
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American,American
Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,American,American
Roald Dahl,https://en.wikipedia.org/wiki/Roald_Dahl,British,British
Alexander Alexandrovich Fadeyev,https://en.wikipedia.org/wiki/Alexander_Alexandrovich_Fadeyev,Russian,Russian
Spencer Johnson,https://en.wikipedia.org/wiki/Spencer_Johnson_(writer),American,American
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,English,British
Jacques-Henri Bernardin de Saint-Pierre,https://en.wikipedia.org/wiki/Jacques-Henri_Bernardin_de_Saint-Pierre,French,French
Irving Stone,https://en.wikipedia.org/wiki/Irving_Stone,American,American
Kenneth Grahame,https://en.wikipedia.org/wiki/Kenneth_Grahame,British,British
Stephen R. Covey,https://en.wikipedia.org/wiki/Stephen_R._Covey,American,American
Tetsuko Kuroyanagi,https://en.wikipedia.org/wiki/Tetsuko_Kuroyanagi,Japanese,Japanese
Mikhail Sholokhov,https://en.wikipedia.org/wiki/Mikhail_Sholokhov,Soviet,Russian
James Redfield,https://en.wikipedia.org/wiki/James_Redfield,American,American
John Green,https://en.wikipedia.org/wiki/John_Green,No nationality matched,American
Paula Hawkins,https://en.wikipedia.org/wiki/Paula_Hawkins_(author),British,British
William P. Young,https://en.wikipedia.org/wiki/William_P._Young,Canadian,Canadian
Sergey Mikhalkov,https://en.wikipedia.org/wiki/Sergey_Mikhalkov,Russian,Russian
Mario Puzo,https://en.wikipedia.org/wiki/Mario_Puzo,American,American
Erich Segal,https://en.wikipedia.org/wiki/Erich_Segal,American,American
Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,American,American
Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,American,American
Banana Yoshimoto,https://en.wikipedia.org/wiki/Banana_Yoshimoto,Japanese,Japanese
Ivan Yefremov,https://en.wikipedia.org/wiki/Ivan_Yefremov,Russian,Russian
Gillian Flynn,https://en.wikipedia.org/wiki/Gillian_Flynn,American,American
Charles Berlitz,https://en.wikipedia.org/wiki/Charles_Berlitz,American,American
Chinua Achebe,https://en.wikipedia.org/wiki/Chinua_Achebe,Nigerian,Nigerian
Jiang Rong,https://en.wikipedia.org/wiki/Jiang_Rong,99999,Chinese
Xaviera Hollander,https://en.wikipedia.org/wiki/Xaviera_Hollander,Dutch,Dutch
Peter Benchley,https://en.wikipedia.org/wiki/Peter_Benchley,American,American
Robert Munsch,https://en.wikipedia.org/wiki/Robert_Munsch,American (1945–1983) Canadian (1983–present),Canadian
Marilyn French,https://en.wikipedia.org/wiki/Marilyn_French,American,American
Arlene Eisenberg and Heidi Murkoff,https://en.wikipedia.org/wiki/Arlene_Eisenberg,American,American
Mark Twain,https://en.wikipedia.org/wiki/Mark_Twain,American,American
Sue Townsend,https://en.wikipedia.org/wiki/Sue_Townsend,English,British
Jane Austen,https://en.wikipedia.org/wiki/Jane_Austen,English,British
Thor Heyerdahl,https://en.wikipedia.org/wiki/Thor_Heyerdahl,Norwegian,Norwegian
Jaroslav Hašek,https://en.wikipedia.org/wiki/Jaroslav_Ha%C5%A1ek,Czech,Czech
Maurice Sendak,https://en.wikipedia.org/wiki/Maurice_Sendak,American,American
Norman Vincent Peale,https://en.wikipedia.org/wiki/Norman_Vincent_Peale,American,American
Rhonda Byrne,https://en.wikipedia.org/wiki/Rhonda_Byrne,Australian,Australian
Erica Jong,https://en.wikipedia.org/wiki/Erica_Jong,American,American
Frank Herbert,https://en.wikipedia.org/wiki/Frank_Herbert,American,American
Roald Dahl,https://en.wikipedia.org/wiki/Roald_Dahl,British,British
Desmond Morris,https://en.wikipedia.org/wiki/Desmond_Morris,English,British
Natsume Sōseki,https://en.wikipedia.org/wiki/Natsume_S%C5%8Dseki,Japanese,Japanese
Delia Owens,https://en.wikipedia.org/wiki/Delia_Owens,American,American
Susanna Tamaro,https://en.wikipedia.org/wiki/Susanna_Tamaro,Italian,Italian
Roald Dahl,https://en.wikipedia.org/wiki/Roald_Dahl,British,British
Markus Zusak,https://en.wikipedia.org/wiki/Markus_Zusak,Australian,Australian
Nicholas Evans,https://en.wikipedia.org/wiki/Nicholas_Evans,British,British
Margaret Wise Brown,https://en.wikipedia.org/wiki/Margaret_Wise_Brown,American,American
Michael Ende,https://en.wikipedia.org/wiki/Michael_Ende,German,German
Anthony Doerr,https://en.wikipedia.org/wiki/Anthony_Doerr,American,American
E. L. James,https://en.wikipedia.org/wiki/E._L._James,British,British
S. E. Hinton,https://en.wikipedia.org/wiki/S._E._Hinton,American,American
Sam McBratney,https://en.wikipedia.org/wiki/Sam_McBratney,No nationality matched,Irish
James Clavell,https://en.wikipedia.org/wiki/James_Clavell,American,British
Janette Sebring Lowrey,https://en.wikipedia.org/wiki/Janette_Sebring_Lowrey,American,American
Ken Follett,https://en.wikipedia.org/wiki/Ken_Follett,Welsh,British
Patrick Süskind,https://en.wikipedia.org/wiki/Patrick_S%C3%BCskind,German,German
John Steinbeck,https://en.wikipedia.org/wiki/John_Steinbeck,American,American
Carlos Ruiz Zafón,https://en.wikipedia.org/wiki/Carlos_Ruiz_Zaf%C3%B3n,Spanish,Spanish
