CED_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
CED201,1112,3614,6518,6154,4517,4104,2246,863,274,29394,200,430,725,891,1976,1460,710,244,60,6693,199,369,906,1009,1713,1579,1152,464,145,7532,68,86,225,260,451,542,576,336,94,2649,18,28,102,76,165,280,492,489,177,1828,3,21,27,43,51,66,59,58,15,348,132,181,354,383,399,435,376,317,176,2760,1729,4729,8858,8812,9278,8458,5608,2773,939,51195,1212,3816,7588,7423,5707,4214,1889,789,273,32919,123,269,458,690,2070,1689,835,326,92,6565,143,214,478,617,1424,1772,1499,656,229,7028,31,52,101,178,418,557,724,389,176,2619,13,18,59,67,164,373,722,651,411,2482,3,8,44,39,69,104,91,91,46,488,127,138,390,349,410,439,465,456,435,3210,1651,4511,9126,9377,10259,9150,6228,3355,1662,55320,2325,7428,14109,13578,10218,8315,4135,1645,546,62309,327,702,1186,1580,4042,3154,1549,569,152,13257,343,583,1377,1627,3131,3353,2652,1121,369,14558,99,137,330,444,873,1101,1301,720,264,5270
CED202,1005,3200,5304,5008,3498,3172,2236,773,204,24397,313,586,1025,1325,2314,1806,901,303,60,8641,410,657,1350,1520,2315,2162,1681,667,165,10918,141,166,386,462,810,986,1012,457,137,4551,60,73,159,145,243,480,889,761,319,3137,3,14,24,33,42,34,22,15,7,199,281,360,608,648,761,799,836,556,268,5123,2218,5062,8862,9137,9986,9437,7577,3525,1158,56964,1117,3702,6780,6816,4886,3788,2073,812,318,30289,236,410,727,1113,2531,2155,1166,434,149,8921,244,413,886,1034,1820,2123,2071,854,328,9773,105,113,207,266,611,989,942,538,257,4023,36,31,75,102,203,394,982,898,672,3403,3,8,16,26,26,28,22,26,12,162,280,337,607,641,816,878,896,781,511,5757,2009,5008,9313,10008,10896,10345,8145,4353,2253,62329,2124,6902,12089,11828,8376,6959,4301,1585,526,54684,547,997,1752,2436,4848,3963,2063,737,212,17558,653,1066,2234,2555,4135,4282,3752,1521,490,20692,244,272,593,732,1422,1972,1949,998,390,8578
CED203,1158,4912,12531,9431,6169,3836,1776,629,203,40658,165,304,636,741,1461,929,336,133,43,4752,104,244,634,761,1077,992,633,309,101,4851,49,61,195,201,330,441,425,300,114,2108,28,43,121,145,227,474,1032,1470,582,4115,8,30,75,63,83,136,197,321,129,1047,256,436,1239,956,762,599,557,550,309,5666,1767,6031,15428,12294,10106,7399,4957,3713,1482,63184,1339,5555,13649,10729,7253,4002,1548,542,218,44830,108,180,445,455,1331,945,351,153,73,4040,83,179,389,460,900,1120,724,363,211,4420,36,46,112,146,259,505,482,328,204,2124,12,18,96,139,236,602,1738,2082,981,5895,3,20,53,67,105,188,307,567,186,1503,238,467,1197,875,801,632,697,680,602,6185,1821,6459,15931,12867,10893,7983,5841,4719,2472,68995,2506,10466,26179,20155,13423,7839,3329,1171,424,85488,273,489,1082,1199,2793,1871,686,283,113,8787,183,421,1026,1217,1976,2107,1355,671,317,9268,85,110,301,346,586,948,906,632,316,4228
CED204,835,2768,4597,4632,3376,3371,2409,863,249,23088,329,593,857,1127,2117,1888,896,319,70,8196,326,581,1340,1477,2222,2290,1703,716,165,10826,106,155,386,390,720,904,1070,578,132,4446,47,74,169,176,274,419,822,796,414,3191,6,11,51,50,62,50,46,14,5,294,312,362,860,804,948,946,917,660,329,6132,1958,4549,8253,8649,9711,9864,7867,3950,1365,56165,1097,3301,6036,6325,4805,3995,2256,793,334,28951,225,399,692,949,2147,2089,1186,445,136,8275,227,437,926,1033,1904,2153,1936,891,317,9820,77,96,192,262,562,918,1025,634,279,4041,27,51,107,111,186,413,894,891,661,3342,3,18,47,47,58,47,32,21,15,275,292,283,646,697,807,926,944,881,638,6105,1949,4579,8649,9422,10463,10533,8268,4557,2386,60807,1935,6071,10630,10957,8183,7373,4662,1651,586,52041,553,999,1552,2075,4260,3977,2077,764,213,16472,555,1017,2263,2505,4124,4440,3638,1609,483,20639,183,247,578,650,1278,1824,2095,1212,417,8484
CED205,1420,5181,9663,7492,5879,4590,3019,1481,413,39145,187,379,624,631,1163,837,588,304,95,4799,166,318,671,829,1091,1050,999,631,158,5910,62,89,166,278,363,415,506,332,119,2329,26,111,337,368,339,480,824,858,329,3674,13,148,341,315,242,224,176,156,59,1671,233,372,841,664,619,589,575,542,265,4696,2106,6606,12650,10575,9692,8185,6689,4298,1436,62229,1364,4490,9443,7892,6317,4683,2605,1215,434,38443,125,193,368,440,1007,969,858,392,135,4488,118,161,400,542,961,1153,1397,780,296,5808,41,51,122,210,338,470,591,393,182,2401,36,61,200,268,384,707,1168,1171,614,4603,3,66,203,233,260,305,274,322,128,1798,202,303,736,543,545,590,626,636,568,4747,1890,5322,11471,10128,9810,8874,7515,4907,2372,62293,2785,9672,19107,15385,12199,9272,5624,2690,850,77593,315,571,988,1076,2165,1810,1442,699,233,9291,278,481,1071,1370,2056,2209,2398,1403,453,11722,100,143,288,491,702,878,1106,723,304,4728
CED206,1596,4998,8019,6215,5194,3641,1763,576,130,32132,290,491,931,1059,1918,1249,417,103,30,6486,346,532,1127,1209,1913,1674,905,296,81,8079,124,178,442,488,756,739,600,217,49,3589,75,110,416,535,657,866,1371,926,243,5194,12,42,149,172,203,289,276,211,68,1417,339,424,925,710,777,658,587,369,139,4932,2784,6765,12000,10400,11424,9114,5920,2705,731,61834,1750,4850,8609,7245,5706,3302,1334,416,133,33343,189,307,633,836,2037,1314,410,95,32,5842,183,301,723,890,1742,1704,1037,351,102,7043,92,118,270,394,647,816,593,263,81,3274,34,92,354,563,811,1167,1698,1111,404,6233,17,30,130,186,356,468,481,404,155,2222,323,338,805,678,730,672,662,452,248,4907,2585,6044,11523,10792,12028,9439,6212,3091,1162,62869,3343,9844,16625,13465,10898,6939,3099,996,260,65472,476,798,1560,1894,3952,2562,823,204,60,12334,531,832,1856,2101,3654,3383,1946,644,181,15118,211,293,712,878,1411,1549,1194,480,133,6864
CED207,893,2739,5127,4871,3297,3061,2239,843,238,23309,371,583,1157,1371,2391,1825,881,248,66,8902,371,657,1500,1684,2473,2114,1496,567,138,10983,104,140,416,476,732,847,797,357,99,3973,34,52,162,179,228,319,645,495,217,2333,3,16,41,45,60,32,32,28,16,283,186,231,440,479,568,529,550,380,189,3554,1967,4412,8841,9103,9745,8725,6654,2923,966,53330,997,3141,7015,6676,4722,3615,2085,772,238,29253,231,369,712,1057,2656,2010,1010,321,87,8451,196,327,803,955,1781,2050,1812,725,232,8879,77,68,174,232,481,746,843,409,182,3224,22,36,89,119,124,275,705,606,456,2429,3,7,31,37,57,38,30,51,19,277,175,187,450,469,569,589,609,526,368,3947,1699,4132,9274,9547,10394,9329,7099,3402,1584,56466,1899,5877,12143,11546,8021,6671,4330,1609,476,52563,600,956,1867,2431,5041,3834,1886,574,151,17348,562,978,2299,2641,4248,4164,3309,1289,367,19865,180,206,590,712,1219,1593,1645,770,283,7197
CED208,2290,8440,11617,8147,6600,4823,2847,1474,574,46819,158,270,425,514,1275,819,484,322,146,4402,131,195,407,450,842,777,663,607,237,4317,71,87,120,120,239,299,343,345,143,1763,24,37,67,74,129,225,544,785,425,2319,17,43,91,80,92,102,98,134,37,684,236,463,767,533,474,444,372,437,276,4010,2926,9544,13508,9913,9647,7488,5351,4101,1838,64320,2551,8113,11519,9154,7860,5299,2755,1458,648,49355,122,176,246,341,1105,967,771,544,200,4472,91,92,215,285,636,862,1008,915,435,4541,31,67,77,113,199,344,458,466,271,2018,19,38,67,76,152,363,935,1173,723,3540,5,17,78,74,98,144,184,244,105,949,236,406,737,479,484,478,512,637,561,4522,3048,8915,12937,10519,10534,8460,6623,5435,2940,69410,4839,16554,23135,17302,14461,10123,5603,2930,1222,96173,283,445,669,855,2378,1787,1256,866,345,8876,218,285,628,736,1477,1636,1671,1526,678,8858,98,158,197,226,443,638,801,809,411,3787
CED209,1031,3373,5673,6027,3936,3933,2864,1017,316,28159,274,499,961,1260,2500,2074,1083,374,109,9134,245,398,916,1266,1752,1944,1649,665,182,9017,84,112,232,329,510,613,781,498,133,3307,41,56,99,121,145,249,656,670,382,2411,3,19,27,30,42,39,30,10,4,203,233,288,510,567,637,673,716,489,262,4380,1905,4743,8423,9593,9526,9529,7769,3723,1393,56611,1241,3398,7082,7666,5474,4452,2607,1013,442,33379,164,217,583,930,2374,2217,1448,528,194,8652,154,236,529,739,1441,1838,1944,899,391,8163,70,44,131,173,369,643,838,599,271,3143,25,13,49,92,93,247,664,741,726,2649,5,6,19,25,27,39,26,27,20,199,214,234,463,540,572,683,744,678,540,4666,1874,4155,8841,10163,10356,10123,8271,4479,2583,60852,2270,6768,12753,13689,9414,8391,5470,2026,761,61540,435,720,1541,2190,4874,4293,2535,900,299,17786,396,642,1443,2007,3194,3786,3590,1560,574,17184,156,161,367,501,884,1257,1623,1097,401,6450
CED210,898,2942,5590,4840,3082,2880,1998,837,300,23353,297,596,1084,1292,2523,1856,847,275,82,8847,326,593,1213,1276,1953,2077,1641,681,188,9951,128,164,355,438,682,853,923,493,159,4195,60,84,172,216,296,506,930,943,415,3616,12,25,56,65,60,58,79,72,23,454,246,412,1014,890,912,810,853,636,330,6109,1974,4819,9478,9017,9511,9038,7271,3933,1497,56539,1042,3480,7049,6165,4269,3374,1831,870,290,28366,200,431,773,1086,2446,1954,1080,425,114,8520,227,438,906,982,1823,2205,1937,825,295,9654,84,109,213,311,616,985,1029,617,276,4242,39,54,146,167,254,583,1203,1158,835,4458,12,11,51,67,79,68,89,115,51,544,237,327,645,559,750,843,949,873,596,5776,1834,4862,9791,9344,10242,10014,8125,4879,2461,61548,1939,6424,12642,11002,7346,6252,3830,1700,591,51720,496,1031,1860,2377,4973,3807,1925,697,195,17366,555,1036,2120,2263,3774,4284,3583,1508,485,19606,213,271,568,750,1304,1840,1950,1108,436,8433
