CED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED201,2224,343,2603,23115,8579,771,32466,73996,5732,112194
CED202,2787,570,3412,24901,10419,1184,36507,77994,10459,124957
CED203,3126,765,3953,24478,7568,882,32929,91931,11489,136350
CED204,2857,845,3757,23635,10215,1211,35059,75452,11877,122395
CED205,3190,584,3812,24349,8180,519,33049,88413,9064,130519
CED206,1541,314,1893,25440,8205,666,34313,87573,10074,131960
CED207,2112,408,2548,24662,9992,1186,35841,72067,7470,115387
CED208,3953,769,4788,25482,7942,703,34132,96712,8502,139344
CED209,3325,601,3978,26480,10740,1146,38362,75695,8907,122969
CED210,3116,808,3961,22714,10040,1003,33755,78573,11343,123675
CED211,3618,707,4369,26154,9214,978,36346,77086,6580,120018
CED212,3093,555,3702,24169,10067,1137,35376,75127,9487,119996
CED213,3503,984,4541,23961,10921,1050,35930,79812,11060,126797
CED214,2937,571,3558,26941,7372,938,35251,90918,10921,137098
CED215,2730,848,3623,20229,9012,979,30228,74522,13245,117989
CED216,4367,675,5121,26784,8798,909,36497,75859,7506,119860
CED217,1121,181,1332,37120,9644,953,47724,88716,12136,148579
CED218,3030,485,3576,21959,7609,688,30251,91847,9981,132082
CED219,1796,285,2108,37519,9601,1091,48202,94872,10986,154064
CED220,3395,686,4156,25406,7518,668,33590,82780,7958,124324
CED221,2911,770,3755,20649,9036,944,30629,73094,11277,114998
CED222,2755,669,3458,27746,8579,924,37251,82069,8967,128284
CED223,2714,599,3368,24735,9200,940,34871,73445,6842,115161
CED224,3824,476,4377,23535,8312,679,32532,81346,7308,121182
CED225,1723,321,2077,30035,9236,1171,40448,76231,7022,123705
CED226,1263,314,1608,49094,10639,1202,60939,101389,13102,175430
CED227,3518,890,4469,19477,8206,899,28585,72657,12466,113709
CED228,3157,634,3842,25249,8396,559,34209,93112,11355,138675
CED229,1724,375,2156,42472,11596,1432,55504,94079,11834,161415
CED230,3057,746,3861,27694,10855,1362,39913,81594,12078,133583
CED231,1691,500,2233,18699,7012,509,26221,142119,20964,189301
CED232,2436,489,2973,19266,7639,659,27563,98535,15364,141464
CED233,3393,564,4018,22663,9397,664,32727,75994,6002,114724
CED234,3238,889,4181,20961,8717,870,30550,75030,12971,118546
CED235,2097,286,2430,28793,9121,752,38665,88128,8586,135376
CED236,3057,814,3930,19194,8357,859,28411,70158,11885,110449
CED237,3860,504,4431,25415,7141,839,33398,98402,10519,142318
CED294,25,13,38,649,290,14,960,3900,1969,6825
CED297,0,0,0,5,0,0,5,18,3,25
