CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED201,3,12,4,35,25,30,30,25,12,182,0,0,0,22,61,123,168,107,38,524,0,15,6,6,12,3,0,0,0,43,0,28,29,117,39,18,3,0,0,239,0,0,0,21,20,27,18,6,5,91,9,84,177,466,237,294,159,45,8,1477,0,0,0,3,4,22,24,9,3,70,0,3,9,27,34,41,34,12,0,154,0,0,12,22,9,4,3,3,0,64,0,0,9,37,9,4,0,0,0,64,3,6,3,11,29,57,110,88,29,334,9,103,99,238,148,112,61,24,3,802,0,0,4,8,13,20,17,14,9,82,0,8,10,48,18,10,3,0,0,96,0,0,0,8,9,3,0,0,0,24,0,35,54,191,91,70,40,3,4,483,0,3,0,44,29,68,46,4,11,208,0,5,8,33,43,88,99,51,13,340,6,63,81,99,75,64,26,5,3,421,4,25,49,141,95,81,66,20,4,476
CED202,0,12,9,30,24,20,28,16,5,136,0,0,0,9,18,47,67,42,9,200,0,0,3,12,3,4,0,4,0,25,0,6,4,10,0,0,0,0,0,20,0,0,0,4,8,0,0,0,0,13,4,8,12,36,16,19,3,9,0,109,0,0,0,8,14,55,57,15,7,154,0,0,0,8,0,7,3,0,0,19,0,0,0,3,0,0,0,3,0,5,0,0,3,15,0,0,0,0,0,21,3,3,0,9,25,81,159,93,18,388,9,41,52,186,143,133,79,32,3,680,0,0,0,4,6,15,26,10,0,63,0,4,3,25,0,3,0,0,0,42,0,0,0,3,8,0,0,0,0,12,6,32,28,91,14,9,0,0,0,178,0,0,0,11,3,0,8,6,6,38,0,3,10,42,43,60,99,44,11,317,3,4,4,12,11,3,3,0,0,39,0,9,22,63,28,22,17,6,0,172
CED203,0,3,6,164,44,43,17,10,10,295,4,15,24,183,174,350,750,1047,410,2943,0,8,10,35,12,4,0,0,0,68,3,9,14,61,3,0,3,0,0,93,4,7,18,114,145,130,110,70,10,607,3,12,97,248,51,55,30,8,3,506,0,0,0,6,8,38,66,56,21,197,0,7,19,61,11,23,6,5,3,120,0,0,3,13,5,0,0,0,0,21,0,14,95,364,7,7,0,0,0,493,0,3,6,24,19,18,15,14,3,94,5,43,61,710,207,105,50,13,4,1195,0,0,0,24,13,12,3,3,0,56,16,25,83,265,13,5,0,0,0,408,0,0,0,21,4,0,0,0,0,36,3,19,41,200,42,34,22,5,0,362,0,0,3,33,7,22,11,3,3,84,0,13,3,91,45,37,39,14,8,253,3,10,19,71,21,10,3,0,0,136,0,3,13,113,20,12,12,0,0,186
CED204,0,10,0,34,18,17,23,13,10,135,0,0,3,8,16,28,56,24,14,159,0,0,11,0,0,0,0,0,0,12,0,7,9,16,0,0,0,0,0,29,0,0,0,15,10,3,0,0,0,27,0,3,14,38,20,18,7,0,0,97,0,0,0,3,0,28,33,12,0,73,0,0,0,10,3,0,0,0,0,18,0,8,31,114,34,20,6,9,0,221,0,3,0,19,0,0,0,0,0,22,0,3,4,16,21,42,89,52,15,233,3,22,41,193,141,122,65,18,6,617,0,0,0,10,9,11,13,3,3,46,0,3,3,21,0,3,0,0,0,30,0,0,0,14,12,3,0,0,0,29,6,23,27,63,17,12,4,4,0,157,0,0,0,6,0,4,4,3,5,27,0,0,4,35,29,50,70,36,14,245,0,0,3,10,8,8,8,0,0,30,3,12,36,49,29,28,19,4,0,177
CED205,3,12,3,17,10,15,23,21,3,100,0,3,12,39,62,169,304,352,121,1063,4,15,11,17,9,4,7,3,0,72,5,54,72,203,78,27,18,3,0,463,0,3,15,60,58,56,64,25,3,273,17,144,302,704,271,311,240,82,16,2086,0,0,0,5,8,14,27,25,7,83,0,3,23,111,62,101,82,50,25,470,0,12,80,234,56,23,11,11,0,436,0,5,10,49,5,3,0,0,0,74,0,3,0,13,17,26,74,55,18,197,14,168,207,292,140,120,70,24,10,1046,0,0,0,7,14,3,8,14,3,61,28,136,202,603,73,39,13,3,0,1092,0,0,0,13,3,0,0,0,0,23,6,41,98,277,123,62,14,7,5,629,0,0,5,44,41,103,60,33,20,319,0,3,4,19,32,36,72,65,16,242,6,77,113,111,49,53,32,18,3,459,3,30,43,87,55,48,50,23,3,338
CED206,3,3,0,39,12,18,18,16,7,115,0,7,13,69,185,497,674,428,103,1978,0,0,0,6,0,3,0,0,0,9,0,0,8,25,4,3,0,0,0,48,20,43,93,750,375,317,160,53,7,1817,4,12,24,43,27,36,22,5,0,167,0,0,3,16,59,214,298,145,20,768,0,3,5,23,16,20,17,0,0,84,0,0,0,6,5,3,3,4,0,28,3,31,52,131,7,0,0,0,0,224,0,0,0,6,3,15,26,18,4,75,43,218,212,286,120,79,25,9,3,999,0,0,0,8,4,11,10,7,0,47,18,66,255,658,77,14,11,3,0,1099,0,0,7,12,4,0,3,0,0,30,17,83,124,351,199,167,71,13,6,1035,0,0,0,32,21,72,41,14,16,196,0,3,3,14,37,38,36,21,6,174,3,15,17,24,12,20,14,3,0,106,0,3,11,33,11,15,12,3,0,96
CED207,0,6,0,33,30,25,49,16,3,169,0,3,3,29,32,84,182,118,48,504,0,3,3,3,3,0,6,0,0,18,0,6,3,8,0,4,0,0,0,26,0,0,3,14,11,6,8,3,0,44,10,34,12,41,19,31,11,5,0,175,0,0,0,3,3,21,24,6,3,60,0,0,0,14,11,9,5,3,0,43,4,54,118,223,55,18,13,4,0,487,0,0,4,15,3,0,0,0,0,25,0,9,8,36,63,150,252,147,62,721,3,41,68,276,181,153,75,23,5,836,0,9,3,17,18,14,30,16,3,109,0,4,3,17,0,4,0,0,0,23,0,0,0,17,18,8,5,3,0,40,0,15,28,66,29,16,6,0,0,162,0,0,4,14,16,25,20,16,16,112,0,3,6,36,79,107,110,46,11,402,3,9,18,13,16,9,3,0,0,63,0,15,43,101,80,47,44,13,0,337
CED208,0,8,4,68,26,21,13,31,16,186,0,9,9,55,58,126,221,296,143,913,7,22,38,53,28,12,8,4,0,170,15,58,157,367,123,43,12,5,0,779,0,0,3,11,18,12,16,6,0,70,8,105,570,882,232,237,170,61,11,2274,0,0,0,5,7,12,11,17,5,58,0,3,39,80,26,19,16,10,5,191,0,0,11,15,11,7,4,6,0,56,0,9,31,92,0,3,0,0,0,142,0,16,6,20,9,28,40,35,25,189,10,84,130,294,154,148,63,37,13,930,0,0,5,4,10,8,8,8,5,45,8,14,93,191,11,8,4,0,0,333,0,3,5,14,12,3,0,0,0,37,9,18,55,212,65,41,13,9,0,422,0,6,0,33,23,60,45,21,11,207,0,9,5,34,39,44,57,44,19,249,9,47,218,170,50,54,25,3,7,585,0,15,47,126,73,47,29,22,7,364
CED209,0,21,12,57,34,22,33,10,7,201,0,0,3,25,29,41,102,64,24,302,0,6,9,10,7,4,0,0,0,28,0,10,7,17,4,0,0,0,0,43,0,0,3,11,7,4,3,3,0,30,0,7,17,46,23,26,13,3,0,143,0,0,0,7,3,19,27,11,0,74,0,0,5,8,3,0,0,3,0,24,0,0,7,3,0,0,0,0,0,15,0,0,0,18,0,0,0,0,0,24,0,6,8,18,27,75,163,74,23,382,8,67,87,286,135,130,71,30,4,820,0,4,3,7,20,26,28,16,4,115,0,6,15,43,3,3,3,0,0,71,0,3,0,14,9,3,0,0,0,26,6,17,25,58,13,10,0,0,0,122,0,0,0,16,5,12,9,3,5,56,0,13,14,49,67,75,98,53,14,380,0,3,3,15,16,5,7,0,0,61,5,18,27,83,51,30,25,7,0,243
CED210,3,12,5,44,30,26,25,21,8,176,0,3,15,30,56,111,186,165,91,659,0,4,3,7,4,0,0,0,0,17,3,3,10,25,0,7,0,0,0,46,0,0,0,20,10,10,0,3,0,35,0,4,21,66,13,11,0,4,0,123,0,0,0,3,9,42,85,25,3,170,0,3,6,13,9,5,4,0,0,31,3,6,38,70,20,16,11,0,0,161,0,0,4,33,0,0,0,0,0,42,0,3,5,7,12,93,198,98,46,466,3,30,68,277,136,107,80,34,4,732,0,0,0,7,19,27,22,17,5,109,11,33,36,105,8,3,3,0,0,191,0,0,0,7,5,5,0,0,0,23,3,44,83,115,62,25,11,3,0,355,0,0,0,22,17,34,21,18,16,133,0,3,8,53,73,122,114,73,16,463,0,10,17,13,19,7,6,0,0,68,0,9,10,56,22,22,12,12,0,142
