CED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED201,1670,13162,19850,7105,3982,45763,1180,46946
CED202,3171,18903,21364,7368,4340,55141,2298,57439
CED203,7536,26276,18024,4440,1961,58239,2187,60427
CED204,2899,18289,21319,7451,4088,54042,2248,56291
CED205,3751,18036,19738,6234,3021,50774,1883,52659
CED206,2566,14397,18976,7714,4606,48267,1916,50179
CED207,1551,13646,20290,7675,5148,48308,1468,49773
CED208,5713,21523,20824,5577,2399,56036,1679,57713
CED209,2012,16577,23107,7268,4033,52991,1752,54750
CED210,4180,20810,20424,6166,3075,54652,2299,56949
CED211,3059,19847,21518,5527,2535,52480,1367,53847
CED212,3243,18981,21232,6283,3247,52988,2033,55020
CED213,2154,17986,22455,7442,4395,54429,2396,56821
CED214,6690,24761,19995,4943,2211,58602,2291,60896
CED215,2973,18143,19951,6968,3885,51924,2517,54441
CED216,3459,19340,21700,5427,2383,52313,1405,53716
CED217,2140,16649,25621,8550,4452,57414,2108,59516
CED218,9016,26797,18710,4165,1915,60598,1742,62343
CED219,2094,16922,26260,8829,4606,58720,2110,60831
CED220,3672,18483,19876,5811,2687,50533,1758,52285
CED221,2410,16687,20109,7180,4246,50628,2314,52937
CED222,3350,18943,22157,6481,3109,54039,1820,55853
CED223,2738,16694,20652,6071,3257,49414,1297,50718
CED224,4317,19680,19476,5339,2372,51185,1280,52464
CED225,1334,12965,22621,8080,5017,50014,1285,51300
CED226,2720,23554,30608,8872,4181,69935,2085,72018
CED227,3194,16813,18617,6976,4461,50065,2612,52681
CED228,5167,21291,20158,6263,3008,55888,2275,58164
CED229,1739,17672,29572,10253,6493,65741,1913,67648
CED230,2810,19624,23105,8101,4773,58425,2311,60734
CED231,31666,34910,13475,2337,744,83134,3364,86495
CED232,12661,34029,16544,2698,1064,67001,2110,69108
CED233,1684,13065,19962,6867,4074,45662,1213,46867
CED234,2738,16821,19547,7363,4495,50963,2568,53532
CED235,2733,16202,21495,7767,4442,52648,1712,54358
CED236,2624,16345,18466,6873,4479,48783,2316,51098
CED237,8610,27867,18460,4662,2118,61720,2155,63876
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
