UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL212005,50,68,66,94,216,298,200,407,20,1416,130,184,327,425,469,493,272,375,19,2692,68,122,110,147,451,536,236,267,19,1965,91,326,270,361,264,178,78,66,30,1671,68,212,233,248,379,257,94,81,8,1585,57,607,232,252,246,135,75,120,25,1748,38,48,45,63,129,153,135,176,12,798,74,490,212,253,422,260,184,107,35,2040,7,17,7,10,22,30,6,12,73,192,587,2074,1499,1865,2588,2331,1285,1618,248,14105
UCL213001,21,23,28,48,113,189,122,262,5,818,56,105,134,165,230,252,139,162,10,1250,37,55,57,79,236,383,179,226,19,1279,38,174,143,156,153,138,48,69,14,939,50,95,124,161,282,235,83,77,14,1112,28,267,100,81,78,68,47,61,9,740,20,20,40,54,154,157,96,233,16,793,21,192,84,75,96,116,68,61,17,734,5,10,8,5,16,30,12,15,40,131,267,933,724,823,1366,1575,786,1170,145,7794
UCL213002,10,28,28,45,67,118,55,157,6,508,37,64,87,115,141,126,63,108,5,746,23,33,38,53,189,167,82,135,11,725,43,93,113,162,100,54,28,30,7,637,36,75,65,86,124,80,27,37,5,538,34,151,81,80,79,68,44,45,4,586,12,14,30,27,55,40,40,79,9,298,39,131,94,142,129,76,51,36,18,717,11,9,6,11,4,5,6,3,33,90,242,609,533,711,888,736,399,634,102,4853
UCL213003,18,24,18,31,75,102,74,156,8,512,24,38,75,78,126,103,77,78,5,602,26,52,46,54,187,151,101,104,9,726,22,134,98,153,146,48,18,40,12,678,20,83,72,77,121,61,32,26,6,510,23,179,75,70,92,40,27,24,10,539,12,17,17,24,72,57,58,126,7,403,37,185,136,181,235,135,79,59,28,1065,4,11,10,8,11,7,8,4,42,103,196,721,540,674,1068,702,481,621,122,5127
UCL213004,8,26,22,31,86,107,70,150,7,515,36,61,100,104,102,137,67,108,10,730,18,50,30,60,174,230,123,137,15,849,28,104,101,119,72,46,41,26,3,542,28,96,60,69,123,77,47,21,7,524,24,117,55,46,81,60,14,34,11,440,5,26,23,46,76,83,62,89,7,419,29,150,78,77,137,86,57,58,9,679,9,6,8,3,8,8,5,8,35,87,187,643,471,558,849,847,492,650,97,4789
UCL213005,16,27,17,43,76,100,68,140,5,496,27,86,115,111,183,167,72,92,11,866,29,60,53,78,199,260,110,149,18,953,36,160,144,153,100,78,34,41,9,761,28,82,117,94,163,98,48,54,4,674,27,140,95,85,72,47,23,44,3,540,16,25,29,21,67,65,43,72,9,340,20,146,89,75,84,63,21,44,8,546,3,8,3,9,18,21,3,6,28,89,189,734,666,670,962,899,427,630,99,5268
UCL213006,23,20,26,38,93,129,88,217,3,627,33,64,94,132,154,186,101,116,3,890,31,33,30,70,194,200,120,146,17,842,55,129,117,163,135,81,51,48,9,789,24,77,59,88,141,82,37,32,5,552,46,190,99,98,77,76,37,45,11,676,12,15,21,25,63,60,53,80,7,343,33,169,76,106,147,77,69,67,15,759,10,5,3,4,4,0,7,3,40,80,266,712,530,716,1015,898,559,755,120,5560
UCL213007,27,45,37,79,141,192,121,239,18,885,59,81,138,186,256,267,136,176,10,1303,29,62,50,70,256,252,143,124,11,1011,58,142,134,181,119,110,37,54,15,855,32,103,118,127,229,131,51,48,13,846,42,219,123,121,152,92,57,52,10,855,21,34,20,24,86,59,52,103,11,403,28,231,107,99,124,78,31,46,16,768,4,9,0,8,16,13,0,7,32,91,297,927,721,891,1379,1187,637,843,134,7014
UCL213008,23,12,16,35,108,142,86,184,4,616,35,79,108,139,226,234,107,134,9,1072,33,60,44,67,237,297,140,156,6,1043,33,165,138,159,114,140,48,69,11,876,40,76,120,99,199,174,65,59,3,835,35,256,111,78,107,55,28,40,7,714,26,32,25,29,117,136,90,130,5,583,27,165,79,85,134,113,48,68,7,720,8,0,5,19,19,24,3,15,34,128,253,842,639,707,1264,1318,607,855,97,6581
UCL213009,18,19,29,39,87,130,94,133,7,556,51,64,105,124,186,176,76,80,5,874,26,42,50,61,212,274,120,143,13,941,42,170,164,149,120,92,37,44,5,829,35,67,130,130,183,144,49,43,7,784,20,182,98,80,107,58,47,26,4,625,11,20,22,23,65,72,46,85,4,351,22,144,75,76,106,99,30,54,9,610,0,8,3,3,7,8,8,10,19,66,234,705,664,691,1066,1062,506,615,81,5630
UCL213010,18,17,22,25,80,78,31,74,3,346,22,59,88,84,130,116,45,72,7,629,25,62,44,71,278,271,131,148,8,1037,34,151,148,169,126,53,37,35,15,763,39,85,90,98,196,100,37,38,0,666,19,220,87,91,86,39,36,30,20,634,17,22,18,21,102,83,59,71,4,393,41,158,112,114,105,96,47,68,15,760,3,14,7,3,22,7,0,9,45,116,213,787,617,680,1123,853,425,536,122,5344
UCL213011,11,8,3,29,75,68,44,89,4,333,16,35,56,80,103,87,52,59,3,496,23,27,38,45,189,179,64,111,14,703,23,97,105,110,93,49,24,43,13,554,32,65,63,96,171,81,38,21,7,573,19,168,98,77,84,39,21,24,7,537,16,25,25,30,87,65,72,74,13,403,30,160,101,95,98,65,41,62,18,651,5,4,4,3,4,10,8,8,33,86,180,589,495,564,899,636,361,496,115,4331
UCL213012,29,58,69,81,137,226,152,319,9,1087,104,209,345,335,332,409,213,316,17,2289,36,86,82,113,254,382,147,200,24,1322,42,253,180,183,114,131,55,65,12,1036,43,146,178,175,179,129,59,58,10,973,32,216,143,100,77,81,44,52,5,762,4,26,14,27,35,51,22,51,7,237,27,198,62,65,61,60,24,58,11,579,4,17,13,15,16,18,3,15,36,129,326,1209,1084,1096,1207,1489,720,1142,134,8407
UCL213013,15,14,22,32,39,74,48,123,0,375,39,44,78,84,87,117,52,89,9,597,28,33,36,52,148,172,64,80,14,636,36,106,92,104,59,31,20,16,12,484,14,52,50,77,86,71,26,23,7,407,15,110,55,63,36,25,17,19,12,347,34,31,28,23,79,79,132,128,14,534,37,151,82,65,87,57,44,39,13,579,0,3,4,11,6,12,6,5,25,67,214,552,444,505,626,641,407,523,111,4023
UCL213014,23,29,38,41,81,112,95,226,0,642,59,79,111,144,159,259,127,198,9,1154,40,44,44,69,216,206,90,167,14,902,36,113,120,131,115,77,56,52,7,712,28,55,82,91,136,106,52,44,5,606,19,200,96,74,84,54,32,27,11,590,11,19,12,18,45,48,32,62,11,264,28,167,89,88,87,87,45,74,16,684,7,13,3,4,11,14,5,12,30,93,245,726,602,664,941,966,534,860,103,5646
UCL213015,13,19,12,44,81,144,85,202,9,614,30,40,64,85,149,183,94,100,12,763,21,33,24,34,173,170,79,90,13,635,36,102,68,97,91,51,22,35,12,507,26,49,56,78,151,114,35,29,3,537,18,149,62,66,80,57,36,45,11,522,9,12,18,20,48,49,16,54,7,238,17,140,82,97,98,74,30,34,10,587,6,7,3,6,10,5,0,5,26,74,176,558,396,533,878,844,396,601,102,4483
UCL213016,42,52,69,74,158,243,168,399,10,1216,103,229,278,324,330,440,194,372,6,2278,27,68,59,96,195,334,145,197,9,1129,57,215,139,150,116,110,65,71,13,944,30,163,180,141,161,130,48,63,14,936,30,241,101,87,90,103,42,76,8,776,9,14,15,17,35,34,18,34,0,189,17,173,56,56,56,62,24,59,8,514,9,17,5,17,12,24,4,14,38,141,328,1154,905,960,1155,1487,714,1295,117,8121
UCL213017,23,29,27,52,121,166,103,263,16,795,65,76,173,260,247,267,143,193,15,1440,34,51,66,80,241,318,130,147,21,1078,73,192,175,188,178,89,51,53,21,1016,31,107,129,175,224,152,62,58,6,939,45,254,125,133,117,97,64,59,19,911,17,21,37,51,130,106,54,107,11,541,39,244,106,149,169,132,45,47,21,954,4,6,8,7,15,17,3,12,37,108,332,975,849,1086,1440,1344,660,942,164,7789
UCL213018,20,31,25,40,94,136,104,241,5,695,64,119,149,164,209,208,128,192,4,1230,23,56,47,72,206,248,130,172,12,962,45,154,132,123,108,68,41,36,14,723,28,106,126,131,146,108,42,49,8,751,27,165,84,68,65,50,46,57,6,561,19,16,23,25,53,58,62,76,5,329,35,176,79,99,154,88,56,61,15,768,4,10,5,8,12,8,3,14,25,94,262,835,664,727,1044,982,612,892,94,6111
UCL214001,4,15,12,14,44,56,40,84,3,268,11,28,41,55,66,79,43,53,0,378,15,26,20,34,83,90,30,45,9,368,46,70,62,88,85,114,39,47,7,552,13,32,32,43,73,27,10,14,0,239,12,98,41,28,38,28,8,14,0,274,7,16,15,5,44,32,27,40,0,189,20,95,54,118,115,101,36,44,7,575,3,0,3,4,12,9,3,3,18,58,141,379,279,389,555,534,236,340,45,2903
UCL214002,17,16,15,18,58,90,66,94,3,376,32,40,61,87,94,102,76,60,3,544,14,38,30,55,152,145,63,71,12,570,32,80,75,106,73,44,28,21,5,457,18,38,62,56,105,54,21,27,4,386,25,80,43,76,54,32,26,20,0,350,9,8,23,13,70,48,38,53,4,274,25,119,66,58,79,67,24,22,8,473,7,3,0,4,9,3,0,3,19,58,169,421,370,470,687,584,340,371,57,3476
UCL214003,16,27,38,58,41,84,67,104,10,449,50,132,147,197,134,138,80,103,3,984,14,36,34,61,104,104,47,58,6,468,18,94,78,83,71,49,27,27,4,443,14,64,64,52,72,69,17,18,6,363,11,118,62,29,37,23,15,18,6,315,5,12,7,11,24,29,19,39,0,155,9,98,58,81,71,102,44,27,10,513,7,7,3,5,4,3,4,4,13,56,148,583,493,580,555,602,316,405,62,3737
UCL214004,7,8,6,15,32,34,26,88,4,225,11,14,17,39,36,36,34,37,3,222,9,16,22,20,67,58,33,54,0,277,7,29,28,43,27,17,15,13,0,182,9,27,29,41,38,28,15,12,3,203,13,52,27,30,28,18,15,10,3,204,11,15,5,7,34,24,40,25,6,153,30,45,38,57,83,86,67,30,9,454,5,0,3,0,3,0,0,4,15,36,102,212,180,244,354,308,239,267,49,1954
UCL214005,3,0,0,9,4,12,14,16,0,56,0,3,11,3,5,5,3,3,0,47,0,3,3,3,19,30,9,4,3,76,0,8,8,10,9,3,0,0,0,45,0,7,6,3,18,6,3,3,0,47,0,7,5,7,7,3,3,0,0,42,3,3,5,5,4,6,3,7,0,40,7,20,15,5,17,26,15,0,0,94,0,0,0,0,0,0,0,0,3,4,16,48,53,44,78,92,49,45,8,438
UCL214006,19,20,30,26,67,147,103,246,3,667,58,110,132,149,167,194,107,161,9,1075,15,26,29,47,132,182,100,168,11,707,21,127,86,86,51,78,47,44,3,547,21,97,116,106,148,104,56,61,4,698,19,135,63,50,53,33,29,40,6,430,5,20,17,15,28,38,27,53,3,208,18,102,27,25,35,42,16,32,3,292,0,6,7,4,7,8,3,6,7,41,173,630,507,503,683,823,493,812,57,4674
UCL214007,20,18,27,39,72,95,77,116,6,481,29,41,69,103,96,142,70,107,3,663,23,39,38,49,149,159,72,64,15,603,25,92,79,107,63,45,32,18,7,474,21,45,64,71,107,83,34,21,8,455,20,132,62,56,53,47,37,29,3,434,11,10,11,15,31,37,29,57,7,215,19,132,44,74,72,50,26,21,8,442,6,0,7,4,3,3,0,9,20,50,192,512,408,519,645,658,366,445,69,3818
UCL214008,22,23,25,34,70,79,73,112,6,447,22,69,77,69,90,93,55,94,7,576,35,43,53,46,136,193,79,133,11,732,23,107,80,91,50,42,32,22,11,460,15,56,72,69,93,54,23,16,7,404,9,67,47,60,40,34,15,17,3,293,3,19,15,24,50,54,31,50,8,252,24,99,63,62,89,56,29,32,11,467,6,5,0,0,8,13,3,10,39,91,160,488,445,461,623,607,351,489,102,3725
UCL214009,6,17,18,24,27,53,38,97,3,276,27,42,52,75,76,71,34,55,4,445,20,21,28,31,41,71,26,35,3,275,15,42,37,49,24,14,12,7,3,201,11,25,29,37,36,19,10,11,0,179,13,57,24,27,20,20,14,11,3,191,4,3,4,6,10,10,10,6,3,68,6,39,22,15,19,27,12,11,3,157,5,4,3,3,5,3,0,5,9,43,98,261,211,262,263,292,165,239,40,1832
UCL214010,8,13,12,12,41,66,51,98,5,305,24,31,56,54,60,84,44,67,5,420,14,25,21,33,117,135,68,85,12,520,22,65,64,51,53,52,29,17,9,366,22,48,51,59,84,55,29,24,7,375,8,71,53,29,33,24,16,15,7,258,9,15,13,9,50,58,34,69,3,258,12,71,43,35,41,50,39,26,10,324,3,6,7,0,8,11,0,4,13,52,117,345,305,297,496,525,315,414,62,2877
UCL214011,13,13,7,17,26,40,39,63,3,217,25,24,34,46,58,72,42,57,5,357,16,15,21,28,86,93,47,44,6,359,20,41,44,53,41,33,13,13,9,264,19,39,32,43,63,36,16,13,0,260,11,51,26,45,36,8,19,16,6,224,4,3,14,19,35,17,11,24,0,139,18,63,42,59,68,51,40,25,13,373,6,6,3,3,3,5,3,3,10,38,124,257,228,308,426,360,224,266,48,2233
UCL214012,14,11,14,20,21,47,22,99,4,257,14,14,30,45,35,22,25,57,6,249,16,23,19,19,66,63,27,37,4,289,24,59,53,66,42,16,7,10,5,280,6,35,35,39,50,27,4,9,3,211,17,58,40,39,31,12,16,21,3,238,6,7,6,4,15,20,15,21,0,99,29,84,30,44,38,29,19,26,9,306,3,0,0,0,3,3,0,0,25,43,137,297,230,282,296,247,132,285,61,1961
UCL214013,6,21,15,16,33,33,37,65,3,234,16,15,37,49,53,66,36,38,3,313,14,21,23,23,63,90,50,56,6,349,17,58,38,48,39,16,11,10,4,236,8,37,40,51,55,28,10,11,0,235,16,57,28,37,31,24,16,20,9,219,4,4,14,16,18,25,25,39,4,152,13,75,25,34,34,23,36,25,5,274,7,0,3,0,0,0,0,0,6,20,98,289,223,281,315,308,228,270,37,2041
UCL214014,3,9,16,19,44,38,36,78,4,245,16,20,39,44,42,52,30,38,0,281,13,33,25,49,124,76,30,44,9,400,18,69,64,73,49,43,8,19,7,340,10,35,39,28,69,33,15,21,0,240,10,73,63,41,30,32,11,13,12,283,6,11,10,11,41,19,13,28,3,144,16,109,51,69,80,59,37,8,7,430,3,3,4,0,7,6,0,3,18,46,100,353,305,338,483,352,176,250,62,2420
UCL214015,11,15,14,30,30,46,27,62,3,240,19,50,58,59,61,70,18,45,3,384,14,37,20,30,66,112,28,35,3,341,19,65,41,49,37,29,8,16,3,276,15,39,51,41,60,35,15,20,0,282,5,46,41,26,27,36,17,12,0,212,3,14,22,16,15,22,15,28,5,134,11,61,25,33,24,34,5,22,10,228,4,3,0,7,10,3,0,3,11,39,110,325,266,289,324,390,138,246,37,2131
UCL214016,8,5,3,15,30,35,20,59,0,178,11,17,20,36,53,52,32,24,5,252,11,16,20,25,87,87,29,56,7,347,6,53,44,71,52,34,21,21,4,306,14,20,32,40,78,41,15,19,4,270,4,70,39,45,35,22,8,10,9,244,9,5,11,20,42,38,17,32,4,169,17,105,67,54,83,57,21,24,11,427,3,0,0,0,5,3,0,3,17,34,86,302,233,296,470,370,167,244,55,2225
UCL214017,8,13,11,8,28,53,25,87,5,231,11,16,28,28,47,42,21,40,3,254,8,17,26,23,40,83,41,28,4,273,31,38,38,71,71,51,22,26,10,353,10,23,31,30,38,44,13,9,0,196,11,62,32,32,35,25,12,11,0,214,3,10,5,9,16,17,32,53,7,163,11,65,46,74,58,134,32,20,8,454,0,3,4,0,3,9,0,0,15,35,100,247,217,279,346,468,192,276,52,2170
UCL214018,23,7,21,25,62,88,58,116,3,403,22,34,51,54,111,95,50,66,3,485,11,28,29,37,188,236,97,121,15,766,18,70,70,79,73,62,27,21,8,431,32,71,72,90,150,139,40,41,3,644,24,130,69,67,56,50,17,11,3,429,11,8,17,35,96,92,46,106,7,417,7,75,48,40,77,52,27,44,12,383,3,7,6,5,5,20,5,3,21,75,150,426,384,437,818,828,366,538,87,4029
UCL214019,12,19,12,23,29,49,32,55,4,241,18,17,36,51,51,46,29,46,0,288,22,36,37,45,98,130,39,51,3,468,31,86,81,65,59,29,19,16,3,389,14,43,39,70,59,35,11,3,3,284,26,120,56,68,56,31,16,12,8,387,7,11,16,17,33,33,21,29,3,173,30,120,92,54,61,42,13,27,15,455,3,6,3,0,6,0,0,6,21,50,159,456,362,404,453,395,187,246,59,2731
UCL214020,16,14,15,27,42,59,48,118,0,332,16,29,49,58,58,71,39,50,6,381,11,16,31,23,107,164,51,79,11,498,24,93,62,88,50,29,17,22,7,385,13,32,46,42,69,35,17,12,5,282,18,86,55,37,25,34,16,16,4,284,7,9,6,11,39,31,21,40,3,171,27,92,41,43,70,58,20,27,3,399,9,3,3,9,3,5,0,6,21,54,153,367,316,339,467,486,225,381,60,2792
UCL215001,4,12,13,14,10,23,5,18,0,88,4,12,17,32,18,24,6,19,0,142,3,10,12,6,18,18,13,9,0,86,0,12,15,10,3,0,3,5,3,47,0,5,13,7,5,3,0,0,0,39,0,15,14,3,3,3,0,3,0,45,0,0,3,0,0,0,0,0,0,3,3,23,3,3,3,3,3,3,0,45,0,3,0,0,0,0,0,0,0,11,14,92,84,74,58,77,35,62,8,508
UCL215002,3,7,0,12,16,28,18,38,0,126,6,15,24,28,19,22,14,11,0,140,3,16,14,13,27,43,27,31,4,170,10,9,14,26,18,21,13,4,0,113,5,16,15,24,19,21,4,8,0,119,0,23,5,16,17,9,3,5,0,80,3,4,3,6,16,17,5,10,3,72,4,25,9,16,20,27,7,3,3,108,0,3,0,0,4,4,0,3,6,18,45,112,92,133,165,184,89,104,17,943
UCL215003,3,7,8,18,24,33,23,47,3,158,15,27,58,32,42,50,22,40,6,294,5,12,9,22,35,48,23,34,5,196,10,31,20,21,17,23,11,7,3,130,7,16,22,32,24,16,3,6,0,131,4,33,13,8,13,13,4,3,0,94,0,6,5,7,6,7,7,3,0,35,4,35,8,13,3,17,0,6,3,91,0,0,3,7,3,6,0,0,4,21,51,168,138,158,165,206,91,148,23,1149
UCL215004,5,10,10,6,6,14,6,40,0,101,7,10,9,6,14,13,10,15,0,81,6,5,15,18,14,22,3,7,0,99,7,15,7,17,7,6,3,8,0,68,4,7,14,7,0,7,0,3,0,50,7,16,13,10,11,9,3,3,0,65,3,0,0,0,4,11,0,0,0,30,10,40,21,25,9,4,0,9,0,118,0,0,0,0,0,0,0,0,0,9,54,104,85,97,72,89,29,90,6,617
UCL215005,5,4,0,10,18,17,9,30,5,97,12,16,14,23,36,34,14,24,4,165,6,9,11,14,31,36,19,24,5,140,3,15,26,16,18,8,7,9,0,110,6,13,20,23,40,18,6,11,6,127,0,20,17,16,10,7,5,8,0,70,4,7,3,5,14,12,9,15,0,68,3,19,17,12,19,17,12,12,0,101,3,0,0,4,0,3,0,0,3,15,39,94,108,115,178,150,78,125,15,905
UCL215006,10,7,3,9,24,26,16,43,6,148,21,23,28,47,33,46,29,34,0,264,7,8,19,17,20,45,22,28,8,175,4,34,22,28,14,8,3,3,0,110,7,28,19,27,13,14,9,7,0,118,4,29,12,10,5,8,6,3,0,85,0,4,3,4,5,12,3,6,0,42,3,31,10,15,12,8,3,9,3,96,0,0,0,0,8,0,0,0,4,9,56,160,110,159,142,173,90,132,20,1034
UCL215007,8,7,13,13,31,51,34,66,0,226,16,33,41,45,55,71,35,50,3,346,9,19,22,32,90,133,82,80,5,477,25,55,43,47,39,50,16,11,6,296,24,31,48,41,67,42,19,25,3,311,7,62,42,28,44,26,11,21,0,238,10,9,9,13,29,46,29,40,4,184,7,47,26,34,41,38,20,17,10,229,6,0,5,0,0,14,0,7,12,39,111,264,247,258,392,471,246,311,47,2334
