CED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
CED201,17534,1109,526,187,18,7,56,19445
CED202,14475,1173,761,130,21,7,78,16645
CED203,16262,761,302,177,8,5,42,17557
CED204,13693,1116,703,98,21,6,83,15712
CED205,18782,834,357,308,23,12,58,20366
CED206,21526,954,510,320,15,8,60,23394
CED207,15969,1403,793,175,30,12,70,18451
CED208,18236,759,278,166,7,4,46,19499
CED209,16288,1089,595,94,16,5,50,18139
CED210,13561,1160,616,106,20,9,90,15559
CED211,17586,934,382,158,14,4,27,19108
CED212,14396,1363,683,146,26,11,61,16687
CED213,14311,1336,797,121,15,10,76,16667
CED214,17590,884,401,189,13,13,56,19142
CED215,11706,1082,668,114,23,15,121,13732
CED216,18946,929,322,101,7,3,35,20340
CED217,24563,1480,954,420,37,34,112,27603
CED218,14971,682,215,88,5,0,26,15976
CED219,25637,1642,1029,460,45,23,86,28929
CED220,18385,966,437,277,34,6,62,20162
CED221,12000,1035,677,115,12,4,92,13932
CED222,18653,1250,633,245,28,6,55,20863
CED223,17718,907,364,119,15,0,46,19164
CED224,17519,739,265,136,11,6,19,18683
CED225,20675,1417,786,218,22,13,56,23176
CED226,30941,1719,1086,461,56,28,99,34385
CED227,11760,916,648,120,26,12,118,13591
CED228,18392,937,440,267,24,10,71,20142
CED229,26743,1780,1156,260,38,20,91,30088
CED230,15809,1369,982,164,26,13,118,18474
CED231,10684,634,173,60,4,3,32,11591
CED232,11374,635,163,49,6,0,21,12254
CED233,18488,868,342,181,9,10,39,19942
CED234,12746,974,648,128,19,9,92,14619
CED235,22273,1005,562,322,16,11,60,24251
CED236,11432,870,639,91,15,8,102,13146
CED237,17277,744,341,143,15,3,28,18542
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
