CED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED201,1369,385,2603,27978,29631,13079,9697,25757,6052,112194
CED202,1608,623,3412,26466,33608,15865,12874,25038,11099,124957
CED203,1723,820,3953,34862,35733,12961,9219,31590,11985,136350
CED204,1579,907,3757,25241,33313,15876,12866,22467,12624,122395
CED205,1950,628,3812,27867,29055,13578,11093,39383,9552,130519
CED206,1012,351,1893,26749,26747,11803,11218,44649,10788,131960
CED207,1211,448,2548,27549,31674,14641,11313,22222,7985,115387
CED208,1994,828,4788,34545,34527,14527,10099,36865,8778,139344
CED209,1931,662,3978,27732,34468,16722,12666,22002,9371,122969
CED210,1763,842,3961,26398,31119,14674,11717,27725,12044,123675
CED211,1993,781,4369,30102,33281,14685,10417,24607,6929,120018
CED212,1757,614,3702,27591,32367,14525,10535,24977,9999,119996
CED213,1894,1066,4541,26309,33643,16590,12849,25552,11849,126797
CED214,1736,623,3558,33120,35338,13240,10120,33777,11505,137098
CED215,1554,889,3623,21344,29459,15669,13679,23674,14175,117989
CED216,2361,754,5121,32085,33609,14528,9055,22811,7769,119860
CED217,763,194,1332,31342,33562,14359,13582,42817,12918,148579
CED218,1595,556,3576,39849,35467,12413,7757,26381,10225,132082
CED219,1207,298,2108,33355,35492,15062,13312,45094,11750,154064
CED220,1882,749,4156,29012,30505,12790,9509,34082,8423,124324
CED221,1620,854,3755,22464,30948,15374,12180,21957,12073,114998
CED222,1769,703,3458,30775,33099,13340,9678,31911,9479,128284
CED223,1471,644,3368,28528,32788,14907,10146,21593,7205,115161
CED224,2036,527,4377,34037,32830,13942,9149,23760,7463,121182
CED225,971,355,2077,30071,34344,15582,11577,24769,7362,123705
CED226,813,349,1608,37766,43091,18709,16830,45278,13758,175430
CED227,1982,962,4469,21245,27529,14387,12228,24902,13425,113709
CED228,1803,669,3842,32180,31752,13311,10676,38644,12113,138675
CED229,1023,415,2156,35650,42433,18755,16403,35465,12700,161415
CED230,1770,827,3861,27149,34236,17118,15000,27136,12947,133583
CED231,1034,514,2233,58121,44679,11171,6451,47463,21418,189301
CED232,1494,527,2973,44224,37410,10685,6067,27460,15617,141464
CED233,2012,611,4018,27863,29142,14274,10514,26625,6313,114724
CED234,1937,975,4181,22535,28585,14326,12335,26702,14067,118546
CED235,1402,317,2430,29385,30786,13832,11851,40129,9395,135376
CED236,1755,880,3930,20801,27407,14308,12349,22733,12859,110449
CED237,2199,561,4431,37233,37773,13341,9718,33117,11132,142318
CED294,22,12,38,1281,954,324,278,1969,2020,6825
CED297,0,0,0,7,3,3,0,11,3,25
