CED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
CED211,32,183,469,2460,695,546,239,106,27,4772,0,0,0,4,12,17,30,27,6,101,3,11,3,33,10,16,24,11,6,121,11,87,92,337,410,394,531,402,232,2499,0,3,15,37,14,25,15,5,3,117,3,0,0,22,10,10,8,4,5,65,0,12,12,51,44,52,116,69,43,402,0,4,4,13,36,51,102,119,22,353,5,26,43,309,100,124,43,19,3,675,36,137,118,1093,173,120,80,47,13,1829,3,13,26,183,39,23,10,8,3,308,3,36,40,260,50,41,22,9,3,471,0,3,0,14,3,4,4,0,0,32,3,11,5,38,23,26,28,26,10,170,0,3,7,20,27,69,161,151,67,502,3,14,4,91,31,13,17,6,0,168,5,29,35,168,53,19,12,0,0,318,0,0,0,14,12,8,6,0,0,39,41,137,128,486,205,211,102,42,9,1361,0,0,3,3,0,11,29,17,5,63
CED212,3,34,145,202,80,57,22,13,8,563,0,0,0,21,38,33,22,24,6,147,0,3,0,10,12,10,25,14,8,81,24,219,222,685,964,975,1085,806,339,5327,0,3,9,29,20,8,8,3,3,81,0,3,3,16,19,13,14,6,3,76,0,12,18,52,65,76,126,69,37,462,0,14,11,13,23,34,60,77,18,246,0,4,34,21,9,10,7,4,0,90,12,44,34,257,61,50,37,23,7,536,0,4,4,42,15,12,6,3,3,95,0,0,0,13,4,10,0,0,0,35,0,0,0,3,3,0,3,0,0,13,3,24,8,79,42,48,63,41,16,314,0,6,0,23,26,72,81,62,29,305,4,3,4,40,19,6,0,0,3,79,0,0,0,32,3,4,0,0,0,46,0,0,0,10,14,17,3,3,0,50,0,6,18,57,39,52,21,3,3,203,0,0,0,0,10,20,22,11,3,61
CED213,0,8,11,49,35,22,15,4,0,145,0,0,0,10,10,23,19,31,5,100,0,0,0,7,3,18,29,20,3,83,12,164,178,526,908,953,1192,743,281,4965,0,0,4,16,6,11,10,5,0,45,0,4,3,11,5,6,14,7,3,50,0,4,3,47,45,62,143,79,32,421,0,0,5,8,21,52,105,87,19,290,0,0,0,8,4,9,3,0,3,30,0,3,11,63,25,31,18,17,8,178,0,0,0,37,3,3,4,3,3,55,0,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,15,10,48,38,44,47,32,10,242,0,5,0,20,24,92,193,126,41,505,0,3,3,23,19,4,3,0,3,55,0,0,3,15,0,0,0,0,0,22,0,0,0,5,3,4,0,0,0,17,0,4,3,21,14,25,20,6,0,90,0,0,0,3,0,25,52,14,6,100
CED214,3,18,215,588,201,130,53,59,30,1294,0,5,3,40,50,77,148,128,39,488,3,3,9,10,8,20,42,26,9,135,16,93,52,643,372,356,270,155,83,2049,0,7,6,67,33,29,8,3,0,151,0,0,7,56,10,3,9,9,0,98,4,5,18,102,48,31,151,60,34,452,0,13,6,30,89,171,406,424,123,1261,3,0,11,149,20,20,3,0,0,215,74,117,175,1308,113,75,58,24,11,1955,10,18,25,162,22,20,9,0,0,261,3,24,13,97,11,3,0,0,0,152,0,0,11,22,8,4,0,5,0,51,0,14,8,137,38,30,24,18,17,289,0,8,14,58,60,173,343,489,218,1368,3,7,12,146,26,7,8,3,0,215,0,3,16,83,8,8,0,0,0,119,0,3,33,195,90,86,49,18,8,475,14,32,55,261,55,44,29,4,0,500,0,0,3,14,45,181,402,270,77,1000
CED215,0,8,28,79,39,12,11,0,0,180,0,0,0,0,9,6,12,12,8,48,0,5,0,8,0,6,0,5,0,30,6,35,35,151,299,523,700,418,153,2322,0,0,3,12,6,13,4,0,0,43,0,0,0,9,5,9,6,7,0,36,0,3,4,30,25,59,176,68,34,397,0,0,0,4,8,15,17,23,0,68,0,3,3,15,3,4,0,0,0,28,5,25,14,167,18,18,12,8,0,267,0,0,0,24,4,4,7,3,0,46,0,0,0,11,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,9,0,4,0,10,17,29,19,13,6,98,0,0,0,3,23,79,116,130,45,394,0,0,0,11,4,0,3,0,0,24,3,0,0,18,3,5,0,0,0,29,0,0,0,3,3,0,0,0,0,5,3,9,12,49,17,22,12,3,0,124,0,0,0,4,4,27,55,20,12,119
CED216,27,130,472,956,471,234,95,55,25,2459,0,0,0,9,31,15,30,17,10,123,0,0,3,12,24,28,57,26,18,169,59,390,230,755,759,503,450,259,184,3584,0,0,3,21,15,5,9,3,0,51,6,32,18,75,35,17,31,6,11,236,0,16,43,101,106,48,140,92,78,619,0,6,6,24,64,95,229,221,40,689,3,30,39,67,42,36,25,15,0,252,46,88,105,805,131,94,70,48,27,1404,0,4,6,79,16,12,10,7,4,138,0,0,3,36,9,13,3,8,0,73,0,0,3,3,7,3,0,0,0,21,0,33,15,167,72,40,29,36,19,411,3,9,7,54,47,77,128,144,100,566,11,60,23,163,63,24,21,9,4,378,0,12,36,104,28,8,0,0,0,206,0,0,6,14,24,21,10,5,3,81,0,12,30,140,94,80,33,22,3,425,0,0,0,3,4,14,24,8,3,62
CED217,3,28,64,447,150,118,41,24,9,885,0,0,8,74,144,157,131,67,19,609,12,69,34,171,63,87,64,20,5,529,3,69,41,227,311,339,284,175,70,1516,0,25,24,193,84,50,29,5,0,416,0,0,3,5,11,12,7,3,3,46,0,3,29,34,18,48,153,41,17,346,0,7,0,23,55,81,103,61,12,351,0,9,17,106,19,23,5,0,0,172,51,207,264,2238,341,254,140,38,29,3560,0,14,24,179,30,28,3,0,0,282,0,11,9,56,17,4,7,8,0,114,5,31,35,114,38,23,11,3,0,265,5,11,5,25,19,20,27,9,9,123,0,3,11,39,110,210,224,113,33,754,0,4,11,45,14,0,4,0,3,78,3,12,7,68,13,10,0,0,0,117,6,4,20,84,59,46,12,8,0,239,6,51,24,229,59,48,16,4,0,443,3,18,37,127,143,521,505,157,31,1534
CED218,21,151,1678,1822,514,312,130,107,26,4757,0,0,0,26,15,29,20,21,6,107,0,5,7,17,8,29,30,28,16,140,27,128,173,789,350,306,265,136,93,2274,0,0,3,42,16,11,6,0,3,91,3,13,26,147,30,18,24,6,6,277,0,11,27,123,21,30,100,41,42,384,0,10,12,65,70,163,391,520,102,1330,6,31,81,207,53,64,31,10,3,501,99,171,199,1574,142,99,74,34,14,2402,0,3,102,227,31,27,16,10,0,423,0,3,10,142,14,10,14,5,0,205,0,0,0,14,3,0,3,0,0,30,0,6,17,269,28,24,26,17,10,410,0,5,17,66,27,57,113,106,56,444,3,22,31,212,69,20,18,4,3,387,4,6,54,223,48,15,7,0,0,363,0,3,4,9,14,6,5,5,0,49,4,27,156,479,149,142,105,28,14,1102,0,0,0,4,10,12,5,11,0,43
CED219,11,59,134,700,302,214,100,45,20,1579,0,0,17,101,95,115,88,51,14,476,5,47,43,109,65,67,49,39,11,434,10,83,61,351,427,492,452,285,125,2279,0,23,76,393,177,111,48,25,6,848,0,3,4,18,15,12,6,3,3,64,0,3,26,47,34,43,84,56,22,320,0,3,6,25,38,63,86,60,9,295,3,7,13,68,30,37,4,3,0,169,74,512,567,4230,754,583,244,108,40,7122,3,29,19,171,62,37,23,3,7,353,4,70,98,111,29,15,5,0,0,343,0,25,15,122,41,29,14,10,3,260,3,17,0,31,21,33,31,15,5,153,0,3,10,25,51,115,165,120,41,531,0,3,5,33,7,0,0,0,0,53,0,13,7,51,15,6,0,0,3,102,0,11,11,83,72,59,20,5,4,263,4,35,55,215,106,107,41,14,4,578,0,0,0,7,7,31,58,22,7,124
CED220,25,80,679,1593,477,414,132,123,60,3586,0,0,0,16,24,17,71,46,9,180,0,7,3,18,21,53,63,36,22,226,13,82,73,301,274,235,264,171,105,1523,0,0,7,60,38,33,18,8,3,166,0,3,5,43,18,6,7,11,3,97,0,4,6,45,39,25,84,57,32,285,3,52,63,104,178,337,736,642,133,2263,0,11,34,128,30,46,14,3,0,282,84,165,325,2040,400,269,201,138,43,3662,0,9,36,189,35,22,11,6,3,312,0,5,5,61,7,3,0,0,3,84,0,3,8,21,18,3,4,0,0,60,0,12,3,61,31,23,23,26,9,192,0,8,9,37,42,134,314,333,139,1017,3,23,29,147,50,19,6,4,3,283,5,28,49,216,50,12,5,3,0,373,0,3,3,38,36,39,29,15,8,165,12,36,68,297,77,94,44,22,4,652,0,0,0,7,6,18,39,42,11,111
CED221,0,11,14,63,23,9,10,3,0,126,0,0,0,0,5,17,28,26,8,93,0,3,0,0,0,3,3,0,0,18,9,30,35,184,294,382,509,227,113,1786,0,0,3,9,5,6,0,0,0,27,0,3,0,7,12,10,9,3,0,46,0,3,4,31,51,74,191,89,50,490,0,0,0,4,6,11,12,8,3,40,0,0,3,18,4,9,0,0,0,32,4,28,11,170,14,11,18,4,4,258,0,0,3,14,9,6,3,4,0,35,0,0,0,12,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,4,0,3,0,18,15,12,9,12,4,69,0,0,3,9,14,59,112,123,75,401,0,3,3,19,3,3,3,0,0,38,0,0,4,14,0,0,0,0,0,19,0,0,0,0,0,3,0,5,0,9,7,3,5,30,18,23,0,0,0,86,0,0,0,0,0,10,8,3,3,29
CED222,23,84,185,741,303,226,99,59,27,1748,0,0,4,38,29,54,50,32,8,212,3,8,8,22,18,42,26,23,7,168,21,168,144,575,595,513,521,336,179,3052,0,3,21,119,81,37,16,15,4,294,0,3,14,26,10,7,11,3,0,75,7,3,28,80,53,38,89,69,22,389,0,11,8,34,79,89,177,112,28,549,0,7,3,71,23,37,15,0,0,170,26,126,203,1306,312,255,162,89,30,2512,0,6,22,104,26,14,12,4,3,188,0,21,30,56,11,7,3,0,0,130,0,0,8,24,7,9,0,0,0,44,4,18,7,83,46,29,39,15,11,259,0,6,4,38,45,100,154,156,69,571,3,6,5,64,33,11,5,0,0,130,0,0,13,56,11,10,0,0,0,83,0,3,5,45,28,30,10,5,0,131,5,23,37,146,70,48,35,10,0,379,0,0,0,3,10,23,40,24,14,107
CED223,10,75,226,862,301,183,85,43,14,1800,0,0,0,6,37,43,42,36,11,178,0,0,4,19,12,23,37,18,4,122,20,113,121,427,384,424,390,218,109,2203,0,0,3,19,5,0,4,0,0,38,0,6,6,24,16,10,17,0,3,88,0,6,13,65,53,32,122,61,32,380,0,6,3,21,54,110,130,104,41,474,3,14,20,85,29,40,24,10,0,227,17,46,60,527,87,72,55,24,11,897,0,8,13,71,18,10,11,6,3,143,0,20,23,182,21,27,7,4,0,285,0,0,3,19,10,9,0,0,0,42,0,4,4,69,39,32,31,21,3,206,0,7,8,34,63,185,283,306,138,1025,3,6,11,101,38,17,6,4,8,195,0,16,10,73,11,4,0,0,0,123,0,3,3,34,43,41,27,22,7,172,0,17,44,228,88,119,65,17,6,595,0,0,3,3,10,34,50,16,3,125
CED224,56,420,1107,2188,1101,582,251,150,52,5901,0,0,0,11,21,17,15,22,11,102,0,8,7,18,11,18,29,11,9,104,33,187,173,416,370,291,270,153,133,2015,0,3,4,34,22,11,11,3,0,83,3,17,18,66,25,7,11,7,0,154,3,12,19,59,31,26,103,40,31,328,0,13,7,17,59,99,223,277,79,779,6,66,98,242,182,165,75,27,3,879,42,112,138,954,145,100,92,32,19,1632,3,15,63,206,39,42,30,6,3,412,0,7,19,164,28,26,21,5,0,277,7,8,6,39,6,3,0,3,0,72,0,4,3,71,41,40,24,20,18,219,0,4,5,48,44,90,205,212,119,734,3,12,30,110,61,15,26,10,7,259,0,27,70,193,75,18,6,0,0,393,0,0,0,13,15,14,7,3,3,60,7,36,176,514,328,319,201,76,14,1675,0,0,0,3,4,11,14,0,7,49
CED225,13,46,95,530,172,121,46,11,4,1038,0,0,0,23,45,28,33,20,7,163,4,8,16,56,34,27,31,6,4,181,17,173,193,592,837,742,665,363,147,3721,0,4,11,73,38,25,9,4,0,169,0,3,4,23,20,17,14,3,0,77,0,11,11,55,65,74,117,75,65,478,0,3,3,17,15,24,29,16,7,110,0,6,3,47,15,13,0,0,0,95,17,102,131,1033,243,134,92,37,15,1803,0,17,17,79,19,21,8,6,0,167,0,12,9,61,19,10,0,0,0,119,0,12,4,22,4,8,0,0,0,52,0,9,0,42,30,30,29,24,7,184,0,0,3,19,38,83,97,62,36,338,0,4,3,43,13,10,5,0,0,78,0,14,16,82,21,5,4,0,0,155,0,4,3,34,20,16,0,3,0,81,3,29,41,124,70,63,22,10,0,363,0,0,0,6,11,19,32,12,3,84
CED226,42,128,249,1869,404,445,103,35,13,3288,0,0,6,50,62,67,55,34,0,279,6,32,20,57,27,36,19,7,3,207,31,174,135,514,566,447,401,231,84,2583,0,18,38,273,101,71,39,3,0,548,0,3,6,28,12,10,8,4,0,63,3,12,16,55,45,33,86,36,22,316,0,13,8,26,46,68,77,63,25,327,5,14,25,133,42,50,13,0,0,291,262,692,735,8081,539,458,208,69,10,11056,5,31,45,550,69,43,18,9,4,773,5,32,18,148,22,10,6,0,0,240,0,12,19,65,22,12,11,3,0,140,0,14,19,70,35,23,27,18,9,211,0,9,13,47,81,186,234,203,100,867,0,11,9,108,26,8,10,4,3,177,9,44,33,241,38,22,10,0,0,402,3,24,45,217,82,50,28,11,0,453,28,95,109,539,143,150,51,19,3,1139,0,0,6,36,77,202,199,97,20,637
CED227,0,3,27,81,23,8,12,0,0,148,0,0,0,0,5,9,10,9,6,44,0,3,0,4,0,0,3,0,0,6,0,18,32,118,181,229,256,140,69,1046,0,0,3,17,12,7,7,3,0,50,0,0,10,15,6,3,3,0,0,34,0,0,4,21,10,27,74,20,13,166,0,0,0,0,4,15,38,40,8,104,0,3,7,28,0,7,3,0,0,47,11,26,17,299,27,22,15,9,0,426,4,0,9,16,3,3,0,0,0,35,0,3,0,3,0,0,0,0,0,12,0,0,6,8,3,0,0,0,0,23,0,4,0,21,11,7,6,3,4,52,0,0,3,10,23,55,145,162,65,476,0,0,3,27,3,0,0,0,0,31,0,0,11,36,0,0,0,0,0,46,0,0,0,4,3,0,0,0,0,9,8,8,30,107,20,10,3,3,0,188,0,0,0,0,0,3,9,3,0,15
CED228,7,42,273,675,256,219,75,66,38,1670,0,0,5,46,70,128,226,216,38,734,6,20,13,60,41,63,75,62,24,363,12,45,39,227,174,165,185,92,43,982,0,3,11,64,25,20,17,6,0,151,0,6,3,21,8,9,7,11,4,66,0,3,21,41,8,28,165,65,59,400,5,5,23,27,60,153,308,320,89,988,3,4,24,159,36,46,10,3,3,300,90,138,274,1731,157,129,99,47,28,2697,3,7,17,133,18,11,11,0,4,201,0,29,14,140,19,20,9,6,4,241,3,15,19,52,15,15,0,0,0,116,4,10,5,88,20,20,28,13,7,201,3,12,18,86,142,435,843,903,343,2784,0,8,10,81,30,8,4,5,0,144,0,5,13,110,19,8,8,0,0,175,0,3,11,51,57,64,35,22,0,245,33,44,53,269,56,59,22,11,4,549,0,0,0,21,51,236,521,300,102,1234
CED229,11,22,58,235,68,43,22,9,4,466,0,0,0,20,44,41,42,19,3,167,3,16,6,73,24,33,30,10,5,204,6,131,101,447,611,537,540,268,94,2746,0,12,18,124,59,33,22,3,0,269,0,4,3,13,23,4,9,5,4,59,0,0,16,64,39,55,143,46,28,386,0,9,21,37,36,62,67,31,11,276,0,3,4,42,9,9,0,0,0,78,51,188,211,2388,235,195,93,36,14,3404,0,11,8,82,13,7,7,4,0,129,4,19,21,112,17,15,8,0,0,187,5,74,131,520,141,83,48,25,0,1029,3,21,6,64,36,33,31,20,6,220,4,11,12,33,137,244,230,130,36,833,3,5,3,32,9,5,0,0,3,68,0,3,3,42,11,3,0,0,0,72,0,7,18,90,67,30,14,5,0,239,0,25,13,120,52,48,13,5,3,287,0,0,3,29,33,140,141,30,16,391
CED230,3,9,18,124,50,26,14,7,0,245,0,0,3,8,18,22,30,17,4,94,0,22,14,29,7,6,18,3,4,101,7,78,79,342,553,701,850,499,188,3304,0,3,6,41,25,13,8,0,0,92,0,0,0,9,8,3,4,3,3,28,3,5,15,44,33,65,163,72,42,442,0,0,0,6,8,9,15,16,9,62,0,0,3,16,13,3,3,0,0,45,23,45,46,517,54,53,45,12,4,790,4,3,3,47,17,3,9,8,3,91,0,0,3,12,7,3,0,0,0,27,0,0,0,5,0,0,0,0,0,14,3,21,5,30,19,19,29,24,7,159,0,0,3,7,19,51,80,99,49,316,0,8,0,26,9,3,4,0,3,52,0,0,8,25,3,0,0,0,0,36,0,0,3,6,3,3,0,0,0,22,0,10,8,47,23,13,7,4,3,122,0,0,3,0,4,28,51,37,8,134
CED231,27,85,7311,3548,555,340,168,249,101,12385,0,0,3,28,26,28,23,24,4,136,3,20,12,25,12,26,30,21,15,161,23,64,311,1181,293,263,202,76,33,2438,0,0,5,44,18,12,10,0,0,93,3,4,74,242,18,8,7,8,8,365,0,0,58,188,38,23,62,17,14,401,0,0,7,39,63,88,195,281,68,742,7,13,369,493,69,66,31,14,5,1069,170,100,339,1782,55,48,35,13,9,2544,0,11,1011,528,36,21,27,4,0,1640,3,6,21,236,15,11,3,3,0,305,0,0,5,24,11,4,0,0,0,49,0,3,17,303,28,19,12,4,7,402,0,4,60,208,42,98,152,234,163,966,5,4,175,464,59,17,6,3,0,738,3,11,465,917,47,14,6,0,0,1460,0,0,3,21,19,9,9,7,3,67,5,27,1627,1401,169,148,76,27,10,3498,0,0,0,7,3,25,27,26,7,108
CED232,13,72,1425,1466,327,182,69,43,15,3615,0,0,5,28,15,20,8,15,3,97,0,0,0,15,10,25,40,17,12,131,41,97,236,1400,479,365,296,122,77,3107,0,0,0,58,17,11,9,3,0,98,9,23,52,252,39,20,26,24,7,451,7,3,22,227,78,40,122,42,43,589,0,4,6,36,53,104,232,282,79,792,10,11,60,224,33,37,27,3,3,409,60,71,110,1195,72,62,51,24,9,1657,0,13,198,369,35,22,21,7,0,667,5,4,8,172,8,9,5,0,0,215,0,0,0,15,6,0,3,3,4,30,3,9,58,579,41,21,21,10,10,751,8,12,35,213,38,59,90,76,40,567,13,15,50,311,57,15,12,3,0,482,9,10,85,368,28,8,6,0,0,514,0,0,0,17,4,6,5,5,0,43,6,11,204,594,91,98,56,16,0,1079,0,0,0,3,3,12,27,10,9,62
