CED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED201,35710,4632,837,180,65,41426,3123,1040,264,65,9,4505,738,204,52,14,8,1010,39570,5869,1159,261,85,46946
CED202,40526,4425,877,426,198,46454,7253,1556,428,123,63,9420,1176,234,69,24,62,1568,48951,6218,1370,574,322,57439
CED203,27620,13525,7194,264,165,48772,6365,2205,1257,40,22,9895,1009,438,277,11,29,1756,34998,16172,8733,318,212,60427
CED204,42192,2321,442,219,201,45370,7786,1190,216,113,51,9356,1267,190,41,26,32,1563,51243,3701,699,353,289,56291
CED205,33061,6126,4290,185,80,43738,4881,1367,945,74,18,7286,1042,338,197,27,31,1633,38983,7833,5434,283,129,52659
CED206,35320,5043,854,200,72,41494,5563,1096,267,143,20,7086,1242,229,68,28,39,1605,42128,6369,1185,371,128,50179
CED207,40307,2327,175,135,136,43084,4691,771,35,107,21,5629,916,109,5,15,23,1067,45916,3208,213,259,184,49773
CED208,30862,10720,7572,50,170,49376,4167,1449,1228,4,15,6860,856,333,259,0,38,1476,35877,12501,9055,56,225,57713
CED209,42048,3333,299,316,163,46152,5894,1147,157,121,32,7350,1025,150,30,24,14,1245,48963,4631,486,460,207,54750
CED210,38578,4235,1515,176,132,44638,8320,1642,587,69,30,10646,1301,228,96,11,20,1665,48196,6102,2207,255,185,56949
CED211,38017,7087,1546,34,84,46764,4419,1254,231,0,21,5926,837,239,49,0,24,1158,43272,8576,1829,41,129,53847
CED212,37924,5663,2515,204,66,46372,4416,1714,910,135,13,7180,1019,257,152,23,9,1467,43361,7634,3580,361,85,55020
CED213,42186,3807,337,248,142,46722,6630,1365,185,179,34,8397,1358,243,49,32,20,1701,50175,5412,581,466,194,56821
CED214,30941,11253,6616,216,155,49177,6355,1715,1692,53,43,9855,1081,380,330,36,33,1865,38380,13358,8639,296,231,60896
CED215,39267,1182,1101,302,207,42065,8924,805,681,192,63,10667,1356,107,111,36,113,1718,49548,2094,1898,535,381,54441
CED216,29016,11460,6631,250,173,47536,2477,1387,1163,17,17,5061,571,297,240,3,12,1123,32063,13145,8035,268,202,53716
CED217,45344,4962,371,75,85,50844,5571,1107,191,60,9,6939,1503,190,35,3,7,1733,52421,6255,587,141,107,59516
CED218,19506,12357,23034,265,158,55313,1642,1201,2732,23,18,5613,388,300,689,15,21,1415,21533,13856,26454,295,197,62343
CED219,47017,4923,396,128,59,52526,5153,1038,211,78,18,6500,1535,190,46,16,21,1810,53700,6157,651,227,94,60831
CED220,31280,7958,4076,103,114,43533,5128,1302,781,54,29,7296,929,283,218,9,29,1462,37335,9544,5068,168,171,52285
CED221,38221,1838,715,258,282,41321,8232,1062,487,130,52,9960,1310,175,85,70,17,1661,47757,3076,1291,458,354,52937
CED222,31051,11078,4926,287,122,47464,3655,1869,1203,189,22,6935,824,375,214,18,20,1457,35528,13319,6344,497,165,55853
CED223,35732,5877,2576,54,98,44332,3670,1136,452,5,21,5286,793,197,87,0,24,1103,40196,7206,3116,61,143,50718
CED224,25700,9810,11589,142,149,47391,1918,923,1113,11,20,3979,495,181,410,5,12,1099,28117,10912,13102,155,179,52464
CED225,43168,2492,264,56,82,46054,3402,583,183,28,11,4208,876,102,33,7,16,1038,47443,3181,486,84,112,51300
CED226,53250,8844,1151,69,58,63370,5193,1284,316,58,14,6861,1441,261,59,4,20,1782,59880,10391,1530,129,91,72018
CED227,35006,1534,1157,300,267,38269,10178,1040,1099,208,65,12582,1441,139,170,36,44,1828,46620,2711,2426,547,368,52681
CED228,29639,10095,6462,169,136,46493,6715,1675,1342,35,21,9791,1194,381,254,6,36,1875,37548,12152,8055,214,192,58164
CED229,53973,3820,1158,83,124,59159,5703,775,469,31,25,6996,1278,124,60,10,15,1491,60950,4719,1685,125,168,67648
CED230,45136,2450,800,207,153,48750,8220,1206,614,200,26,10263,1399,193,76,22,30,1720,54756,3849,1489,429,207,60734
CED231,7506,19036,48311,320,467,75638,901,1495,5713,32,37,8185,219,502,1835,58,59,2674,8625,21028,55854,411,570,86495
CED232,8113,12928,39479,516,194,61226,740,1248,4121,42,30,6178,175,311,1150,15,51,1702,9027,14481,44750,570,279,69108
CED233,33380,5508,2206,39,64,41194,3509,721,382,4,11,4620,706,180,81,3,79,1051,37594,6407,2676,41,157,46867
CED234,37163,1979,549,328,183,40203,9284,1215,608,277,63,11456,1494,213,86,45,33,1872,47950,3406,1253,650,278,53532
CED235,38732,5000,1527,17,66,45346,6284,884,412,0,14,7589,1167,167,72,0,17,1420,46174,6055,2014,21,99,54358
