CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED201,8,51,3,2063,328,57,12,397,39,227,22,82,23,154,797,2138,26,7,12,40,4,11,4,3,15,22,44,181,4093,734,128,6221,646,3886,163,1037,202,1464,871,19445
CED202,10,11,0,1269,302,73,18,406,35,178,17,60,12,121,696,1915,24,0,14,30,11,22,0,0,3,34,30,160,3089,743,166,5935,599,2969,186,806,197,1203,761,16645
CED203,13,47,0,2720,207,56,14,260,21,162,14,68,17,213,726,1761,21,5,11,26,4,15,0,6,11,32,54,193,2954,887,141,5443,608,3165,187,1019,218,2103,839,17557
CED204,8,13,7,1103,258,60,23,360,42,154,22,59,11,119,716,1827,18,3,11,20,9,12,3,5,10,22,29,143,2800,843,147,5445,569,2750,256,815,165,1145,781,15712
CED205,10,82,3,1947,236,69,30,259,23,240,13,95,27,284,977,2253,20,0,14,27,4,10,3,8,5,30,67,182,3892,866,141,4482,407,4625,165,1476,261,2962,1100,20366
CED206,7,52,3,1490,282,67,31,313,50,327,18,161,65,423,904,2641,25,3,13,29,3,20,0,8,13,68,144,328,3789,765,167,4929,525,4987,169,1971,422,4533,1138,23394
CED207,11,22,3,1465,329,79,19,544,30,202,29,86,24,118,741,2200,35,12,39,59,3,26,5,3,4,14,48,245,3320,757,207,6831,689,3456,213,820,203,1117,835,18451
CED208,8,55,4,3449,249,51,14,277,25,185,6,71,21,174,1048,2119,24,3,4,37,0,5,0,3,3,8,39,132,4030,834,120,5742,564,3854,137,1122,172,1808,1123,19499
CED209,9,14,0,1659,316,70,17,483,32,188,16,82,20,111,891,2228,24,4,9,47,3,15,3,4,12,12,24,171,3182,848,192,7029,728,3099,190,818,201,895,961,18139
CED210,8,12,0,1255,252,50,15,351,24,166,16,65,15,178,672,1816,27,0,12,32,3,20,3,6,4,33,55,200,2537,640,157,5197,535,2929,205,874,201,1518,771,15559
CED211,10,36,0,2544,251,48,15,315,30,193,17,65,17,130,796,1874,21,0,10,38,14,15,4,0,0,17,34,149,3583,773,114,6484,675,3852,200,957,149,1463,853,19108
CED212,5,28,3,1788,288,57,9,374,37,204,18,91,26,122,746,1971,28,3,22,49,6,11,4,6,11,24,35,193,3145,643,151,5959,585,3108,169,768,177,1153,818,16687
CED213,11,19,3,1353,319,92,12,506,45,205,20,94,30,133,716,2163,28,12,11,44,10,27,4,7,13,17,48,223,2936,830,174,6090,554,2893,200,900,200,1083,805,16667
CED214,23,41,4,2814,238,36,29,237,31,184,9,83,32,226,822,1918,22,5,10,32,7,12,9,8,10,34,65,209,3562,769,160,5376,747,3779,193,1169,246,2207,939,19142
CED215,9,18,6,934,287,53,24,329,35,165,14,65,22,110,860,1966,21,3,16,19,0,11,4,4,10,31,43,163,2259,548,149,4521,495,2374,233,752,203,1238,956,13732
CED216,38,101,3,6935,350,69,16,499,34,244,16,73,22,108,1224,2653,31,5,10,57,3,27,4,9,7,11,40,209,4445,741,121,7023,608,3862,157,876,151,1070,1279,20340
