CED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,10361,5894,2965,1221,66456
CED202,11950,8297,3757,1436,73174
CED203,9118,4755,2593,1404,86390
CED204,12867,9078,4241,1789,73657
CED205,9746,6923,4112,1633,74803
CED206,8530,4576,1857,617,64490
CED207,10885,7404,3027,1106,68231
CED208,10688,6691,4567,2287,88351
CED209,12928,9347,4200,1800,77456
CED210,11080,7735,3989,1696,70919
CED211,10053,7466,4387,2050,76366
CED212,11298,8420,4544,1756,72348
CED213,13213,11220,5704,2275,75003
CED214,9338,4858,2484,1270,82637
CED215,12376,9357,4429,1663,67620
CED216,13864,8920,4235,2434,82298
CED217,8757,4739,1541,390,79729
CED218,11662,7948,4086,1755,96317
CED219,9948,5051,2192,728,84151
CED220,8783,5414,3098,1564,70311
CED221,12875,9160,3921,1627,68120
CED222,9966,6122,3230,1525,74367
CED223,12303,7938,3525,1532,75764
CED224,12994,8818,4399,2413,85496
CED225,11300,6233,2636,944,75166
CED226,10347,5207,1907,625,105910
CED227,10308,6879,3538,1641,58734
CED228,9647,5691,3005,1342,77303
CED229,12307,7201,2659,917,95285
CED230,12266,9303,4285,1536,76384
CED231,10288,6324,2414,1020,135227
CED232,11984,7812,3060,1516,106699
CED233,11358,7919,4614,1801,71023
CED234,10841,7714,4047,1667,62694
CED235,9069,4985,2170,675,72196
CED236,11066,7879,3688,1557,60321
CED237,8625,4292,2623,1417,90060
CED294,526,263,61,19,4580
CED297,10,0,0,0,25
