CED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED201,2432,2142,1221,858,1246,1136,654,9695,484,534,281,185,292,176,87,2040,583,524,271,192,285,145,93,2095,3244,3361,1928,1328,1887,1009,438,13199,16,18,25,11,12,6,5,96,6756,6576,3721,2579,3732,2471,1277,27122,116,187,132,97,218,150,120,1015,65,98,91,76,126,57,35,544,61,92,55,54,81,36,24,399,465,684,491,384,538,246,123,2930,21,23,19,18,13,6,6,105,729,1078,781,628,971,494,309,4991,7481,7655,4501,3209,4699,2964,1587,32114
CED202,535,476,257,146,209,89,29,1748,406,432,243,166,231,76,19,1571,384,391,212,133,164,67,27,1387,6040,6215,3420,2043,2792,954,354,21811,34,31,18,25,19,4,3,131,7401,7545,4142,2517,3420,1195,437,26656,36,82,51,41,55,12,9,285,105,150,91,71,100,28,19,559,32,77,44,27,54,15,10,263,1267,1698,1101,714,1000,308,101,6189,51,61,43,25,18,7,4,199,1496,2065,1326,880,1227,363,141,7498,8897,9609,5472,3395,4647,1559,580,34154
CED203,2449,1628,759,429,676,544,300,6787,930,852,443,248,357,222,122,3170,863,702,288,167,204,135,73,2441,3830,3757,2040,1165,1412,758,376,13342,53,35,21,16,16,10,9,154,8129,6975,3552,2031,2667,1665,880,25892,213,220,141,132,195,152,128,1181,108,178,128,78,98,74,40,699,62,95,55,48,74,47,23,405,388,554,393,264,384,189,108,2279,43,33,29,19,6,7,3,141,808,1083,749,534,761,464,296,4703,8936,8063,4304,2568,3432,2130,1176,30602
CED204,497,415,246,144,207,81,20,1610,355,426,244,152,193,61,24,1458,339,336,160,109,156,48,13,1158,5753,5783,3240,2119,2762,901,275,20827,28,34,25,17,15,0,0,116,6981,6988,3913,2531,3332,1089,332,25172,33,49,33,19,42,28,11,219,78,129,80,69,96,22,16,490,33,78,70,36,58,20,5,294,1197,1646,1047,709,1007,303,102,6011,54,46,26,19,19,7,0,169,1397,1947,1252,861,1221,381,131,7188,8381,8939,5169,3389,4552,1467,463,32364
CED205,5334,5022,2692,1701,2516,1985,1118,20377,402,362,211,127,190,118,74,1492,541,419,209,127,188,132,53,1661,1279,1321,865,529,732,409,223,5358,34,28,17,13,8,5,4,113,7599,7153,3991,2499,3636,2655,1469,29005,493,679,524,396,645,518,320,3572,106,121,67,73,86,52,30,528,64,83,73,54,60,39,16,394,232,301,250,187,234,110,62,1367,48,34,26,17,21,6,5,151,937,1210,940,722,1048,726,433,6018,8540,8361,4932,3220,4687,3379,1901,35021
CED206,4176,4297,2617,1718,2615,1909,1071,18410,1128,1051,577,351,477,270,126,3983,683,668,345,226,308,197,110,2543,2730,2608,1593,1110,1515,867,395,10819,74,90,40,21,19,8,4,249,8796,8715,5180,3429,4933,3249,1711,36008,387,558,469,339,562,351,218,2885,197,257,164,122,170,78,40,1023,96,122,87,62,106,46,24,537,584,798,520,339,477,212,116,3047,57,85,50,28,27,14,15,272,1324,1819,1284,892,1349,701,408,7765,10112,10530,6463,4320,6279,3942,2124,43773
CED207,680,687,384,280,398,267,129,2832,532,578,332,234,351,155,82,2264,524,511,311,188,279,160,65,2029,5803,5487,3068,1963,2536,1065,412,20335,32,31,23,10,7,4,0,115,7578,7298,4122,2669,3570,1654,688,27578,41,54,47,39,82,55,33,343,81,152,105,70,124,59,26,615,24,98,69,43,74,39,13,372,740,1100,786,551,812,309,105,4400,31,36,17,16,15,0,0,123,918,1441,1022,719,1107,457,174,5849,8496,8743,5149,3382,4679,2112,858,33420
CED208,3794,2881,1470,930,1351,1129,612,12170,549,589,330,188,288,197,108,2230,649,648,351,210,281,169,81,2390,2326,2980,1847,1187,1551,907,482,11285,20,13,4,9,9,5,0,64,7334,7109,4004,2525,3486,2399,1281,28146,246,367,254,232,460,368,222,2152,58,107,81,45,70,70,36,458,35,71,64,52,74,65,38,399,150,375,333,213,323,229,122,1748,22,23,10,15,8,5,3,89,510,945,746,562,929,736,414,4856,7846,8053,4750,3091,4416,3137,1696,32995
CED209,605,604,334,245,309,132,64,2282,586,586,360,233,290,117,44,2215,559,537,272,162,222,88,37,1883,6389,6562,3646,2232,2836,1076,433,23183,28,33,18,17,9,3,0,106,8163,8320,4634,2895,3669,1414,580,29670,36,47,34,14,50,39,10,234,87,140,101,70,91,37,18,545,56,83,61,34,58,22,12,318,661,1059,762,571,772,256,106,4190,27,29,22,17,20,3,4,124,862,1365,976,704,1002,348,150,5410,9026,9686,5608,3595,4671,1764,731,35084
CED210,760,639,351,248,329,202,100,2635,453,403,238,179,255,107,49,1689,465,412,201,134,164,82,46,1500,4977,4715,2590,1649,2198,922,359,17418,49,40,19,13,7,4,0,135,6700,6204,3398,2232,2961,1321,558,23376,86,147,103,86,149,76,34,674,146,168,107,79,109,42,29,663,67,88,58,43,75,29,18,374,1205,1515,945,702,951,293,118,5722,72,79,56,23,36,16,3,284,1575,1988,1258,935,1323,444,202,7730,8282,8195,4659,3160,4281,1765,759,31100
CED211,2979,2379,1111,667,939,697,408,9187,627,669,391,245,292,199,97,2535,727,624,283,188,259,183,79,2344,3769,4030,2319,1404,1925,1032,505,14987,30,30,10,9,6,10,0,107,8141,7736,4119,2513,3422,2126,1092,29147,169,206,179,144,268,188,121,1270,61,134,87,72,117,50,34,555,54,87,64,46,64,34,21,379,350,561,430,355,517,254,167,2633,24,20,15,9,14,7,0,89,652,1009,776,628,982,536,339,4922,8791,8744,4898,3136,4398,2662,1435,34075
CED212,879,931,598,390,545,277,133,3746,752,816,427,229,374,165,73,2839,684,663,362,217,287,110,90,2420,4656,4315,2278,1370,1864,769,341,15597,18,36,19,12,17,0,7,111,6997,6758,3690,2218,3084,1327,643,24713,87,135,143,85,149,85,38,722,126,207,146,110,160,66,23,841,79,140,98,69,135,40,22,583,902,1153,770,505,762,293,123,4508,49,48,40,29,17,3,0,186,1241,1681,1198,796,1232,483,210,6844,8236,8446,4884,3017,4315,1813,854,31557
CED213,330,443,274,213,276,153,48,1740,521,645,398,218,281,106,45,2223,524,582,290,196,281,109,38,2020,5170,5351,2989,1827,2370,808,320,18827,39,33,26,17,15,4,3,137,6585,7057,3983,2470,3229,1176,456,24947,25,48,65,48,73,22,8,292,102,180,106,82,139,37,12,657,55,112,68,58,73,22,13,398,846,1333,863,619,751,219,75,4712,40,41,37,20,17,5,0,161,1070,1714,1135,823,1052,306,115,6221,7652,8777,5117,3297,4278,1474,571,31172
