CED_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED201,30,699,758,593,433,174,42,21,2740,12,130,212,180,213,92,33,3,870,616,2120,1943,1401,1166,564,198,53,8056,324,985,977,1023,836,534,199,72,4941,1039,2170,2074,2587,2199,1366,791,178,12408,90,86,62,51,45,28,3,3,370,64,92,110,120,163,110,72,17,746,1188,2347,2251,2764,2401,1506,869,195,13527,27,54,66,86,64,53,35,16,394,426,430,458,461,492,426,349,186,3226,2621,6756,6655,6497,5603,3349,1730,544,33763,48,959,739,446,259,77,11,0,2537,50,313,408,334,283,100,33,3,1519,855,3009,2623,1663,1136,493,146,49,9977,541,1282,1415,1448,1081,540,177,70,6554,727,1139,1103,1246,902,395,134,51,5687,123,79,117,119,91,74,9,4,617,93,130,197,301,295,185,91,27,1315,940,1345,1417,1668,1284,648,237,80,7615,32,55,73,93,115,99,60,21,539,361,427,427,503,609,592,574,451,3948,2823,7390,7110,6148,4757,2545,1238,680,32693,74,1655
CED202,27,294,386,407,380,272,82,9,1860,6,121,225,268,288,175,36,0,1115,344,1345,1419,1074,885,649,187,40,5947,204,711,824,919,883,619,214,45,4418,1552,3069,2692,2869,2493,1727,775,208,15382,160,116,73,59,54,30,4,0,491,60,115,145,159,154,134,56,15,841,1766,3301,2911,3081,2707,1890,836,224,16716,21,30,47,47,57,61,35,11,318,852,671,692,853,868,930,603,290,5765,3230,6477,6507,6650,6078,4593,1998,621,36137,53,392,515,497,436,176,46,3,2113,35,369,537,516,488,201,51,6,2207,621,2330,2252,1563,1292,743,241,82,9121,430,1114,1324,1454,1151,743,283,80,6585,1099,1835,1590,1548,1011,411,103,44,7631,221,214,192,166,149,67,13,6,1022,111,205,223,226,229,152,64,21,1236,1435,2250,2009,1940,1386,626,175,70,9892,24,43,49,69,84,82,33,25,408,818,664,711,874,1030,1133,933,550,6711,3412,7164,7390,6911,5875,3710,1760,817,37039,82,690
CED203,100,1873,1497,924,596,235,58,5,5276,18,358,496,393,269,103,10,3,1652,1114,4773,3432,2028,1092,499,138,36,13120,482,1702,1220,926,583,261,80,26,5276,831,1986,1670,1610,1235,778,502,178,8793,98,85,76,57,34,8,8,0,370,58,141,133,139,113,66,32,14,700,984,2211,1887,1805,1390,850,545,190,9855,54,126,103,66,54,36,20,11,473,832,1325,1031,825,646,561,563,316,6092,3588,12369,9658,6970,4628,2539,1401,587,41742,157,2334,1838,1135,626,201,32,9,6322,56,796,891,803,509,161,26,10,3250,1535,5944,4264,2347,1123,437,130,46,15819,563,1633,1541,1256,705,269,117,44,6132,637,1108,883,869,509,209,98,35,4352,122,119,100,100,66,37,6,0,550,73,167,197,241,160,90,26,13,972,830,1389,1184,1217,735,334,130,57,5872,40,110,96,78,67,48,14,17,476,830,1276,933,867,734,761,742,633,6781,4018,13485,10728,7704,4495,2214,1192,815,44649,254,4204
CED204,16,192,344,388,358,301,87,14,1700,12,120,266,265,284,188,38,4,1173,303,1194,1367,1051,1022,689,234,46,5900,133,572,735,825,911,737,267,71,4260,1388,2813,2507,2873,2656,1783,881,221,15135,150,100,81,64,56,37,8,3,501,63,114,118,143,163,138,59,24,819,1604,3029,2717,3081,2872,1956,947,251,16456,27,45,50,52,69,73,40,14,370,928,929,859,1000,1032,1014,688,353,6805,3018,6082,6337,6664,6557,4962,2292,752,36658,68,381,496,466,386,241,42,17,2096,35,347,564,561,550,242,48,3,2363,535,2163,2270,1618,1372,821,295,80,9156,340,893,1130,1305,1242,839,306,105,6161,1054,1659,1441,1417,1128,456,118,43,7313,164,212,178,176,167,69,7,4,978,104,205,226,257,286,196,71,27,1371,1322,2073,1854,1847,1577,728,198,72,9663,23,55,43,50,89,90,50,31,434,826,678,749,885,1088,1160,1019,724,7129,3149,6580,7113,6735,6311,4119,1950,1039,36990,83,568
CED205,77,1217,1356,952,615,359,140,25,4746,9,153,185,208,198,125,34,3,913,981,3395,2374,1742,1334,772,322,93,11006,552,1517,1060,930,753,586,343,95,5831,888,1547,1496,1659,1382,1203,856,194,9220,100,95,73,54,40,36,10,0,409,79,144,126,142,137,116,69,20,824,1063,1780,1690,1853,1556,1356,936,214,10454,53,153,107,109,93,69,56,18,655,765,933,763,697,630,602,545,276,5216,3507,9149,7540,6487,5174,3868,2366,730,38813,97,1542,1166,653,352,143,52,9,4012,34,306,319,344,272,144,46,4,1458,1125,3649,2793,1871,1216,685,298,55,11693,491,1416,1346,1264,963,621,281,80,6470,507,920,846,873,596,316,131,42,4222,84,90,115,121,93,58,22,7,596,69,137,196,267,251,200,100,48,1254,657,1144,1150,1264,938,575,252,97,6077,60,132,104,114,122,92,67,24,711,629,774,594,643,715,811,759,633,5559,3096,8969,7485,6148,4575,3060,1746,907,35986,175,2764
CED206,47,580,536,310,196,82,15,4,1762,19,97,116,137,118,35,9,4,536,767,1943,1393,1074,798,329,82,22,6410,518,1295,956,1013,684,287,81,18,4864,1366,2418,2112,2664,2037,1200,458,99,12357,168,120,65,72,51,18,3,0,495,104,175,171,187,150,83,25,7,900,1641,2706,2347,2928,2232,1299,486,106,13757,43,130,70,86,82,55,27,9,497,991,1055,821,900,739,643,388,141,5671,4021,7805,6235,6456,4852,2736,1085,304,33492,88,702,471,259,139,29,0,0,1693,73,291,258,232,123,47,6,0,1029,998,2617,1908,1250,701,252,62,14,7802,678,1548,1520,1337,716,290,93,15,6204,800,1397,1218,1266,726,251,56,18,5731,131,174,184,186,113,41,3,0,832,127,220,271,337,230,110,31,3,1332,1058,1783,1680,1786,1068,401,93,18,7898,37,115,90,91,86,52,17,8,488,886,926,806,906,845,772,499,246,5890,3827,7974,6728,5864,3678,1846,773,307,30993,129,1279
CED207,16,221,287,278,245,174,65,9,1284,9,106,172,164,219,130,29,3,824,310,1143,1200,847,822,569,172,44,5098,242,760,911,905,785,608,222,62,4499,1444,3622,3148,3497,2809,1817,775,182,17298,105,83,80,64,30,35,15,7,418,50,99,143,138,181,135,57,15,814,1602,3801,3364,3703,3026,1989,844,203,18523,31,39,45,49,53,56,25,20,322,600,523,550,658,606,632,392,189,4147,2801,6586,6529,6610,5749,4158,1747,518,34695,33,418,404,290,222,117,23,6,1514,48,361,421,362,315,164,31,3,1704,498,2107,2014,1344,1075,617,182,36,7871,587,1569,1504,1551,1204,712,209,66,7404,906,1805,1509,1547,1064,431,114,44,7426,144,158,177,154,142,69,15,5,867,87,189,246,296,286,234,54,15,1406,1138,2154,1931,2003,1490,728,183,67,9696,22,36,55,67,86,103,42,20,432,566,521,570,703,747,807,621,378,4905,2887,7162,6908,6314,5140,3252,1280,583,33534,47,643
CED208,158,2423,1808,1213,804,426,162,48,7043,32,251,378,356,324,154,55,22,1582,1841,4687,3112,2489,1634,883,441,158,15243,931,1366,948,967,777,567,354,133,6045,789,1231,1049,1538,1092,779,730,319,7526,91,68,52,50,22,17,15,4,314,74,92,128,132,108,78,69,27,702,948,1388,1226,1721,1225,870,808,345,8536,79,112,105,86,86,51,43,26,595,860,816,594,549,481,445,503,328,4581,4845,11040,8179,7388,5331,3401,2371,1061,43616,180,2555,1772,1014,549,249,87,18,6428,74,439,562,681,500,208,78,16,2549,2284,5261,3818,2793,1696,885,475,137,17358,904,1222,1263,1463,1109,713,413,176,7260,531,583,595,771,561,274,146,60,3520,99,73,80,84,75,48,14,8,487,87,108,148,251,206,171,113,69,1156,717,759,821,1106,846,490,281,138,5158,76,115,85,101,84,85,84,45,671,769,753,526,560,570,654,789,699,5316,5000,11105,8847,7721,5359,3284,2195,1227,44739,337,4978
CED209,35,408,535,506,416,351,110,14,2374,11,140,239,240,287,183,45,8,1153,535,1678,1827,1301,1282,922,298,84,7924,259,765,1024,1003,1063,887,335,91,5430,1280,2865,2934,2878,2570,1689,816,258,15283,113,79,56,64,66,51,8,0,428,61,124,149,125,161,153,48,34,856,1449,3057,3140,3059,2792,1890,878,297,16567,16,43,65,45,53,55,48,18,341,689,567,626,710,744,773,547,271,4933,2999,6660,7458,6869,6652,5054,2254,786,38731,48,530,663,438,415,218,32,6,2357,36,430,535,502,480,250,54,14,2303,637,2741,2883,1930,1588,982,323,102,11180,370,1207,1474,1517,1395,994,405,185,7537,902,1505,1404,1515,1062,456,125,42,7010,160,129,155,131,125,73,21,7,795,85,144,198,275,274,228,80,37,1316,1143,1779,1758,1918,1455,752,222,86,9119,26,42,49,61,74,90,60,32,445,658,516,598,710,873,1004,846,584,5781,2923,7252,7954,7077,6277,4289,1946,1019,38724,87,935
CED210,15,332,363,303,261,155,45,10,1491,15,141,155,145,194,99,17,8,770,389,1436,1280,914,845,496,156,50,5563,267,781,811,861,794,605,217,71,4407,1381,2890,2410,2715,2458,1823,934,284,14886,133,121,83,74,49,25,9,3,492,63,126,129,138,168,141,63,15,848,1579,3132,2620,2918,2678,1988,1004,304,16229,26,59,62,43,70,54,41,15,366,921,1078,971,969,891,887,679,351,6742,3208,6963,6266,6151,5733,4278,2169,807,35577,39,455,455,305,249,139,24,4,1666,44,323,389,381,321,151,37,8,1644,612,2410,1931,1291,1065,618,226,39,8191,487,1234,1342,1286,1187,630,240,83,6490,1191,1934,1529,1613,1093,502,135,44,8039,166,204,154,151,127,68,16,3,887,130,194,244,250,245,152,72,26,1316,1488,2336,1924,2015,1460,729,228,69,10248,24,57,45,64,84,76,50,19,412,794,687,604,828,989,1120,1009,665,6696,3485,7500,6681,6169,5349,3456,1815,885,35349,59,787
CED211,40,1023,1318,795,542,376,134,28,4249,9,233,340,365,301,174,47,5,1475,658,2871,2927,1877,1296,855,343,121,10953,350,1032,1184,1025,775,696,396,130,5597,831,1836,1808,2023,1533,1192,858,305,10383,80,78,53,48,30,25,12,3,329,48,116,108,139,147,122,76,31,788,955,2027,1970,2210,1711,1335,949,334,11502,18,74,72,77,66,61,51,15,426,411,508,512,489,420,423,403,289,3452,2449,7769,8321,6843,5117,3906,2318,925,37649,71,1401,1294,650,361,172,43,10,4010,46,470,683,563,435,252,73,10,2536,888,3754,3770,2238,1386,800,403,106,13359,447,1195,1429,1442,1141,857,397,147,7054,577,919,917,1132,724,401,130,63,4863,88,81,108,108,80,65,19,5,548,65,117,182,268,216,215,125,83,1277,729,1116,1206,1506,1019,682,271,157,6686,17,74,88,80,99,126,66,29,580,382,513,498,474,494,674,812,654,4491,2580,8521,8969,6960,4935,3560,2069,1123,38721,110,2428
CED212,14,206,357,383,314,211,96,16,1606,17,121,179,191,206,138,35,8,897,269,1110,1431,1120,873,689,305,101,5901,284,810,1047,1032,851,708,306,98,5131,1157,3008,2778,2958,2501,1746,1025,292,15468,114,83,75,55,39,31,9,0,417,63,112,152,165,193,131,80,23,920,1338,3205,3003,3177,2739,1909,1116,323,16799,17,42,56,58,66,74,51,16,398,681,666,715,798,771,691,579,271,5176,2616,6173,6774,6772,5819,4430,2489,832,35906,29,369,481,364,278,144,44,9,1710,51,313,433,398,350,198,38,7,1802,490,2080,2273,1575,1141,761,337,96,8752,528,1422,1558,1577,1242,775,342,113,7548,882,1608,1515,1542,1097,553,166,56,7413,146,141,170,160,121,99,22,3,872,126,176,219,298,288,243,105,53,1506,1152,1920,1906,1999,1504,893,290,114,9790,21,43,68,76,89,127,77,29,540,664,670,699,816,873,1097,925,553,6309,2930,6825,7423,6812,5481,3990,2052,920,36444,42,577
CED213,6,99,156,239,267,293,112,25,1207,7,59,140,169,244,175,41,8,847,194,645,959,861,938,934,397,111,5031,190,528,849,920,971,964,412,141,4977,1418,3007,3025,3619,3221,2369,1313,366,18341,119,65,71,81,46,47,18,6,451,52,91,128,179,200,208,86,34,988,1591,3168,3227,3877,3471,2621,1425,408,19780,20,29,57,60,60,106,59,23,418,718,542,688,847,935,1088,865,434,6109,2720,5065,6070,6980,6877,6190,3312,1150,38372,22,210,315,308,302,192,43,4,1399,37,244,367,374,383,246,62,7,1726,310,1508,1743,1395,1281,1003,353,78,7680,436,1191,1487,1565,1473,1036,402,124,7714,815,1650,1489,1691,1219,601,170,68,7706,157,164,161,193,172,101,25,8,983,111,174,276,323,314,306,83,47,1643,1076,1992,1929,2206,1700,1018,276,126,10326,16,41,66,83,113,145,73,37,578,647,565,726,885,1080,1388,1183,749,7224,2547,5751,6627,6818,6332,5036,2394,1122,36634,28,310
CED214,109,1506,1317,725,398,178,24,3,4255,17,338,380,303,239,83,16,0,1382,963,4232,3477,1752,1045,400,125,23,12016,502,1607,1406,946,685,315,94,36,5595,919,2245,2012,2113,1722,990,537,221,10759,94,113,70,78,53,23,8,3,430,78,184,172,184,129,78,28,15,867,1098,2537,2255,2373,1900,1091,572,235,12051,54,153,104,58,61,45,17,4,500,813,1208,1055,864,747,614,540,292,6133,3547,11589,9995,7031,5064,2731,1386,591,41930,90,1618,1423,817,445,124,21,6,4537,45,676,827,645,396,97,17,3,2706,1129,5165,4095,2083,1022,408,129,40,14071,528,1703,1523,1322,733,347,117,32,6309,613,1218,1010,927,597,216,68,54,4699,99,122,121,125,87,36,15,0,600,72,195,253,244,174,109,41,24,1111,792,1535,1378,1291,863,356,121,77,6414,28,89,105,71,62,49,21,17,439,738,1126,902,781,765,746,674,507,6234,3346,11915,10255,7008,4276,2130,1094,684,40703,200,3123
CED215,10,126,175,153,180,137,42,10,840,8,70,100,150,157,118,21,5,620,179,744,698,535,689,486,154,37,3537,124,492,595,658,767,693,252,52,3635,1328,2876,2652,3282,3240,2422,1072,273,17146,128,110,80,57,71,41,5,0,497,51,122,106,140,195,165,69,18,869,1512,3112,2835,3477,3504,2627,1144,296,18507,16,45,51,57,59,76,39,13,358,1041,1014,1007,1075,1212,1280,815,340,7784,2894,5609,5457,6100,6574,5420,2468,758,35280,20,200,204,197,219,109,14,4,970,28,259,282,312,320,155,34,8,1404,368,1491,1330,1008,1144,657,206,45,6243,321,967,1010,1147,1145,734,269,98,5695,942,1730,1387,1492,1172,513,133,56,7425,192,223,186,172,181,93,16,6,1073,101,184,226,242,281,173,62,29,1288,1241,2143,1801,1898,1628,772,213,89,9788,28,41,43,60,65,97,45,22,396,869,736,725,1009,1279,1400,1183,637,7839,2865,5833,5397,5642,5798,3938,1968,908,32346,29,331
CED216,45,859,1317,1637,1044,621,182,62,5755,16,149,337,492,386,231,58,13,1682,843,2560,3393,3549,2561,1432,541,212,15071,264,752,921,1123,939,830,360,161,5351,470,983,935,1364,1184,784,491,282,6491,56,25,42,35,31,27,9,3,218,48,76,103,134,137,141,60,30,728,568,1092,1072,1526,1349,953,565,316,7438,19,56,97,95,86,61,47,22,473,486,509,558,667,564,487,370,239,3885,2242,5974,7680,9089,6925,4611,2115,1020,39655,95,1212,1493,1362,799,349,81,29,5417,24,321,645,878,704,294,92,24,2992,1026,3211,4254,3858,2358,1222,508,217,16658,305,811,1285,1726,1404,977,489,220,7207,282,502,489,793,520,331,138,87,3143,59,44,80,92,82,62,29,3,444,48,81,142,297,268,247,109,105,1300,392,617,715,1182,873,637,270,194,4891,25,60,83,123,111,123,72,66,664,437,474,560,683,682,702,614,666,4815,2302,6710,9032,9819,6933,4302,2120,1418,42639,138,2064
CED217,25,558,847,319,186,77,22,0,2040,17,118,207,110,106,38,8,0,609,565,2294,2412,1181,638,278,52,13,7427,516,1617,1522,959,644,260,79,15,5605,1532,3662,3513,2834,2124,1308,412,76,15459,161,161,131,71,45,22,6,0,603,112,220,287,209,158,121,32,7,1147,1812,4033,3933,3120,2328,1448,444,86,17201,37,112,133,80,65,53,12,3,493,1165,1448,1301,1003,880,705,313,76,6883,4141,10175,10360,6774,4838,2864,931,186,40263,73,807,754,265,120,36,3,3,2057,67,380,423,242,102,25,3,0,1253,875,3757,3266,1381,751,295,61,9,10396,737,2165,2162,1319,686,266,63,19,7426,1136,2311,2091,1491,847,243,52,25,8191,180,248,246,182,129,47,8,0,1039,169,325,471,358,280,108,25,3,1736,1483,2885,2814,2030,1254,396,78,25,10970,36,120,111,90,75,45,14,6,500,1112,1225,1221,1044,925,820,380,139,6856,4394,11338,10746,6373,3918,1884,606,205,39461,101,1358
