CED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED201,12,52,0,3,7,61,36,19,115,1907,1399,149,3453,94,119,211,3663,1851,42,5562
CED202,8,35,5,6,15,48,75,40,166,1694,1713,184,3590,195,260,459,4050,2728,78,6857
CED203,12,33,3,3,5,47,74,34,150,1492,1293,120,2898,134,115,250,3145,2794,68,6009
CED204,11,41,4,0,3,48,66,25,138,1643,1783,187,3608,168,197,360,3967,2656,61,6690
CED205,6,36,3,3,4,39,40,38,118,1682,1166,162,3006,176,172,345,3346,3104,71,6524
CED206,10,44,3,3,10,55,85,52,187,1882,1292,186,3363,205,209,417,3781,3783,109,7677
CED207,14,64,3,0,7,68,45,28,134,1965,1770,175,3904,97,117,213,4119,2003,55,6185
CED208,7,22,0,0,0,20,39,28,93,1697,1276,129,3098,126,124,248,3349,2497,64,5912
CED209,11,37,3,3,5,47,37,23,106,1519,1556,153,3240,121,113,237,3473,1734,49,5256
CED210,14,39,6,3,6,52,92,61,201,1767,1794,201,3758,224,218,446,4196,3153,103,7458
CED211,10,31,0,0,0,30,49,18,99,1858,1397,130,3382,95,121,220,3608,2134,49,5784
CED212,11,42,0,3,7,49,77,46,169,2159,1864,186,4211,177,215,399,4608,2679,83,7370
CED213,11,50,3,5,9,53,62,33,146,1592,1843,184,3614,141,166,309,3921,2295,79,6292
CED214,9,43,0,7,3,49,80,45,166,1895,1278,153,3329,222,216,436,3767,3062,88,6909
CED215,10,41,4,3,9,49,69,43,162,1313,1515,170,2999,208,211,421,3419,2455,84,5957
CED216,11,36,0,0,0,32,27,15,76,1644,1199,117,2962,91,86,179,3141,1645,26,4813
CED217,12,51,5,13,16,70,104,61,235,2467,1853,241,4556,317,346,661,5224,3933,106,9268
CED218,7,28,0,0,0,25,31,18,77,1322,911,98,2333,75,82,159,2493,1539,43,4076
CED219,16,43,6,5,13,58,77,62,202,2519,1722,244,4491,283,266,551,5037,3538,115,8686
CED220,9,43,0,0,3,47,55,41,138,1871,1378,162,3411,131,145,277,3681,2773,88,6546
CED221,8,36,0,4,3,38,70,42,146,1413,1500,171,3089,162,148,310,3396,2080,70,5553
CED222,11,30,9,3,7,41,55,29,124,2127,1568,163,3864,138,171,312,4171,2519,62,6757
CED223,8,24,0,4,5,32,48,20,106,1821,1317,137,3280,91,123,213,3491,1937,41,5472
CED224,11,24,7,0,4,30,23,16,61,1514,1031,101,2646,87,88,172,2823,1628,26,4472
CED225,10,50,0,3,3,52,38,18,107,2035,1589,142,3771,112,134,246,4013,1768,34,5815
CED226,17,60,3,3,4,67,90,67,220,2911,1841,271,5021,324,293,623,5641,3627,135,9400
CED227,12,31,3,4,6,43,96,49,186,1257,1230,131,2613,142,141,287,2895,2440,95,5436
CED228,11,48,0,3,9,53,90,55,195,1861,1378,205,3441,265,243,510,3949,3507,110,7570
CED229,14,71,4,3,4,78,60,40,179,2712,2137,257,5113,223,207,433,5538,3055,74,8671
CED230,15,49,3,7,8,60,85,33,184,1771,1858,235,3865,214,237,451,4316,2932,86,7338
CED231,8,28,0,5,5,36,91,52,176,1230,898,109,2237,156,176,329,2573,2654,73,5297
CED232,0,16,0,0,0,23,27,13,64,1355,897,81,2336,103,97,193,2534,1373,33,3935
CED233,6,18,0,0,3,18,39,22,77,1502,1094,93,2691,66,98,166,2861,1891,43,4792
CED234,18,44,5,5,13,52,94,44,189,1418,1437,178,3034,172,178,351,3379,2507,95,5985
CED235,14,53,0,4,3,57,69,37,167,1945,1530,192,3668,168,167,334,4003,3062,72,7135
CED236,11,39,0,8,10,40,74,50,165,1177,1371,154,2698,121,147,267,2965,2158,87,5207
CED237,6,24,0,6,7,30,61,29,124,1581,1168,125,2873,120,138,260,3132,2736,79,5944
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
