CED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED201,3,0,0,5,0,9,0,4,3,51,0,82,0,0,0,7,0,0,0,8,0,9,0,27,3,0,0,0,0,6,0,9,0,18,0,50,0,0,0,0,0,3,0,14,0,7,0,31,0,4,0,8,0,19,0,23,3,58,0,121,4,21,0,14,0,44,0,66,6,44,0,199,8,31,0,30,0,84,4,85,7,108,3,365,11,56,3,72,4,216,3,114,12,98,4,594,37,81,4,211,11,403,9,133,15,176,3,1081,104,88,3,385,25,458,12,103,24,155,7,1360,131,58,4,463,35,447,21,74,14,128,0,1376,207,70,12,556,56,404,9,76,17,101,4,1503,709,91,22,1278,122,676,24,109,23,145,3,3195,710,72,15,1095,134,258,24,60,19,64,0,2452,543,59,14,630,76,134,6,31,9,48,4,1554,447,13,13,284,54,207,15,16,6,18,3,1071,821,38,9,743,83,273,8,25
CED202,0,0,3,11,0,0,0,0,0,29,0,50,0,6,0,0,0,8,0,0,0,12,0,29,0,4,0,3,0,6,0,11,5,25,0,49,0,0,0,3,0,3,0,10,0,15,0,22,7,3,0,9,0,7,0,25,3,49,0,106,5,14,0,12,4,31,3,51,3,64,0,183,14,24,0,37,0,80,6,76,9,123,0,373,25,51,0,93,10,208,8,125,17,143,0,686,60,82,9,277,28,379,21,113,36,174,8,1187,98,105,11,531,29,379,27,97,27,125,11,1436,128,90,18,586,67,394,12,61,20,95,0,1474,169,63,7,665,60,299,17,37,18,59,5,1396,559,87,32,1246,114,460,35,64,14,82,3,2706,520,61,22,859,101,179,18,24,12,28,4,1821,445,31,18,469,54,72,16,10,11,19,4,1144,246,16,11,195,21,120,0,10,4,6,3,637,487,29,0,497,55,145,16,29
CED203,3,0,0,5,0,3,0,3,0,86,3,105,0,0,0,0,0,3,0,10,4,18,0,36,0,0,0,3,0,8,0,21,4,40,0,76,0,0,0,0,0,5,0,19,3,20,0,44,3,7,0,3,0,11,0,44,0,89,3,166,4,7,0,21,0,56,0,76,12,99,0,282,12,32,3,24,0,102,3,87,10,137,3,423,21,59,3,58,3,213,6,127,25,182,9,700,45,81,9,158,5,372,14,123,20,217,8,1052,82,95,9,315,26,318,21,74,15,237,8,1194,87,73,7,320,19,308,16,90,14,193,9,1141,142,73,10,374,33,250,19,44,11,146,5,1100,364,144,17,887,87,523,25,93,32,172,8,2349,423,102,12,881,98,176,22,44,11,83,5,1856,354,45,8,646,89,93,11,21,7,55,0,1335,289,27,15,292,79,256,4,25,9,33,0,1029,892,74,23,1176,146,291,21,32
CED204,9,3,0,0,0,5,0,0,0,19,0,39,4,0,0,3,0,0,0,4,0,12,0,16,0,0,0,8,0,4,0,7,0,12,0,32,0,0,0,0,0,0,0,7,0,7,0,15,6,8,0,9,0,7,0,22,3,81,4,137,3,9,0,13,0,29,3,47,3,50,0,152,14,24,0,29,0,72,0,81,11,121,4,355,23,59,0,98,5,202,9,109,12,149,4,674,53,83,7,250,27,364,24,126,29,173,6,1135,93,133,14,500,25,390,25,113,13,118,3,1432,133,89,14,583,25,342,29,73,24,82,3,1389,178,75,7,595,60,295,19,58,3,60,4,1348,501,135,30,1076,138,403,47,49,16,62,3,2477,516,71,11,821,100,144,25,30,5,28,0,1761,327,30,6,478,58,59,17,3,4,18,0,1015,258,13,6,177,27,142,11,8,12,5,0,660,397,49,9,424,43,109,19,18
CED205,3,3,0,4,0,12,0,11,4,198,0,238,0,0,0,3,0,8,0,15,6,52,0,84,0,5,0,3,0,9,0,35,3,61,0,116,4,0,0,4,0,12,0,34,3,59,0,118,0,14,0,10,0,34,0,77,5,188,3,326,8,20,0,11,0,91,4,115,13,166,0,424,13,48,3,45,6,211,3,165,22,216,3,729,26,83,6,108,4,413,9,170,40,234,7,1087,73,118,5,230,18,583,16,202,31,298,14,1594,142,92,10,330,43,510,16,117,14,235,4,1529,170,78,18,392,25,483,14,96,26,173,3,1475,248,59,14,396,20,387,12,79,12,181,3,1400,696,127,10,760,74,698,22,104,29,258,11,2789,595,47,9,711,56,266,17,56,9,138,0,1923,471,36,5,415,47,137,9,34,4,71,4,1247,352,19,3,176,30,243,4,29,9,36,0,898,823,45,13,590,52,277,17,32
CED206,3,0,0,0,0,12,0,15,8,197,4,238,3,0,0,0,0,4,0,13,3,55,0,83,0,3,0,0,0,13,0,32,6,113,3,172,3,0,0,3,0,11,0,25,11,65,0,119,0,9,0,11,0,47,0,85,14,386,3,551,0,12,3,21,0,100,0,177,24,303,4,645,16,28,0,31,4,224,3,219,39,423,13,989,27,56,6,95,12,471,6,262,41,443,14,1423,68,112,3,266,25,693,9,259,46,540,12,2031,146,96,11,417,36,593,19,193,33,373,12,1919,173,82,13,459,27,549,15,129,21,268,8,1743,270,58,8,468,47,421,17,109,24,241,3,1666,684,91,22,995,99,659,29,142,35,334,7,3095,669,58,18,718,68,301,22,57,22,143,3,2076,470,33,9,444,60,147,6,40,12,83,0,1300,345,17,9,221,37,198,3,16,9,35,3,892,603,41,15,453,52,217,18,36
CED207,3,0,3,4,0,3,0,3,0,22,3,41,0,0,3,0,0,3,0,3,0,19,0,29,0,0,0,3,0,5,0,10,0,15,0,42,0,0,0,0,0,4,0,10,0,16,0,32,0,6,3,3,0,14,0,12,0,31,0,76,9,3,0,11,0,29,0,36,3,46,4,144,10,24,0,23,0,68,3,57,3,80,0,280,16,40,0,98,13,194,7,106,14,91,3,575,52,74,8,280,19,398,16,91,22,158,11,1126,96,92,19,562,41,429,19,84,25,102,7,1478,112,80,13,648,60,426,15,79,24,110,3,1568,192,80,12,679,62,374,26,51,12,85,3,1584,572,123,35,1377,174,617,29,85,35,93,4,3132,599,74,27,1141,119,239,38,44,13,50,0,2337,443,32,12,548,65,101,14,22,3,30,3,1271,310,14,4,272,49,134,9,14,11,9,0,818,548,26,21,569,50,186,10,28
CED208,11,0,0,7,0,10,0,9,0,133,0,170,0,0,0,0,0,8,0,11,0,29,0,53,0,4,0,3,0,7,0,30,0,49,0,92,0,0,0,0,0,12,0,25,0,26,0,61,5,7,0,7,3,16,3,39,4,63,0,157,4,17,0,14,0,47,5,81,11,82,3,260,15,38,0,29,0,103,0,105,5,112,8,415,25,56,0,70,3,212,12,122,17,147,0,671,44,86,3,163,8,366,10,144,14,201,0,1055,73,89,11,286,15,346,7,92,12,148,0,1085,94,66,8,294,21,370,7,73,13,120,0,1059,151,61,7,372,38,338,9,54,10,107,3,1165,461,119,26,891,76,697,19,97,25,174,7,2598,538,67,19,949,83,271,18,60,5,92,4,2092,534,61,10,654,75,105,10,23,7,56,3,1543,489,18,4,324,60,333,6,33,11,29,3,1313,1311,79,22,1362,132,420,15,54
CED209,6,3,3,12,0,10,0,3,0,15,0,51,7,4,0,8,0,0,0,7,0,12,0,36,6,3,0,0,0,4,0,9,0,11,0,36,0,0,0,0,0,3,0,10,0,8,0,23,6,3,0,10,0,3,0,20,3,36,0,87,9,11,0,14,0,19,3,44,4,35,0,143,18,28,8,36,0,62,7,58,6,73,6,302,20,45,0,86,10,145,8,89,9,97,3,503,50,99,7,260,27,305,13,121,19,126,6,1028,106,108,11,485,40,365,14,78,25,97,6,1337,121,75,13,610,52,359,10,86,21,63,8,1420,182,88,11,715,70,364,20,50,28,50,3,1572,573,128,32,1414,139,570,36,71,24,79,4,3065,495,80,28,1202,139,196,21,49,3,31,3,2239,415,29,24,684,101,88,12,18,5,14,7,1392,284,18,10,257,40,193,6,16,8,9,0,838,551,42,20,701,71,211,13,27
CED210,4,0,0,4,0,3,0,0,0,35,0,53,0,0,3,0,0,0,0,5,0,17,0,31,5,3,0,5,0,4,3,15,5,21,0,55,0,3,0,3,0,5,0,11,0,13,0,33,4,6,0,3,0,14,0,27,3,78,0,141,3,10,0,6,0,38,3,61,7,78,3,209,11,24,5,16,0,108,3,75,9,158,4,414,14,35,0,80,6,185,4,112,16,169,4,627,45,71,6,186,16,373,9,143,24,199,8,1070,60,86,14,407,39,386,30,105,17,148,5,1290,113,76,11,510,52,359,28,61,17,93,3,1311,159,64,13,557,51,308,16,43,16,87,3,1307,449,93,32,1088,94,466,33,68,23,116,5,2465,422,52,17,768,110,158,20,29,14,52,7,1655,334,25,17,431,59,75,9,21,6,31,3,1018,227,8,8,194,26,112,5,11,7,8,0,616,410,26,11,537,51,158,15,16
