CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED201,0,14,28,241,171,148,48,12,6,666,0,0,3,7,20,14,15,12,5,76,0,3,3,29,3,10,9,0,0,58,7,46,105,445,288,269,232,188,146,1731,145,188,249,716,420,430,351,264,159,2930,3872,7669,8889,18514,10270,9165,6241,3359,1669,69652,0,0,18,93,50,33,16,3,0,219,7341,13659,14480,21436,11295,9345,5819,2725,1214,87323,0,0,4,42,16,14,3,0,0,72,0,0,0,41,22,22,7,3,0,104,0,3,14,174,144,119,51,26,8,528,4,9,12,45,23,25,6,3,3,134,0,0,0,38,51,40,41,13,3,183,57,306,486,2971,903,667,318,137,59,5907,0,0,0,18,31,59,64,35,5,213,3,20,29,95,94,126,111,50,14,538,5,120,150,580,866,1007,1043,636,258,4669,0,4,14,77,52,44,29,7,0,242,0,0,3,19,23,11,12,4,3,76,4,12,36,81,68,105,238,269,90,909
CED202,0,6,10,44,12,10,3,0,0,77,0,0,0,4,13,7,13,7,4,57,0,0,12,13,7,4,4,0,0,46,12,32,59,217,115,113,93,82,38,749,248,477,590,1298,871,848,775,492,239,5833,4656,9776,9803,19327,10904,10353,8153,4361,2251,79575,0,0,12,0,0,0,0,0,0,13,9037,18177,17585,30770,16807,15525,11315,5511,2483,127204,0,9,4,40,7,0,3,0,0,69,0,0,0,4,3,6,8,9,0,28,0,5,0,0,6,0,0,0,0,12,0,3,9,45,40,28,19,7,3,156,0,4,0,16,15,5,9,4,0,46,3,38,272,300,89,40,29,9,0,774,0,0,0,10,34,44,60,47,15,215,0,9,3,8,7,10,6,4,3,56,13,146,101,519,732,867,978,528,176,4057,0,7,14,35,11,13,5,3,0,94,0,3,4,24,17,10,8,3,0,72,0,10,12,49,56,86,248,80,50,599
CED203,16,29,291,589,306,237,91,37,20,1617,0,0,0,15,3,7,8,0,3,32,0,0,10,35,7,8,0,0,0,51,104,196,284,1285,318,279,217,148,64,2890,281,412,705,2068,798,664,517,463,318,6223,4750,7801,10210,28822,10910,7989,5851,4722,2475,83533,0,10,31,32,15,8,6,0,0,101,8461,13532,13856,31963,13369,8157,3741,1910,1458,96446,9,25,81,250,9,5,3,0,0,382,0,0,9,59,29,34,34,23,0,185,0,0,7,41,15,15,17,3,0,101,4,12,25,201,57,28,0,0,3,339,3,6,5,61,33,29,22,4,3,174,36,119,1181,2404,696,661,225,145,34,5499,0,0,12,38,59,91,102,128,26,456,4,15,16,71,43,69,93,62,37,398,44,134,162,1252,671,450,326,124,83,3239,0,3,14,88,42,41,22,9,3,219,0,3,14,156,37,21,8,9,3,258,3,10,24,171,98,43,93,39,13,500
CED204,0,3,8,32,3,3,0,0,0,55,0,0,0,6,7,10,16,6,3,50,0,0,3,10,0,4,3,0,0,28,5,27,34,152,74,75,77,41,20,499,267,508,549,1384,870,945,796,556,358,6233,4491,9110,9130,18088,10472,10539,8279,4558,2389,77047,6,6,16,37,6,0,0,0,0,80,8467,17092,16277,28664,16295,16366,12270,6383,2811,124629,0,7,0,36,4,3,0,0,0,49,0,0,0,3,3,3,3,0,0,11,0,3,0,7,3,0,0,0,0,24,0,12,7,79,23,17,21,3,3,165,0,0,0,6,7,3,0,0,0,16,4,30,55,173,64,33,16,5,0,380,0,0,0,7,10,16,27,10,4,82,0,5,6,26,8,8,16,4,0,81,7,97,100,429,680,799,874,465,166,3616,3,10,9,27,18,9,0,0,0,82,3,0,3,20,9,13,8,5,0,67,0,5,5,46,60,84,169,71,28,470
CED205,15,37,180,998,612,491,167,71,35,2611,0,0,0,0,4,10,5,10,9,33,0,3,17,28,5,3,5,0,0,62,39,189,366,1076,572,564,431,291,100,3633,255,402,507,1191,513,497,494,377,307,4550,4355,8434,9947,21651,9841,8898,7534,4912,2376,77956,45,243,844,1710,340,139,52,19,10,3393,7623,11556,10593,12598,6076,5240,4882,3145,1453,63164,10,38,54,320,67,37,12,0,0,542,0,11,93,335,262,232,114,63,7,1118,4,20,124,503,313,235,112,46,8,1364,4,13,24,31,21,19,11,3,3,125,3,3,9,88,68,80,88,36,6,390,121,664,2132,4661,2050,1431,671,407,121,12258,0,3,34,149,127,197,185,141,30,858,4,50,22,77,65,134,165,104,45,662,29,110,124,311,396,440,593,460,194,2649,3,8,34,203,111,93,46,32,9,537,0,3,10,29,33,9,14,12,6,118,0,10,61,63,52,49,193,189,74,695
CED206,3,21,59,415,364,213,78,49,20,1210,0,0,0,0,3,3,0,0,0,12,0,0,6,14,4,3,0,0,0,31,55,312,450,1342,872,710,460,244,78,4528,312,670,653,1494,810,716,586,297,129,5666,5229,11068,12170,22382,12050,9464,6221,3098,1162,82835,0,11,31,79,19,3,7,0,0,150,9564,18018,18188,21770,10240,6945,3347,1382,568,90025,3,17,20,144,37,24,4,0,0,243,0,0,21,132,90,88,55,41,4,425,0,0,3,22,12,10,6,6,0,67,0,15,14,37,18,15,4,0,0,104,0,4,3,49,62,45,57,18,5,256,3,36,70,334,188,153,72,41,14,909,0,3,15,66,205,325,396,263,41,1308,11,58,75,202,188,278,211,125,28,1184,11,66,65,217,315,392,332,180,74,1647,0,23,51,237,140,113,51,20,3,639,0,0,5,22,25,17,6,10,3,87,0,8,16,79,45,44,217,60,32,505
CED207,0,3,16,56,13,9,4,0,0,100,0,0,3,12,14,24,10,11,8,79,0,0,3,15,7,7,0,0,0,43,5,32,51,254,167,129,110,84,31,862,169,348,376,1008,638,566,513,304,207,4133,4368,8899,8639,18827,10398,9334,7104,3404,1586,72559,0,0,0,0,0,0,0,0,0,3,8589,16784,15622,29553,14804,12562,8355,3298,1310,110869,0,0,0,8,0,0,0,0,0,17,0,0,5,15,9,7,5,0,0,33,0,3,3,41,16,12,7,0,0,87,4,5,8,66,32,26,16,5,0,177,0,0,0,31,19,12,10,0,0,71,8,42,105,389,140,100,48,21,3,861,0,0,0,4,20,27,33,21,4,114,0,0,0,11,4,8,19,8,3,59,6,122,198,797,1477,1693,1714,1000,345,7339,0,0,4,21,24,23,3,5,3,87,0,6,4,26,26,18,17,6,0,108,0,6,23,83,127,171,305,201,76,991
CED208,5,23,173,440,240,256,114,42,18,1315,0,0,3,5,11,3,6,5,0,38,0,6,17,38,9,5,7,0,0,87,28,125,231,722,323,275,297,258,122,2389,202,308,593,1140,464,441,393,389,303,4236,4077,8192,14706,23482,10556,8469,6631,5446,2942,84500,0,4,23,63,24,14,6,0,0,133,7210,12969,13870,17165,10396,7573,5152,4273,2563,81169,15,38,99,273,44,20,7,0,0,501,0,0,7,26,18,7,6,9,0,77,0,3,37,97,53,69,33,18,0,307,4,24,33,98,44,36,11,5,5,259,3,10,3,61,36,25,40,9,3,189,184,741,7340,9306,2523,1749,801,498,169,23318,0,0,0,13,32,36,38,86,22,221,3,16,14,48,43,55,85,63,35,357,47,164,228,532,561,499,528,360,207,3127,0,3,24,106,64,43,20,19,5,289,3,21,18,72,33,22,21,12,7,210,0,21,32,93,72,55,142,122,56,586
CED209,0,3,13,39,12,11,0,0,0,77,0,0,0,11,11,14,20,11,6,66,0,7,3,20,10,8,5,0,0,50,4,39,54,265,124,105,110,73,53,826,198,410,435,1034,663,687,647,435,235,4751,4581,9752,8656,19014,10360,10128,8273,4483,2588,77827,0,8,30,33,3,3,0,0,0,76,9045,18267,15652,29736,15733,15374,11616,5737,2915,124062,0,11,9,41,13,0,0,0,0,66,0,0,0,8,18,9,0,0,0,39,0,0,4,11,3,0,0,0,0,12,13,19,22,96,43,17,14,5,3,230,0,0,0,8,3,4,7,3,0,32,16,47,123,425,96,72,28,10,3,822,0,0,0,13,48,47,36,35,10,181,0,6,13,26,4,20,17,0,0,85,31,249,240,823,898,1031,1121,675,262,5333,0,0,6,20,17,9,0,0,0,62,0,3,12,57,10,8,6,0,4,108,0,8,22,90,52,97,261,118,60,705
CED210,0,7,17,101,41,17,7,0,3,194,0,7,4,10,16,21,28,9,9,100,0,5,3,27,6,0,0,0,0,35,20,64,100,329,152,198,225,199,105,1399,217,435,590,1263,807,841,712,539,340,5748,4368,8448,9406,19147,10253,10027,8124,4885,2467,77125,9,61,153,186,56,13,8,0,0,485,8229,15226,15967,29119,14892,13357,9370,4773,2182,113114,0,3,3,14,3,0,0,0,0,25,0,0,21,97,92,94,46,45,7,410,0,0,3,13,7,17,3,0,0,44,0,11,16,60,34,23,9,6,0,174,0,0,0,12,7,13,9,3,0,37,11,61,186,315,77,82,44,17,15,806,0,3,20,113,165,219,329,309,60,1216,0,4,3,17,4,18,28,12,0,77,22,161,133,590,824,1073,1137,695,294,4922,0,3,4,46,15,9,3,4,0,86,0,4,7,39,17,9,16,12,0,100,0,10,15,58,50,143,390,170,118,947
