CED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
CED201,0,4,7,13,16,21,30,14,3,3,4,3,4,3,9,134,0,9,10,32,116,576,1393,1882,309,300,323,362,267,120,208,5907,0,0,43,112,14,19,11,0,0,0,0,0,0,0,8,213,0,19,63,114,40,131,68,41,5,12,18,0,13,3,7,538,0,0,3,7,25,93,72,21,0,8,0,6,4,3,3,242,3,224,309,116,81,29,50,32,11,7,3,8,5,11,28,909,0,38,204,229,34,14,11,10,3,9,0,0,5,3,12,573,0,3,8,39,136,431,342,171,20,19,19,35,31,4,25,1292,0,14,27,205,166,507,1024,1089,142,149,88,110,105,74,89,3795,0,7,9,34,28,84,216,99,15,10,7,10,8,3,12,552,0,0,0,6,25,55,121,142,38,47,51,18,10,10,16,540,0,0,0,3,3,11,27,43,19,4,5,0,0,5,3,133,0,13,37,93,61,61,22,7
CED202,0,0,12,28,22,21,33,21,0,4,0,0,3,4,5,156,0,0,9,0,9,28,132,178,29,39,52,76,76,106,44,774,0,5,68,102,3,14,6,4,0,0,0,0,0,0,8,215,0,12,11,10,0,3,9,13,0,0,0,0,6,0,0,56,0,3,0,4,9,20,17,12,0,10,8,3,0,3,3,94,0,232,125,70,49,26,27,21,0,3,11,0,3,3,18,599,0,21,55,36,3,3,0,0,3,0,0,0,0,0,7,126,0,0,0,5,9,12,12,11,0,0,0,0,5,0,8,65,0,12,6,45,16,21,122,479,49,61,67,62,60,46,47,1098,0,9,4,3,3,5,7,12,0,3,0,9,0,0,0,64,0,0,0,0,10,10,10,20,7,8,12,0,0,0,0,74,0,0,0,0,0,0,6,12,0,0,0,3,4,0,0,36,0,21,21,59,22,30,30,24
CED203,0,0,3,32,27,36,61,48,22,20,14,24,24,13,7,339,0,7,4,15,66,784,1102,1379,213,277,346,435,416,251,198,5499,0,5,93,225,25,35,38,4,4,0,0,0,3,0,22,456,0,23,86,88,23,73,27,18,7,5,4,15,15,6,12,398,0,0,4,5,34,94,29,19,12,4,4,0,3,3,7,219,0,79,46,53,47,42,82,65,7,8,9,11,9,4,20,500,12,323,2128,1678,180,100,35,22,29,81,54,40,33,12,212,4939,0,0,0,15,53,80,63,54,14,21,18,17,16,13,10,383,0,8,11,80,61,145,420,1700,180,222,378,556,540,420,136,4860,0,0,0,6,19,46,99,52,11,19,19,17,15,9,10,325,0,3,0,3,18,29,42,102,81,86,168,37,36,24,11,641,0,0,0,0,4,36,85,67,20,23,45,22,23,7,7,339,0,9,15,46,41,95,75,109
CED204,0,0,4,26,21,13,44,23,3,3,0,4,11,3,9,165,0,0,0,0,9,23,67,111,20,25,21,27,29,14,34,380,0,3,19,38,0,0,3,0,0,0,0,0,0,0,7,82,0,8,7,3,0,5,14,8,3,0,9,8,3,0,6,81,0,4,0,0,3,15,13,13,3,0,0,7,0,8,3,82,0,163,109,53,32,19,30,17,3,0,9,0,0,0,21,470,0,12,36,26,8,3,0,0,0,0,0,0,0,0,9,92,0,3,6,4,10,8,13,11,4,0,6,7,5,0,15,80,0,11,13,31,10,9,95,340,29,37,46,51,60,40,53,822,0,8,5,0,10,5,20,15,3,0,0,3,3,3,8,94,0,0,0,0,0,0,3,9,0,4,12,6,3,9,0,51,0,0,0,0,0,0,16,0,0,0,0,0,3,0,6,32,0,19,36,37,12,30,31,19
CED205,0,0,3,12,16,23,24,13,8,10,4,3,3,0,3,125,0,19,75,55,259,1686,2660,2677,588,650,744,926,928,475,514,12258,0,5,106,298,32,87,287,7,7,0,0,8,0,0,17,858,3,33,119,177,44,84,65,44,10,5,24,9,10,5,18,662,0,3,3,15,49,193,138,57,13,13,30,14,13,0,5,537,3,194,211,75,40,33,65,22,3,5,6,3,8,4,14,695,3,121,875,959,126,64,51,18,20,54,35,30,19,3,60,2437,3,0,12,44,212,544,349,132,21,53,46,48,64,22,42,1594,0,29,21,344,233,828,1750,3814,373,510,652,928,792,613,333,11223,0,9,7,31,69,131,351,175,15,27,41,27,33,24,19,953,0,0,0,7,32,72,102,148,78,173,240,109,78,20,10,1067,0,0,4,4,14,50,52,61,11,17,45,16,14,5,11,310,0,14,29,43,24,29,12,18
CED206,0,0,3,14,7,14,17,21,0,8,8,0,4,3,0,104,0,3,19,3,32,178,221,236,42,20,28,29,40,21,37,909,0,13,211,789,80,106,53,8,3,0,0,3,7,0,34,1308,0,47,153,257,75,211,142,104,16,33,45,26,18,15,31,1184,0,0,0,8,71,210,127,106,5,20,8,20,31,0,29,639,0,214,94,30,40,37,28,27,3,0,3,7,0,0,18,505,0,129,526,553,83,47,49,18,11,28,20,7,10,7,59,1549,0,0,3,8,33,61,36,16,3,0,0,0,0,0,3,172,3,9,11,342,198,448,961,2068,172,194,312,402,333,224,209,5882,0,0,3,5,17,31,68,37,7,3,9,3,9,3,6,197,0,0,0,26,45,78,69,94,54,57,270,8,8,13,52,775,0,0,0,20,155,1073,2707,2017,544,313,884,414,290,322,182,8921,0,6,24,43,15,22,8,18
CED207,0,0,9,33,25,31,34,16,3,7,3,3,13,0,0,177,3,3,6,5,20,52,133,325,33,51,42,61,53,36,38,861,0,7,25,65,3,13,10,0,0,0,0,0,0,0,0,114,0,12,22,9,0,3,4,3,0,3,0,0,0,0,0,59,0,0,3,12,4,35,15,3,0,0,0,0,0,0,3,87,4,238,302,158,82,50,58,34,10,4,9,3,0,0,30,991,0,15,36,45,3,3,0,3,0,5,0,0,0,0,3,121,0,0,3,12,13,40,40,16,3,7,3,3,11,0,4,158,3,19,19,88,42,67,181,303,29,45,29,31,21,22,29,939,6,14,17,13,16,21,37,14,7,6,3,4,0,0,8,160,0,0,0,3,8,13,17,55,28,12,10,9,5,3,0,166,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,18,0,7,25,105,32,57,21,29
CED208,0,5,10,27,28,35,56,30,8,12,7,7,11,7,3,259,5,9,50,54,222,1966,3748,4807,1099,1360,1737,2426,3035,1582,1226,23318,0,5,76,89,5,28,10,0,0,0,0,0,0,0,7,221,0,49,88,72,14,44,39,14,4,3,5,3,10,3,12,357,3,0,5,12,50,103,55,20,4,6,3,4,9,4,13,289,3,144,138,55,40,37,65,51,4,6,6,9,15,7,11,586,3,194,1422,1045,134,55,37,20,13,57,50,34,23,11,133,3237,0,10,18,88,280,616,406,273,55,71,97,148,159,72,66,2372,3,29,11,190,136,492,1049,1698,236,298,370,600,699,599,154,6573,3,4,11,20,59,137,515,230,46,46,67,99,210,162,23,1622,0,0,4,0,21,78,61,112,63,78,111,60,58,43,12,689,0,0,0,0,0,12,12,34,0,0,26,30,3,3,7,133,0,19,49,59,26,66,37,36
CED209,3,0,4,22,24,24,53,42,14,10,7,4,8,8,10,230,3,4,11,3,9,40,131,248,48,60,38,69,81,49,31,822,0,5,48,96,4,12,8,0,0,0,0,0,0,0,10,181,0,4,12,12,3,10,14,21,3,0,4,4,3,3,3,85,0,0,0,7,6,9,12,12,4,3,4,0,0,0,3,62,4,278,144,66,55,27,46,28,7,10,6,3,5,8,22,705,0,23,59,28,11,0,3,0,3,0,0,0,0,0,4,136,0,0,6,13,10,21,14,24,3,4,3,9,10,0,3,120,4,10,9,38,19,38,80,429,54,32,80,107,143,114,46,1199,0,9,3,4,5,14,34,24,8,4,6,10,4,4,4,138,0,0,0,0,6,17,16,44,18,30,46,23,15,3,3,224,0,0,0,0,0,0,17,14,6,9,9,6,3,3,0,59,0,11,32,65,30,47,39,56
CED210,0,0,16,28,14,12,41,23,4,7,3,10,3,8,7,174,0,0,78,4,10,48,86,199,28,25,36,63,90,101,36,806,0,35,286,560,47,113,108,14,3,0,3,0,0,0,43,1216,0,15,16,20,0,3,10,3,0,3,0,3,0,0,3,77,0,0,0,4,0,16,5,17,7,10,14,6,3,0,0,86,0,490,206,61,38,28,30,26,3,0,3,9,0,4,51,947,4,45,160,132,9,7,6,0,0,3,0,0,0,0,31,396,0,3,0,3,15,19,14,17,0,4,8,5,10,5,9,109,0,8,3,48,12,11,70,531,58,58,85,109,150,89,41,1268,0,3,11,4,9,13,31,21,3,3,9,17,3,3,0,129,0,0,0,0,6,14,24,19,10,55,67,15,27,0,6,255,0,0,0,0,0,4,18,0,0,12,23,0,41,49,22,173,0,19,49,81,21,50,28,44
