CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED201,1091,1036,2130,4096,3733,7825,914,871,1779,530,449,984,5538,5047,10591,2808,2951,5759,1214,1062,2273,771,737,1510,4793,4750,9548,293,309,606,143,249,390,450,209,659,375,488,871,15,8,17,1281,1260,2547,1893,2076,3966,391,521,914,200,262,464,425,687,1113,7,6,16,2922,3549,6467,140,209,354,267,558,824,4,5,14,416,774,1191,2853,2980,5834,18899,19397,38299
CED202,1322,1236,2555,4362,4112,8473,1622,1652,3274,721,748,1470,6703,6512,13216,2297,2313,4604,1684,1551,3233,1026,1100,2128,5010,4959,9966,228,213,441,82,156,239,375,220,597,337,467,806,15,15,29,1037,1074,2114,1399,1872,3266,457,725,1180,163,255,411,537,1089,1622,15,14,27,2571,3946,6512,189,181,371,272,477,750,4,9,12,468,668,1135,5332,5809,11145,22437,24205,46643
CED203,1222,1141,2369,3965,3653,7617,1217,1199,2422,342,386,728,5522,5237,10761,2233,1951,4188,1010,1114,2126,524,534,1061,3775,3604,7373,345,355,696,370,489,860,263,118,385,469,559,1029,17,8,24,1471,1518,2994,3187,3813,6998,1849,1932,3785,234,309,539,969,1579,2542,16,21,37,6255,7657,13907,335,346,681,367,663,1036,3,3,8,706,1019,1720,5889,6298,12183,24836,26471,51309
CED204,1258,1107,2371,4275,3902,8176,1555,1470,3031,531,546,1080,6363,5921,12284,2777,2692,5470,1213,1146,2356,782,795,1573,4767,4630,9400,255,297,549,134,252,389,390,234,623,314,513,827,11,6,17,1096,1309,2407,940,1616,2554,292,521,809,94,169,263,395,847,1241,6,16,18,1734,3161,4895,109,138,245,217,428,651,11,16,24,336,585,915,6610,6320,12935,22166,23029,45195
CED205,1177,1049,2223,4236,4021,8251,1025,965,1988,457,462,922,5723,5443,11164,3483,3223,6704,848,854,1702,850,773,1618,5178,4844,10024,606,451,1054,389,487,879,266,119,389,425,530,954,17,13,31,1694,1607,3301,3441,3199,6636,1100,1050,2147,227,255,482,492,639,1136,27,23,52,5281,5169,10452,472,467,939,501,748,1251,16,19,30,987,1232,2223,4951,4822,9767,24993,24160,49154
CED206,1165,1108,2269,4365,3986,8349,1817,1763,3577,1037,1094,2134,7223,6839,14056,3512,3456,6970,1395,1495,2897,1282,1353,2637,6190,6315,12505,577,492,1066,316,479,794,453,202,654,380,459,844,32,18,49,1756,1651,3403,2414,2843,5258,601,639,1246,260,293,559,381,532,912,20,26,54,3681,4337,8025,502,597,1099,413,772,1186,22,22,40,940,1390,2326,5904,5909,11808,26854,27542,54394
CED207,1398,1226,2631,4678,4312,8991,987,970,1957,632,603,1239,6296,5884,12187,3056,2981,6033,844,939,1782,876,1002,1879,4776,4918,9695,237,319,559,114,175,286,749,273,1029,446,494,940,11,11,20,1566,1273,2839,894,1255,2148,213,410,623,131,189,321,350,778,1130,4,23,20,1593,2651,4244,119,163,284,284,529,809,10,7,15,414,704,1118,3841,4078,7916,19887,20734,40621
CED208,1248,1187,2432,4126,3803,7928,1144,1103,2255,451,612,1060,5721,5515,11242,2616,2277,4891,1064,1084,2149,1058,1360,2426,4744,4720,9467,635,434,1068,431,499,932,292,131,425,429,540,969,8,5,17,1803,1614,3412,7509,7857,15370,2291,2129,4420,356,342,696,731,987,1723,37,28,68,10931,11345,22278,377,356,726,423,697,1123,6,11,17,810,1062,1870,4181,4523,8705,29442,29963,59400
CED209,1447,1294,2740,4788,4459,9249,1445,1383,2829,727,654,1387,6967,6498,13464,2501,2170,4679,1395,1561,2958,1160,1081,2236,5052,4819,9871,217,234,456,80,168,251,454,211,672,373,531,904,9,7,12,1138,1159,2297,1790,2095,3882,575,661,1231,171,245,419,459,965,1426,4,21,24,3004,3980,6979,118,150,270,246,474,716,3,11,15,371,631,1001,4665,4839,9501,22638,23212,45851
CED210,1187,1063,2253,3731,3606,7336,1364,1310,2668,593,594,1189,5686,5512,11195,2434,2136,4565,1181,1474,2656,1213,1020,2229,4821,4629,9451,288,355,637,139,308,446,417,263,677,404,548,949,10,13,22,1259,1485,2742,1139,1541,2682,434,595,1028,152,221,374,423,806,1230,9,12,25,2158,3170,5333,214,273,487,314,555,870,11,10,23,540,844,1385,6203,5692,11890,21850,22390,44239
