CED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED201,..,9074,9074,13470,815,14282,8675,171,8848,9573,65,9636,3578,14,3595,1504,5,1516,36805,10144,46946
CED202,..,16141,16141,18120,1668,19786,7921,343,8266,8073,158,8229,3548,39,3581,1411,19,1431,39070,18367,57439
CED203,..,16820,16820,16743,2830,19574,8956,1247,10205,8683,552,9236,2944,171,3124,1339,126,1462,38674,21750,60427
CED204,..,15818,15818,18544,1555,20102,7809,364,8171,7413,99,7509,3292,40,3331,1330,26,1351,38387,17905,56291
CED205,..,10512,10512,14595,1232,15823,9559,470,10032,9616,303,9914,3816,154,3976,2255,149,2402,39841,12817,52659
CED206,..,8165,8165,12348,740,13088,9031,184,9212,10299,92,10391,5409,51,5458,3828,37,3869,40910,9269,50179
CED207,..,10594,10594,15557,913,16472,8244,117,8359,8806,18,8828,3815,6,3826,1691,6,1698,38120,11654,49773
CED208,..,13579,13579,15266,1938,17206,9531,1266,10792,9836,837,10675,3515,339,3854,1363,248,1613,39508,18209,57713
CED209,..,13492,13492,18004,1108,19117,7638,349,7988,8796,160,8951,3760,88,3847,1284,75,1360,39476,15267,54750
CED210,..,16788,16788,18029,1541,19567,8190,315,8503,7500,114,7614,3149,29,3178,1285,22,1304,38147,18801,56949
CED211,..,13484,13484,15745,1283,17028,8609,310,8916,9378,135,9507,3543,34,3578,1307,16,1324,38583,15262,53847
CED212,..,15122,15122,17115,1346,18460,8328,188,8516,8390,42,8429,3265,24,3285,1196,4,1203,38293,16721,55020
CED213,..,15215,15215,19756,1108,20867,7845,82,7924,7983,23,8010,3434,6,3446,1361,7,1363,40381,16447,56821
CED214,..,15836,15836,17344,2216,19559,9797,791,10586,9301,332,9636,3328,148,3472,1682,128,1805,41446,19456,60896
CED215,..,16385,16385,19221,1212,20438,6968,169,7144,6418,39,6453,2867,12,2878,1136,15,1148,36611,17835,54441
CED216,..,13410,13410,15399,1156,16552,8165,294,8457,10465,94,10561,3778,47,3820,896,28,915,38704,15016,53716
CED217,..,9450,9450,14467,1110,15572,11295,179,11477,13154,54,13205,5959,22,5979,3813,14,3829,48690,10830,59516
CED218,..,19805,19805,18168,3627,21796,7511,1161,8677,7916,347,8258,2920,107,3026,727,49,778,37243,25104,62343
CED219,..,9314,9314,14998,1114,16105,11614,209,11818,13066,102,13167,5880,55,5932,4451,41,4489,50005,10828,60831
CED220,..,11276,11276,14172,1173,15345,9364,454,9813,9738,223,9957,3795,96,3895,1920,76,1996,38989,13302,52285
CED221,..,15298,15298,18911,1221,20129,6758,124,6873,6562,48,6614,2883,19,2903,1112,5,1121,36223,16714,52937
CED222,..,13562,13562,15376,1259,16636,9288,216,9507,9965,93,10057,4025,59,4088,1971,39,2005,40627,15228,55853
CED223,..,11484,11484,15215,999,16210,8363,277,8646,9616,105,9721,3521,39,3558,1083,19,1102,37793,12919,50718
CED224,..,13082,13082,14607,1880,16486,7732,639,8366,9200,262,9459,3781,92,3875,1147,46,1196,36472,15998,52464
CED225,..,8807,8807,14280,895,15179,9010,121,9131,11270,47,11316,4771,5,4778,2088,11,2092,41413,9889,51300
CED226,..,11177,11177,17475,1410,18877,15102,318,15417,15558,133,15684,6551,53,6607,4211,33,4245,58896,13117,72018
CED227,..,16218,16218,17899,1193,19084,6615,192,6805,5964,71,6038,3124,35,3161,1345,24,1373,34948,17726,52681
CED228,..,13851,13851,16030,1641,17669,9504,584,10086,9709,283,9995,4156,110,4264,2228,74,2297,41626,16531,58164
CED229,..,11448,11448,18782,1092,19873,12382,139,12525,14346,52,14397,6403,15,6419,2973,17,2982,54889,12761,67648
CED230,..,15995,15995,20090,1245,21338,8621,135,8756,8560,38,8594,4044,19,4058,1983,7,1990,43296,17438,60734
CED231,..,29756,29756,24309,9328,33636,8685,4086,12765,5649,1568,7218,1656,488,2146,757,206,966,41061,45435,86495
CED232,..,25394,25394,21715,4890,26606,7392,1397,8790,5320,362,5685,1784,90,1881,707,56,759,36921,32190,69108
CED233,..,8368,8368,14243,654,14898,8394,189,8583,9549,71,9616,3987,27,4014,1385,15,1398,37548,9324,46867
CED234,..,15307,15307,18345,1216,19563,6952,153,7105,6548,68,6622,3270,19,3290,1625,20,1644,36746,16783,53532
CED235,..,8926,8926,14807,907,15716,10390,246,10638,11361,159,11526,4881,60,4940,2589,25,2615,44033,10323,54358
CED236,..,15658,15658,17796,1192,18993,6284,181,6463,5827,63,5896,2778,27,2804,1270,26,1288,33950,17151,51098
CED237,..,17221,17221,17872,3190,21057,9346,1467,10813,8963,660,9625,3170,245,3419,1617,131,1747,40963,22907,63876
CED294,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
