CED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED201,310,325,635,157,134,289,234,438,669,165,759,927,720,1658,2385,859,902,1760,2145,878,3021,2065,989,3057,2802,982,3783,2867,689,3558,2499,506,3007,2505,396,2898,5205,501,5710,3735,78,3813,2266,43,2311,1513,150,1658,2824,35,2857,3412,210,3621,521,471,995,36805,10144,46946
CED202,301,443,737,184,226,414,295,1056,1349,296,1685,1980,1204,3617,4818,1307,1799,3104,3497,1580,5073,2824,1745,4564,3526,1545,5073,3461,1045,4507,2798,773,3568,2591,501,3090,4893,579,5474,3002,118,3122,1721,39,1767,1021,248,1268,1949,23,1975,3524,388,3914,672,966,1637,39070,18367,57439
CED203,439,628,1067,242,324,564,342,1163,1498,248,1662,1906,1114,2806,3917,986,1464,2447,2606,1399,4001,2085,1696,3777,2707,2039,4749,2732,1618,4356,2302,1355,3653,2302,1015,3319,4721,1470,6191,3558,375,3931,2406,225,2627,1809,518,2326,4075,214,4287,3392,1006,4403,615,789,1407,38674,21750,60427
CED204,233,346,586,207,264,472,276,984,1256,295,1632,1932,1155,3454,4617,1245,1814,3064,3406,1585,4995,2867,1690,4556,3703,1494,5192,3579,1021,4604,2734,732,3470,2570,495,3066,4569,639,5209,2904,93,2995,1643,45,1687,1018,251,1267,1789,28,1819,3547,363,3909,627,971,1600,38387,17905,56291
CED205,761,593,1355,323,232,555,414,695,1118,369,1102,1475,1332,2182,3519,1182,1093,2269,3054,1037,4086,2749,1102,3854,3577,1060,4634,3157,720,3879,2587,594,3188,2444,391,2831,4582,517,5099,3018,155,3166,1864,88,1951,1309,191,1502,2758,112,2872,3803,358,4167,558,591,1151,39841,12817,52659
CED206,568,365,933,286,146,430,461,629,1093,360,914,1270,1453,1558,3007,1417,703,2114,3155,667,3826,2886,890,3774,3661,888,4551,3338,589,3922,2769,411,3183,2684,285,2969,4794,318,5111,3060,63,3121,1807,30,1836,1204,87,1289,2063,29,2095,4166,196,4362,790,510,1300,40910,9269,50179
CED207,233,284,512,144,148,293,245,556,800,213,922,1131,773,2137,2910,952,1204,2159,2403,983,3391,2310,1096,3404,3052,1113,4173,3201,714,3913,2765,573,3336,2771,387,3152,5538,461,5995,3719,56,3776,1995,23,2023,1200,163,1359,2185,26,2210,3723,197,3921,708,612,1312,38120,11654,49773
CED208,882,1691,2575,304,431,736,425,977,1404,276,1311,1589,1016,2336,3351,963,1509,2475,2267,1269,3535,2077,1352,3428,2933,1447,4382,2682,1100,3786,2182,831,3014,2247,703,2948,4689,1077,5762,3483,255,3735,2396,151,2555,1947,378,2324,4655,104,4759,3656,667,4320,429,600,1029,39508,18209,57713
CED209,269,353,631,190,245,434,234,752,989,217,1175,1390,936,2665,3610,1025,1595,2624,2725,1282,4003,2396,1386,3788,3398,1380,4779,3317,916,4236,2652,718,3367,2816,494,3309,5364,689,6049,3589,102,3693,2110,51,2165,1261,285,1545,2527,53,2582,3854,369,4220,582,752,1333,39476,15267,54750
CED210,328,433,763,200,249,452,351,1136,1488,343,1844,2186,1416,3645,5065,1357,1849,3208,3464,1521,4985,2730,1702,4430,3421,1577,4993,3294,1062,4354,2521,777,3296,2530,540,3070,4529,637,5169,2832,100,2931,1641,48,1688,996,235,1224,1960,46,2007,3456,328,3781,790,1069,1863,38147,18801,56949
CED211,440,460,897,176,230,405,272,676,946,214,1058,1275,811,2377,3187,808,1551,2354,2134,1216,3358,2164,1410,3578,2961,1429,4389,2821,1065,3884,2331,880,3214,2572,620,3185,5153,812,5972,3999,152,4149,2654,66,2728,1794,246,2042,3497,44,3539,3304,309,3615,479,650,1125,38583,15262,53847
CED212,315,420,738,165,211,375,257,805,1056,257,1364,1625,932,3106,4036,1043,1734,2779,2633,1385,4019,2459,1624,4087,3150,1568,4718,3056,1058,4109,2594,751,3339,2515,494,3013,5001,585,5583,3408,94,3497,2059,42,2102,1337,237,1576,2656,28,2690,3768,295,4070,688,920,1606,38293,16721,55020
CED213,346,493,833,214,226,440,246,850,1095,291,1407,1699,1169,3324,4490,1190,1867,3057,3448,1421,4874,2793,1483,4281,3645,1344,4985,3540,831,4373,2719,603,3326,2802,415,3219,4797,444,5246,3136,42,3181,1725,22,1749,1065,284,1348,2273,30,2307,4061,201,4261,903,1156,2059,40381,16447,56821
CED214,484,658,1147,236,310,543,416,1120,1534,302,1522,1832,1181,2736,3916,1046,1297,2342,2591,1239,3829,2240,1526,3765,2885,1768,4650,2785,1337,4124,2426,1148,3569,2483,869,3346,4907,1309,6217,3836,297,4130,2770,168,2940,2127,482,2605,4397,161,4558,3654,683,4335,690,814,1504,41446,19456,60896
CED215,320,455,779,235,311,544,318,1196,1512,364,1871,2234,1456,3739,5200,1421,1783,3204,3832,1461,5292,2879,1509,4384,3528,1341,4868,3228,825,4053,2293,615,2906,2292,435,2728,3904,521,4424,2309,85,2386,1299,27,1330,861,273,1133,1552,37,1587,3762,212,3971,765,1135,1905,36611,17835,54441
CED216,401,485,887,172,234,405,196,614,811,171,972,1141,557,1927,2487,601,1381,1977,1402,1133,2529,1317,1203,2521,1957,1295,3250,1912,1024,2934,1616,871,2485,1734,675,2409,3985,1181,5166,3239,99,3331,2562,81,2637,2888,770,3664,9319,87,9405,4139,312,4448,543,684,1228,38704,15016,53716
CED217,583,339,928,246,118,366,452,634,1085,381,829,1210,1288,1605,2896,1436,826,2256,3125,868,3991,2924,1123,4051,4194,1182,5370,4225,861,5088,3629,581,4212,3587,389,3978,6851,456,7303,4369,89,4457,2525,24,2553,1474,106,1582,2144,40,2185,4385,202,4589,861,559,1421,48690,10830,59516
CED218,536,1243,1785,213,310,525,227,873,1102,162,1190,1351,548,1959,2511,506,1425,1931,1188,1389,2579,1179,1818,2994,1724,2224,3949,1837,2004,3843,1615,1914,3530,1778,1442,3215,4020,2658,6678,3172,475,3648,2515,310,2827,2661,1678,4336,9150,396,9542,3787,1040,4827,418,746,1164,37243,25104,62343
CED219,470,347,817,233,117,352,393,523,916,345,809,1158,1150,1724,2869,1434,799,2238,3256,846,4104,3198,1180,4382,4438,1189,5625,4731,814,5552,4193,548,4739,3865,369,4234,7452,397,7855,4265,92,4356,2195,47,2245,1232,104,1337,1787,49,1836,4592,278,4872,764,591,1360,50005,10828,60831
CED220,542,524,1070,230,221,448,377,690,1066,294,1120,1416,1104,2286,3397,997,1190,2183,2601,984,3582,2354,1071,3426,3092,1132,4225,2922,821,3746,2394,665,3055,2477,456,2934,4822,689,5510,3501,122,3621,2299,75,2371,1630,273,1906,3187,51,3242,3561,331,3895,600,594,1192,38989,13302,52285
CED221,253,344,597,221,219,441,282,955,1245,316,1670,1987,1253,3392,4642,1192,1787,2972,3445,1466,4910,2741,1637,4375,3524,1406,4927,3432,856,4293,2546,560,3113,2496,367,2864,4267,447,4711,2650,78,2728,1334,19,1351,730,193,923,1205,34,1241,3616,227,3844,714,1070,1783,36223,16714,52937
CED222,362,434,797,176,180,354,274,698,980,233,1203,1435,876,2372,3250,977,1370,2353,2440,1186,3623,2196,1419,3610,3041,1556,4602,3136,1062,4200,2696,849,3551,2766,595,3358,5630,753,6387,4013,132,4150,2492,64,2555,1760,252,2018,3242,54,3299,3731,320,4052,569,717,1289,40627,15228,55853
CED223,308,354,669,166,162,324,220,623,842,198,962,1161,644,1870,2511,688,1124,1808,1783,1065,2849,1732,1050,2783,2458,1159,3615,2370,892,3255,2133,837,2970,2271,590,2868,4993,872,5867,3908,95,4006,2752,38,2792,2075,347,2426,4941,48,4994,3647,274,3918,503,554,1056,37793,12919,50718
CED224,655,745,1402,229,239,472,274,631,910,192,765,961,465,1377,1846,585,1231,1820,1027,1003,2031,1198,1208,2406,1734,1424,3160,1770,1233,3006,1440,1123,2569,1663,871,2534,3670,1542,5212,3048,250,3302,2229,139,2369,2372,973,3344,9449,170,9615,4004,554,4555,456,495,951,36472,15998,52464
CED225,308,283,588,141,113,257,217,433,648,193,654,845,703,1620,2321,828,877,1706,2076,780,2854,2026,989,3017,2968,1029,4003,3163,706,3870,2833,560,3387,3185,413,3603,6364,513,6875,4400,82,4476,2626,46,2673,1780,158,1939,3226,32,3252,3818,194,4013,558,405,962,41413,9889,51300
CED226,618,465,1082,267,154,421,456,651,1108,414,809,1229,1214,1634,2850,1581,931,2512,3089,987,4076,3571,1319,4890,4712,1508,6214,5009,1142,6156,4509,823,5330,4369,574,4947,8806,780,9586,5517,149,5672,3363,68,3437,2197,205,2406,3384,46,3432,5014,301,5316,798,563,1358,58896,13117,72018
CED227,355,393,753,251,271,520,338,1089,1426,323,1909,2233,1373,3972,5349,1243,1827,3067,3712,1559,5272,2946,1566,4510,3526,1313,4844,3473,732,4206,2276,557,2831,2395,334,2729,3694,415,4109,2037,73,2111,1059,39,1094,527,201,722,1050,28,1084,3509,214,3722,878,1238,2119,34948,17726,52681
CED228,560,582,1144,282,257,543,467,880,1342,341,1374,1712,1335,2417,3754,1148,1183,2335,2980,1171,4154,2505,1350,3847,3205,1487,4688,3028,1146,4175,2515,950,3460,2354,714,3069,4737,995,5734,3442,208,3652,2211,115,2323,1786,386,2170,4033,92,4127,3894,493,4392,801,737,1535,41626,16531,58164
CED229,425,350,773,210,169,380,363,555,919,314,893,1212,1114,1918,3030,1383,981,2364,2984,1008,3993,3001,1282,4284,4191,1499,5690,4568,1059,5630,4125,759,4877,4249,549,4797,8352,563,8918,5478,87,5567,3113,38,3150,1980,169,2150,3207,28,3238,4973,218,5189,864,627,1490,54889,12761,67648
CED230,382,410,791,249,245,494,372,1104,1479,372,1687,2057,1483,3619,5099,1496,1750,3246,3961,1520,5482,3287,1602,4885,4145,1472,5617,3962,885,4850,3067,620,3686,3178,388,3561,5038,481,5519,3126,66,3194,1594,29,1627,924,205,1124,1713,20,1730,4088,247,4334,863,1086,1952,43296,17438,60734
CED231,1407,6226,7630,365,1062,1429,701,2179,2873,431,2254,2687,1054,2632,3690,940,2054,2989,1546,2110,3656,1619,2669,4289,2112,3315,5431,2104,3004,5112,1955,2767,4720,2009,2205,4208,4642,4169,8815,3741,1017,4756,2926,744,3668,2570,2290,4862,6992,1136,8132,3483,2593,6077,467,1010,1475,41061,45435,86495
CED232,499,1419,1916,171,405,575,243,1081,1325,203,1444,1654,551,2068,2620,538,1525,2063,1132,1655,2789,1118,2274,3396,1716,2855,4572,1855,2635,4487,1570,2636,4203,1866,2164,4025,4428,3889,8316,3606,647,4258,2686,389,3077,2705,2409,5118,8065,478,8542,3547,1372,4922,429,837,1268,36921,32190,69108
CED233,602,470,1069,276,180,450,275,460,733,213,683,900,825,1414,2246,755,909,1664,2079,725,2806,1926,768,2692,2528,775,3306,2463,555,3013,2059,507,2562,2202,374,2575,4203,543,4740,3293,69,3359,2382,40,2419,1977,274,2248,5050,54,5104,3895,176,4070,557,365,918,37548,9324,46867
