UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL201001,134539,522407,537778,157345,78986,1431057,46785,1477840
UCL203001,4684,22139,21806,6070,2814,57511,2292,59805
UCL211001,757,4574,5228,1473,603,12629,441,13075
UCL211002,2538,13396,13093,3730,1717,34472,1400,35872
UCL211003,2156,12259,13067,4116,1911,33510,1390,34897
UCL211004,885,5938,7035,2273,1213,17343,767,18101
UCL212001,1010,4751,4466,1281,513,12017,651,12667
UCL212002,1107,5873,6096,1875,865,15814,720,16531
UCL212003,474,3515,4851,1743,1049,11625,312,11937
UCL212004,566,3419,3723,1058,470,9228,382,9605
UCL212005,745,4325,4431,1158,544,11208,504,11713
UCL213001,278,1929,2355,896,477,5934,222,6161
UCL213002,344,1932,1681,503,200,4662,306,4969
UCL213003,338,1691,1600,498,229,4350,217,4569
UCL213004,166,1481,1683,531,271,4138,160,4294
UCL213005,164,1576,1939,601,292,4570,177,4746
UCL213006,327,1692,1863,561,214,4649,250,4900
UCL213007,450,2287,2252,713,302,6015,251,6265
UCL213008,147,1315,2048,671,309,4487,126,4610
UCL213009,88,1350,1876,572,273,4159,103,4268
UCL213010,681,2511,1874,586,284,5941,348,6290
UCL213011,654,2323,1600,436,197,5209,316,5524
UCL213012,158,2068,3017,802,347,6390,166,6558
UCL213013,244,1491,1384,440,176,3743,208,3942
UCL213014,434,2017,1913,477,186,5027,214,5243
UCL213015,305,1414,1398,395,192,3702,220,3924
UCL213016,124,1591,2834,735,320,5605,133,5740
UCL213017,533,2884,2631,707,309,7065,378,7442
UCL213018,331,1893,1993,587,365,5168,230,5397
UCL214001,256,1090,933,295,113,2694,148,2841
UCL214002,316,1608,1321,367,140,3755,191,3948
UCL214003,295,1630,1204,352,177,3658,174,3832
UCL214004,158,799,686,207,88,1948,140,2088
UCL214005,15,130,150,58,24,372,26,392
UCL214006,71,808,1461,486,293,3122,81,3202
UCL214007,267,1424,1215,407,176,3481,164,3648
UCL214008,127,1060,1194,444,241,3064,146,3212
UCL214009,96,788,835,167,39,1931,91,2020
UCL214010,80,765,868,334,197,2246,96,2342
UCL214011,154,861,832,241,123,2211,108,2321
UCL214012,146,960,814,228,83,2237,165,2400
UCL214013,128,775,720,219,80,1915,73,1991
UCL214014,292,1338,1003,271,126,3030,182,3215
UCL214015,127,1195,1115,282,97,2813,125,2940
UCL214016,231,911,679,218,109,2146,151,2290
UCL214017,183,888,754,247,93,2162,124,2289
UCL214018,54,613,1156,463,308,2590,81,2672
UCL214019,302,1394,990,280,96,3067,195,3262
UCL214020,173,1072,1088,286,129,2753,158,2914
UCL215001,7,169,180,40,20,412,12,431
UCL215002,75,326,340,115,57,917,79,1000
UCL215003,38,344,401,123,41,941,35,984
UCL215004,41,243,152,46,19,502,25,526
UCL215005,34,322,295,99,64,817,47,863
UCL215006,9,250,376,124,42,812,35,842
UCL215007,14,279,771,274,162,1501,43,1552
UCL215008,0,101,280,111,44,539,16,556
UCL215009,17,120,131,61,17,343,25,373
UCL215010,0,82,272,144,114,621,11,632
UCL215011,31,182,167,43,27,450,35,482
UCL215012,62,450,438,130,39,1128,51,1176
UCL215013,7,82,295,84,58,522,7,529
UCL215014,4,73,187,96,37,400,25,423
