SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
20101,26722,3860,795,91,110,31572,4727,1332,332,18,33,6445,783,172,54,3,31,1043,32233,5362,1185,106,171,39056
20102,7862,63,56,294,80,8356,1712,45,47,77,35,1914,244,30,13,17,20,328,9822,141,115,387,133,10591
20103,6854,163,31,105,23,7174,2298,144,54,70,15,2583,292,18,11,4,3,334,9440,323,100,181,44,10096
20201,25925,2037,341,94,79,28476,4853,999,154,55,32,6097,767,161,37,13,15,992,31549,3199,532,159,125,35561
20202,13774,285,92,88,113,14354,2455,190,57,37,20,2754,409,27,6,4,25,468,16641,500,158,133,157,17580
20203,2989,8,15,51,26,3090,1023,11,29,40,8,1108,145,4,7,9,5,174,4158,20,52,92,41,4367
20301,5317,12,19,17,16,5387,757,6,11,3,3,782,127,0,0,0,0,127,6198,19,29,26,24,6296
20302,48304,5990,1520,354,145,56314,9092,2197,603,149,29,12068,1456,300,111,22,17,1906,58858,8488,2234,522,193,70291
20303,20674,1277,246,64,100,22358,2627,344,114,17,19,3111,495,46,21,5,13,575,23790,1665,371,81,124,26043
20401,14611,346,238,159,109,15464,3352,222,225,96,18,3907,578,50,41,55,14,739,18548,611,498,307,142,20110
20402,12565,650,304,71,61,13649,3178,440,238,36,11,3902,450,63,40,11,3,568,16192,1152,578,112,77,18116
20403,19013,1099,365,103,161,20741,3579,559,210,47,30,4419,577,88,36,8,10,717,23166,1747,613,160,197,25872
20501,13316,381,457,73,62,14286,2276,244,289,72,11,2887,396,26,33,11,12,474,15981,655,775,155,79,17641
20502,12351,362,173,162,108,13153,3312,251,117,124,32,3837,486,36,14,18,72,624,16152,649,305,303,213,17614
20503,17663,562,251,132,94,18710,3963,348,182,114,12,4617,615,51,19,16,17,712,22236,965,451,265,120,24037
20504,19879,933,814,74,49,21747,4216,680,553,34,12,5501,680,92,95,8,37,913,24773,1710,1458,112,103,28158
