SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,12,11,41,41,43,12,3,3,0,163,7,14,28,29,37,15,10,0,0,137,444,538,1182,1322,1340,757,145,12,0,5747
201011002,3,11,30,13,35,36,12,0,0,131,10,9,30,30,36,21,17,7,0,161,301,507,1008,1070,1304,1002,254,49,8,5491
201011003,19,54,79,70,87,57,20,3,0,393,21,36,59,48,81,58,19,7,0,321,589,1051,2258,2098,2318,1794,384,37,3,10533
201011004,7,45,96,78,72,55,17,0,0,381,29,69,65,72,69,54,8,5,3,368,548,1428,2511,2016,1838,1359,269,25,6,9991
201011005,4,10,6,24,33,26,3,0,0,112,8,7,15,29,22,17,7,0,0,104,216,367,440,737,778,623,119,12,0,3287
201011006,3,13,27,28,25,30,3,0,0,131,4,18,23,23,24,19,7,0,0,112,241,378,739,672,658,483,110,13,3,3289
201011007,7,3,7,17,18,19,0,0,0,70,5,10,3,18,20,14,0,0,0,76,147,157,232,433,545,369,46,3,3,1949
201011008,8,29,40,43,33,34,13,0,0,207,18,20,41,49,58,31,14,6,3,238,309,529,1304,1199,1106,838,190,24,8,5503
201021009,5,5,14,19,24,23,4,0,0,91,5,18,21,20,38,21,11,0,0,144,164,191,390,582,717,499,129,25,5,2698
201021010,7,10,27,30,25,32,4,0,0,127,14,9,21,22,29,34,16,3,0,148,154,224,435,641,729,745,214,20,10,3167
201021011,7,10,10,23,24,30,4,0,0,108,4,12,17,33,53,40,13,4,3,175,123,195,414,756,1069,976,306,47,6,3891
201021012,5,13,5,18,25,11,3,0,0,76,9,17,12,20,26,23,15,3,0,129,169,183,301,536,766,509,156,27,6,2660
201031013,0,3,7,8,4,3,0,0,0,27,0,3,8,6,8,11,9,0,0,56,48,78,127,219,281,314,118,14,4,1209
201031014,11,0,10,7,18,16,3,0,0,71,6,11,3,14,13,14,8,3,0,81,77,95,225,312,382,388,132,14,9,1628
201031015,0,6,16,23,19,14,0,0,0,74,4,3,15,28,19,23,12,3,0,107,96,123,305,433,469,384,86,17,3,1919
201031016,4,11,14,19,19,21,3,0,0,95,14,7,14,19,28,27,3,9,0,125,175,245,418,470,610,517,120,24,4,2586
201031017,4,10,11,6,18,17,3,0,0,70,3,6,8,20,21,21,4,3,0,101,99,131,222,315,494,430,120,21,7,1840
202011018,4,27,61,30,26,34,14,0,0,188,21,27,40,52,58,33,9,4,0,247,299,746,1474,1097,1214,968,228,23,3,6047
202011019,5,28,31,37,36,34,6,0,0,175,12,26,47,41,35,45,12,4,0,216,284,543,1047,891,932,802,146,14,6,4667
202011020,15,34,46,25,47,37,16,3,0,219,6,18,29,30,37,34,14,5,0,165,431,724,1081,1043,1312,1027,284,38,3,5945
202011021,6,26,29,23,32,30,5,0,0,153,8,21,22,24,20,20,3,5,0,124,277,712,864,858,823,676,124,10,0,4341
202011022,16,48,97,55,55,58,12,0,0,338,9,37,60,58,40,50,19,3,0,284,413,955,1985,1600,1560,1394,256,32,3,8195
202011023,14,3,29,28,30,18,3,0,0,125,7,8,12,27,19,16,0,0,0,82,188,168,447,644,624,392,58,4,3,2538
202011024,10,9,26,38,38,28,3,0,0,144,10,11,14,36,22,29,11,3,0,126,316,283,664,1106,1024,670,144,16,6,4219
202011025,12,34,75,46,28,24,8,0,0,222,9,22,37,46,50,21,11,0,0,199,357,590,1560,1105,1071,793,139,15,4,5639
202021026,3,7,27,27,39,28,8,0,0,137,9,9,10,23,39,19,13,0,0,126,231,211,536,746,963,651,152,19,3,3523
202021027,5,18,21,22,38,26,8,0,0,135,12,10,37,38,36,35,15,0,0,190,226,269,568,776,1034,913,222,30,12,4042
202021028,3,14,18,24,24,23,3,0,0,116,15,7,9,24,42,39,10,4,0,146,170,212,350,635,1005,951,263,51,12,3646
202021029,0,0,5,14,19,14,3,0,0,57,3,14,7,7,19,19,5,3,0,71,56,91,208,286,426,379,100,33,0,1576
202021030,11,18,16,35,41,26,13,0,0,170,11,19,21,31,49,27,11,3,0,176,206,304,630,942,1077,832,250,39,8,4291
202021031,3,11,15,22,29,14,10,0,0,99,3,3,16,28,39,18,13,3,3,132,148,191,338,768,895,606,192,13,7,3166
202031032,3,0,13,6,28,12,3,0,0,71,8,3,9,14,19,14,7,0,0,79,108,108,228,400,541,452,110,20,3,1973
202031033,3,5,12,16,12,14,0,0,0,59,10,10,19,19,30,25,8,3,3,121,107,133,309,459,634,701,230,63,10,2638
203011034,5,9,35,38,17,27,5,0,0,130,8,12,19,41,32,12,4,0,0,137,180,235,608,830,694,380,83,10,4,3035
203011035,4,17,22,24,24,21,7,0,0,125,18,3,15,28,36,30,6,4,0,144,144,188,506,734,865,623,206,25,5,3294
203011036,10,12,14,21,30,14,6,0,0,110,5,14,9,20,29,28,6,3,0,109,148,210,344,585,703,579,204,28,4,2812
