POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3000,0,0,0,0,0,0,0,6,11,106,57,5,172,12,7,20,189,227,6,420
POA3002,0,0,0,0,0,0,0,0,3,29,8,0,38,0,0,0,39,26,0,62
POA3003,0,3,0,0,0,4,0,0,4,36,15,0,48,0,0,6,51,29,0,76
POA3004,0,0,0,0,0,0,0,0,0,70,33,3,112,7,8,12,119,69,0,188
POA3005,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,0,0,7
POA3006,0,0,0,0,0,0,0,0,0,122,56,12,190,10,3,16,202,113,0,315
POA3008,0,0,0,0,0,0,3,0,3,82,28,7,114,0,4,6,124,78,0,195
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,3,3,0,3,3,3,3,3,13,173,108,16,300,16,22,39,335,320,9,669
POA3012,0,7,0,0,0,7,19,6,29,285,227,27,539,34,34,70,606,482,7,1094
POA3013,0,3,0,0,0,3,3,0,8,147,103,4,261,6,12,24,277,207,3,490
POA3015,0,7,0,0,0,3,0,3,9,239,150,18,401,18,9,32,432,202,6,640
POA3016,3,4,0,0,0,4,10,4,10,217,102,13,334,3,9,21,351,182,4,535
POA3018,0,3,0,0,0,3,6,3,8,152,111,10,273,9,8,19,293,202,3,506
POA3019,3,3,0,0,0,8,3,0,14,84,94,14,197,27,29,56,250,293,5,550
POA3020,3,17,0,0,5,23,39,22,86,470,363,54,883,119,109,230,1116,1273,49,2438
POA3021,5,16,3,0,6,21,51,34,104,609,545,95,1249,145,136,284,1533,1812,57,3397
POA3022,0,0,0,0,0,0,5,0,3,36,27,11,68,12,9,15,85,78,0,165
POA3023,0,15,3,0,8,21,19,22,64,828,575,72,1478,89,101,186,1665,1097,31,2791
POA3024,4,12,0,0,0,12,15,12,35,345,279,33,655,39,51,84,743,465,23,1227
POA3025,0,4,0,0,0,4,10,9,19,142,93,9,246,9,17,29,273,318,9,602
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA3027,0,0,0,0,0,0,0,0,3,74,29,5,104,6,8,16,123,63,0,188
POA3028,3,10,0,0,0,9,12,8,28,426,270,29,727,45,36,84,809,611,16,1444
POA3029,3,16,0,0,0,19,36,24,73,1131,690,114,1941,130,102,228,2173,1351,43,3563
POA3030,7,27,3,0,5,36,36,26,94,1247,785,105,2139,149,125,272,2413,1514,55,3985
POA3031,0,3,0,0,0,3,18,11,30,123,135,18,284,18,27,48,328,370,15,713
POA3032,0,4,0,0,0,7,9,6,29,283,197,23,509,31,24,52,555,429,19,1001
POA3033,3,4,0,0,0,4,6,0,15,182,142,16,341,14,16,25,367,262,4,630
POA3034,0,3,0,0,0,4,5,0,8,123,94,17,236,11,11,20,259,247,7,512
POA3036,0,3,0,0,0,3,0,0,8,74,49,3,126,0,6,8,131,74,0,209
POA3037,3,8,0,0,0,13,10,11,35,638,436,47,1122,64,73,145,1267,700,20,1982
POA3038,0,7,0,0,0,7,10,3,14,341,196,28,570,30,34,65,635,441,6,1084
POA3039,0,0,0,0,0,0,7,0,6,120,85,12,215,4,8,13,231,166,0,401
POA3040,0,9,0,0,0,9,12,4,19,284,182,23,490,19,20,39,524,273,14,814
POA3041,0,3,0,0,0,3,4,4,11,160,81,3,245,11,10,14,261,123,4,385
POA3042,0,9,0,0,3,6,11,3,20,250,153,18,420,10,12,23,445,290,11,744
POA3043,3,5,0,0,0,9,5,8,20,293,177,25,496,18,19,33,527,369,20,917
POA3044,0,4,0,0,3,9,10,6,21,288,216,28,522,23,29,49,580,400,7,985
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,3,10,0,0,3,14,15,11,46,341,265,30,635,32,38,65,700,730,31,1457
POA3047,0,4,0,0,0,3,21,15,49,157,135,23,318,38,30,71,390,791,28,1212
POA3048,3,8,0,0,0,7,22,8,35,166,145,25,341,33,26,61,398,674,20,1095
POA3049,0,3,0,0,0,4,0,3,8,153,113,14,284,11,9,25,304,185,5,493
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,0,5,0,0,0,5,4,4,11,98,76,12,184,16,18,33,222,213,9,438
POA3052,0,0,0,0,0,0,0,0,0,23,21,5,52,0,4,3,57,39,0,91
POA3053,0,3,0,0,3,3,13,4,25,66,54,4,126,16,20,36,162,237,7,405
POA3054,0,3,0,0,0,3,0,0,4,81,44,9,133,3,7,8,142,80,0,228
POA3055,0,0,0,0,0,0,3,3,9,131,98,6,235,8,14,20,259,203,4,461
POA3056,0,0,0,0,0,0,4,3,8,172,123,5,300,11,9,26,324,287,3,609
POA3057,0,0,0,0,0,0,3,0,8,104,64,11,176,3,9,10,186,119,3,311
POA3058,0,6,0,0,0,6,18,0,25,297,225,24,548,21,24,45,591,576,14,1181
POA3059,0,6,0,0,0,6,0,3,9,183,98,8,295,11,4,15,309,151,4,469
POA3060,0,0,0,0,0,0,7,4,10,114,94,14,226,16,16,29,258,324,9,593
POA3061,0,0,0,0,0,0,6,0,9,28,23,3,56,3,3,5,60,151,7,216
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,13,0,16
POA3064,3,16,0,0,0,17,28,15,68,787,593,72,1443,81,103,185,1631,1380,33,3044
POA3065,3,3,0,0,0,3,8,4,18,62,51,6,120,21,29,47,165,196,4,363
POA3066,0,3,0,0,0,3,7,9,22,54,43,4,107,19,11,27,134,196,9,343
POA3067,0,0,0,0,0,0,0,0,0,53,27,6,87,0,5,7,90,64,0,154
POA3068,0,0,0,0,0,0,3,0,11,149,115,10,270,7,13,19,286,212,0,501
POA3070,3,4,0,0,0,4,3,0,9,221,188,22,422,19,12,31,457,295,3,759
POA3071,3,5,0,0,0,5,0,3,8,162,144,11,315,12,3,20,333,250,8,593
POA3072,0,6,0,0,0,8,19,3,31,308,275,21,603,25,22,46,649,616,9,1277
POA3073,5,14,3,7,10,24,37,24,86,481,442,36,957,71,58,124,1085,1220,36,2344
POA3074,0,7,0,0,6,10,19,6,35,194,195,21,412,32,28,60,465,646,19,1133
POA3075,0,9,0,0,0,9,12,12,29,235,176,24,436,29,34,63,501,637,24,1159
POA3076,5,14,0,0,0,12,19,6,39,385,298,44,728,42,43,84,807,622,10,1447
POA3078,0,0,0,0,0,0,3,0,8,117,83,9,205,3,4,5,209,109,4,327
POA3079,0,3,0,0,0,3,7,0,4,172,112,11,301,6,6,14,320,189,0,511
POA3081,0,3,0,0,3,6,10,6,24,156,138,19,316,20,21,39,358,422,16,793
POA3082,3,9,0,0,0,9,10,3,29,393,293,37,730,34,29,57,790,497,13,1295
POA3083,0,9,0,0,0,9,5,0,16,296,248,38,576,16,14,27,605,467,7,1074
POA3084,0,4,0,0,0,4,7,4,15,302,197,10,509,13,19,30,540,298,7,847
POA3085,0,3,0,0,0,3,4,0,7,170,128,17,315,4,21,30,343,162,0,509
POA3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3087,3,3,0,0,0,3,3,6,8,137,86,15,239,4,10,15,252,165,7,424
POA3088,0,4,0,0,0,3,11,3,22,403,277,25,698,18,22,43,740,326,9,1074
POA3089,0,6,0,0,0,6,3,3,7,190,131,12,340,4,8,10,349,106,5,453
POA3090,0,0,0,0,0,0,0,0,0,14,10,0,26,0,0,0,26,9,0,38
POA3091,0,0,0,0,0,0,0,0,0,13,4,0,18,0,0,0,20,10,0,26
POA3093,0,0,0,0,0,0,0,0,0,42,36,0,80,4,5,4,81,38,0,121
POA3094,0,0,0,0,0,0,3,0,5,134,120,17,269,3,3,5,277,108,3,390
