SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
2000,1706,2053,3758,1272,1310,2581,1552,4945,6498,1413,8009,9425,6690,17258,23944,5936,8006,13941,17775,6596,24371,13704,6952,20657,17504,5955,23455,16402,3463,19874,11438,2540,13973,11712,1661,13372,19013,1949,20964,11587,262,11853,6099,95,6201,3569,1011,4573,6942,119,7064,18298,886,19185,3820,5214,9033,176428,78285,254709
2001,54,47,96,22,27,45,33,97,131,27,155,183,126,325,453,129,180,314,406,128,535,320,146,462,439,166,609,445,109,552,388,79,464,361,51,410,756,73,829,507,7,515,308,3,308,190,25,214,314,0,314,459,19,473,81,110,192,5359,1741,7099
2002,21,34,56,23,25,51,30,103,128,43,179,225,146,442,585,124,223,348,404,166,572,353,185,541,396,137,534,352,90,444,274,57,330,223,24,252,373,31,402,196,8,209,92,0,97,50,16,69,94,7,98,387,18,404,91,154,242,3686,1904,5587
2003,179,274,453,99,148,249,184,732,915,220,1162,1387,777,2522,3297,889,1286,2177,2278,1143,3426,1833,1267,3103,2239,1096,3329,2226,762,2986,1804,550,2355,1672,354,2027,3067,414,3484,1830,95,1922,1065,28,1090,605,175,786,1247,20,1266,2139,334,2473,432,654,1086,24788,13019,37811
2004,135,200,336,114,145,259,169,632,798,186,1059,1246,699,2122,2819,840,1202,2039,2139,1085,3229,1851,1162,3011,2317,1028,3347,2289,737,3026,1740,486,2228,1630,338,1962,2888,429,3317,1823,64,1888,1002,37,1042,552,151,704,939,22,956,2053,276,2333,386,639,1026,23759,11809,35561
2005,18,31,45,18,34,54,29,98,122,32,160,187,101,379,478,119,189,308,266,146,415,222,176,400,307,124,430,298,81,380,217,47,257,233,26,260,388,38,427,179,13,187,114,4,115,36,19,52,82,6,83,246,40,281,73,129,196,2970,1732,4697
2006,44,47,93,22,19,38,35,134,170,43,201,246,176,516,689,158,240,397,536,210,754,369,222,590,511,203,713,503,103,607,363,72,441,371,45,419,610,72,686,400,13,416,223,5,230,94,26,114,190,4,201,494,43,535,128,184,307,5268,2375,7646
2007,485,654,1139,300,387,685,475,1513,1989,452,2466,2918,1881,5101,6980,1926,2790,4721,4897,2292,7189,4116,2513,6634,5384,2444,7824,5222,1665,6892,4234,1285,5516,4337,889,5230,8184,1138,9318,5376,181,5558,3191,92,3289,1980,425,2405,3897,88,3983,5918,603,6521,1077,1471,2549,63336,27994,91328
2008,42,31,76,22,21,43,14,58,78,24,90,116,79,189,270,83,107,193,235,85,320,266,101,363,358,111,472,354,75,428,342,77,424,343,60,401,696,71,766,572,6,574,408,3,410,328,40,371,638,3,643,579,19,596,78,67,140,5471,1210,6682
2009,25,36,62,16,38,52,26,116,143,40,247,286,130,461,598,147,251,400,370,185,554,355,217,571,424,166,592,440,113,553,312,85,399,318,60,371,496,57,559,268,12,283,146,8,152,65,25,96,149,6,153,400,32,427,73,154,229,4209,2269,6481
2010,13756,20985,34743,5897,6600,12496,8869,20492,29366,7077,29459,36537,25554,55586,81143,26082,32346,58434,62659,29658,92316,58554,35596,94150,79212,39409,118613,79273,30494,109767,68006,25569,93576,69192,19160,88349,139652,29376,169026,99354,5694,105054,64479,3368,67847,48701,13678,62381,112958,3797,116754,101884,14124,116005,16201,17163,33365,1087364,432567,1519926
2011,167,115,284,73,55,132,133,274,405,148,361,507,440,743,1179,557,388,950,1192,387,1577,1035,493,1525,1412,518,1927,1429,356,1786,1153,231,1388,1152,143,1291,2047,147,2197,1155,32,1193,630,5,636,359,30,397,466,17,483,1340,67,1411,303,273,579,15191,4649,19836
2012,110,121,234,86,83,167,122,367,480,136,636,768,467,1186,1658,453,603,1062,1332,519,1852,993,542,1534,1177,469,1650,1175,280,1454,833,195,1026,851,123,973,1372,136,1505,799,25,822,442,12,454,227,70,293,410,10,414,1327,88,1415,339,366,705,12640,5838,18471
2013,37,57,91,26,41,66,55,223,274,58,344,397,193,604,798,183,256,441,526,212,737,343,185,530,396,137,529,350,92,448,255,65,317,229,50,282,368,55,422,228,9,240,137,5,136,87,21,103,183,0,183,418,31,452,114,202,316,4184,2591,6781
2014,12,38,47,10,26,38,32,110,142,33,137,172,108,311,423,101,135,236,288,106,395,226,122,348,281,104,386,236,81,313,177,53,222,166,35,201,287,63,351,203,3,203,97,0,102,66,22,92,79,0,80,269,17,284,70,119,186,2746,1475,4220
2015,31,35,67,12,27,40,24,132,160,35,185,220,109,375,487,107,211,321,308,162,468,274,145,420,329,175,499,291,103,398,247,75,325,263,54,313,411,73,479,264,18,280,153,0,154,114,40,155,215,4,227,419,30,449,69,110,185,3677,1949,5624
2016,118,113,228,54,74,125,93,328,424,106,555,666,447,981,1428,469,540,1008,1133,476,1615,875,564,1441,1194,470,1666,1101,299,1396,845,224,1073,832,122,956,1419,168,1589,889,45,937,430,18,442,255,59,318,489,18,508,1137,96,1237,277,384,659,12159,5549,17703
2017,10,32,41,12,17,31,27,74,101,32,140,175,90,290,382,94,158,249,245,132,382,187,106,291,270,122,388,256,68,324,179,58,234,202,21,224,297,48,346,180,15,189,86,6,92,54,10,60,83,3,87,241,22,262,65,99,164,2604,1421,4026
2018,73,128,199,45,88,131,98,375,471,123,595,717,405,1048,1462,461,527,986,971,432,1401,733,459,1192,842,449,1289,813,277,1085,597,226,827,632,180,808,1210,225,1435,738,28,768,453,13,465,276,102,379,489,14,499,923,79,1005,211,341,557,10092,5577,15676
2019,31,43,72,21,26,43,39,151,190,40,283,328,183,606,792,175,282,459,475,237,715,423,270,691,506,228,732,458,114,576,357,79,435,304,59,364,548,62,612,320,9,331,141,3,144,94,22,116,124,7,132,392,32,424,120,212,328,4752,2741,7495
2020,87,77,159,60,49,107,67,200,267,77,313,387,285,734,1021,276,389,664,837,316,1157,690,351,1036,895,299,1190,823,184,1000,640,129,773,659,96,758,1066,103,1164,659,15,675,359,4,361,215,49,269,442,3,448,817,46,862,180,202,379,9132,3545,12676
2021,62,70,134,41,49,90,63,263,326,75,396,472,253,763,1022,287,470,755,725,388,1106,620,408,1027,778,356,1131,775,225,1002,594,180,775,627,120,747,1099,115,1210,693,44,734,329,24,355,203,63,269,363,23,380,723,87,812,146,241,387,8468,4282,12751
