SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
2000,531,4344,32541,122789,61409,9596,2042,5808,239070,54,1159,2637,936,118,26,13,323,5268,3,23,150,267,34,5,5,7,496,53,1187,2788,1197,150,33,19,331,5768,59,1157,2619,557,56,10,17,311,4794,7,15,45,13,0,0,0,6,83,0,22,37,17,7,0,0,9,95,0,15,9,0,0,7,0,4,35,58,1206,2714,592,68,21,23,325,5002,267,910,696,573,195,46,38,263,2995,22,128,362,708,345,56,46,210,1876,944,7777,39104,125862,62175,9744,2168,6938,254709
2001,3,32,349,3073,2329,267,75,128,6261,3,70,271,169,99,7,0,30,640,0,5,20,41,3,0,0,5,75,3,75,293,206,99,7,0,32,715,0,56,11,3,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11,3,3,0,0,0,73,4,13,7,0,0,0,0,0,29,0,0,0,4,3,0,0,14,17,10,174,664,3286,2436,272,76,172,7099
2002,5,97,755,2663,1210,164,29,149,5058,0,43,184,45,3,0,0,16,289,0,12,8,10,0,0,0,0,28,0,54,189,56,3,0,0,16,319,0,20,47,31,0,0,0,5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,31,0,0,0,5,107,0,7,14,7,0,0,0,4,24,0,3,7,8,5,0,3,52,77,5,180,1010,2756,1220,161,26,223,5587
2003,31,261,3697,16794,8308,1064,180,654,30992,13,697,1990,1554,403,27,12,156,4855,0,19,158,212,99,9,4,10,506,12,718,2147,1770,498,39,16,166,5362,15,315,556,167,10,3,7,48,1117,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,332,591,175,14,3,7,52,1185,6,8,20,41,19,0,0,3,102,0,26,35,45,24,5,0,23,168,59,1341,6493,18834,8868,1110,200,902,37811
2004,25,320,3811,16935,8596,1010,167,685,31549,15,418,1630,551,49,4,0,136,2805,0,31,125,191,22,3,0,21,388,17,452,1751,736,69,5,0,161,3199,3,86,239,99,7,0,0,30,464,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,124,257,105,12,0,0,36,532,21,58,45,17,3,0,0,13,159,3,10,26,37,21,4,3,12,125,71,964,5892,17831,8705,1022,171,904,35561
2005,0,31,461,2460,936,94,22,106,4120,4,101,277,76,0,0,0,30,492,0,0,6,3,0,0,0,0,11,4,101,287,75,0,0,0,30,501,0,17,3,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,3,23,3,21,4,7,4,0,0,8,42,0,0,0,4,0,0,0,3,10,5,171,756,2549,947,99,22,150,4697
2006,10,47,735,3399,1892,228,25,179,6517,3,128,480,106,8,0,0,51,778,0,0,4,15,0,0,0,0,20,3,130,481,120,9,0,3,48,802,0,11,159,30,0,0,0,10,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,30,0,0,0,10,212,7,25,30,21,8,0,0,3,87,0,0,8,12,3,0,0,4,29,20,207,1414,3575,1919,228,27,249,7646
2007,92,754,8524,42176,21420,2976,611,1565,78120,43,1452,4202,1723,233,26,12,268,7949,4,156,613,955,191,15,5,43,1986,42,1611,4818,2680,422,43,15,309,9936,24,613,1017,294,21,3,3,104,2079,3,47,74,7,0,0,0,3,141,0,47,97,36,7,3,3,8,197,0,0,3,0,0,0,0,0,8,27,704,1190,343,22,7,6,112,2421,29,155,160,102,82,15,8,31,580,4,17,62,112,45,5,6,25,279,201,3237,14756,45411,22005,3048,642,2037,91328
2008,5,32,297,2401,2781,490,91,117,6213,0,45,174,161,17,0,0,8,410,0,0,0,7,0,0,0,0,9,0,45,172,162,17,0,0,8,418,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,15,7,0,0,0,0,5,31,0,0,3,9,4,0,0,0,16,5,95,484,2574,2811,495,90,134,6682
2009,7,46,571,3151,1545,142,19,127,5606,0,98,226,78,7,0,0,19,433,0,0,0,13,4,0,0,0,11,0,98,232,90,11,0,0,19,446,0,51,267,57,3,0,0,13,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,267,57,3,0,0,13,392,0,0,0,3,0,0,0,0,9,0,3,6,9,4,3,0,3,26,11,197,1077,3304,1568,145,26,165,6481
